uid	summary	category	start	end	recurring	location	attendees	description
cal-evt-20261116-0900-permit@voissync.ai	Cottage food permit renewal deadline	Cuisine du Nord	2026-11-16T09:00:00-08:00	2026-11-16T17:00:00-08:00		Multnomah County portal		Submit renewal application. Pay $230 fee. Self-audit (doc28.pdf) attached. Inspector K. Boudreau cleared the kitchen on 5 Nov.
cal-evt-20261118-0800-dental@voissync.ai	Dental cleaning at Cedar Valley Dental	Personal	2026-11-18T08:00:00-08:00	2026-11-18T09:00:00-08:00		Cedar Valley Dental, 18750 NW Westgate Dr Suite 240, Beaverton	emile.quinn@gmail.com	With Emile. See doc17.pdf. Drop straight to Hawthorne after for 11:00 prep, Andrea aware.
cal-evt-20261119-2100-hockey@voissync.ai	Rec league hockey, Lloyd Center Ice Rink	Personal	2026-11-19T21:00:00-08:00	2026-11-19T22:00:00-08:00		Lloyd Center Ice Rink, 953 Lloyd Center, Portland		Thursday night skate when not catering. See roster tsv2.tsv. Bring Marc Belanger.
cal-evt-20261121-0630-mkt2@voissync.ai	Cuisine du Nord market pop-up, Booth B47	Cuisine du Nord	2026-11-21T06:30:00-08:00	2026-11-21T13:00:00-08:00		Portland Saturday Market, Tom McCall Waterfront Park, Booth B47		Third Saturday market. Push reveillon pre-orders. Distribute pres2.pdf flyer.
cal-evt-20261122-1730-sienna@voissync.ai	Sienna 34th, surprise dinner at apartment	Personal	2026-11-22T17:30:00-08:00	2026-11-22T22:00:00-08:00		Cedar Ridge Apartments, Apt 104, Beaverton	jess.okafor@gmail.com; emile.quinn@gmail.com	SURPRISE. Yves and Sienna arrive 18:15. Jess lets crew in 17:30. Full plan in doc3.docx. PTO confirmed by Andrea 14 Oct. DO NOT BID THIS DAY.
cal-evt-20261125-0900-prep@voissync.ai	US Thanksgiving prep: Quebecois-American fusion	Family	2026-11-25T09:00:00-08:00	2026-11-25T22:00:00-08:00		Cedar Ridge Apartments, Apt 104, Beaverton		Brining the turkey, prep tourtiere side, Sienna japchae, Papa Luc tarte au sucre. Emile bringing rice flour everything.
cal-evt-20261126-1700-thxgiving@voissync.ai	US Thanksgiving feast at the apartment	Family	2026-11-26T17:00:00-08:00	2026-11-26T23:00:00-08:00		Cedar Ridge Apartments, Apt 104, Beaverton	sienna.park@gmail.com; emile.quinn@gmail.com	Hosting. Yves cooks. Sienna brings japchae and the kimchi we both like. Papa Luc presides over tarte au sucre. Hawthorne off, confirmed 14 Oct.
cal-evt-20261128-2000-laundry@voissync.ai	Laundry / decompress / cooking playlist	Personal	2026-11-28T20:00:00-08:00	2026-11-28T22:00:00-08:00		Cedar Ridge Apartments, Apt 104, Beaverton		Reset before the December push begins. See tsv3.tsv playlist.
cal-evt-20261129-2000-prep@voissync.ai	Sunday catering planning, Q4 review	Cuisine du Nord	2026-11-29T20:00:00-08:00	2026-11-29T21:30:00-08:00		Cedar Ridge Apartments, Apt 104, Beaverton		Run November numbers in 3.xlsx. Confirm Dec 12 staffing with Emile, Sienna, Luc. Final tally for Marcus Lin onboarding January.
cal-evt-20261130-0900-budget@voissync.ai	Monthly Cuisine du Nord revenue and expense review	Cuisine du Nord	2026-11-30T09:00:00-08:00	2026-11-30T10:00:00-08:00	RRULE:FREQ=MONTHLY;BYMONTHDAY=1;COUNT=1			End-of-month spreadsheet pass. Pull Square reports, reconcile Silverpeak ****7104, update 3.xlsx.
