Date,Day,Time,Event,Category,Location,Transport,Prep_Required,Notes
2026-10-24,Saturday,10:00 AM,Beaverton Community Workshop,Routine,Community Workshop,Self-drive 9:40 AM,None,"May conflict with Kevin's birthday call - call at 8:30 AM PT (9:30 MT), workshop at 10"
2026-10-25,Sunday,2:00 PM,Kevin's Weekly Call,Family,Home (phone),N/A,None,"Standing call - birthday weekend, may be extended"
2026-10-31,Saturday,10:00 AM,Beaverton Community Workshop,Routine,Community Workshop,Self-drive 9:40 AM,None,Weekly Saturday class
2026-11-01,Sunday,2:00 PM,Kevin's Weekly Call,Family,Home (phone),N/A,None,Standing call
2026-11-01,Sunday,All Day,Prescription Check - Monthly,Medical,Home,N/A,November check - apixaban refill due ~Dec 4,1st of month check
2026-11-03,Tuesday,6:30 PM,Cedar Hills Garden Club,Social,Cedar Hills Community Center,Self-drive,Treasurer update for November meeting,First Tuesday
2026-11-04,Wednesday,6:00 PM,Karen's Wednesday Dinner,Family,Karen's house Tigard or home,Self-drive or Karen brings dinner,Confirm by Tuesday evening,Every-other-week
2026-11-05,Thursday,12:00 PM,Monthly Lunch with Doug Tanaka,Social,Hayden's Diner Tualatin,Self-drive,None,First Thursday
2026-11-07,Saturday,10:00 AM,Beaverton Community Workshop,Routine,Community Workshop,Self-drive 9:40 AM,None,Weekly Saturday class
2026-11-08,Sunday,2:00 PM,Kevin's Weekly Call,Family,Home (phone),N/A,None,Standing call
2026-11-09,Monday,Evening,Confirm Ride with Karen for Cardiology,Medical/Logistics,Home (phone/text),N/A,Confirm Karen is driving Wed Nov 11; leave by 1:30 PM,Two days before appointment
2026-11-11,Wednesday,2:30 PM,Cardiology - Dr. James Whitfield,Medical,Pacific Heart Associates Portland,Karen driving - leave Beaverton 1:30 PM,"Bring medication list, request new apixaban Rx, bring BP log",Karen is driving. Be prepared.
2026-11-14,Saturday,All Day,Anniversary of June's Passing,Personal,Willamette Valley Memorial Cemetery,Self-drive,None - Carlos handles this himself,"Second anniversary. Kevin calls earlier than Sunday slot. Hold non-urgent notifications. Do not initiate suggestions."
2026-11-15,Sunday,Earlier than 2 PM,Kevin's Call - Moved Up for Anniversary,Family,Home (phone),N/A,None,"Kevin adjusts call timing around Nov 14 weekend"
2026-11-18,Wednesday,All Day,David Park's Birthday,Family,N/A,N/A,Send card,Card for son-in-law
2026-11-18,Wednesday,6:00 PM,Karen's Wednesday Dinner,Family,Karen's house Tigard or home,Self-drive or Karen brings dinner,Confirm by Tuesday,"Every-other-week; may combine with David's birthday"
2026-11-21,Saturday,10:00 AM,Beaverton Community Workshop,Routine,Community Workshop,Self-drive 9:40 AM,None,Weekly Saturday class
2026-11-22,Sunday,2:00 PM,Kevin's Weekly Call,Family,Home (phone),N/A,None,Standing call
2026-11-28,Saturday,10:00 AM,Beaverton Community Workshop,Routine,Community Workshop,Self-drive 9:40 AM,None,Weekly Saturday class
2026-11-29,Sunday,2:00 PM,Kevin's Weekly Call,Family,Home (phone),N/A,None,Standing call
2026-12-01,Tuesday,6:30 PM,Cedar Hills Garden Club,Social,Cedar Hills Community Center,Self-drive,Treasurer year-end report due - bring garden_club_treasurer_report,First Tuesday - year-end meeting
2026-12-01,Tuesday,All Day,Prescription Check - Monthly,Medical,Home,N/A,"Apixaban refill due ~Dec 4, metformin/lisinopril/atorvastatin ~Dec 11",1st of month check
2026-12-02,Wednesday,6:00 PM,Karen's Wednesday Dinner,Family,Karen's house Tigard or home,Self-drive or Karen brings dinner,Confirm by Tuesday,Every-other-week
2026-12-03,Thursday,12:00 PM,Monthly Lunch with Doug Tanaka,Social,Hayden's Diner Tualatin,Self-drive,None,First Thursday
2026-12-05,Saturday,10:00 AM,Beaverton Community Workshop,Routine,Community Workshop,Self-drive 9:40 AM,None,Weekly Saturday class
2026-12-06,Sunday,2:00 PM,Kevin's Weekly Call,Family,Home (phone),N/A,None,Standing call
2026-12-08,Tuesday,All Day,Carlos's Birthday,Personal,Home - Karen and grandkids visit nearest weekend,N/A,None,"Carlos turns 73. Karen and kids drive over the closest weekend."
2026-12-09,Wednesday,10:00 AM,Primary Care - Dr. Anita Sharma,Medical,Riverview Medical Partners Beaverton,Self-drive,"Bring medication list (metoprolol corrected), discuss Rx costs, annual wellness items",Call office beforehand to confirm metoprolol at 50 mg in chart
2026-12-12,Saturday,1:00 PM,Maya's Winter Art Show,Family,Tigard Elementary,Self-drive or ride with Karen,None - just attend and enjoy,"Carlos attending. Maya is 9. Bring camera."
2026-12-12,Saturday,No Workshop,Workshop Cancelled for Art Show,Routine,N/A,N/A,N/A,Carlos will skip or swap - art show takes priority
2026-12-13,Sunday,2:00 PM,Kevin's Weekly Call,Family,Home (phone),N/A,None,Standing call
2026-12-14,Monday,All Day,Maya's Birthday,Family,N/A,N/A,Gift ready - workshop project or art supplies,"Maya turns 10. Gift should be ready by Dec 12 art show if combining."
2026-12-15,Tuesday,All Day,Christmas Shipping Deadline - Denver,Family/Logistics,UPS Store Beaverton,Self-drive,Pack and ship Kevin's Christmas gifts by ground,UPS ground cutoff for Denver delivery by Dec 25
2026-12-16,Wednesday,6:00 PM,Karen's Wednesday Dinner,Family,Karen's house Tigard or home,Self-drive or Karen brings dinner,Confirm by Tuesday,Every-other-week
2026-12-19,Saturday,10:00 AM,Beaverton Community Workshop,Routine,Community Workshop,Self-drive 9:40 AM,None,Last Saturday class before holiday break
2026-12-20,Sunday,2:00 PM,Kevin's Weekly Call,Family,Home (phone),N/A,None,Standing call - Christmas plans
2026-12-25,Thursday,All Day,Christmas Day,Family,Karen's house or home,Karen arranges,None specific,Family day
2026-12-27,Sunday,2:00 PM,Kevin's Weekly Call,Family,Home (phone),N/A,None,Post-Christmas catch-up
2027-01-01,Thursday,All Day,Prescription Check - January,Medical,Home,N/A,Check all refills - new year,First of month
2027-01-03,Saturday,10:00 AM,Beaverton Community Workshop,Routine,Community Workshop,Self-drive 9:40 AM,None,First class of new year
2027-01-04,Sunday,2:00 PM,Kevin's Weekly Call,Family,Home (phone),N/A,None,New year catch-up
2027-01-06,Tuesday,6:30 PM,Cedar Hills Garden Club,Social,Cedar Hills Community Center,Self-drive,None,First Tuesday - January meeting
2027-01-08,Thursday,12:00 PM,Monthly Lunch with Doug Tanaka,Social,Hayden's Diner Tualatin,Self-drive,None,First Thursday of new year
2027-01-15,Thursday,All Day,Visa Statement Review,Financial,Home,N/A,Review December statement and savings balance,15th of month financial check
