txn_id,posted_date,account,merchant_or_source,category,memo,amount_usd,direction
HT-2026-0104,2026-05-22,Credit Union Checking,Ticketmaster,Entertainment,Berkeley Rep May program,240.00,OUT
HT-2026-0105,2026-05-23,Credit Union Checking,Monterey Market,Groceries,weekly grocery run,462.40,OUT
HT-2026-0106,2026-05-24,Credit Union Checking,Kavkasky Chess Antiquarian Tbilisi,Chess Acquisition,Botvinnik Smyslov match booklet,220.00,OUT
HT-2026-0107,2026-05-25,Credit Union Checking,Norton and Company,Nathan Professional,Nathan Norton anthology,155.00,OUT
HT-2026-0108,2026-05-28,Credit Union Checking,Wood Tavern,Dining,saturday out with Nathan,145.75,OUT
HT-2026-0109,2026-05-29,Credit Union Checking,Stripe Payouts,Coaching Income,monthly aggregate net May,5290.00,IN
HT-2026-0110,2026-05-31,Credit Union Checking,Amazon Seller Payouts,Book Sale Income,book sale BS-2026-18 marketplace settlement,47.25,IN
HT-2026-0111,2026-06-01,Credit Union Checking,Bay Coast Home Loans,Mortgage,monthly principal and interest,2800.00,OUT
HT-2026-0112,2026-06-05,Credit Union Checking,Alameda County Escrow,Property Tax,monthly escrow,850.00,OUT
HT-2026-0113,2026-06-06,Credit Union Checking,Chez Panisse,Dining,anniversary chef counter,175.90,OUT
HT-2026-0114,2026-06-07,Credit Union Checking,BigCommerce Payouts,Book Sale Income,book sale BS-2026-08 storefront settlement,57.10,IN
HT-2026-0115,2026-06-10,Credit Union Checking,UPS Ground,Gifts,ship book to Daniel Lawson 3821 SE Rex Street Portland OR 97202,250.00,OUT
HT-2026-0116,2026-06-12,Credit Union Checking,Andronicos,Groceries,weekly grocery run,435.20,OUT
HT-2026-0117,2026-06-12,Credit Union Checking,Sonic Communications,Phone Internet,monthly Sonic fiber and mobile bundle,145.00,OUT
HT-2026-0118,2026-06-13,Credit Union Checking,Amazon Marketplace,Chess Acquisition,Chess Digest bulk reprint set,310.00,OUT
HT-2026-0119,2026-06-14,Credit Union Checking,Chevron,Gas,fill Honda Accord,190.00,OUT
HT-2026-0120,2026-06-15,Credit Union Checking,Berkeley Food Pantry,Donations,monthly recurring,250.00,OUT
HT-2026-0121,2026-06-15,Credit Union Checking,Grandmaster Review Publishing,Column Royalty,column royalty CR 2026 05 May piece,300.00,IN
HT-2026-0122,2026-06-15,Credit Union Checking,PG and E,Utilities,gas and electric monthly,340.00,OUT
HT-2026-0123,2026-06-17,Credit Union Checking,YMCA Berkeley,Health,Nathan aerobics quarter,376.00,OUT
HT-2026-0124,2026-06-18,Credit Union Checking,Rivoli,Dining,dinner out,132.60,OUT
HT-2026-0125,2026-06-22,Credit Union Checking,Amazon Seller Payouts,Book Sale Income,book sale BS-2026-19 marketplace settlement,77.25,IN
HT-2026-0126,2026-06-24,Credit Union Checking,Ticketmaster,Entertainment,SF Symphony summer season pair,260.00,OUT
HT-2026-0127,2026-06-24,Credit Union Checking,Amazon Academic,Nathan Professional,Nathan pedagogy volume,150.00,OUT
HT-2026-0128,2026-06-26,Credit Union Checking,Berkeley Bowl,Groceries,weekly grocery run,466.80,OUT
HT-2026-0129,2026-06-27,Credit Union Checking,Cheese Board Pizza,Dining,slice pickup,49.85,OUT
HT-2026-0130,2026-06-29,Credit Union Checking,Internal Transfer,Transfer,mid year sweep to money market,5000.00,OUT
HT-2026-0131,2026-06-30,Credit Union Checking,Stripe Payouts,Coaching Income,monthly aggregate net June,4590.00,IN
HT-2026-0132,2026-07-01,Credit Union Checking,Bay Coast Home Loans,Mortgage,monthly principal and interest,2800.00,OUT
HT-2026-0133,2026-07-06,Credit Union Checking,Alameda County Escrow,Property Tax,monthly escrow,850.00,OUT
HT-2026-0134,2026-07-08,Credit Union Checking,Homestead,Dining,dinner Whitfield lunch,105.30,OUT
HT-2026-0135,2026-07-11,Credit Union Checking,Amazon Seller Payouts,Book Sale Income,book sale BS-2026-20 marketplace settlement,38.75,IN
HT-2026-0136,2026-07-11,Credit Union Checking,Whole Foods,Groceries,weekly grocery run,441.55,OUT
HT-2026-0137,2026-07-13,Credit Union Checking,Bear Grove Toys,Gifts,Lily July 18 birthday wooden train set,380.00,OUT
HT-2026-0138,2026-07-13,Credit Union Checking,Sonic Communications,Phone Internet,monthly Sonic fiber and mobile bundle,140.00,OUT
HT-2026-0139,2026-07-14,Credit Union Checking,Kavkasky Chess Antiquarian Tbilisi,Chess Acquisition,Karpov analytical volumes,120.00,OUT
HT-2026-0140,2026-07-15,Credit Union Checking,PG and E,Utilities,gas and electric monthly,310.00,OUT
HT-2026-0141,2026-07-15,Credit Union Checking,Grandmaster Review Publishing,Column Royalty,column royalty CR 2026 06 June piece,300.00,IN
HT-2026-0142,2026-07-16,Credit Union Checking,Chevron,Gas,fill Honda Accord,175.00,OUT
HT-2026-0143,2026-07-17,Credit Union Checking,CVS Pharmacy,Health,monthly refill,384.00,OUT
HT-2026-0144,2026-07-19,Credit Union Checking,Great China,Dining,takeout order,92.15,OUT
HT-2026-0145,2026-07-20,Credit Union Checking,Berkeley Chess Foundation,Donations,quarterly donation Q3,200.00,OUT
HT-2026-0146,2026-07-23,Credit Union Checking,BigCommerce Payouts,Book Sale Income,book sale BS-2026-09 storefront settlement,40.50,IN
HT-2026-0147,2026-07-24,Credit Union Checking,JSTOR,Nathan Professional,Nathan JSTOR annual,145.00,OUT
HT-2026-0148,2026-07-25,Credit Union Checking,Berkeley Bowl,Groceries,weekly grocery run,454.90,OUT
HT-2026-0149,2026-07-28,Credit Union Checking,Old Elm Chess Books London,Chess Acquisition,Fine Basic Ideas 1941 reprint,200.00,OUT
HT-2026-0150,2026-07-28,Credit Union Checking,Comal,Dining,tacos out with Nathan,102.40,OUT
HT-2026-0151,2026-07-31,Credit Union Checking,Stripe Payouts,Coaching Income,monthly aggregate net July,4700.00,IN
HT-2026-0152,2026-08-03,Credit Union Checking,Bay Coast Home Loans,Mortgage,monthly principal and interest,2800.00,OUT
HT-2026-0153,2026-08-05,Credit Union Checking,Alameda County Escrow,Property Tax,monthly escrow,850.00,OUT
HT-2026-0154,2026-08-05,Credit Union Checking,Amazon Seller Payouts,Book Sale Income,book sale BS-2026-21 marketplace settlement,62.25,IN
HT-2026-0155,2026-08-06,Credit Union Checking,Cheese Board Pizza,Dining,slice pickup,54.75,OUT
HT-2026-0156,2026-08-08,Credit Union Checking,Monterey Market,Groceries,weekly grocery run,438.25,OUT
HT-2026-0157,2026-08-12,Credit Union Checking,Sonic Communications,Phone Internet,monthly Sonic fiber and mobile bundle,140.00,OUT
HT-2026-0158,2026-08-12,Credit Union Checking,Manhattan Chess Rare Books,Chess Acquisition,Fischer 1972 signed program,500.00,OUT
HT-2026-0159,2026-08-13,Credit Union Checking,Ticketmaster,Entertainment,Berkeley Rep summer feature,250.00,OUT
HT-2026-0160,2026-08-14,Credit Union Checking,PG and E,Utilities,gas and electric monthly,285.00,OUT
HT-2026-0161,2026-08-14,Credit Union Checking,Grandmaster Review Publishing,Column Royalty,column royalty CR 2026 07 July piece plus reprint,360.00,IN
HT-2026-0162,2026-08-14,Credit Union Checking,KPFA Public Radio,Donations,sustainer monthly,150.00,OUT
HT-2026-0163,2026-08-15,Credit Union Checking,Berkeley Chess Foundation Payout,Festival Passthrough In,ticket wave 1 pass through,1200.00,IN
HT-2026-0164,2026-08-16,Credit Union Checking,Chevron,Gas,fill Honda Accord,180.00,OUT
HT-2026-0165,2026-08-18,Credit Union Checking,Vitamins dot com,Health,fish oil and glucosamine,378.00,OUT
HT-2026-0166,2026-08-18,Credit Union Checking,BigCommerce Payouts,Book Sale Income,book sale BS-2026-10 storefront settlement,30.34,IN
HT-2026-0167,2026-08-18,Credit Union Checking,Wood Tavern,Dining,saturday out with Nathan,138.90,OUT
HT-2026-0168,2026-08-19,Credit Union Checking,Amazon,Gifts,monthly package Ethan and Lily,270.00,OUT
HT-2026-0169,2026-08-22,Credit Union Checking,Andronicos,Groceries,weekly grocery run,458.65,OUT
HT-2026-0170,2026-08-24,Credit Union Checking,Cambridge Press,Nathan Professional,Nathan Cambridge companion,160.00,OUT
HT-2026-0171,2026-08-27,Credit Union Checking,Kavkasky Chess Antiquarian Tbilisi,Chess Acquisition,Tal Riga first edition,180.00,OUT
HT-2026-0172,2026-08-28,Credit Union Checking,Stripe Payouts,Coaching Income,monthly aggregate net August,5370.00,IN
HT-2026-0173,2026-08-29,Credit Union Checking,Chez Panisse,Dining,birthday preview dinner reservation,182.65,OUT
HT-2026-0174,2026-09-01,Credit Union Checking,Bay Coast Home Loans,Mortgage,monthly principal and interest,2800.00,OUT
HT-2026-0175,2026-09-05,Credit Union Checking,Cheese Board Pizza,Dining,slice pickup,58.20,OUT
HT-2026-0176,2026-09-08,Credit Union Checking,Alameda County Escrow,Property Tax,monthly escrow,850.00,OUT
HT-2026-0177,2026-09-08,Credit Union Checking,Amazon Seller Payouts,Book Sale Income,book sale BS-2026-22 marketplace settlement,49.80,IN
HT-2026-0178,2026-09-11,Credit Union Checking,Ticketmaster,Entertainment,SF Symphony fall opening,275.00,OUT
HT-2026-0179,2026-09-11,Credit Union Checking,Berkeley Bowl,Groceries,weekly grocery run,462.15,OUT
HT-2026-0180,2026-09-13,Credit Union Checking,BigCommerce Payouts,Book Sale Income,book sale BS-2026-11 storefront settlement,52.45,IN
HT-2026-0181,2026-09-14,Credit Union Checking,Chevron,Gas,fill Honda Accord,178.00,OUT
HT-2026-0182,2026-09-14,Credit Union Checking,Sonic Communications,Phone Internet,monthly Sonic fiber and mobile bundle,143.00,OUT
HT-2026-0183,2026-09-15,Credit Union Checking,Wiener Schachhaus Vienna,Chess Acquisition,opening dictionary volume II,180.00,OUT
HT-2026-0184,2026-09-15,Credit Union Checking,Berkeley Food Pantry,Donations,monthly recurring,250.00,OUT
HT-2026-0185,2026-09-15,Credit Union Checking,Grandmaster Review Publishing,Column Royalty,column royalty CR 2026 08 August piece,300.00,IN
HT-2026-0186,2026-09-15,Credit Union Checking,PG and E,Utilities,gas and electric monthly,275.00,OUT
HT-2026-0187,2026-09-16,Credit Union Checking,CVS Pharmacy,Health,monthly refill,380.00,OUT
HT-2026-0188,2026-09-17,Credit Union Checking,Homestead,Dining,dinner Whitfield lunch,118.45,OUT
HT-2026-0189,2026-09-20,Credit Union Checking,Berkeley Chess Foundation Payout,Festival Passthrough In,merch and late tickets pass through,800.00,IN
HT-2026-0190,2026-09-24,Credit Union Checking,Amazon Academic,Nathan Professional,Nathan reference volume,150.00,OUT
HT-2026-0191,2026-09-25,Credit Union Checking,Melissa and Doug,Gifts,Lily fall books and puzzle,290.00,OUT
HT-2026-0192,2026-09-25,Credit Union Checking,Whole Foods,Groceries,weekly grocery run,447.35,OUT
HT-2026-0193,2026-09-27,Credit Union Checking,Amazon Marketplace,Chess Acquisition,used bulk lot marketplace,200.00,OUT
HT-2026-0194,2026-09-29,Credit Union Checking,Amazon Seller Payouts,Book Sale Income,BS 2026 23 buyer refund adjust spine wear,47.20,IN
HT-2026-0195,2026-09-29,Credit Union Checking,Rivoli,Dining,dinner out,145.30,OUT
HT-2026-0196,2026-09-29,Credit Union Checking,Internal Transfer,Transfer,quarterly sweep to money market,5000.00,OUT
HT-2026-0197,2026-09-30,Credit Union Checking,Stripe Payouts,Coaching Income,monthly aggregate net September,5170.00,IN
HT-2026-0198,2026-10-01,Credit Union Checking,Bay Coast Home Loans,Mortgage,monthly principal and interest,2800.00,OUT
HT-2026-0199,2026-10-05,Credit Union Checking,Gusto Contractor Pay,Festival Passthrough Out,tournament director and arbiter fees,1200.00,OUT
HT-2026-0200,2026-10-05,Credit Union Checking,Alameda County Escrow,Property Tax,monthly escrow,850.00,OUT
HT-2026-0201,2026-10-08,Credit Union Checking,Cheese Board Pizza,Dining,slice pickup,53.85,OUT
HT-2026-0202,2026-10-08,Credit Union Checking,BigCommerce Payouts,Book Sale Income,book sale BS-2026-12 storefront settlement,69.05,IN
HT-2026-0203,2026-10-09,Credit Union Checking,Maison Terre Bakery,Gifts,Nathan 60th birthday cake and card set,425.00,OUT
HT-2026-0204,2026-10-10,Credit Union Checking,Berkeley Bowl,Groceries,weekly grocery run,461.80,OUT
HT-2026-0205,2026-10-11,Credit Union Checking,Maison Terre,Dining,Nathan 60th birthday dinner reservation,225.00,OUT
HT-2026-0206,2026-10-11,Credit Union Checking,Old Elm Chess Books London,Chess Acquisition,Marshall reprint set,250.00,OUT
HT-2026-0207,2026-10-13,Credit Union Checking,Sonic Communications,Phone Internet,monthly Sonic fiber and mobile bundle,140.00,OUT
HT-2026-0208,2026-10-14,Credit Union Checking,Chevron,Gas,fill Honda Accord,183.00,OUT
HT-2026-0209,2026-10-15,Credit Union Checking,PG and E,Utilities,gas and electric monthly,295.00,OUT
HT-2026-0210,2026-10-16,Credit Union Checking,SF Symphony Direct,Entertainment,Debussy program pair with Nathan,265.00,OUT
HT-2026-0211,2026-10-17,Credit Union Checking,Amazon Seller Payouts,Book Sale Income,book sale BS-2026-24 marketplace settlement,70.75,IN
HT-2026-0212,2026-10-17,Credit Union Checking,CVS Pharmacy,Health,monthly refill,382.00,OUT
HT-2026-0213,2026-10-20,Credit Union Checking,Berkeley Chess Foundation,Donations,quarterly donation Q4,200.00,OUT
HT-2026-0214,2026-10-24,Credit Union Checking,Kavkasky Chess Antiquarian Tbilisi,Chess Acquisition,Georgian studies pamphlet,170.00,OUT
HT-2026-0215,2026-10-24,Credit Union Checking,Monterey Market,Groceries,weekly grocery run,443.50,OUT
HT-2026-0216,2026-10-24,Credit Union Checking,Great China,Dining,takeout order,84.60,OUT
HT-2026-0217,2026-10-25,Credit Union Checking,American Lit Association,Nathan Professional,Nathan ALA annual dues,145.00,OUT
HT-2026-0218,2026-10-25,Credit Union Checking,Bayside Event AV,Festival Passthrough Out,venue AV and event supplies,800.00,OUT
HT-2026-0219,2026-10-30,Credit Union Checking,Manhattan Chess Rare Books,Chess Acquisition,Reti Modern Ideas 1923 reprint,150.00,OUT
HT-2026-0220,2026-10-30,Credit Union Checking,Stripe Payouts,Coaching Income,monthly aggregate net October,6190.00,IN
HT-2026-0221,2026-10-31,Money Market,Money Market Interest,Transfer,monthly interest posted,285.00,IN
HT-2026-0222,2026-10-31,Credit Union Checking,Amazon Seller Payouts,Book Sale Income,book sale BS-2026-25 marketplace settlement,47.25,IN
