lesson_id,lesson_date,student_first_name,session_type,hours,rate_usd,subtotal_usd,payment_channel,status,notes
LES-0028,2026-01-31,Elena,Elena Endgame,2.0,120.00,240.00,Stripe,Paid,weekly endgame block
LES-0029,2026-02-02,Ryan,Private,2.0,120.00,240.00,Stripe,Paid,standard afternoon block
LES-0030,2026-02-02,Aiden,Private,2.0,120.00,240.00,Stripe,Paid,standard afternoon block
LES-0031,2026-02-04,Sofia,Private,2.0,120.00,240.00,Stripe,Paid,standard afternoon block
LES-0032,2026-02-05,Bayside,Bayside,2.0,80.00,160.00,Cash,Paid,club meeting Morrison Hall
LES-0033,2026-02-06,Owen,Private,2.0,120.00,240.00,Stripe,Paid,standard afternoon block
LES-0034,2026-02-06,Kavya,Private,2.0,120.00,240.00,Square,Paid,standard afternoon block
LES-0035,2026-02-07,Elena,Elena Endgame,2.0,120.00,240.00,Stripe,Paid,weekly endgame block
LES-0036,2026-02-09,Ryan,Private,2.0,120.00,240.00,Stripe,Paid,standard block
LES-0037,2026-02-09,Miriam,Private,1.0,120.00,120.00,PayPal,Paid,shorter slot
LES-0038,2026-02-11,Sofia,Private,2.0,120.00,240.00,Stripe,Cancelled No Charge,ill sudden
LES-0039,2026-02-11,Sofia,Private,2.0,120.00,240.00,Stripe,Paid,standard block
LES-0040,2026-02-11,Jason,Private,1.0,120.00,120.00,PayPal,Paid,shorter slot
LES-0041,2026-02-12,Bayside,Bayside,2.0,80.00,160.00,Cash,Paid,club meeting
LES-0042,2026-02-13,Kavya,Private,2.0,120.00,240.00,Square,Paid,standard block
LES-0043,2026-02-14,Elena,Elena Endgame,2.0,120.00,240.00,Stripe,Paid,weekly endgame block
LES-0044,2026-02-18,Sofia,Private,2.0,120.00,240.00,Stripe,Paid,presidents day week
LES-0045,2026-02-20,Kavya,Private,1.0,120.00,120.00,Square,Paid,presidents day week
LES-0046,2026-02-21,Elena,Elena Endgame,2.0,120.00,240.00,Stripe,Paid,tournament prep continues
LES-0047,2026-02-23,Ryan,Private,2.0,120.00,240.00,Stripe,Paid,reduced week
LES-0048,2026-02-23,Owen,Private,2.0,120.00,240.00,Stripe,Paid,reduced week
LES-0049,2026-02-25,Sofia,Private,2.0,120.00,240.00,Stripe,Paid,reduced week
LES-0050,2026-02-26,Bayside,Bayside,2.0,80.00,160.00,Cash,Paid,club meeting
LES-0051,2026-02-27,Kavya,Private,2.0,120.00,240.00,Square,Paid,reduced week
LES-0052,2026-02-28,Elena,Elena Endgame,2.0,120.00,240.00,Stripe,Paid,weekly endgame block
LES-0053,2026-03-02,Ryan,Private,2.0,120.00,240.00,Stripe,Paid,standard afternoon block
LES-0054,2026-03-02,Aiden,Private,2.0,120.00,240.00,Stripe,Paid,standard afternoon block
LES-0055,2026-03-04,Sofia,Private,2.0,120.00,240.00,Stripe,Paid,standard afternoon block
LES-0056,2026-03-05,Bayside,Bayside,2.0,80.00,160.00,Cash,Paid,club meeting Morrison Hall
LES-0057,2026-03-06,Kavya,Private,2.0,120.00,240.00,Square,Paid,standard afternoon block
LES-0058,2026-03-06,Owen,Private,2.0,120.00,240.00,Stripe,Paid,standard afternoon block
LES-0059,2026-03-07,Elena,Elena Endgame,2.0,120.00,240.00,Stripe,Paid,weekly endgame block
LES-0060,2026-03-09,Ryan,Private,2.0,120.00,240.00,Stripe,Paid,reduced week
LES-0061,2026-03-09,Aiden,Private,2.0,120.00,240.00,Stripe,Paid,reduced week
LES-0062,2026-03-11,Sofia,Private,2.0,120.00,240.00,Stripe,Paid,reduced week
LES-0063,2026-03-12,Bayside,Bayside,2.0,80.00,160.00,Cash,Paid,club meeting
LES-0064,2026-03-13,Kavya,Private,2.0,120.00,240.00,Square,Paid,reduced week
LES-0065,2026-03-13,Kavya,Private,2.0,120.00,240.00,Square,Reschedule,shifted to make up window
LES-0066,2026-03-14,Elena,Elena Endgame,2.0,120.00,240.00,Stripe,Paid,weekly endgame block
LES-0067,2026-03-18,Sofia,Private,2.0,120.00,240.00,Stripe,Paid,school spring break
LES-0068,2026-03-20,Kavya,Private,1.0,120.00,120.00,Square,Paid,school spring break
LES-0069,2026-03-21,Elena,Elena Endgame,2.0,120.00,240.00,Stripe,Paid,tournament prep continues
LES-0070,2026-03-23,Ryan,Private,2.0,120.00,240.00,Stripe,Paid,standard block
LES-0071,2026-03-23,Miriam,Private,1.0,120.00,120.00,PayPal,Paid,shorter slot
LES-0072,2026-03-25,Jason,Private,1.0,120.00,120.00,PayPal,Paid,shorter slot
LES-0073,2026-03-25,Sofia,Private,2.0,120.00,240.00,Stripe,Paid,standard block
LES-0074,2026-03-26,Bayside,Bayside,2.0,80.00,160.00,Cash,Paid,club meeting
LES-0075,2026-03-27,Kavya,Private,2.0,120.00,240.00,Square,Paid,standard block
LES-0076,2026-03-28,Elena,Elena Endgame,2.0,120.00,240.00,Stripe,Paid,weekly endgame block
LES-0077,2026-03-30,Ryan,Private,2.0,120.00,240.00,Stripe,Paid,reduced week
LES-0078,2026-03-30,Owen,Private,2.0,120.00,240.00,Stripe,Paid,reduced week
LES-0079,2026-04-01,Sofia,Private,2.0,120.00,240.00,Stripe,Paid,reduced week
LES-0080,2026-04-02,Bayside,Bayside,2.0,80.00,160.00,Cash,Paid,club meeting
LES-0081,2026-04-03,Kavya,Private,2.0,120.00,240.00,Square,Paid,reduced week
LES-0082,2026-04-04,Elena,Elena Endgame,2.0,120.00,240.00,Stripe,Paid,weekly endgame block
LES-0083,2026-04-06,Ryan,Private,2.0,120.00,240.00,Stripe,Paid,reduced week
LES-0084,2026-04-06,Aiden,Private,2.0,120.00,240.00,Stripe,Paid,reduced week
LES-0085,2026-04-08,Jason,Private,1.0,120.00,120.00,PayPal,Cancelled No Charge,family travel
LES-0086,2026-04-08,Sofia,Private,2.0,120.00,240.00,Stripe,Paid,reduced week
LES-0087,2026-04-09,Bayside,Bayside,2.0,80.00,160.00,Cash,Paid,club meeting
LES-0088,2026-04-10,Kavya,Private,2.0,120.00,240.00,Square,Paid,reduced week
LES-0089,2026-04-11,Elena,Elena Endgame,2.0,120.00,240.00,Stripe,Paid,weekly endgame block
LES-0090,2026-04-13,Ryan,Private,2.0,120.00,240.00,Stripe,Paid,reduced week
LES-0091,2026-04-13,Owen,Private,2.0,120.00,240.00,Stripe,Paid,reduced week
LES-0092,2026-04-15,Sofia,Private,2.0,120.00,240.00,Stripe,Paid,reduced week
LES-0093,2026-04-16,Bayside,Bayside,2.0,80.00,160.00,Cash,Paid,club meeting
LES-0094,2026-04-17,Kavya,Private,2.0,120.00,240.00,Square,Paid,reduced week
LES-0095,2026-04-18,Elena,Elena Endgame,2.0,120.00,240.00,Stripe,Paid,weekly endgame block
LES-0096,2026-04-20,Aiden,Private,2.0,120.00,240.00,Stripe,Paid,reduced week
LES-0097,2026-04-20,Ryan,Private,2.0,120.00,240.00,Stripe,Paid,reduced week
LES-0098,2026-04-22,Sofia,Private,2.0,120.00,240.00,Stripe,Paid,reduced week
LES-0099,2026-04-23,Bayside,Bayside,2.0,80.00,160.00,Cash,Paid,club meeting
LES-0100,2026-04-24,Kavya,Private,2.0,120.00,240.00,Square,Paid,reduced week
LES-0101,2026-04-25,Elena,Elena Endgame,2.0,120.00,240.00,Stripe,Paid,weekly endgame block
LES-0102,2026-04-27,Ryan,Private,2.0,120.00,240.00,Stripe,Paid,reduced week
LES-0103,2026-04-27,Owen,Private,2.0,120.00,240.00,Stripe,Paid,reduced week
LES-0104,2026-04-29,Sofia,Private,2.0,120.00,240.00,Stripe,Paid,reduced week
LES-0105,2026-04-30,Bayside,Bayside,2.0,80.00,160.00,Cash,Paid,club meeting
LES-0106,2026-05-01,Kavya,Private,2.0,120.00,240.00,Square,Paid,reduced week
LES-0107,2026-05-02,Elena,Elena Endgame,2.0,120.00,240.00,Stripe,Paid,weekly endgame block
LES-0108,2026-05-04,Ryan,Private,2.0,120.00,240.00,Stripe,Paid,standard afternoon block
LES-0109,2026-05-04,Aiden,Private,2.0,120.00,240.00,Stripe,Paid,standard afternoon block
LES-0110,2026-05-06,Sofia,Private,2.0,120.00,240.00,Stripe,Paid,standard afternoon block
LES-0111,2026-05-07,Bayside,Bayside,2.0,80.00,160.00,Cash,Paid,club meeting Morrison Hall
LES-0112,2026-05-08,Kavya,Private,2.0,120.00,240.00,Square,Paid,standard afternoon block
LES-0113,2026-05-08,Owen,Private,2.0,120.00,240.00,Stripe,Paid,standard afternoon block
LES-0114,2026-05-09,Elena,Elena Endgame,2.0,120.00,240.00,Stripe,Paid,weekly endgame block
LES-0115,2026-05-11,Ryan,Private,2.0,120.00,240.00,Stripe,Paid,standard block
LES-0116,2026-05-11,Miriam,Private,1.0,120.00,120.00,PayPal,Paid,shorter slot
LES-0117,2026-05-13,Aiden,Private,2.0,120.00,240.00,Stripe,Cancelled No Charge,ill
LES-0118,2026-05-13,Jason,Private,1.0,120.00,120.00,PayPal,Paid,shorter slot
LES-0119,2026-05-13,Sofia,Private,2.0,120.00,240.00,Stripe,Paid,standard block
LES-0120,2026-05-14,Bayside,Bayside,2.0,80.00,160.00,Cash,Paid,club meeting
LES-0121,2026-05-15,Kavya,Private,2.0,120.00,240.00,Square,Paid,standard block
LES-0122,2026-05-16,Elena,Elena Endgame,2.0,120.00,240.00,Stripe,Paid,weekly endgame block
LES-0123,2026-05-18,Ryan,Private,2.0,120.00,240.00,Stripe,Paid,reduced week
LES-0124,2026-05-18,Aiden,Private,2.0,120.00,240.00,Stripe,Paid,reduced week
LES-0125,2026-05-20,Sofia,Private,2.0,120.00,240.00,Stripe,Paid,reduced week
LES-0126,2026-05-21,Bayside,Bayside,2.0,80.00,160.00,Cash,Paid,club meeting
LES-0127,2026-05-22,Kavya,Private,2.0,120.00,240.00,Square,Paid,reduced week
LES-0128,2026-05-23,Elena,Elena Endgame,2.0,120.00,240.00,Stripe,Paid,weekly endgame block
LES-0129,2026-05-27,Sofia,Private,2.0,120.00,240.00,Stripe,Paid,memorial day week
LES-0130,2026-05-29,Kavya,Private,1.0,120.00,120.00,Square,Paid,memorial day week
LES-0131,2026-05-30,Elena,Elena Endgame,2.0,120.00,240.00,Stripe,Paid,tournament prep continues
LES-0132,2026-06-01,Ryan,Private,2.0,120.00,240.00,Stripe,Paid,summer light schedule
LES-0133,2026-06-01,Aiden,Private,1.0,120.00,120.00,Stripe,Paid,summer short slot
LES-0134,2026-06-03,Sofia,Private,2.0,120.00,240.00,Stripe,Paid,summer light schedule
LES-0135,2026-06-05,Kavya,Private,2.0,120.00,240.00,Square,Paid,summer light schedule
LES-0136,2026-06-06,Elena,Elena Endgame,2.0,120.00,240.00,Stripe,Paid,weekly endgame block
LES-0137,2026-06-08,Ryan,Private,2.0,120.00,240.00,Stripe,Paid,summer light schedule
LES-0138,2026-06-08,Miriam,Private,1.0,120.00,120.00,PayPal,Paid,summer short slot
LES-0139,2026-06-10,Ryan,Private,2.0,120.00,240.00,Stripe,Cancelled No Charge,summer travel
LES-0140,2026-06-10,Sofia,Private,2.0,120.00,240.00,Stripe,Paid,summer light schedule
LES-0141,2026-06-12,Kavya,Private,2.0,120.00,240.00,Square,Paid,summer light schedule
LES-0142,2026-06-13,Elena,Elena Endgame,2.0,120.00,240.00,Stripe,Paid,weekly endgame block
LES-0143,2026-06-15,Aiden,Private,1.0,120.00,120.00,Stripe,Paid,summer short slot
LES-0144,2026-06-15,Ryan,Private,2.0,120.00,240.00,Stripe,Paid,summer light schedule
LES-0145,2026-06-17,Sofia,Private,2.0,120.00,240.00,Stripe,Paid,summer light schedule
LES-0146,2026-06-19,Kavya,Private,2.0,120.00,240.00,Square,Paid,summer light schedule
LES-0147,2026-06-20,Elena,Elena Endgame,2.0,120.00,240.00,Stripe,Paid,weekly endgame block
LES-0148,2026-06-22,Ryan,Private,2.0,120.00,240.00,Stripe,Paid,summer light schedule
LES-0149,2026-06-22,Jason,Private,1.0,120.00,120.00,PayPal,Paid,summer short slot
LES-0150,2026-06-24,Sofia,Private,2.0,120.00,240.00,Stripe,Paid,summer light schedule
LES-0151,2026-06-26,Kavya,Private,2.0,120.00,240.00,Square,Paid,summer light schedule
LES-0152,2026-06-27,Elena,Elena Endgame,2.0,120.00,240.00,Stripe,Paid,weekly endgame block
LES-0153,2026-06-29,Aiden,Private,1.0,120.00,120.00,Stripe,Paid,summer short slot
LES-0154,2026-06-29,Ryan,Private,2.0,120.00,240.00,Stripe,Paid,summer light schedule
LES-0155,2026-07-01,Sofia,Private,2.0,120.00,240.00,Stripe,Paid,summer light schedule
LES-0156,2026-07-03,Kavya,Private,2.0,120.00,240.00,Square,Paid,summer light schedule
LES-0157,2026-07-04,Elena,Elena Endgame,2.0,120.00,240.00,Stripe,Paid,weekly endgame block
LES-0158,2026-07-06,Ryan,Private,2.0,120.00,240.00,Stripe,Paid,summer light schedule
LES-0159,2026-07-06,Miriam,Private,1.0,120.00,120.00,PayPal,Paid,summer short slot
LES-0160,2026-07-08,Sofia,Private,2.0,120.00,240.00,Stripe,Paid,summer light schedule
LES-0161,2026-07-10,Kavya,Private,2.0,120.00,240.00,Square,Paid,summer light schedule
LES-0162,2026-07-11,Elena,Elena Endgame,2.0,120.00,240.00,Stripe,Paid,weekly endgame block
LES-0163,2026-07-13,Ryan,Private,2.0,120.00,240.00,Stripe,Paid,summer light schedule
LES-0164,2026-07-13,Aiden,Private,1.0,120.00,120.00,Stripe,Paid,summer short slot
LES-0165,2026-07-15,Sofia,Private,2.0,120.00,240.00,Stripe,Paid,summer light schedule
LES-0166,2026-07-17,Kavya,Private,2.0,120.00,240.00,Square,Paid,summer light schedule
LES-0167,2026-07-18,Elena,Elena Endgame,2.0,120.00,240.00,Stripe,Paid,weekly endgame block
LES-0168,2026-07-20,Jason,Private,1.0,120.00,120.00,PayPal,Paid,summer short slot
LES-0169,2026-07-20,Ryan,Private,2.0,120.00,240.00,Stripe,Paid,summer light schedule
LES-0170,2026-07-22,Sofia,Private,2.0,120.00,240.00,Stripe,Paid,summer light schedule
LES-0171,2026-07-24,Kavya,Private,2.0,120.00,240.00,Square,Paid,summer light schedule
LES-0172,2026-07-25,Elena,Elena Endgame,2.0,120.00,240.00,Stripe,Paid,weekly endgame block
LES-0173,2026-07-27,Aiden,Private,1.0,120.00,120.00,Stripe,Paid,summer short slot
LES-0174,2026-07-27,Ryan,Private,2.0,120.00,240.00,Stripe,Paid,summer light schedule
LES-0175,2026-07-29,Sofia,Private,2.0,120.00,240.00,Stripe,Paid,summer light schedule
LES-0176,2026-07-31,Kavya,Private,2.0,120.00,240.00,Square,Paid,summer light schedule
LES-0177,2026-08-01,Elena,Elena Endgame,2.0,120.00,240.00,Stripe,Paid,weekly endgame block
LES-0178,2026-08-03,Ryan,Private,2.0,120.00,240.00,Stripe,Paid,summer light schedule
LES-0179,2026-08-03,Miriam,Private,1.0,120.00,120.00,PayPal,Paid,summer short slot
LES-0180,2026-08-05,Sofia,Private,2.0,120.00,240.00,Stripe,Paid,summer light schedule
LES-0181,2026-08-07,Kavya,Private,2.0,120.00,240.00,Square,Paid,summer light schedule
LES-0182,2026-08-08,Elena,Elena Endgame,2.0,120.00,240.00,Stripe,Paid,weekly endgame block
LES-0183,2026-08-10,Aiden,Private,1.0,120.00,120.00,Stripe,Paid,summer short slot
LES-0184,2026-08-10,Ryan,Private,2.0,120.00,240.00,Stripe,Paid,summer light schedule
LES-0185,2026-08-12,Sofia,Private,2.0,120.00,240.00,Stripe,Paid,summer light schedule
LES-0186,2026-08-14,Kavya,Private,2.0,120.00,240.00,Square,Paid,summer light schedule
LES-0187,2026-08-15,Elena,Elena Endgame,2.0,120.00,240.00,Stripe,Paid,weekly endgame block
LES-0188,2026-08-17,Owen,Private,2.0,120.00,240.00,Stripe,Paid,reduced week
LES-0189,2026-08-17,Ryan,Private,2.0,120.00,240.00,Stripe,Paid,reduced week
LES-0190,2026-08-19,Sofia,Private,2.0,120.00,240.00,Stripe,Paid,reduced week
LES-0191,2026-08-19,Elena,Elena Endgame,2.0,120.00,240.00,Stripe,Reschedule,tournament conflict shifted
LES-0192,2026-08-20,Bayside,Bayside,2.0,80.00,160.00,Cash,Paid,club meeting
LES-0193,2026-08-21,Kavya,Private,2.0,120.00,240.00,Square,Paid,reduced week
LES-0194,2026-08-22,Elena,Elena Endgame,2.0,120.00,240.00,Stripe,Paid,weekly endgame block
LES-0195,2026-08-24,Aiden,Private,2.0,120.00,240.00,Stripe,Paid,reduced week
LES-0196,2026-08-24,Ryan,Private,2.0,120.00,240.00,Stripe,Paid,reduced week
LES-0197,2026-08-26,Sofia,Private,2.0,120.00,240.00,Stripe,Paid,reduced week
LES-0198,2026-08-27,Bayside,Bayside,2.0,80.00,160.00,Cash,Paid,club meeting
LES-0199,2026-08-28,Kavya,Private,2.0,120.00,240.00,Square,Paid,reduced week
LES-0200,2026-08-29,Elena,Elena Endgame,2.0,120.00,240.00,Stripe,Paid,weekly endgame block
LES-0201,2026-08-31,Ryan,Private,2.0,120.00,240.00,Stripe,Paid,standard block
LES-0202,2026-08-31,Miriam,Private,1.0,120.00,120.00,PayPal,Paid,shorter slot
LES-0203,2026-09-02,Sofia,Private,2.0,120.00,240.00,Stripe,Paid,standard block
LES-0204,2026-09-02,Jason,Private,1.0,120.00,120.00,PayPal,Paid,shorter slot
LES-0205,2026-09-03,Bayside,Bayside,2.0,80.00,160.00,Cash,Paid,club meeting
LES-0206,2026-09-04,Kavya,Private,2.0,120.00,240.00,Square,Paid,standard block
LES-0207,2026-09-05,Elena,Elena Endgame,2.0,120.00,240.00,Stripe,Paid,weekly endgame block
LES-0208,2026-09-09,Sofia,Private,2.0,120.00,240.00,Stripe,Paid,labor day week
LES-0209,2026-09-11,Kavya,Private,1.0,120.00,120.00,Square,Paid,labor day week
LES-0210,2026-09-12,Elena,Elena Endgame,2.0,120.00,240.00,Stripe,Paid,tournament prep continues
LES-0211,2026-09-14,Aiden,Private,2.0,120.00,240.00,Stripe,Paid,standard afternoon block
LES-0212,2026-09-14,Ryan,Private,2.0,120.00,240.00,Stripe,Paid,standard afternoon block
LES-0213,2026-09-16,Sofia,Private,2.0,120.00,240.00,Stripe,Paid,standard afternoon block
LES-0214,2026-09-16,Owen,Private,2.0,120.00,240.00,Stripe,Cancelled No Charge,college visit trip
LES-0215,2026-09-17,Bayside,Bayside,2.0,80.00,160.00,Cash,Paid,club meeting Morrison Hall
LES-0216,2026-09-18,Owen,Private,2.0,120.00,240.00,Stripe,Paid,standard afternoon block
LES-0217,2026-09-18,Kavya,Private,2.0,120.00,240.00,Square,Paid,standard afternoon block
LES-0218,2026-09-19,Elena,Elena Endgame,2.0,120.00,240.00,Stripe,Paid,weekly endgame block
LES-0219,2026-09-21,Ryan,Private,2.0,120.00,240.00,Stripe,Paid,standard block
LES-0220,2026-09-21,Miriam,Private,1.0,120.00,120.00,PayPal,Paid,shorter slot
LES-0221,2026-09-23,Jason,Private,1.0,120.00,120.00,PayPal,Paid,shorter slot
LES-0222,2026-09-23,Sofia,Private,2.0,120.00,240.00,Stripe,Paid,standard block
LES-0223,2026-09-24,Bayside,Bayside,2.0,80.00,160.00,Cash,Paid,club meeting
LES-0224,2026-09-25,Kavya,Private,2.0,120.00,240.00,Square,Paid,standard block
LES-0225,2026-09-26,Elena,Elena Endgame,2.0,120.00,240.00,Stripe,Paid,weekly endgame block
LES-0226,2026-09-28,Aiden,Private,2.0,120.00,240.00,Stripe,Paid,reduced week
LES-0227,2026-09-28,Ryan,Private,2.0,120.00,240.00,Stripe,Paid,reduced week
LES-0228,2026-09-30,Sofia,Private,2.0,120.00,240.00,Stripe,Paid,reduced week
LES-0229,2026-10-01,Bayside,Bayside,2.0,80.00,160.00,Cash,Paid,club meeting
LES-0230,2026-10-02,Kavya,Private,2.0,120.00,240.00,Square,Paid,reduced week
LES-0231,2026-10-03,Elena,Elena Endgame,2.0,120.00,240.00,Stripe,Paid,weekly endgame block
LES-0232,2026-10-05,Ryan,Private,2.0,120.00,240.00,Stripe,Paid,standard afternoon block
LES-0233,2026-10-05,Aiden,Private,2.0,120.00,240.00,Stripe,Paid,standard afternoon block
LES-0234,2026-10-07,Sofia,Private,2.0,120.00,240.00,Stripe,Paid,standard afternoon block
LES-0235,2026-10-08,Bayside,Bayside,2.0,80.00,160.00,Cash,Paid,club meeting Morrison Hall
LES-0236,2026-10-09,Owen,Private,2.0,120.00,240.00,Stripe,Paid,standard afternoon block
LES-0237,2026-10-09,Kavya,Private,2.0,120.00,240.00,Square,Paid,standard afternoon block
LES-0238,2026-10-10,Elena,Elena Endgame,2.0,120.00,240.00,Stripe,Paid,weekly endgame block
LES-0239,2026-10-12,Ryan,Private,2.0,120.00,240.00,Stripe,Paid,standard block
LES-0240,2026-10-12,Miriam,Private,1.0,120.00,120.00,PayPal,Paid,shorter slot
LES-0241,2026-10-14,Jason,Private,1.0,120.00,120.00,PayPal,Paid,shorter slot
LES-0242,2026-10-14,Sofia,Private,2.0,120.00,240.00,Stripe,Paid,standard block
LES-0243,2026-10-14,Miriam,Private,1.0,120.00,120.00,PayPal,Cancelled No Charge,ill
LES-0244,2026-10-15,Bayside,Bayside,2.0,80.00,160.00,Cash,Paid,club meeting
LES-0245,2026-10-16,Kavya,Private,2.0,120.00,240.00,Square,Paid,standard block
LES-0246,2026-10-17,Elena,Elena Endgame,2.0,120.00,240.00,Stripe,Paid,weekly endgame block
LES-0247,2026-10-19,Ryan,Private,2.0,120.00,240.00,Stripe,Paid,reduced week
LES-0248,2026-10-19,Owen,Private,2.0,120.00,240.00,Stripe,Paid,reduced week
LES-0249,2026-10-21,Sofia,Private,2.0,120.00,240.00,Stripe,Cancelled No Charge,family reason
LES-0250,2026-10-21,Sofia,Private,2.0,120.00,240.00,Stripe,Paid,reduced week
LES-0251,2026-10-22,Bayside,Bayside,2.0,80.00,160.00,Cash,Paid,club meeting
LES-0252,2026-10-23,Kavya,Private,2.0,120.00,240.00,Square,Paid,reduced week
LES-0253,2026-10-24,Elena,Elena Endgame,2.0,120.00,240.00,Stripe,Paid,weekly endgame block
LES-0254,2026-10-26,Ryan,Private,2.0,120.00,240.00,Stripe,Paid,reduced week
LES-0255,2026-10-26,Aiden,Private,2.0,120.00,240.00,Stripe,Paid,reduced week
LES-0256,2026-10-28,Sofia,Private,2.0,120.00,240.00,Stripe,Paid,reduced week
LES-0257,2026-10-29,Bayside,Bayside,2.0,80.00,160.00,Cash,Paid,club meeting
LES-0258,2026-10-30,Kavya,Private,2.0,120.00,240.00,Square,Paid,reduced week
LES-0259,2026-10-31,Elena,Elena Endgame,2.0,120.00,240.00,Stripe,Paid,weekly endgame block
