subscriber_id,email,name,member_id,tag_list,last_open_date,status
sub_5046,wblackshear28@bellsouth.net,William Blackshear,M-060,members;behind_dues,2026-08-28,subscribed
sub_5047,csikes83@aol.com,Corinne Sikes,M-061,members,2026-09-25,subscribed
sub_5048,raldridge79@bellsouth.net,Roena Aldridge,M-062,members,2026-10-22,subscribed
sub_5049,sreeves19@yahoo.com,Sandra Reeves,M-063,members;behind_dues,2026-08-09,subscribed
sub_5050,wwhitaker66@yahoo.com,Wilhelm Whitaker,M-064,members,2026-09-29,subscribed
sub_5051,whiggs38@yahoo.com,Winnie Higgs,M-065,members,2026-08-19,subscribed
sub_5052,phiggs38@yahoo.com,Peggy Higgs,M-066,members,2026-08-20,subscribed
sub_5053,sjackson70@hotmail.com,Sandra Jackson,M-067,members,2026-08-03,subscribed
sub_5054,jpurvis55@aol.com,Judson Purvis,M-068,members,2026-10-26,subscribed
sub_5055,jchesser53@hotmail.com,Judy Chesser,M-069,members,2026-10-01,subscribed
sub_5056,fstapleton31@att.net,Frances Stapleton,M-070,members,,subscribed
sub_5057,mboatright66@comcast.net,Merle Boatright,M-072,members,2026-09-23,subscribed
sub_5058,jpafford58@bellsouth.net,Jerry Pafford,M-073,members,2026-09-30,subscribed
sub_5059,wvann38@comcast.net,Wanda Vann,M-075,members,2026-08-24,subscribed
sub_5060,svanlandingham66@aol.com,Sudie Vanlandingham,M-076,members,2026-08-04,subscribed
sub_5061,rhutcheson53@bellsouth.net,Rufus Hutcheson,M-077,members,2026-08-25,subscribed
sub_5062,rdupree1@comcast.net,Roscoe Dupree,M-078,members,2026-08-25,subscribed
sub_5063,dsikes8@bellsouth.net,Dolores Sikes,M-079,members,2026-08-09,subscribed
sub_5064,bmccall22@hotmail.com,Barbara McCall,M-080,members,2026-10-24,subscribed
sub_5065,lstapleton85@hotmail.com,Louise Stapleton,M-081,members,2026-10-17,subscribed
sub_5066,ndupree9@gmail.com,Norvell Dupree,M-082,members,2026-09-09,subscribed
sub_5067,hculpepper78@gmail.com,Homer Culpepper,M-083,members,2026-09-10,subscribed
sub_5068,jridgeway70@aol.com,Jerry Ridgeway,M-084,members,2026-09-12,subscribed
sub_5069,rwaldrop86@att.net,Rita Waldrop,M-085,members,2026-08-12,subscribed
sub_5070,mrewis41@comcast.net,Merle Rewis,M-086,members,2026-10-10,subscribed
sub_5071,eculpepper65@gmail.com,Emmet Culpepper,M-087,members;new_2026,2026-10-03,subscribed
sub_5072,ehodges35@aol.com,Ella Hodges,M-088,members,2026-09-17,subscribed
sub_5073,nmccall69@bellsouth.net,Nancy McCall,M-089,members,2026-10-13,subscribed
sub_5074,sblackburn13@yahoo.com,Suellen Blackburn,M-090,members,2026-08-20,subscribed
sub_5075,rtanner23@comcast.net,Ruth Tanner,M-091,members,2026-08-27,subscribed
sub_5076,hmeadows86@hotmail.com,Homer Meadows,M-092,members,2026-09-14,subscribed
sub_5077,gyoumans46@bellsouth.net,Grady Youmans,M-093,members,2026-09-16,subscribed
sub_5078,doverstreet13@gmail.com,Dolores Overstreet,M-094,members,2026-09-05,subscribed
sub_5079,hboone61@yahoo.com,Hattie Boone,M-095,members,2026-10-02,subscribed
sub_5080,eblackshear15@hotmail.com,Effie Blackshear,M-096,members,,subscribed
sub_5081,rfitzgerald3@comcast.net,Richard Fitzgerald,M-098,members,2026-09-29,subscribed
sub_5082,vbeasley41@comcast.net,Vernon Beasley,M-099,members,2026-08-25,subscribed
sub_5083,eharrell56@comcast.net,Estelle Harrell,M-102,members;behind_dues,2026-08-08,subscribed
sub_5084,pthornton62@hotmail.com,Patricia Thornton,M-103,members,2026-09-13,subscribed
sub_5085,tyoumans18@att.net,Tommy Youmans,M-104,members,2026-08-04,subscribed
sub_5086,ruby.b@gmail.com,Ruby Beauchamp,M-108,members;new_2026,2026-08-18,subscribed
sub_5087,bblackburn3@gmail.com,Bonnie Blackburn,M-109,members,2026-09-28,subscribed
sub_5088,fboone12@aol.com,Frances Boone,M-110,members,2026-08-31,subscribed
sub_5089,oussery65@att.net,Ozzie Ussery,M-111,members,2026-08-01,subscribed
sub_5090,dsasser@att.net,Delbert Sasser,M-114,members;new_2026,2026-09-19,subscribed
sub_5091,rbracewell17@comcast.net,Ruth Bracewell,M-115,members;behind_dues,,subscribed
sub_5092,tweatherford78@yahoo.com,Truman Weatherford,M-116,members;behind_dues,2026-10-17,subscribed
sub_5093,jscrews51@gmail.com,John Screws,M-117,members;new_2026,2026-10-06,subscribed
sub_5094,hfuqua13@bellsouth.net,Harley Fuqua,M-118,members;lifetime,,subscribed
sub_5095,hattie.y@yahoo.com,Hattie Youmans,M-119,members;new_2026,2026-08-13,subscribed
sub_5096,bsirmans62@yahoo.com,Beatrice Sirmans,,members;lapsed,2025-12-18,subscribed
sub_5097,cfitzgerald70@yahoo.com,Cornelius Fitzgerald,,members;lapsed,2026-05-22,subscribed
sub_5098,dussery22@yahoo.com,Dixie Ussery,,members;lapsed,2026-06-10,subscribed
sub_5099,erowland48@yahoo.com,Enoch Rowland,,members;lapsed,2025-10-25,subscribed
sub_5100,fpeebles53@yahoo.com,Ferdinand Peebles,,members;lapsed,2025-12-07,subscribed
sub_5101,gchesser13@yahoo.com,Gwendolyn Chesser,,members;lapsed,2025-11-18,subscribed
sub_5102,garden.column@vidaliaadvance.com,Vidalia Advance Garden Column,,press,2026-10-14,subscribed
sub_5103,editor@toombsledger.com,Toombs County Ledger Editor,,press,2026-10-09,subscribed
sub_6001,uridgeway78@hotmail.com,Ulysses Ridgeway,,event_attendee_fall2025,2026-08-16,subscribed
sub_6002,ihutchings69@att.net,Iva Hutchings,,church_friend,2026-07-30,subscribed
sub_6003,shattaway24@yahoo.com,Simeon Hattaway,,interested_neighbor,2026-10-24,subscribed
sub_6004,gwhittington40@att.net,Grover Whittington,,tour_ticket_holder_2025,2026-05-17,subscribed
sub_6005,dcoker6@gmail.com,Delmer Coker,,church_friend,2026-09-15,subscribed
sub_6006,uwhittington10@yahoo.com,Uleta Whittington,,event_attendee_fall2025,2026-05-27,subscribed
sub_6007,vtrawick70@att.net,Vester Trawick,,interested_neighbor,2026-10-16,subscribed
sub_6008,rtrawick39@att.net,Roena Trawick,,tour_ticket_holder_2025,2026-07-20,subscribed
sub_6009,icoker22@att.net,Iva Coker,,event_attendee_fall2025,2026-07-26,subscribed
sub_6010,itrawick52@hotmail.com,Iva Trawick,,church_friend,2026-07-23,subscribed
sub_6011,jridgeway31@yahoo.com,Jubal Ridgeway,,event_attendee_fall2025,2026-09-09,subscribed
sub_6012,rgrubbs47@bellsouth.net,Roena Grubbs,,event_attendee_fall2025,2026-08-25,subscribed
sub_6013,udeloach68@yahoo.com,Uleta Deloach,,event_attendee_fall2025,2026-08-17,subscribed
sub_6014,gsasser32@gmail.com,Grover Sasser,,church_friend,2026-07-30,subscribed
sub_6015,rmusselwhite27@att.net,Roena Musselwhite,,event_attendee_fall2025,2026-06-12,subscribed
sub_6016,lsasser67@yahoo.com,Louella Sasser,,event_attendee_fall2025,2026-10-28,subscribed
sub_6017,vmeadows4@bellsouth.net,Vester Meadows,,interested_neighbor,2026-09-01,subscribed
sub_6018,bcoker47@att.net,Buford Coker,,event_attendee_fall2025,2026-08-26,subscribed
sub_6019,xhattaway79@hotmail.com,Xerxes Hattaway,,event_attendee_fall2025,2026-08-17,subscribed
sub_6020,qblevins88@hotmail.com,Quintella Blevins,,event_attendee_fall2025,2026-09-24,subscribed
sub_6021,bcadle61@hotmail.com,Buford Cadle,,church_friend,2026-07-04,subscribed
sub_6022,ydeloach82@gmail.com,Yancey Deloach,,event_attendee_fall2025,2026-09-03,subscribed
sub_6023,icadle58@yahoo.com,Iva Cadle,,event_attendee_fall2025,2026-06-12,subscribed
sub_6024,tmusselwhite27@bellsouth.net,Tobias Musselwhite,,church_friend,2026-08-03,subscribed
sub_6025,nwhigham51@gmail.com,Newt Whigham,,event_attendee_fall2025,2026-10-02,subscribed
sub_6026,jcoker54@att.net,Jubal Coker,,event_attendee_fall2025,2026-08-20,subscribed
sub_6027,cblevins23@gmail.com,Cletus Blevins,,church_friend,2026-07-22,subscribed
sub_6028,mcadle5@yahoo.com,Mose Cadle,,event_attendee_fall2025,2026-08-11,subscribed
sub_6029,wcoker59@yahoo.com,Waylon Coker,,event_attendee_fall2025,2026-10-01,subscribed
sub_6030,ymusselwhite24@yahoo.com,Yolanda Musselwhite,,event_attendee_fall2025,2026-09-08,subscribed
