member_id,full_name,spouse_or_partner,street_address,city_state_zip,phone,email,dues_status_2026,date_joined,welcome_card_sent,notes
M-035,Alma Blevins,Ozzie Blevins,669 Meadowbrook Ln,Vidalia GA 30474,(912) 408-2301,ablevins28@gmail.com,paid,2001-04-03,yes,
M-036,William Trawick,Lulabelle Trawick,155 Buckhorn Rd,Vidalia GA 30474,(912) 315-5622,wtrawick31@aol.com,paid,2021-09-18,yes,
M-037,James Blevins,,1505 Magnolia St,Vidalia GA 30474,(912) 562-8590,jblevins57@bellsouth.net,behind,2014-06-03,yes,
M-038,Pearl Blackshear,Curtis Blackshear,756 Live Oak Dr,Vidalia GA 30474,(912) 518-1737,pblackshear68@aol.com,new_member_dues_pending,2015-09-12,yes,
M-039,Effie Whitaker,Tommy Whitaker,1230 Buckhorn Rd,Vidalia GA 30474,(912) 474-2626,ewhitaker77@yahoo.com,paid,2026-10-17,yes,
M-040,Sallie Screws,Tommy Screws,1732 Buckhorn Rd,Vidalia GA 30474,(912) 231-8401,sscrews79@aol.com,paid,2020-03-05,yes,
M-041,Roberta Cline,Wendell Cline,318 Cedar Ridge Rd,Vidalia GA 30474,(912) 537-8291,rcline14@bellsouth.net,paid,2011-09-12,yes,stale roster read — check Stripe
M-042,Buford Colquitt,Richard Colquitt,718 Live Oak Dr,Vidalia GA 30474,(912) 435-8975,bcolquitt57@yahoo.com,paid,2003-05-18,yes,
M-043,Deborah Mercer,,2177 Dogwood Ct,Lyons GA 30436,(912) 820-8810,dmercer67@hotmail.com,paid,2015-04-09,yes,
M-044,Grady Nesmith,Beaufort Nesmith,1779 Magnolia St,Vidalia GA 30474,(912) 798-7999,,behind,2003-02-07,yes,
M-045,Maude Boone,,2287 Pinetree Blvd,Lyons GA 30436,(912) 476-3173,,paid,2004-03-22,yes,
M-046,Pearl Nesmith,,1867 Pinetree Blvd,Vidalia GA 30474,(912) 226-7755,pnesmith46@hotmail.com,paid,2007-09-04,yes,
M-047,Merle Rowland,,1768 Church St,Vidalia GA 30474,(912) 282-6553,mrowland32@yahoo.com,paid,2015-04-16,yes,
M-048,Emmet Fuqua,Ella Fuqua,2210 Cedar Ridge Rd,Vidalia GA 30474,(912) 625-2909,efuqua27@aol.com,paid,2007-09-19,yes,
M-049,Sandra Padgett,Ray Padgett,1297 Pinetree Blvd,Vidalia GA 30474,(912) 718-2364,,paid,2004-09-05,yes,
M-050,Harley Pritchett,,439 Old Reidsville Rd,Vidalia GA 30474,(912) 441-1065,,paid,2000-09-25,yes,
M-051,Winnie Higgs,Willis Higgs,1643 Church St,Lyons GA 30436,(912) 229-2620,whiggs43@bellsouth.net,paid,2004-12-13,yes,
M-052,Zelda Godbee,Harley Godbee,2187 Hickory Grove Rd,Vidalia GA 30474,(912) 839-3080,,paid,2007-06-11,yes,
M-053,Truman Deloach,,2235 South Front St,Vidalia GA 30474,(912) 553-4835,tdeloach80@comcast.net,paid,2015-05-03,yes,
M-054,John Waldrop,,424 Aldred Ave,Vidalia GA 30474,(912) 895-6329,jwaldrop55@att.net,paid,2009-12-21,yes,
M-055,Pearl Waldrop,Paul Waldrop,982 Church St,Lyons GA 30436,(912) 249-3857,,paid,2022-01-09,yes,
M-056,Geraldine Pafford,,433 Rock Church Rd,Vidalia GA 30474,(912) 416-7493,gpafford88@bellsouth.net,paid,2015-01-24,yes,
M-057,William Pritchett,Thomas Pritchett,503 Camellia Ln,Vidalia GA 30474,(912) 691-8059,wpritchett73@bellsouth.net,paid,2010-12-26,yes,
M-058,Wayne Sirmans,,215 Live Oak Dr,Vidalia GA 30474,(912) 236-4768,wsirmans57@comcast.net,paid,2024-06-27,yes,
M-059,Harlan Hendrix,Ida Hendrix,2294 Cedar Ridge Rd,Uvalda GA 30473,(912) 488-4982,hhendrix20@att.net,paid,2026-09-17,no,
M-060,William Blackshear,Terrell Blackshear,1873 Water Oak Ct,Uvalda GA 30473,(912) 728-2078,wblackshear28@bellsouth.net,behind,2024-06-10,yes,
M-061,Corinne Sikes,Suellen Sikes,409 Jackson St,Vidalia GA 30474,(912) 795-4346,csikes83@aol.com,paid,2008-01-10,yes,
M-062,Roena Aldridge,,1591 Pinehurst Dr,Vidalia GA 30474,(912) 838-4458,raldridge79@bellsouth.net,paid,2005-07-20,yes,
M-063,Sandra Reeves,Gloria Reeves,209 Buckhorn Rd,Vidalia GA 30474,(912) 320-9269,sreeves19@yahoo.com,behind,2023-03-13,yes,
M-064,Wilhelm Whitaker,Maude Whitaker,1749 North Lyons Ave,Vidalia GA 30474,(912) 255-7752,wwhitaker66@yahoo.com,paid,2004-03-03,yes,
M-065,Winnie Higgs,,1781 Live Oak Dr,Vidalia GA 30474,(912) 217-5287,whiggs38@yahoo.com,paid,2015-03-08,yes,
M-066,Peggy Higgs,Mattie Higgs,2173 Georgia Ave,Vidalia GA 30474,(912) 699-9709,phiggs38@yahoo.com,paid,2005-02-01,yes,
M-067,Sandra Jackson,,606 Jackson St,Vidalia GA 30474,(912) 428-8269,sjackson70@hotmail.com,paid,2010-03-15,yes,
M-068,Judson Purvis,Wilhelm Purvis,2118 Sweetgum Ln,Vidalia GA 30474,(912) 628-1151,jpurvis55@aol.com,paid,2001-12-02,yes,
M-069,Judy Chesser,Geraldine Chesser,226 Rosewood Dr,Vidalia GA 30474,(912) 216-1844,jchesser53@hotmail.com,paid,2015-12-19,yes,
M-070,Frances Stapleton,,423 Cedar Ridge Rd,Vidalia GA 30474,(912) 728-6468,fstapleton31@att.net,paid,2005-03-18,yes,
M-071,Wilbur Hattaway,,1580 Wisteria Ave,Vidalia GA 30474,(912) 207-8722,,paid,2006-04-01,yes,
M-072,Merle Boatright,,2267 Magnolia St,Vidalia GA 30474,(912) 838-3293,mboatright66@comcast.net,paid,2025-03-21,yes,
M-073,Jerry Pafford,,2351 Onion Bloom Ln,Vidalia GA 30474,(912) 438-6623,jpafford58@bellsouth.net,paid,2007-11-10,yes,
M-074,Merle Bracewell,Estelle Bracewell,1440 Jackson St,Lyons GA 30436,(912) 363-4157,,paid,2004-09-09,yes,
M-075,Wanda Vann,,344 Old Lyons Rd,Vidalia GA 30474,(912) 408-2526,wvann38@comcast.net,paid,2013-07-18,yes,
M-076,Sudie Vanlandingham,,1432 Peachtree Cir,Vidalia GA 30474,(912) 655-2522,svanlandingham66@aol.com,paid,2000-04-17,yes,
M-077,Rufus Hutcheson,Gordon Hutcheson,2065 Sweetgum Ln,Vidalia GA 30474,(912) 263-2616,rhutcheson53@bellsouth.net,paid,2012-07-20,yes,
M-078,Roscoe Dupree,,914 Magnolia St,Lyons GA 30436,(912) 599-1317,rdupree1@comcast.net,paid,2014-09-04,yes,
M-079,Dolores Sikes,,2396 Camellia Ln,Vidalia GA 30474,(912) 517-2915,dsikes8@bellsouth.net,paid,2003-01-01,yes,
M-080,Barbara McCall,Judson McCall,2008 Aldred Ave,Vidalia GA 30474,(912) 392-6408,bmccall22@hotmail.com,paid,2005-07-14,yes,
M-081,Louise Stapleton,Tommy Stapleton,1146 Church St,Vidalia GA 30474,(912) 718-4076,lstapleton85@hotmail.com,paid,2024-02-26,yes,
M-082,Norvell Dupree,Pearl Dupree,822 Jackson St,Lyons GA 30436,(912) 387-7510,ndupree9@gmail.com,paid,2012-12-26,yes,
M-083,Homer Culpepper,Alton Culpepper,1558 Water Oak Ct,Vidalia GA 30474,(912) 233-1790,hculpepper78@gmail.com,paid,2012-10-17,yes,
M-084,Jerry Ridgeway,William Ridgeway,1880 Bear Branch Rd,Vidalia GA 30474,(912) 275-7584,jridgeway70@aol.com,paid,2023-03-20,yes,
M-085,Rita Waldrop,,789 Live Oak Dr,Vidalia GA 30474,(912) 454-7183,rwaldrop86@att.net,paid,2011-04-10,yes,
M-086,Merle Rewis,,2247 Onion Bloom Ln,Vidalia GA 30474,(912) 698-6408,mrewis41@comcast.net,paid,2006-07-14,yes,
M-087,Emmet Culpepper,,1294 Buckhorn Rd,Uvalda GA 30473,(912) 572-8145,eculpepper65@gmail.com,new_member_dues_pending,2005-09-09,yes,
M-088,Ella Hodges,Elbert Hodges,620 Peachtree Cir,Vidalia GA 30474,(912) 717-2182,ehodges35@aol.com,paid,2026-06-18,yes,
M-089,Nancy McCall,Wilbur McCall,1082 Cedar Ridge Rd,Vidalia GA 30474,(912) 297-2539,nmccall69@bellsouth.net,paid,2021-07-06,yes,
M-090,Suellen Blackburn,,691 Sunnyside Ave,Vidalia GA 30474,(912) 744-8235,sblackburn13@yahoo.com,paid,2019-08-02,yes,
M-091,Ruth Tanner,Purvis Tanner,1275 Bear Branch Rd,Vidalia GA 30474,(912) 279-2334,rtanner23@comcast.net,paid,2008-12-23,yes,
M-092,Homer Meadows,Pearl Meadows,1614 Old Lyons Rd,Vidalia GA 30474,(912) 872-6607,hmeadows86@hotmail.com,paid,2012-01-12,yes,
M-093,Grady Youmans,Wilbur Youmans,1690 Wisteria Ave,Vidalia GA 30474,(912) 300-4916,gyoumans46@bellsouth.net,paid,2008-04-09,yes,
M-094,Dolores Overstreet,Alma Overstreet,935 Sunnyside Ave,Vidalia GA 30474,(912) 584-4046,doverstreet13@gmail.com,paid,2005-10-23,yes,
M-095,Hattie Boone,,278 Rock Church Rd,Vidalia GA 30474,(912) 570-5625,hboone61@yahoo.com,paid,2004-03-10,yes,
M-096,Effie Blackshear,,2171 Pinehurst Dr,Vidalia GA 30474,(912) 679-1417,eblackshear15@hotmail.com,paid,2000-05-12,yes,
M-097,Effie Blackshear,,703 Water Oak Ct,Vidalia GA 30474,(912) 750-4991,,behind,2013-05-01,yes,
M-098,Richard Fitzgerald,Marvin Fitzgerald,1232 Dogwood Ct,Vidalia GA 30474,(912) 735-2894,rfitzgerald3@comcast.net,paid,2006-07-12,yes,
M-099,Vernon Beasley,,185 Jackson St,Vidalia GA 30474,(912) 689-4607,vbeasley41@comcast.net,paid,2014-03-08,yes,
M-100,Betty Thornton,Alton Thornton,838 Toombs County Rd 148,Lyons GA 30436,(912) 860-7575,,paid,2024-09-06,yes,
M-101,Maude Yarbrough,,945 Camellia Ln,Vidalia GA 30474,(912) 878-4113,,paid,2001-02-07,yes,
M-102,Estelle Harrell,Ida Harrell,529 Rosewood Dr,Vidalia GA 30474,(912) 702-7865,eharrell56@comcast.net,behind,2008-11-19,yes,
M-103,Patricia Thornton,Louise Thornton,1009 Pinetree Blvd,Vidalia GA 30474,(912) 442-7185,pthornton62@hotmail.com,paid,2006-06-22,yes,
M-104,Tommy Youmans,Ozzie Youmans,1743 South Front St,Vidalia GA 30474,(912) 771-2179,tyoumans18@att.net,paid,2017-06-04,yes,
M-105,Wendell Thornton,,2361 Sweetgum Ln,Vidalia GA 30474,(912) 526-8561,,new_member_dues_pending,2000-01-11,yes,
M-106,Bess Chesser,,1158 Wisteria Ave,Vidalia GA 30474,(912) 450-1368,,paid,2015-06-18,yes,
M-107,Bess Beauchamp,,1025 Sweetgum Ln,Vidalia GA 30474,(912) 352-5618,,paid,2010-10-14,yes,
M-108,Ruby Beauchamp,,1544 Sweetgum Ln,Vidalia GA 30474,(912) 537-6620,ruby.b@gmail.com,new_member_dues_pending,2026-07-19,no,joined at July garden club social
M-109,Bonnie Blackburn,,1691 Pinehurst Dr,Vidalia GA 30474,(912) 528-3936,bblackburn3@gmail.com,paid,2017-08-07,yes,
M-110,Frances Boone,,181 North Lyons Ave,Vidalia GA 30474,(912) 269-8064,fboone12@aol.com,paid,2002-03-16,yes,
M-111,Ozzie Ussery,,2124 Rock Church Rd,Vidalia GA 30474,(912) 740-3560,oussery65@att.net,paid,2009-01-27,yes,
M-112,Dolores Odum,Wilhelm Odum,742 North Lyons Ave,Vidalia GA 30474,(912) 667-5543,,paid,2020-09-10,yes,
M-113,Ronald Thigpen,Linda Thigpen,1566 Jackson St,Vidalia GA 30474,(912) 411-1911,,paid,2012-04-15,yes,
M-114,Delbert Sasser,Doris Sasser,607 Old Reidsville Rd,Lyons GA 30436,(912) 526-3357,dsasser@att.net,new_member_dues_pending,2026-08-30,no,joined at August azalea-bed workday
M-115,Ruth Bracewell,,516 Live Oak Dr,Vidalia GA 30474,(912) 492-3048,rbracewell17@comcast.net,behind,2010-01-10,yes,
M-116,Truman Weatherford,Harlan Weatherford,2175 Bear Branch Rd,Lyons GA 30436,(912) 481-6827,tweatherford78@yahoo.com,behind,2016-07-26,yes,
M-117,John Screws,,472 Toombs County Rd 37,Lyons GA 30436,(912) 364-2827,jscrews51@gmail.com,new_member_dues_pending,2001-05-12,yes,
M-118,Harley Fuqua,Hattie Fuqua,292 Peachtree Cir,Vidalia GA 30474,(912) 248-6161,hfuqua13@bellsouth.net,lifetime,2010-08-17,yes,
M-119,Hattie Youmans,,221 Magnolia St,Vidalia GA 30474,(912) 537-9902,hattie.y@yahoo.com,new_member_dues_pending,2026-09-11,yes,card signed at September meeting
M-120,Jerry Aldridge,James Aldridge,1105 Rosewood Dr,Uvalda GA 30473,(912) 760-6294,,paid,2002-03-21,yes,
