ticket_id,opened_at,requester_name,requester_email,subject,body_excerpt,priority,status
ZD-10046,2026-02-01T09:29:11-07:00,Rowan Johnson,rowan.johnson41@icloud.com,Merch order damaged,Customer opened a case regarding: Merch order damaged. Follow-up handled by Cedar Ridge admin team.,low,pending
ZD-10047,2026-07-10T12:12:06-07:00,Vera Thompson,vera.thompson82@hotmail.com,Merch order damaged,Customer opened a case regarding: Merch order damaged. Follow-up handled by Cedar Ridge admin team.,medium,closed
ZD-10048,2026-06-09T12:25:30-07:00,Souta Song,souta.song69@icloud.com,Refund request for cancelled class,Customer opened a case regarding: Refund request for cancelled class. Follow-up handled by Cedar Ridge admin team.,high,pending
ZD-10049,2026-05-25T08:53:01-07:00,Elena Adams,elena.adams72@hotmail.com,Refund request for cancelled class,Customer opened a case regarding: Refund request for cancelled class. Follow-up handled by Cedar Ridge admin team.,medium,resolved
ZD-10050,2026-04-27T18:07:44-07:00,Poppy Yoon,poppy.yoon29@yahoo.com,Group workshop inquiry,Customer opened a case regarding: Group workshop inquiry. Follow-up handled by Cedar Ridge admin team.,medium,closed
ZD-10051,2025-12-04T14:58:35-07:00,Haruki Suzuki,haruki.suzuki70@protonmail.com,Timekeeper training question,Customer opened a case regarding: Timekeeper training question. Follow-up handled by Cedar Ridge admin team.,medium,resolved
ZD-10052,2026-07-07T22:05:18-07:00,Ming Torres,ming.torres12@outlook.com,Membership auto-renewal question,Customer opened a case regarding: Membership auto-renewal question. Follow-up handled by Cedar Ridge admin team.,urgent,pending
ZD-10053,2026-05-15T08:27:27-07:00,Meera Hall,meera.hall57@aol.com,Rank promotion inquiry,Customer opened a case regarding: Rank promotion inquiry. Follow-up handled by Cedar Ridge admin team.,medium,resolved
ZD-10054,2026-02-02T13:16:23-07:00,Theo Baker,theo.baker32@outlook.com,Merch order not arrived,Customer opened a case regarding: Merch order not arrived. Follow-up handled by Cedar Ridge admin team.,low,resolved
ZD-10055,2026-04-15T15:25:09-07:00,Yuma Young,yuma.young64@gmail.com,Facility rental inquiry,Customer opened a case regarding: Facility rental inquiry. Follow-up handled by Cedar Ridge admin team.,medium,closed
ZD-10056,2026-04-24T09:56:33-07:00,Liam Lewis,liam.lewis67@aol.com,New student inquiry - kendo,Customer opened a case regarding: New student inquiry - kendo. Follow-up handled by Cedar Ridge admin team.,low,closed
ZD-10057,2026-08-04T17:26:11-07:00,August Wilson,august.wilson53@outlook.com,Group workshop inquiry,Customer opened a case regarding: Group workshop inquiry. Follow-up handled by Cedar Ridge admin team.,medium,closed
ZD-10058,2026-02-01T11:29:42-07:00,August Lee,august.lee26@protonmail.com,Waiver signing link expired,Customer opened a case regarding: Waiver signing link expired. Follow-up handled by Cedar Ridge admin team.,medium,waiting_on_customer
ZD-10059,2025-12-18T21:33:19-07:00,Wren Lee,wren.lee56@aol.com,Tournament withdrawal,Customer opened a case regarding: Tournament withdrawal. Follow-up handled by Cedar Ridge admin team.,medium,resolved
ZD-10060,2026-07-18T21:03:38-07:00,Valeria Liu,valeria.liu78@yahoo.com,Tournament withdrawal,Customer opened a case regarding: Tournament withdrawal. Follow-up handled by Cedar Ridge admin team.,medium,waiting_on_customer
ZD-10061,2025-11-11T21:15:50-07:00,Noah Roberts,noah.roberts92@gmail.com,Membership auto-renewal question,Customer opened a case regarding: Membership auto-renewal question. Follow-up handled by Cedar Ridge admin team.,urgent,pending
ZD-10062,2025-12-20T08:46:14-07:00,Liam Green,liam.green12@gmail.com,Waiver not received,Customer opened a case regarding: Waiver not received. Follow-up handled by Cedar Ridge admin team.,medium,closed
ZD-10063,2026-04-20T08:18:50-07:00,Malik Rao,malik.rao32@outlook.com,Facility rental inquiry,Customer opened a case regarding: Facility rental inquiry. Follow-up handled by Cedar Ridge admin team.,urgent,open
ZD-10064,2026-05-18T02:45:20-07:00,Kavya Yoon,kavya.yoon15@protonmail.com,Waiver not received,Customer opened a case regarding: Waiver not received. Follow-up handled by Cedar Ridge admin team.,medium,closed
ZD-10065,2025-11-30T23:35:23-07:00,Camila Hernandez,camila.hernandez56@fastmail.com,Kids' birthday party inquiry,Customer opened a case regarding: Kids' birthday party inquiry. Follow-up handled by Cedar Ridge admin team.,low,closed
ZD-10066,2026-09-25T11:56:37-07:00,Nico Campbell,nico.campbell83@outlook.com,Can I switch divisions?,Customer opened a case regarding: Can I switch divisions?. Follow-up handled by Cedar Ridge admin team.,urgent,resolved
ZD-10067,2026-07-08T22:27:49-07:00,Camila Lopez,camila.lopez65@hotmail.com,Locker key lost,Customer opened a case regarding: Locker key lost. Follow-up handled by Cedar Ridge admin team.,urgent,resolved
ZD-10068,2026-05-04T12:00:32-07:00,Rafael Clark,rafael.clark59@fastmail.com,Sponsor inquiry - Bronze tier,Customer opened a case regarding: Sponsor inquiry - Bronze tier. Follow-up handled by Cedar Ridge admin team.,low,closed
ZD-10069,2026-02-26T09:25:59-07:00,Rohan Thomas,rohan.thomas94@hotmail.com,Class cancellation notification,Customer opened a case regarding: Class cancellation notification. Follow-up handled by Cedar Ridge admin team.,urgent,open
ZD-10070,2026-08-22T23:54:34-07:00,Emilio Rivera,emilio.rivera57@protonmail.com,Group workshop inquiry,Customer opened a case regarding: Group workshop inquiry. Follow-up handled by Cedar Ridge admin team.,low,resolved
ZD-10071,2026-05-14T08:40:43-07:00,Liam Patel,liam.patel78@gmail.com,Video release form question,Customer opened a case regarding: Video release form question. Follow-up handled by Cedar Ridge admin team.,medium,open
ZD-10072,2026-08-29T16:56:00-07:00,Theo Perez,theo.perez56@aol.com,Volunteer sign-up question,Customer opened a case regarding: Volunteer sign-up question. Follow-up handled by Cedar Ridge admin team.,medium,pending
ZD-10073,2026-07-30T16:23:52-07:00,Wren Rivera,wren.rivera14@icloud.com,Private lesson reschedule,Customer opened a case regarding: Private lesson reschedule. Follow-up handled by Cedar Ridge admin team.,low,waiting_on_customer
ZD-10074,2026-06-23T02:39:57-07:00,Ezra Zhou,ezra.zhou91@hotmail.com,Tournament refund request,Customer opened a case regarding: Tournament refund request. Follow-up handled by Cedar Ridge admin team.,high,resolved
ZD-10075,2025-11-09T21:53:58-07:00,Valeria Rodriguez,valeria.rodriguez69@hotmail.com,Rank certificate not received,Customer opened a case regarding: Rank certificate not received. Follow-up handled by Cedar Ridge admin team.,low,closed
ZD-10076,2025-11-25T13:08:54-07:00,Silas Reddy,silas.reddy62@hotmail.com,Volunteer sign-up question,Customer opened a case regarding: Volunteer sign-up question. Follow-up handled by Cedar Ridge admin team.,high,pending
ZD-10077,2026-06-24T09:10:37-07:00,Lucia Zhang,lucia.zhang64@outlook.com,Merch order wrong size,Customer opened a case regarding: Merch order wrong size. Follow-up handled by Cedar Ridge admin team.,urgent,open
ZD-10078,2026-03-15T08:41:01-07:00,Sakura Sun,sakura.sun97@aol.com,Tournament refund request,Customer opened a case regarding: Tournament refund request. Follow-up handled by Cedar Ridge admin team.,low,open
ZD-10079,2025-11-26T19:40:09-07:00,Ansel Anderson,ansel.anderson9@yahoo.com,Instructor request,Customer opened a case regarding: Instructor request. Follow-up handled by Cedar Ridge admin team.,urgent,waiting_on_customer
ZD-10080,2026-03-27T22:51:33-07:00,Diego Nguyen,diego.nguyen46@outlook.com,Merch order damaged,Customer opened a case regarding: Merch order damaged. Follow-up handled by Cedar Ridge admin team.,medium,pending
ZD-10081,2026-08-19T21:43:58-07:00,Henry Yamamoto,henry.yamamoto86@gmail.com,Judge availability question,Customer opened a case regarding: Judge availability question. Follow-up handled by Cedar Ridge admin team.,high,closed
ZD-10082,2026-08-02T08:26:25-07:00,Zara Shin,zara.shin80@gmail.com,Waiver signing link expired,Customer opened a case regarding: Waiver signing link expired. Follow-up handled by Cedar Ridge admin team.,medium,pending
ZD-10083,2026-05-29T04:01:52-07:00,Theo Tanaka,theo.tanaka7@hotmail.com,Water fountain out of order,Customer opened a case regarding: Water fountain out of order. Follow-up handled by Cedar Ridge admin team.,high,closed
ZD-10084,2026-02-27T15:18:55-07:00,Nao Iyer,nao.iyer54@fastmail.com,Membership pause request,Customer opened a case regarding: Membership pause request. Follow-up handled by Cedar Ridge admin team.,low,pending
ZD-10085,2026-04-22T22:34:59-07:00,Yuma Martinez,yuma.martinez38@yahoo.com,Media / press inquiry,Customer opened a case regarding: Media / press inquiry. Follow-up handled by Cedar Ridge admin team.,high,open
ZD-10086,2026-08-06T06:34:14-07:00,Chen Yoon,chen.yoon38@hotmail.com,Volunteer sign-up question,Customer opened a case regarding: Volunteer sign-up question. Follow-up handled by Cedar Ridge admin team.,medium,resolved
ZD-10087,2026-07-20T20:18:11-07:00,Cruz Young,cruz.young13@hotmail.com,Lost item at dojo,Customer opened a case regarding: Lost item at dojo. Follow-up handled by Cedar Ridge admin team.,low,closed
ZD-10088,2026-07-24T03:14:37-07:00,Daichi Zhou,daichi.zhou10@outlook.com,Sponsor inquiry - Bronze tier,Customer opened a case regarding: Sponsor inquiry - Bronze tier. Follow-up handled by Cedar Ridge admin team.,medium,resolved
ZD-10089,2026-05-15T16:27:57-07:00,Xi Ramirez,xi.ramirez34@gmail.com,Timekeeper training question,Customer opened a case regarding: Timekeeper training question. Follow-up handled by Cedar Ridge admin team.,medium,resolved
ZD-10090,2026-09-05T18:06:16-07:00,Vera Wilson,vera.wilson21@protonmail.com,Waiver signing link expired,Customer opened a case regarding: Waiver signing link expired. Follow-up handled by Cedar Ridge admin team.,medium,resolved
ZD-10091,2026-01-12T04:40:23-07:00,Ayano Park,ayano.park66@hotmail.com,Merch order not arrived,Customer opened a case regarding: Merch order not arrived. Follow-up handled by Cedar Ridge admin team.,medium,waiting_on_customer
ZD-10092,2026-06-21T08:50:21-07:00,Ansel Suzuki,ansel.suzuki87@hotmail.com,Facility rental inquiry,Customer opened a case regarding: Facility rental inquiry. Follow-up handled by Cedar Ridge admin team.,low,resolved
ZD-10093,2026-06-28T22:50:11-07:00,Hazel Patel,hazel.patel56@yahoo.com,Water fountain out of order,Customer opened a case regarding: Water fountain out of order. Follow-up handled by Cedar Ridge admin team.,medium,waiting_on_customer
ZD-10094,2025-11-22T11:14:04-07:00,Sana Park,sana.park84@yahoo.com,Rank promotion inquiry,Customer opened a case regarding: Rank promotion inquiry. Follow-up handled by Cedar Ridge admin team.,urgent,closed
ZD-10095,2026-03-10T07:35:23-07:00,Ansel Wang,ansel.wang89@protonmail.com,Sponsor inquiry - Bronze tier,Customer opened a case regarding: Sponsor inquiry - Bronze tier. Follow-up handled by Cedar Ridge admin team.,medium,resolved
ZD-10096,2026-09-27T17:16:23-07:00,Haruki Johnson,haruki.johnson49@aol.com,Private lesson booking,Customer opened a case regarding: Private lesson booking. Follow-up handled by Cedar Ridge admin team.,urgent,resolved
ZD-10097,2026-07-12T17:33:55-07:00,Willa Hernandez,willa.hernandez92@yahoo.com,Sponsor booth space question,Customer opened a case regarding: Sponsor booth space question. Follow-up handled by Cedar Ridge admin team.,medium,waiting_on_customer
ZD-10098,2026-01-07T09:17:03-07:00,Owen Rodriguez,owen.rodriguez17@hotmail.com,Certificate reprint request,Customer opened a case regarding: Certificate reprint request. Follow-up handled by Cedar Ridge admin team.,urgent,closed
ZD-10099,2026-07-26T03:59:37-07:00,Xi Wright,xi.wright50@gmail.com,Private lesson cancellation,Customer opened a case regarding: Private lesson cancellation. Follow-up handled by Cedar Ridge admin team.,medium,closed
ZD-10100,2026-09-30T20:34:03-07:00,Sana White,sana.white26@icloud.com,Rank promotion inquiry,Customer opened a case regarding: Rank promotion inquiry. Follow-up handled by Cedar Ridge admin team.,low,closed
ZD-10101,2026-06-21T14:06:49-07:00,Anika Perez,anika.perez19@protonmail.com,Kids' birthday party inquiry,Customer opened a case regarding: Kids' birthday party inquiry. Follow-up handled by Cedar Ridge admin team.,medium,waiting_on_customer
ZD-10102,2026-09-20T14:21:09-07:00,Kana Martin,kana.martin47@outlook.com,Tournament registration payment failed,Customer opened a case regarding: Tournament registration payment failed. Follow-up handled by Cedar Ridge admin team.,low,resolved
ZD-10103,2026-06-20T06:12:40-07:00,Vera Rodriguez,vera.rodriguez43@fastmail.com,Shinai length recommendation,Customer opened a case regarding: Shinai length recommendation. Follow-up handled by Cedar Ridge admin team.,medium,waiting_on_customer
ZD-10104,2026-05-03T23:06:23-07:00,Ren Kumar,ren.kumar59@aol.com,Merch order wrong size,Customer opened a case regarding: Merch order wrong size. Follow-up handled by Cedar Ridge admin team.,low,open
ZD-10105,2026-08-31T22:12:57-07:00,Shiori Gupta,shiori.gupta49@gmail.com,Rank promotion inquiry,Customer opened a case regarding: Rank promotion inquiry. Follow-up handled by Cedar Ridge admin team.,low,pending
ZD-10106,2026-01-05T05:23:48-07:00,Lucia White,lucia.white97@gmail.com,Locker key lost,Customer opened a case regarding: Locker key lost. Follow-up handled by Cedar Ridge admin team.,low,resolved
ZD-10107,2026-02-01T19:43:22-07:00,Ren Nair,ren.nair94@hotmail.com,Accessibility question,Customer opened a case regarding: Accessibility question. Follow-up handled by Cedar Ridge admin team.,low,waiting_on_customer
ZD-10108,2026-04-25T16:36:26-07:00,Layla Clark,layla.clark7@protonmail.com,Merch order damaged,Customer opened a case regarding: Merch order damaged. Follow-up handled by Cedar Ridge admin team.,low,resolved
ZD-10109,2025-11-14T04:08:48-07:00,Ezra Jackson,ezra.jackson93@aol.com,Rank promotion inquiry,Customer opened a case regarding: Rank promotion inquiry. Follow-up handled by Cedar Ridge admin team.,medium,waiting_on_customer
ZD-10110,2026-09-07T19:56:39-07:00,Camila Gupta,camila.gupta77@icloud.com,Sponsor inquiry - Community tier,Customer opened a case regarding: Sponsor inquiry - Community tier. Follow-up handled by Cedar Ridge admin team.,low,resolved
