staff_id,name,role,pay_type,rate_usd,expected_hours_or_events,expected_pay_usd,next_pay_date
STAFF-025,Sana Allen,Scorekeeper (event),honorarium,200.0,1,200.0,2026-03-14
STAFF-026,Sora Song,Referee (event),honorarium,300.0,1,300.0,2025-12-18
STAFF-027,Aoi Gupta,Front Desk / Admin,hourly,20.0,15,300.0,2025-11-24
STAFF-028,Shiori Anderson,Scorekeeper (event),honorarium,200.0,1,200.0,2026-02-27
STAFF-029,Kana Wang,Timekeeper (event),honorarium,200.0,1,200.0,2026-08-24
STAFF-030,Kaede Anderson,Assistant Kendo Instructor,hourly,28.0,8,224.0,2026-02-26
STAFF-031,Zhen Park,Scorekeeper (event),honorarium,200.0,1,200.0,2026-03-23
STAFF-032,Yui Robinson,Assistant Judo Instructor,hourly,28.0,8,224.0,2026-03-13
STAFF-033,Omar Choi,Timekeeper (event),honorarium,200.0,1,200.0,2026-06-17
STAFF-034,Takumi Huang,Front Desk / Admin,hourly,20.0,15,300.0,2026-06-12
STAFF-035,Lien White,Timekeeper (event),honorarium,200.0,1,200.0,2026-02-01
STAFF-036,Blythe Song,Timekeeper (event),honorarium,200.0,1,200.0,2026-03-27
STAFF-037,Layla Tanaka,Assistant Kendo Instructor,hourly,28.0,8,224.0,2026-06-01
STAFF-038,Kaito Huang,Sound Tech (event),honorarium,350.0,1,350.0,2026-02-01
STAFF-039,Nadia Williams,Referee (event),honorarium,300.0,1,300.0,2026-08-30
STAFF-040,Lark Hernandez,Photography (contract),honorarium,500.0,1,500.0,2026-06-16
STAFF-041,Sofia Yamamoto,First Aid Attendant,honorarium,250.0,1,250.0,2026-09-15
STAFF-042,Diego Nair,Assistant Judo Instructor,hourly,28.0,8,224.0,2026-04-17
STAFF-043,Wei Han,Sound Tech (event),honorarium,350.0,1,350.0,2025-11-25
STAFF-044,Noah Flores,Kids' Class Aide,hourly,18.0,6,108.0,2026-09-13
STAFF-045,Jack Flores,Assistant Kendo Instructor,hourly,28.0,8,224.0,2026-04-03
STAFF-046,Takumi White,Photography (contract),honorarium,500.0,1,500.0,2026-03-20
STAFF-047,Ravi Han,Photography (contract),honorarium,500.0,1,500.0,2026-04-27
STAFF-048,Valeria Miller,Assistant Kendo Instructor,hourly,28.0,8,224.0,2026-08-07
STAFF-049,Otto Adams,Referee (event),honorarium,300.0,1,300.0,2026-03-01
STAFF-050,Yuma Gonzalez,First Aid Attendant,honorarium,250.0,1,250.0,2026-06-24
STAFF-006,Sloane Nair,Photography (contract),honorarium,500.0,1,500.0,2026-05-29
STAFF-007,Sofia Taylor,First Aid Attendant,honorarium,250.0,1,250.0,2025-12-04
STAFF-008,Aisha Sanchez,Photography (contract),honorarium,500.0,1,500.0,2026-02-20
STAFF-009,Ming Wang,Sound Tech (event),honorarium,350.0,1,350.0,2026-01-12
STAFF-010,Sana Sato,Assistant Judo Instructor,hourly,28.0,8,224.0,2026-08-06
STAFF-011,Camila Ito,Assistant Kendo Instructor,hourly,28.0,8,224.0,2026-03-05
STAFF-012,Ava Davis,Sound Tech (event),honorarium,350.0,1,350.0,2026-06-26
STAFF-013,Sakura Ito,Assistant Judo Instructor,hourly,28.0,8,224.0,2026-08-15
STAFF-014,Ayano Han,Photography (contract),honorarium,500.0,1,500.0,2026-04-18
STAFF-015,Julian Wright,Photography (contract),honorarium,500.0,1,500.0,2026-08-12
STAFF-013,Nora Suzuki,Assistant Judo Instructor,hourly,28.0,8,224.0,2026-01-07
STAFF-018,Noah Miller,First Aid Attendant,honorarium,250.0,1,250.0,2026-09-18
STAFF-041,Wyatt Smith,Assistant Judo Instructor,hourly,28.0,8,224.0,2026-09-07
STAFF-036,Sora Watanabe,Assistant Judo Instructor,hourly,28.0,8,224.0,2026-08-19
STAFF-024,Ruby Yamada,Kids' Class Aide,hourly,18.0,6,108.0,2026-08-27
STAFF-024,Diego Yamada,Kids' Class Aide,hourly,18.0,6,108.0,2026-05-25
STAFF-006,Priya Yamada,Videographer (contract),honorarium,450.0,1,450.0,2026-03-04
STAFF-043,Sofia Hayashi,Kids' Class Aide,hourly,18.0,6,108.0,2026-08-19
STAFF-022,Ava Patel,Videographer (contract),honorarium,450.0,1,450.0,2025-11-14
STAFF-039,Liam Hayashi,Videographer (contract),honorarium,450.0,1,450.0,2026-04-12
STAFF-022,Owen Chen,Kids' Class Aide,hourly,18.0,6,108.0,2025-11-27
STAFF-039,Ava Suzuki,Referee (event),honorarium,300.0,1,300.0,2026-09-15
STAFF-050,Anika Chen,First Aid Attendant,honorarium,250.0,1,250.0,2026-07-03
STAFF-051,Nora Miller,Videographer (contract),honorarium,450.0,1,450.0,2026-02-11
STAFF-040,Noah Tanaka,Front Desk / Admin,hourly,20.0,15,300.0,2026-01-26
STAFF-024,Noah Suzuki,Assistant Judo Instructor,hourly,28.0,8,224.0,2026-05-26
STAFF-015,Liam Smith,Assistant Judo Instructor,hourly,28.0,8,224.0,2026-06-20
