promotion_id,student_id,from_rank,to_rank,promotion_date,examining_instructor,certificate_number,discipline
PROMO-00117,CR-00037,1-kyu judo,1-dan kendo,2026-03-03,Raj Patel,CERT-CR-00117,kendo
PROMO-00118,CR-00037,1-dan kendo,1-dan judo,2026-03-02,Raj Patel,CERT-CR-00118,judo
PROMO-00119,CR-00038,6-kyu kendo,5-kyu kendo,2024-03-05,Tom Iverson,CERT-CR-00119,kendo
PROMO-00120,CR-00038,5-kyu kendo,4-kyu kendo,2024-09-26,Tom Iverson,CERT-CR-00120,kendo
PROMO-00121,CR-00039,6-kyu kendo,5-kyu kendo,2022-09-01,Tom Iverson,CERT-CR-00121,kendo
PROMO-00122,CR-00039,5-kyu kendo,4-kyu kendo,2022-09-02,Tom Iverson,CERT-CR-00122,kendo
PROMO-00123,CR-00040,6-kyu kendo,5-kyu kendo,2023-12-17,Tom Iverson,CERT-CR-00123,kendo
PROMO-00124,CR-00040,5-kyu kendo,4-kyu kendo,2023-03-16,Aaron Delgado,CERT-CR-00124,kendo
PROMO-00125,CR-00040,4-kyu kendo,3-kyu kendo,2024-09-17,Raj Patel,CERT-CR-00125,kendo
PROMO-00126,CR-00040,3-kyu kendo,2-kyu kendo,2024-03-15,Raj Patel,CERT-CR-00126,kendo
PROMO-00127,CR-00040,2-kyu kendo,1-kyu kendo,2025-06-20,Tom Iverson,CERT-CR-00127,kendo
PROMO-00128,CR-00040,1-kyu kendo,1-dan kendo,2025-09-15,Raj Patel,CERT-CR-00128,kendo
PROMO-00129,CR-00040,1-dan kendo,2-dan kendo,2026-03-02,Aaron Delgado,CERT-CR-00129,kendo
PROMO-00130,CR-00041,6-kyu kendo,6-kyu judo,2024-12-14,Raj Patel,CERT-CR-00130,judo
PROMO-00131,CR-00041,6-kyu judo,5-kyu kendo,2024-03-16,Raj Patel,CERT-CR-00131,kendo
PROMO-00132,CR-00041,5-kyu kendo,5-kyu judo,2025-12-03,Tom Iverson,CERT-CR-00132,judo
PROMO-00133,CR-00041,5-kyu judo,4-kyu kendo,2025-09-20,Tom Iverson,CERT-CR-00133,kendo
PROMO-00134,CR-00041,4-kyu kendo,4-kyu judo,2026-03-05,Aaron Delgado,CERT-CR-00134,judo
PROMO-00135,CR-00041,4-kyu judo,3-kyu kendo,2026-09-13,Raj Patel,CERT-CR-00135,kendo
PROMO-00136,CR-00041,3-kyu kendo,3-kyu judo,2026-09-10,Aaron Delgado,CERT-CR-00136,judo
PROMO-00137,CR-00043,6-kyu kendo,5-kyu kendo,2024-03-28,Raj Patel,CERT-CR-00137,kendo
PROMO-00138,CR-00043,5-kyu kendo,4-kyu kendo,2024-06-14,Aaron Delgado,CERT-CR-00138,kendo
PROMO-00139,CR-00045,6-kyu kendo,5-kyu kendo,2021-09-27,Aaron Delgado,CERT-CR-00139,kendo
PROMO-00140,CR-00045,5-kyu kendo,4-kyu kendo,2021-12-14,Raj Patel,CERT-CR-00140,kendo
PROMO-00141,CR-00045,4-kyu kendo,3-kyu kendo,2022-03-11,Aaron Delgado,CERT-CR-00141,kendo
PROMO-00142,CR-00046,6-kyu kendo,5-kyu kendo,2020-09-12,Tom Iverson,CERT-CR-00142,kendo
PROMO-00143,CR-00046,5-kyu kendo,4-kyu kendo,2020-12-03,Tom Iverson,CERT-CR-00143,kendo
PROMO-00144,CR-00046,4-kyu kendo,3-kyu kendo,2021-03-03,Aaron Delgado,CERT-CR-00144,kendo
PROMO-00145,CR-00046,3-kyu kendo,2-kyu kendo,2021-03-24,Raj Patel,CERT-CR-00145,kendo
PROMO-00146,CR-00047,6-kyu kendo,5-kyu kendo,2020-06-18,Tom Iverson,CERT-CR-00146,kendo
PROMO-00147,CR-00047,5-kyu kendo,4-kyu kendo,2020-09-22,Tom Iverson,CERT-CR-00147,kendo
PROMO-00148,CR-00047,4-kyu kendo,3-kyu kendo,2021-12-12,Raj Patel,CERT-CR-00148,kendo
PROMO-00149,CR-00048,6-kyu kendo,6-kyu judo,2024-12-28,Raj Patel,CERT-CR-00149,judo
PROMO-00150,CR-00048,6-kyu judo,5-kyu kendo,2024-03-10,Raj Patel,CERT-CR-00150,kendo
PROMO-00151,CR-00048,5-kyu kendo,5-kyu judo,2025-09-12,Tom Iverson,CERT-CR-00151,judo
PROMO-00152,CR-00048,5-kyu judo,4-kyu kendo,2025-06-05,Raj Patel,CERT-CR-00152,kendo
PROMO-00153,CR-00048,4-kyu kendo,4-kyu judo,2026-03-06,Raj Patel,CERT-CR-00153,judo
PROMO-00154,CR-00048,4-kyu judo,3-kyu kendo,2026-09-04,Aaron Delgado,CERT-CR-00154,kendo
PROMO-00155,CR-00048,3-kyu kendo,3-kyu judo,2026-06-14,Raj Patel,CERT-CR-00155,judo
PROMO-00156,CR-00050,6-kyu judo,5-kyu judo,2024-03-20,Raj Patel,CERT-CR-00156,judo
PROMO-00157,CR-00050,5-kyu judo,4-kyu judo,2024-09-01,Tom Iverson,CERT-CR-00157,judo
PROMO-00158,CR-00051,6-kyu kendo,5-kyu kendo,2020-09-11,Aaron Delgado,CERT-CR-00158,kendo
PROMO-00159,CR-00051,5-kyu kendo,4-kyu kendo,2020-03-06,Tom Iverson,CERT-CR-00159,kendo
PROMO-00160,CR-00052,6-kyu kendo,6-kyu judo,2022-12-03,Tom Iverson,CERT-CR-00160,judo
PROMO-00161,CR-00052,6-kyu judo,5-kyu kendo,2022-03-03,Raj Patel,CERT-CR-00161,kendo
PROMO-00162,CR-00052,5-kyu kendo,5-kyu judo,2023-06-13,Aaron Delgado,CERT-CR-00162,judo
PROMO-00163,CR-00052,5-kyu judo,4-kyu kendo,2023-12-11,Tom Iverson,CERT-CR-00163,kendo
PROMO-00164,CR-00052,4-kyu kendo,4-kyu judo,2024-09-10,Raj Patel,CERT-CR-00164,judo
PROMO-00165,CR-00053,6-kyu kendo,5-kyu kendo,2020-03-02,Tom Iverson,CERT-CR-00165,kendo
PROMO-00166,CR-00055,6-kyu kendo,5-kyu kendo,2024-03-22,Tom Iverson,CERT-CR-00166,kendo
PROMO-00167,CR-00055,5-kyu kendo,4-kyu kendo,2024-09-15,Raj Patel,CERT-CR-00167,kendo
PROMO-00168,CR-00055,4-kyu kendo,3-kyu kendo,2025-12-16,Raj Patel,CERT-CR-00168,kendo
PROMO-00169,CR-00056,6-kyu judo,5-kyu judo,2021-12-09,Tom Iverson,CERT-CR-00169,judo
PROMO-00170,CR-00058,6-kyu kendo,5-kyu kendo,2022-03-12,Aaron Delgado,CERT-CR-00170,kendo
PROMO-00171,CR-00058,5-kyu kendo,4-kyu kendo,2022-03-10,Raj Patel,CERT-CR-00171,kendo
PROMO-00172,CR-00058,4-kyu kendo,3-kyu kendo,2023-12-17,Raj Patel,CERT-CR-00172,kendo
PROMO-00173,CR-00058,3-kyu kendo,2-kyu kendo,2023-09-02,Tom Iverson,CERT-CR-00173,kendo
PROMO-00174,CR-00060,6-kyu kendo,5-kyu kendo,2022-03-01,Tom Iverson,CERT-CR-00174,kendo
PROMO-00175,CR-00060,5-kyu kendo,4-kyu kendo,2022-09-07,Tom Iverson,CERT-CR-00175,kendo
PROMO-00176,CR-00060,4-kyu kendo,3-kyu kendo,2023-09-10,Aaron Delgado,CERT-CR-00176,kendo
PROMO-00177,CR-00042,6-kyu judo,5-kyu judo,2026-09-05,Tom Iverson,CERT-CR-00177,judo
PROMO-00178,CR-00016,4-kyu kendo,3-kyu kendo,2026-08-15,Tom Iverson,CERT-CR-00178,kendo
PROMO-00179,CR-00053,5-kyu kendo,4-kyu kendo,2026-07-20,Tom Iverson,CERT-CR-00179,kendo
PROMO-00180,CR-00008,1-dan judo,2-dan judo,2019-12-24,Tom Iverson,CERT-CR-00180,judo
PROMO-00181,CR-00009,3-dan kendo,4-dan kendo,2022-06-17,Raj Patel,CERT-CR-00181,kendo
PROMO-00182,CR-00052,6-kyu kendo,5-kyu kendo,2021-03-13,Aaron Delgado,CERT-CR-00182,kendo
PROMO-00183,CR-00002,1-kyu kendo,1-dan kendo,2022-03-28,Raj Patel,CERT-CR-00183,kendo
PROMO-00184,CR-00028,1-dan kendo,2-dan kendo,2023-12-23,Aaron Delgado,CERT-CR-00184,kendo
PROMO-00185,CR-00008,4-kyu judo,3-kyu judo,2022-03-11,Raj Patel,CERT-CR-00185,judo
PROMO-00186,CR-00030,1-dan kendo,2-dan kendo,2025-09-03,Tom Iverson,CERT-CR-00186,kendo
PROMO-00187,CR-00016,5-kyu kendo,4-kyu kendo,2022-12-17,Aaron Delgado,CERT-CR-00187,kendo
PROMO-00188,CR-00056,1-kyu judo,1-dan judo,2021-09-08,Tom Iverson,CERT-CR-00188,judo
PROMO-00189,CR-00005,3-dan kendo,4-dan kendo,2023-03-17,Tom Iverson,CERT-CR-00189,kendo
PROMO-00190,CR-00058,4-kyu kendo,3-kyu kendo,2025-09-12,Tom Iverson,CERT-CR-00190,kendo
PROMO-00191,CR-00007,4-kyu kendo,3-kyu kendo,2020-09-07,Raj Patel,CERT-CR-00191,kendo
PROMO-00192,CR-00010,2-dan judo,3-dan judo,2025-03-06,Aaron Delgado,CERT-CR-00192,judo
PROMO-00193,CR-00049,1-kyu kendo,1-dan kendo,2023-12-22,Raj Patel,CERT-CR-00193,kendo
PROMO-00194,CR-00021,2-dan kendo,3-dan kendo,2020-12-03,Aaron Delgado,CERT-CR-00194,kendo
PROMO-00195,CR-00041,6-kyu kendo,5-kyu kendo,2021-09-19,Aaron Delgado,CERT-CR-00195,kendo
PROMO-00196,CR-00033,2-dan kendo,3-dan kendo,2019-09-15,Tom Iverson,CERT-CR-00196,kendo
PROMO-00197,CR-00004,5-kyu kendo,4-kyu kendo,2021-09-03,Raj Patel,CERT-CR-00197,kendo
PROMO-00198,CR-00039,3-dan kendo,4-dan kendo,2023-12-15,Raj Patel,CERT-CR-00198,kendo
PROMO-00199,CR-00058,3-kyu kendo,2-kyu kendo,2019-12-26,Aaron Delgado,CERT-CR-00199,kendo
PROMO-00200,CR-00039,2-dan kendo,3-dan kendo,2022-06-02,Tom Iverson,CERT-CR-00200,kendo
PROMO-00201,CR-00052,5-kyu kendo,4-kyu kendo,2025-09-23,Raj Patel,CERT-CR-00201,kendo
PROMO-00202,CR-00042,2-dan judo,3-dan judo,2020-03-08,Aaron Delgado,CERT-CR-00202,judo
PROMO-00203,CR-00034,1-kyu kendo,1-dan kendo,2023-06-12,Aaron Delgado,CERT-CR-00203,kendo
PROMO-00204,CR-00025,6-kyu kendo,5-kyu kendo,2022-09-22,Raj Patel,CERT-CR-00204,kendo
PROMO-00205,CR-00042,5-kyu judo,4-kyu judo,2021-03-11,Raj Patel,CERT-CR-00205,judo
PROMO-00206,CR-00044,4-kyu kendo,3-kyu kendo,2022-09-09,Aaron Delgado,CERT-CR-00206,kendo
PROMO-00207,CR-00006,2-kyu kendo,1-kyu kendo,2023-06-12,Raj Patel,CERT-CR-00207,kendo
PROMO-00208,CR-00045,5-kyu kendo,4-kyu kendo,2024-12-05,Aaron Delgado,CERT-CR-00208,kendo
PROMO-00209,CR-00036,4-kyu kendo,3-kyu kendo,2022-09-27,Raj Patel,CERT-CR-00209,kendo
PROMO-00210,CR-00045,1-dan kendo,2-dan kendo,2025-03-21,Raj Patel,CERT-CR-00210,kendo
PROMO-00211,CR-00024,4-kyu kendo,3-kyu kendo,2019-09-10,Tom Iverson,CERT-CR-00211,kendo
PROMO-00212,CR-00022,3-kyu judo,2-kyu judo,2025-12-07,Tom Iverson,CERT-CR-00212,judo
PROMO-00213,CR-00010,5-kyu judo,4-kyu judo,2019-09-28,Raj Patel,CERT-CR-00213,judo
PROMO-00214,CR-00050,1-kyu judo,1-dan judo,2023-03-22,Raj Patel,CERT-CR-00214,judo
PROMO-00215,CR-00009,4-kyu kendo,3-kyu kendo,2023-12-05,Tom Iverson,CERT-CR-00215,kendo
PROMO-00216,CR-00054,2-dan judo,3-dan judo,2024-06-24,Tom Iverson,CERT-CR-00216,judo
PROMO-00217,CR-00027,2-kyu kendo,1-kyu kendo,2021-06-15,Raj Patel,CERT-CR-00217,kendo
PROMO-00218,CR-00051,3-kyu kendo,2-kyu kendo,2022-06-18,Aaron Delgado,CERT-CR-00218,kendo
PROMO-00219,CR-00052,3-kyu kendo,2-kyu kendo,2025-12-27,Aaron Delgado,CERT-CR-00219,kendo
PROMO-00220,CR-00044,2-kyu kendo,1-kyu kendo,2023-12-15,Aaron Delgado,CERT-CR-00220,kendo
PROMO-00221,CR-00033,3-kyu kendo,2-kyu kendo,2023-12-06,Raj Patel,CERT-CR-00221,kendo
PROMO-00222,CR-00009,2-dan kendo,3-dan kendo,2025-09-02,Aaron Delgado,CERT-CR-00222,kendo
PROMO-00223,CR-00036,5-kyu kendo,4-kyu kendo,2019-03-10,Tom Iverson,CERT-CR-00223,kendo
PROMO-00224,CR-00018,1-dan judo,2-dan judo,2022-06-27,Tom Iverson,CERT-CR-00224,judo
PROMO-00225,CR-00059,6-kyu kendo,5-kyu kendo,2020-12-12,Aaron Delgado,CERT-CR-00225,kendo
PROMO-00226,CR-00004,1-dan kendo,2-dan kendo,2022-09-08,Tom Iverson,CERT-CR-00226,kendo
PROMO-00227,CR-00024,5-kyu kendo,4-kyu kendo,2020-03-11,Raj Patel,CERT-CR-00227,kendo
PROMO-00228,CR-00042,6-kyu judo,5-kyu judo,2021-06-05,Aaron Delgado,CERT-CR-00228,judo
PROMO-00229,CR-00059,4-kyu kendo,3-kyu kendo,2025-12-23,Raj Patel,CERT-CR-00229,kendo
PROMO-00230,CR-00031,6-kyu kendo,5-kyu kendo,2022-03-03,Aaron Delgado,CERT-CR-00230,kendo
PROMO-00231,CR-00014,3-dan kendo,4-dan kendo,2025-06-18,Aaron Delgado,CERT-CR-00231,kendo
PROMO-00232,CR-00008,2-kyu judo,1-kyu judo,2025-09-08,Tom Iverson,CERT-CR-00232,judo
