registration_id,full_name,email,phone,declared_rank,declared_division,is_minor,guardian_name,guardian_phone,home_dojo,student_id,ticket_tier,payment_status,registered_at
REG-2026FALL-0013,Hugo Watanabe,hugo.watanabe99@icloud.com,+15037268384,4-kyu kendo,Adult Kendo Kyu,False,Self,+15037268384,Cedar Ridge,CR-00039,Day Of,pending,2026-08-05T15:47:00-07:00
REG-2026FALL-0014,Jackson Singh,olivia.wood61@yahoo.com,+15033219824,4-kyu kendo,Kids Kendo U12,True,Olivia Wood,+15033219824,Cedar Ridge,CR-00015,Full Weekend,pending,2026-08-25T16:51:00-07:00
REG-2026FALL-0015,Charlotte Wong,charlotte.wong15@icloud.com,+15032373555,2-kyu kendo,Adult Kendo Kyu,False,Self,+15032373555,Cedar Ridge,CR-00058,Day Of,paid,2026-09-25T17:55:00-07:00
REG-2026FALL-0016,Charlotte Sato,charlotte.sato7@yahoo.com,+15032036128,6-kyu judo,Adult Judo Kyu,False,Self,+15032036128,Cedar Ridge,CR-00054,Full Weekend,paid,2026-08-03T17:07:00-07:00
REG-2026FALL-0017,Michael Sanchez,michael.sanchez68@protonmail.com,+15039729882,4-kyu kendo,Adult Kendo Kyu,False,Self,+15039729882,Cedar Ridge,CR-00036,Day Of,paid,2026-07-06T13:54:00-07:00
REG-2026FALL-0018,Riley Ross,jackson.ward81@protonmail.com,+15034694634,6-kyu kendo,Youth Kendo U18,True,Jackson Ward,+15034694634,Cedar Ridge,CR-00014,Full Weekend,refunded,2026-07-23T17:31:00-07:00
REG-2026FALL-0019,Kai Morris,mei.butler26@hotmail.com,+15036007072,5-kyu kendo,Kids Kendo U12,True,Mei Butler,+15036007072,Cedar Ridge,CR-00011,Full Weekend,paid,2026-08-26T08:29:00-07:00
REG-2026FALL-0020,Lei Wright,lei.wright89@gmail.com,+15038757420,3-kyu kendo,Adult Kendo Kyu,False,Self,+15038757420,Cedar Ridge,CR-00025,Full Weekend,pending,2026-08-19T08:35:00-07:00
REG-2026FALL-0021,Aria Hoffman,aria.hoffman42@icloud.com,+15034655777,6-kyu judo,Adult Judo Kyu,False,Self,+15034655777,Cedar Ridge,CR-00042,Full Weekend,paid,2026-08-09T08:47:00-07:00
REG-2026FALL-0022,Penelope Mori,penelope.mori26@yahoo.com,+15032010921,4-kyu kendo,Adult Kendo Kyu,False,Self,+15032010921,Cedar Ridge,CR-00034,Full Weekend,refunded,2026-08-23T09:34:00-07:00
REG-2026FALL-0023,Graham Scott,graham.scott34@yahoo.com,+15034019585,3-kyu judo,Adult Judo Kyu,False,Self,+15034019585,Cedar Ridge,CR-00023,Full Weekend,pending,2026-08-02T12:26:00-07:00
REG-2026FALL-0024,Lei Butler,jackson.green36@icloud.com,+15032338687,6-kyu kendo,Youth Kendo U18,True,Jackson Green,+15032338687,Cedar Ridge,CR-00005,Day Of,paid,2026-09-21T14:23:00-07:00
REG-2026FALL-0025,Hannah Delgado,megan.delgado@gmail.com,+15035550142,5-kyu kendo,Kids Kendo U12,True,Megan Delgado,+15035550142,Cedar Ridge,CR-00001,Full Weekend,paid,2026-08-13T09:43:00-07:00
REG-2026FALL-0026,Nadia Henderson,nadia.henderson7@gmail.com,+15037594429,5-kyu kendo,Adult Kendo Kyu,False,Self,+15037594429,Cedar Ridge,CR-00053,Full Weekend,pending,2026-08-04T10:34:00-07:00
REG-2026FALL-0027,Quinn Phillips,jade.shaw94@hotmail.com,+15032197935,4-kyu kendo,Kids Kendo U12,True,Jade Shaw,+15032197935,Cedar Ridge,CR-00006,Full Weekend,refunded,2026-07-27T08:48:00-07:00
REG-2026FALL-0028,Finn Bennett,finn.bennett28@protonmail.com,+15038115687,4-kyu kendo,Adult Kendo Kyu,False,Self,+15038115687,Cedar Ridge,CR-00033,Day Of,pending,2026-08-22T19:34:00-07:00
REG-2026FALL-0029,Kenji Rodriguez,kenji.rodriguez6@outlook.com,+15035624635,2-kyu kendo,Adult Kendo Kyu,False,Self,+15035624635,Cedar Ridge,CR-00030,Full Weekend,refunded,2026-07-15T13:09:00-07:00
REG-2026FALL-0030,Charlotte Sanchez,charlotte.sanchez62@hotmail.com,+15038033690,6-kyu judo,Adult Judo Kyu,False,Self,+15038033690,Cedar Ridge,CR-00019,Full Weekend,paid,2026-09-25T09:02:00-07:00
REG-2026FALL-0031,Emma Garcia,emma.garcia29@outlook.com,+15038490038,4-kyu judo,Adult Judo Kyu,False,Self,+15038490038,Cedar Ridge,CR-00050,Full Weekend,paid,2026-07-04T17:02:00-07:00
REG-2026FALL-0032,Clark Howard,kaia.tanaka44@protonmail.com,+15032921859,4-kyu judo,Kids Judo U12,True,Kaia Tanaka,+15032921859,Cedar Ridge,CR-00010,Full Weekend,pending,2026-07-13T15:14:00-07:00
REG-2026FALL-0033,Carlos Stewart,carlos.stewart83@protonmail.com,+15034928578,2-dan kendo,Adult Kendo Dan,False,Self,+15034928578,Cedar Ridge,CR-00021,Full Weekend,paid,2026-07-05T16:18:00-07:00
REG-2026FALL-0034,Elliott Wong,elliott.wong14@protonmail.com,+15036062767,4-kyu kendo,Adult Kendo Kyu,False,Self,+15036062767,Cedar Ridge,CR-00026,Full Weekend,refunded,2026-09-27T13:15:00-07:00
REG-2026FALL-0035,Caleb Adams,caleb.adams73@hotmail.com,+15035616316,5-kyu kendo,Adult Kendo Kyu,False,Self,+15035616316,Cedar Ridge,CR-00032,Full Weekend,paid,2026-09-08T14:19:00-07:00
REG-2026FALL-0036,Megan Ross,megan.ross16@protonmail.com,+15038167236,2-kyu kendo,Adult Kendo Kyu,False,Self,+15038167236,Cedar Ridge,CR-00031,Day Of,paid,2026-09-24T10:40:00-07:00
REG-2026FALL-0037,Derek Mori,emery.wood4@gmail.com,+15032458591,6-kyu kendo,Kids Kendo U12,True,Emery Wood,+15032458591,Cedar Ridge,CR-00002,Full Weekend,pending,2026-08-21T18:24:00-07:00
REG-2026FALL-0038,Felix Thomas,felix.thomas85@gmail.com,+15034084977,1-kyu kendo,Adult Kendo Kyu,False,Self,+15034084977,Cedar Ridge,CR-00028,Day Of,paid,2026-08-05T12:24:00-07:00
REG-2026FALL-0039,Finn Campbell,finn.campbell75@yahoo.com,+15038768273,5-kyu kendo,Adult Kendo Kyu,False,Self,+15038768273,Cedar Ridge,CR-00029,Full Weekend,paid,2026-07-10T19:09:00-07:00
REG-2026FALL-0040,Graham Thomas,victor.adams11@hotmail.com,+15035017343,3-kyu kendo,Youth Kendo U18,True,Victor Adams,+15035017343,Cedar Ridge,CR-00012,Day Of,paid,2026-08-18T16:08:00-07:00
REG-2026FALL-0041,Ava Shaw,ava.shaw39@protonmail.com,+15038546170,6-kyu kendo,Adult Kendo Kyu,False,Self,+15038546170,Cedar Ridge,CR-00059,Full Weekend,paid,2026-07-11T18:05:00-07:00
REG-2026FALL-0042,Maya Hall,maya.hall40@outlook.com,+15035504038,4-kyu kendo,Adult Kendo Kyu,False,Self,+15035504038,Cedar Ridge,CR-00051,Day Of,pending,2026-09-27T11:03:00-07:00
REG-2026FALL-0043,Mason Coleman,mason.coleman84@gmail.com,+15034640933,5-kyu kendo,Adult Kendo Kyu,False,Self,+15034640933,Cedar Ridge,CR-00017,Day Of,paid,2026-09-02T09:12:00-07:00
REG-2026FALL-0044,Henry Price,ruby.cook96@yahoo.com,+15033396987,3-kyu judo,Youth Judo U18,True,Ruby Cook,+15033396987,Cedar Ridge,CR-00008,Full Weekend,refunded,2026-08-10T08:13:00-07:00
REG-2026FALL-0045,Wren Henderson,wren.henderson77@hotmail.com,+15035070038,1-kyu kendo,Adult Kendo Kyu,False,Self,+15035070038,Cedar Ridge,CR-00020,Full Weekend,paid,2026-07-24T20:30:00-07:00
REG-2026FALL-0046,Henry Lee,oscar.nakamura20@outlook.com,+15033678638,3-kyu kendo,Youth Kendo U18,True,Oscar Nakamura,+15033678638,Cedar Ridge,CR-00003,Full Weekend,paid,2026-07-18T13:49:00-07:00
REG-2026FALL-0047,Ivy Nelson,ivy.nelson34@icloud.com,+15035388275,1-dan kendo,Adult Kendo Dan,False,Self,+15035388275,Cedar Ridge,CR-00037,Full Weekend,paid,2026-09-21T13:19:00-07:00
REG-2026FALL-0048,Beckett Nelson,beckett.nelson95@yahoo.com,+15033448176,4-kyu kendo,Adult Kendo Kyu,False,Self,+15033448176,Willamette Kendo Club,WKC-EXT-001,Full Weekend,paid,2026-09-14T08:36:00-07:00
REG-2026FALL-0049,Charlotte Anderson,charlotte.anderson84@hotmail.com,+15036663388,5-kyu kendo,Adult Kendo Kyu,False,Self,+15036663388,Willamette Kendo Club,WKC-EXT-002,Day Of,pending,2026-09-19T11:31:00-07:00
REG-2026FALL-0050,Kira Shaw,kira.shaw18@yahoo.com,+15039192588,3-kyu kendo,Adult Kendo Kyu,False,Self,+15039192588,Willamette Kendo Club,WKC-EXT-003,Full Weekend,pending,2026-08-24T20:22:00-07:00
REG-2026FALL-0051,Dominic Wong,dominic.wong81@yahoo.com,+15034882808,6-kyu kendo,Adult Kendo Kyu,False,Self,+15034882808,Willamette Kendo Club,WKC-EXT-004,Full Weekend,paid,2026-08-25T08:26:00-07:00
REG-2026FALL-0052,Henry Cooper,henry.cooper69@gmail.com,+15037901115,6-kyu kendo,Adult Kendo Kyu,False,Self,+15037901115,Willamette Kendo Club,WKC-EXT-005,Full Weekend,paid,2026-09-22T15:01:00-07:00
REG-2026FALL-0053,Violet Scott,violet.scott33@hotmail.com,+15036946534,3-kyu kendo,Kids Kendo U12,True,Michael Lopez,+15035484964,Willamette Kendo Club,WKC-EXT-006,Day Of,paid,2026-08-08T11:39:00-07:00
REG-2026FALL-0054,Layla Price,layla.price84@gmail.com,+15031531577,1-kyu kendo,Adult Kendo Kyu,False,Self,+15031531577,Willamette Kendo Club,WKC-EXT-007,Full Weekend,paid,2026-08-10T18:52:00-07:00
REG-2026FALL-0055,Scarlett Bell,scarlett.bell13@hotmail.com,+15039861040,6-kyu kendo,Kids Kendo U12,True,Carlos Rivera,+15031713900,Willamette Kendo Club,WKC-EXT-008,Full Weekend,paid,2026-09-21T20:21:00-07:00
REG-2026FALL-0056,Mia Park,mia.park23@gmail.com,+15036276177,1-kyu kendo,Adult Kendo Kyu,False,Self,+15036276177,Willamette Kendo Club,WKC-EXT-009,Full Weekend,pending,2026-09-18T17:42:00-07:00
REG-2026FALL-0057,Jasper Kumar,jasper.kumar43@hotmail.com,+15037439870,2-kyu kendo,Adult Kendo Kyu,False,Self,+15037439870,Willamette Kendo Club,WKC-EXT-010,Full Weekend,pending,2026-08-19T14:43:00-07:00
REG-2026FALL-0058,Caleb Hayashi,caleb.hayashi44@gmail.com,+15037655572,6-kyu judo,Adult Judo Kyu,False,Self,+15037655572,Rose City Judo,RCJ-EXT-001,Day Of,paid,2026-08-14T11:53:00-07:00
REG-2026FALL-0059,Hana Reed,hana.reed85@hotmail.com,+15037376562,4-kyu judo,Adult Judo Kyu,False,Self,+15037376562,Rose City Judo,RCJ-EXT-002,Full Weekend,pending,2026-09-14T10:43:00-07:00
REG-2026FALL-0060,Suki Hall,suki.hall20@protonmail.com,+15037536772,6-kyu judo,Adult Judo Kyu,False,Self,+15037536772,Rose City Judo,RCJ-EXT-003,Day Of,paid,2026-09-05T14:45:00-07:00
REG-2026FALL-0061,Aaron Adams,aaron.adams58@icloud.com,+15039597330,4-kyu judo,Adult Judo Kyu,False,Self,+15039597330,Rose City Judo,RCJ-EXT-004,Day Of,paid,2026-08-05T09:11:00-07:00
REG-2026FALL-0062,Theodore Bennett,theodore.bennett93@gmail.com,+15035072543,4-kyu judo,Kids Judo U12,True,Kaia Torres,+15039742683,Rose City Judo,RCJ-EXT-005,Full Weekend,paid,2026-08-10T14:24:00-07:00
REG-2026FALL-0063,Hiroshi King,hiroshi.king54@outlook.com,+15036029008,3-kyu judo,Adult Judo Kyu,False,Self,+15036029008,Rose City Judo,RCJ-EXT-006,Day Of,pending,2026-08-03T10:27:00-07:00
REG-2026FALL-0064,Sophia Hall,sophia.hall1@outlook.com,+15037638609,3-kyu judo,Adult Judo Kyu,False,Self,+15037638609,Rose City Judo,RCJ-EXT-007,Day Of,pending,2026-08-15T09:08:00-07:00
REG-2026FALL-0065,Suki Campbell,suki.campbell26@protonmail.com,+15039036449,3-kyu judo,Adult Judo Kyu,False,Self,+15039036449,Rose City Judo,RCJ-EXT-008,Day Of,paid,2026-08-10T13:38:00-07:00
REG-2026FALL-0066,Harper Green,harper.green47@icloud.com,+15032910720,2-kyu judo,Adult Judo Kyu,False,Self,+15032910720,Independent,EXT-0066,Spectator Only,paid,2026-08-06T14:17:00-07:00
REG-2026FALL-0067,Derek Kobayashi,derek.kobayashi87@icloud.com,+15039376917,3-kyu kendo,Adult Kendo Kyu,False,Self,+15039376917,Independent,EXT-0067,Full Weekend,paid,2026-09-02T20:50:00-07:00
REG-2026FALL-0068,Julian Hoffman,julian.hoffman75@icloud.com,+15037724393,1-dan judo,Adult Judo Dan,False,Self,+15037724393,Independent,EXT-0068,Spectator Only,paid,2026-10-02T15:38:00-07:00
REG-2026FALL-0069,Violet Wong,violet.wong86@protonmail.com,+15036956059,1-kyu judo,Adult Judo Kyu,False,Self,+15036956059,Independent,EXT-0069,Full Weekend,paid,2026-07-02T20:15:00-07:00
REG-2026FALL-0070,Blake Rodriguez,blake.rodriguez89@hotmail.com,+15039396422,6-kyu judo,Kids Judo U12,True,Troy Evans,+15033529080,Independent,EXT-0070,Day Of,pending,2026-10-08T20:43:00-07:00
REG-2026FALL-0071,Mei Green,mei.green27@icloud.com,+15039742856,6-kyu kendo,Adult Kendo Kyu,False,Self,+15039742856,Independent,EXT-0071,Day Of,paid,2026-08-06T12:21:00-07:00
REG-2026FALL-0072,Grant Ito,grant.ito3@gmail.com,+15036755892,6-kyu judo,Adult Judo Kyu,False,Self,+15036755892,Independent,EXT-0072,Spectator Only,paid,2026-09-01T20:45:00-07:00
REG-2026FALL-0073,Leo Ross,leo.ross81@icloud.com,+15034094587,4-kyu kendo,Adult Kendo Kyu,False,Self,+15034094587,Independent,EXT-0073,Full Weekend,paid,2026-10-08T11:51:00-07:00
REG-2026FALL-0074,Grace Chen,grace.chen27@yahoo.com,+15035669851,3-kyu kendo,Adult Kendo Kyu,False,Self,+15035669851,Independent,EXT-0074,Spectator Only,pending,2026-10-07T08:45:00-07:00
REG-2026FALL-0075,Michael Coleman,michael.coleman68@icloud.com,+15036258048,5-kyu judo,Adult Judo Kyu,False,Self,+15036258048,Independent,EXT-0075,Spectator Only,paid,2026-10-02T12:42:00-07:00
REG-2026FALL-0076,Luna Hernandez,luna.hernandez87@gmail.com,+15033247270,2-kyu judo,Adult Judo Kyu,False,Self,+15033247270,Independent,EXT-0076,Day Of,paid,2026-08-05T17:37:00-07:00
REG-2026FALL-0077,Elena Harris,elena.harris50@hotmail.com,+15038097413,2-kyu kendo,Adult Kendo Kyu,False,Self,+15038097413,Independent,EXT-0077,Full Weekend,paid,2026-10-07T17:08:00-07:00
REG-2026FALL-0078,Liam Bailey,liam.bailey18@icloud.com,+15034273712,4-kyu kendo,Adult Kendo Kyu,False,Self,+15034273712,Independent,EXT-0078,Day Of,pending,2026-10-01T13:00:00-07:00
REG-2026FALL-0079,Nora Yamamoto,nora.yamamoto38@yahoo.com,+15031548532,3-kyu judo,Adult Judo Kyu,False,Self,+15031548532,Independent,EXT-0079,Day Of,paid,2026-08-02T17:01:00-07:00
REG-2026FALL-0080,Brianna Cook,brianna.cook47@hotmail.com,+15031698108,2-kyu judo,Adult Judo Kyu,False,Self,+15031698108,Independent,EXT-0080,Spectator Only,paid,2026-07-02T12:49:00-07:00
REG-2026FALL-0081,Clark Rodriguez,clark.rodriguez57@gmail.com,+15032969410,4-kyu kendo,Adult Kendo Kyu,False,Self,+15032969410,Independent,EXT-0081,Full Weekend,paid,2026-07-08T12:22:00-07:00
REG-2026FALL-0082,Kaia Suzuki,kaia.suzuki73@gmail.com,+15036885707,5-kyu judo,Adult Judo Kyu,False,Self,+15036885707,Independent,EXT-0082,Spectator Only,paid,2026-08-04T11:51:00-07:00
REG-2026FALL-0083,Andre Suzuki,andre.suzuki8@icloud.com,+15035652716,1-dan judo,Adult Judo Dan,False,Self,+15035652716,Independent,EXT-0083,Spectator Only,paid,2026-07-03T20:50:00-07:00
REG-2026FALL-0084,Leo Taylor,leo.taylor35@protonmail.com,+15037949543,1-dan kendo,Adult Kendo Dan,False,Self,+15037949543,Independent,EXT-0084,Day Of,paid,2026-10-08T10:36:00-07:00
REG-2026FALL-0085,Finn Barnes,finn.barnes12@protonmail.com,+15038691502,3-kyu judo,Adult Judo Kyu,False,Self,+15038691502,Independent,EXT-0085,Spectator Only,paid,2026-10-06T17:00:00-07:00
REG-2026FALL-0086,Sierra Singh,sierra.singh37@outlook.com,+15036666591,5-kyu judo,Adult Judo Kyu,False,Self,+15036666591,Independent,EXT-0086,Spectator Only,paid,2026-10-04T15:17:00-07:00
REG-2026FALL-0087,Hana Mitchell,hana.mitchell57@yahoo.com,+15038659103,6-kyu kendo,Adult Kendo Kyu,False,Self,+15038659103,Independent,EXT-0087,Full Weekend,pending,2026-07-08T08:07:00-07:00
REG-2026FALL-0088,Emma Watanabe,emma.watanabe11@outlook.com,+15037238503,5-kyu judo,Adult Judo Kyu,False,Self,+15037238503,Independent,EXT-0088,Spectator Only,pending,2026-09-02T18:23:00-07:00
REG-2026FALL-0089,James Parker,james.parker10@icloud.com,+15033226333,3-kyu kendo,Adult Kendo Kyu,False,Self,+15033226333,Independent,EXT-0089,Spectator Only,paid,2026-07-02T08:13:00-07:00
REG-2026FALL-0090,Megan Tanaka,megan.tanaka50@yahoo.com,+15032498726,1-dan kendo,Adult Kendo Dan,False,Self,+15032498726,Independent,EXT-0090,Spectator Only,pending,2026-10-03T15:04:00-07:00
REG-2026FALL-0091,Jin Evans,jin.evans2@hotmail.com,+15033753418,3-kyu kendo,Adult Kendo Kyu,False,Self,+15033753418,Independent,EXT-0091,Day Of,paid,2026-08-03T09:33:00-07:00
REG-2026FALL-0092,Sean Edwards,sean.edwards76@gmail.com,+15037442986,1-dan judo,Adult Judo Dan,False,Self,+15037442986,Independent,EXT-0092,Day Of,pending,2026-08-02T09:08:00-07:00
REG-2026FALL-0093,Hana Moore,hana.moore27@outlook.com,+15039686388,5-kyu kendo,Adult Kendo Kyu,False,Self,+15039686388,Independent,EXT-0093,Spectator Only,paid,2026-09-01T18:56:00-07:00
REG-2026FALL-0094,Charlotte Shaw,charlotte.shaw47@gmail.com,+15036309530,3-kyu kendo,Kids Kendo U12,True,Elena Walker,+15033214305,Independent,EXT-0094,Day Of,pending,2026-10-02T16:56:00-07:00
REG-2026FALL-0095,Emily Wood,emily.wood34@gmail.com,+15034619565,1-dan judo,Adult Judo Dan,False,Self,+15034619565,Independent,EXT-0095,Full Weekend,pending,2026-07-01T17:04:00-07:00
REG-2026FALL-0096,Hazel Scott,hazel.scott79@hotmail.com,+15033561552,3-kyu judo,Adult Judo Kyu,False,Self,+15033561552,Independent,EXT-0096,Day Of,paid,2026-10-02T18:34:00-07:00
REG-2026FALL-0097,Ian Robinson,ian.robinson88@protonmail.com,+15032109227,2-kyu kendo,Adult Kendo Kyu,False,Self,+15032109227,Independent,EXT-0097,Day Of,paid,2026-09-07T17:40:00-07:00
REG-2026FALL-0098,Wei Hall,wei.hall95@protonmail.com,+15033946849,6-kyu judo,Kids Judo U12,True,Ellie Fox,+15033003921,Independent,EXT-0098,Full Weekend,paid,2026-07-05T18:47:00-07:00
REG-2026FALL-0099,Patrick Rivera,patrick.rivera94@outlook.com,+15032980663,5-kyu judo,Adult Judo Kyu,False,Self,+15032980663,Independent,EXT-0099,Full Weekend,paid,2026-09-03T19:49:00-07:00
REG-2026FALL-0100,Mia Henderson,mia.henderson21@outlook.com,+15035280137,3-kyu kendo,Kids Kendo U12,True,Hazel Phillips,+15032726457,Independent,EXT-0100,Spectator Only,paid,2026-07-08T17:10:00-07:00
REG-2026FALL-0101,Jackson Mori,jackson.mori50@outlook.com,+15033518002,1-dan kendo,Adult Kendo Dan,False,Self,+15033518002,Independent,EXT-0101,Full Weekend,pending,2026-07-04T08:30:00-07:00
REG-2026FALL-0102,Reed Lewis,reed.lewis16@outlook.com,+15039422849,1-kyu judo,Adult Judo Kyu,False,Self,+15039422849,Independent,EXT-0102,Spectator Only,pending,2026-09-05T09:36:00-07:00
REG-2026FALL-0103,Aiden Ross,aiden.ross42@outlook.com,+15032449308,6-kyu judo,Adult Judo Kyu,False,Self,+15032449308,Independent,EXT-0103,Spectator Only,paid,2026-10-05T20:54:00-07:00
REG-2026FALL-0104,Emma Green,emma.green99@icloud.com,+15034278644,1-kyu judo,Adult Judo Kyu,False,Self,+15034278644,Independent,EXT-0104,Spectator Only,pending,2026-08-08T13:37:00-07:00
REG-2026FALL-0105,Sean Nakamura,sean.nakamura49@protonmail.com,+15036159172,5-kyu kendo,Adult Kendo Kyu,False,Self,+15036159172,Independent,EXT-0105,Full Weekend,paid,2026-09-01T13:00:00-07:00
REG-2026FALL-0106,Reed Bailey,reed.bailey67@yahoo.com,+15037929943,1-kyu kendo,Adult Kendo Kyu,False,Self,+15037929943,Independent,EXT-0106,Spectator Only,pending,2026-09-02T08:58:00-07:00
REG-2026FALL-0107,Anika Garcia,anika.garcia56@gmail.com,+15033192921,1-kyu kendo,Adult Kendo Kyu,False,Self,+15033192921,Independent,EXT-0107,Full Weekend,paid,2026-10-02T17:36:00-07:00
REG-2026FALL-0108,Skye Parker,skye.parker18@yahoo.com,+15032828260,4-kyu judo,Adult Judo Kyu,False,Self,+15032828260,Independent,EXT-0108,Full Weekend,paid,2026-10-05T11:04:00-07:00
REG-2026FALL-0109,Layla Nelson,layla.nelson16@outlook.com,+15032517010,1-dan judo,Adult Judo Dan,False,Self,+15032517010,Independent,EXT-0109,Full Weekend,pending,2026-08-08T12:29:00-07:00
REG-2026FALL-0110,Min Suzuki,min.suzuki46@yahoo.com,+15037647878,5-kyu kendo,Adult Kendo Kyu,False,Self,+15037647878,Independent,EXT-0110,Spectator Only,paid,2026-09-03T09:45:00-07:00
REG-2026FALL-0111,Sophia White,sophia.white29@gmail.com,+15033193037,5-kyu judo,Kids Judo U12,True,Nathan Morgan,+15034324120,Independent,EXT-0111,Day Of,paid,2026-07-03T09:00:00-07:00
REG-2026FALL-0112,Miles Kumar,miles.kumar7@icloud.com,+15033818391,5-kyu kendo,Kids Kendo U12,True,Suki Wilson,+15038267158,Independent,EXT-0112,Spectator Only,paid,2026-07-06T09:02:00-07:00
REG-2026FALL-0113,Philip Yamamoto,philip.yamamoto5@yahoo.com,+15035123584,5-kyu judo,Adult Judo Kyu,False,Self,+15035123584,Independent,EXT-0113,Spectator Only,paid,2026-08-05T12:28:00-07:00
REG-2026FALL-0114,Brynn Bennett,brynn.bennett68@protonmail.com,+15035180005,4-kyu kendo,Adult Kendo Kyu,False,Self,+15035180005,Independent,EXT-0114,Spectator Only,pending,2026-10-03T14:12:00-07:00
REG-2026FALL-0115,Philip Takahashi,philip.takahashi41@gmail.com,+15034674549,4-kyu judo,Adult Judo Kyu,False,Self,+15034674549,Independent,EXT-0115,Full Weekend,pending,2026-09-07T12:11:00-07:00
REG-2026FALL-0116,Lauren Bell,lauren.bell69@outlook.com,+15031937991,5-kyu kendo,Adult Kendo Kyu,False,Self,+15031937991,Independent,EXT-0116,Full Weekend,paid,2026-07-04T18:15:00-07:00
REG-2026FALL-0117,Abigail White,abigail.white73@outlook.com,+15033384080,1-dan judo,Adult Judo Dan,False,Self,+15033384080,Independent,EXT-0117,Spectator Only,pending,2026-09-01T19:44:00-07:00
REG-2026FALL-0118,Violet Adams,violet.adams68@gmail.com,+15039019324,6-kyu kendo,Adult Kendo Kyu,False,Self,+15039019324,Independent,EXT-0118,Full Weekend,paid,2026-07-04T17:14:00-07:00
REG-2026FALL-0119,Takeshi Mitchell,takeshi.mitchell15@yahoo.com,+15039829762,6-kyu judo,Adult Judo Kyu,False,Self,+15039829762,Independent,EXT-0119,Day Of,pending,2026-07-03T17:45:00-07:00
REG-2026FALL-0120,Naomi Hoffman,naomi.hoffman56@protonmail.com,+15039173859,4-kyu kendo,Adult Kendo Kyu,False,Self,+15039173859,Independent,EXT-0120,Spectator Only,paid,2026-09-06T10:10:00-07:00
REG-2026FALL-0121,Ava Reeves,ava.reeves1@protonmail.com,+15037569981,3-kyu kendo,Adult Kendo Kyu,False,Self,+15037569981,Independent,EXT-0121,Spectator Only,paid,2026-09-05T10:11:00-07:00
REG-2026FALL-0122,Wren Russell,wren.russell45@yahoo.com,+15036360633,3-kyu kendo,Adult Kendo Kyu,False,Self,+15036360633,Independent,EXT-0122,Full Weekend,paid,2026-08-06T19:04:00-07:00
REG-2026FALL-0123,Curtis Reed,curtis.reed94@icloud.com,+15038040612,5-kyu kendo,Kids Kendo U12,True,Mitchell Allen,+15033790695,Independent,EXT-0123,Day Of,paid,2026-07-01T08:24:00-07:00
