staff_id,name,role,rank_held,certifications,certification_renewal_date,background_check_status,insurance_of_injury_coverage
STAFF-025,Ivy Cho,Front Desk / Admin,2-kyu judo,Concussion Recognition Cert|First Aid CPR,2027-09-13,re_check,event_only
STAFF-026,Yui Allen,First Aid Attendant,1-kyu kendo,Bloodborne Pathogen Cert|First Aid CPR|Wilderness First Aid,2026-02-11,re_check,covered
STAFF-027,Hiro Jackson,Website Maintenance (contract),no rank,First Aid CPR|SafeSport Certified,2026-04-23,cleared,1099_no_coverage
STAFF-028,Rico Brown,Referee (event),3-dan judo,AUSKF Judge Level B|First Aid CPR|SafeSport Certified,2028-06-24,cleared,1099_no_coverage
STAFF-029,Ruby Rodriguez,Seasonal Judge,4-dan judo,AUSKF Judge Level A|AUSKF Judge Level B|First Aid CPR,2026-01-14,cleared,covered
STAFF-030,Wei King,Videographer (contract),no rank,OSHA 10,2028-04-03,cleared,event_only
STAFF-031,Kai Walker,Sound Tech (event),4-kyu kendo,First Aid CPR|SafeSport Certified,2027-04-25,cleared,covered
STAFF-032,Nao Yoon,Sound Tech (event),4-kyu kendo,Concussion Recognition Cert|First Aid CPR|SafeSport Certified,2026-05-01,cleared,event_only
STAFF-033,Beckett Perez,Kids' Class Aide,1-dan judo,Concussion Recognition Cert|SafeSport Certified,2026-01-19,cleared,1099_no_coverage
STAFF-034,Vera Lee,Assistant Kendo Instructor,4-dan kendo,AUSKF Instructor Level 3|SafeSport Certified,2026-12-10,re_check,event_only
STAFF-035,Jamal Sun,Bookkeeper (contract),4-kyu kendo,Concussion Recognition Cert|First Aid CPR|SafeSport Certified,2027-08-14,cleared,covered
STAFF-036,Rowan Watanabe,Kids' Class Aide,1-kyu kendo,Concussion Recognition Cert|First Aid CPR|SafeSport Certified,2026-06-20,cleared,covered
STAFF-037,Riku Yamada,Seasonal Judge,5-dan kendo,AUSKF Judge Level A|First Aid CPR,2027-09-27,cleared,event_only
STAFF-038,Yuki Perez,Kids' Class Aide,2-dan kendo,AUSKF Judge Level B|First Aid CPR|SafeSport Certified,2028-10-02,cleared,covered
STAFF-039,Cyrus Martin,Timekeeper (event),1-dan kendo,Concussion Recognition Cert|First Aid CPR|SafeSport Certified,2028-01-09,cleared,event_only
STAFF-040,Aiko Martinez,Photography (contract),no rank,OSHA 10,2026-05-16,cleared,event_only
STAFF-041,Rhys Huang,Seasonal Judge,3-dan kendo,AUSKF Judge Level B|SafeSport Certified,2026-08-26,cleared,covered
STAFF-042,Poppy Nair,Event Volunteer Lead,2-dan judo,AUSKF Judge Level B|First Aid CPR|USJF Judge Level B,2027-10-06,cleared,covered
STAFF-043,Yuki Watanabe,Event Volunteer Lead,2-dan kendo,AUSKF Judge Level B|SafeSport Certified|USJF Judge Level B,2027-11-08,cleared,covered
STAFF-044,Jack Miller,Assistant Judo Instructor,2-dan judo,SafeSport Certified|USJF Judge Level B,2028-05-19,cleared,event_only
STAFF-045,Layla Shah,Photography (contract),no rank,First Aid CPR,2027-09-19,cleared,covered
STAFF-046,Nao Patel,Seasonal Judge,4-dan judo,AUSKF Judge Level A|First Aid CPR|USJF Judge Level A,2027-09-22,re_check,1099_no_coverage
STAFF-047,Amir Kang,Scorekeeper (event),2-dan kendo,AUSKF Judge Level B|USJF Judge Level B,2027-04-18,pending,event_only
STAFF-048,Nao Nakamura,Bookkeeper (contract),4-kyu kendo,Concussion Recognition Cert|First Aid CPR|SafeSport Certified,2026-07-20,cleared,event_only
STAFF-049,Anika Allen,Sound Tech (event),no rank,First Aid CPR|SafeSport Certified,2027-03-24,cleared,covered
STAFF-050,Hiro Jones,Seasonal Judge,3-dan judo,AUSKF Judge Level B|First Aid CPR|SafeSport Certified,2027-12-04,cleared,event_only
STAFF-051,Maren Hill,Scorekeeper (event),1-kyu judo,Concussion Recognition Cert|First Aid CPR,2028-09-14,cleared,covered
STAFF-052,Omar Brown,First Aid Attendant,no rank,First Aid CPR,2026-08-20,cleared,1099_no_coverage
STAFF-053,Julian Shah,Front Desk / Admin,2-kyu kendo,Concussion Recognition Cert|First Aid CPR|SafeSport Certified,2026-06-19,pending,covered
STAFF-054,Ines Suzuki,Assistant Judo Instructor,3-dan judo,First Aid CPR|SafeSport Certified,2027-05-25,pending,covered
STAFF-055,Jamal Sato,First Aid Attendant,no rank,First Aid CPR,2027-04-17,cleared,covered
STAFF-056,Beckett Iyer,Assistant Judo Instructor,4-dan judo,AUSKF Instructor Level 3|SafeSport Certified,2026-01-08,cleared,1099_no_coverage
STAFF-057,Ruby Xu,Bookkeeper (contract),4-kyu kendo,Concussion Recognition Cert|First Aid CPR|SafeSport Certified,2026-04-27,pending,event_only
STAFF-058,Jack Roberts,Website Maintenance (contract),no rank,First Aid CPR|SafeSport Certified,2027-12-20,cleared,covered
STAFF-059,Sadie Wu,First Aid Attendant,2-kyu kendo,Bloodborne Pathogen Cert|Wilderness First Aid,2027-12-16,cleared,event_only
STAFF-060,Emi Yamada,Referee (event),5-dan kendo,AUSKF Judge Level A|First Aid CPR|USJF Judge Level A,2026-08-02,cleared,covered
STAFF-061,Rohan Ito,Kids' Class Aide,1-dan judo,Concussion Recognition Cert|First Aid CPR|SafeSport Certified,2027-06-12,cleared,covered
STAFF-062,Fatima Yamada,Seasonal Judge,4-dan judo,AUSKF Judge Level A|AUSKF Judge Level B,2028-06-09,cleared,event_only
STAFF-063,Yuma Brown,Cleaning (contract),no rank,OSHA 10,2027-12-12,re_check,event_only
STAFF-064,Juno Baker,Marketing Consultant (contract),no rank,OSHA 10,2027-01-03,cleared,event_only
STAFF-065,Xi Chen,Seasonal Judge,4-dan judo,AUSKF Judge Level A|AUSKF Judge Level B|First Aid CPR,2028-06-16,cleared,event_only
STAFF-066,Rowan Jackson,Cleaning (contract),no rank,OSHA 10,2027-10-05,cleared,covered
STAFF-067,Lucia Zhou,Event Volunteer Lead,2-dan judo,AUSKF Judge Level B|First Aid CPR|SafeSport Certified,2027-10-05,cleared,covered
STAFF-068,Lucia Wang,Photography (contract),no rank,OSHA 10,2026-12-08,cleared,1099_no_coverage
STAFF-069,Maren Wilson,First Aid Attendant,1-dan kendo,Bloodborne Pathogen Cert|Wilderness First Aid,2028-11-15,pending,covered
STAFF-070,Nadia Hernandez,Seasonal Judge,3-dan judo,AUSKF Judge Level B|First Aid CPR|USJF Judge Level B,2027-11-23,re_check,covered
STAFF-071,Jack Patel,First Aid Attendant,2-kyu kendo,Bloodborne Pathogen Cert|First Aid CPR|Wilderness First Aid,2027-01-05,re_check,event_only
STAFF-072,Ming Kumar,Assistant Judo Instructor,4-dan judo,First Aid CPR|SafeSport Certified,2028-10-28,cleared,event_only
STAFF-073,Mateo Zhang,Videographer (contract),4-kyu kendo,Concussion Recognition Cert|First Aid CPR,2027-09-25,cleared,covered
STAFF-074,Sofia Young,Cleaning (contract),no rank,OSHA 10,2028-11-23,cleared,covered
STAFF-075,Emma White,Assistant Kendo Instructor,2-dan kendo,SafeSport Certified|USJF Judge Level B,2028-05-02,cleared,1099_no_coverage
STAFF-076,Nadia Davis,Assistant Kendo Instructor,2-dan kendo,AUSKF Judge Level B|SafeSport Certified,2028-08-11,pending,event_only
STAFF-077,Ananya Watanabe,Videographer (contract),no rank,First Aid CPR|SafeSport Certified,2028-08-01,cleared,event_only
STAFF-078,Emi Carter,Seasonal Judge,3-dan kendo,SafeSport Certified|USJF Judge Level B,2027-06-11,cleared,covered
STAFF-079,Marisol Wright,Photography (contract),no rank,OSHA 10,2028-10-19,cleared,covered
STAFF-080,Silas Ramirez,Videographer (contract),no rank,First Aid CPR|SafeSport Certified,2028-04-26,cleared,1099_no_coverage
STAFF-081,Hazel Johnson,Assistant Judo Instructor,4-dan judo,AUSKF Instructor Level 2|AUSKF Instructor Level 3|First Aid CPR,2027-07-19,pending,covered
STAFF-082,Omar Smith,Kids' Class Aide,1-dan judo,Concussion Recognition Cert|First Aid CPR|SafeSport Certified,2027-06-20,cleared,covered
STAFF-083,Delia Wright,Referee (event),4-dan kendo,AUSKF Judge Level B|USJF Judge Level A,2027-09-07,cleared,covered
STAFF-084,Zara Song,Sound Tech (event),no rank,OSHA 10,2026-10-10,cleared,covered
STAFF-085,Hiro Taylor,Website Maintenance (contract),no rank,First Aid CPR|SafeSport Certified,2028-08-01,cleared,event_only
STAFF-086,Devi Lopez,Videographer (contract),4-kyu kendo,Concussion Recognition Cert|First Aid CPR|SafeSport Certified,2027-06-03,pending,covered
STAFF-087,Cyrus Anderson,Marketing Consultant (contract),no rank,OSHA 10,2028-04-28,re_check,event_only
STAFF-088,Noah Taylor,Front Desk / Admin,3-kyu judo,Concussion Recognition Cert|First Aid CPR|SafeSport Certified,2026-05-20,cleared,event_only
STAFF-089,Sora Thomas,Event Volunteer Lead,2-dan judo,First Aid CPR|SafeSport Certified|USJF Judge Level B,2026-06-06,cleared,event_only
STAFF-090,Ming Lim,First Aid Attendant,1-kyu kendo,Bloodborne Pathogen Cert|First Aid CPR|Wilderness First Aid,2026-11-16,pending,covered
STAFF-091,Rico Chen,Photography (contract),no rank,First Aid CPR|SafeSport Certified,2026-08-12,cleared,1099_no_coverage
STAFF-092,Miles Young,Timekeeper (event),1-kyu kendo,Concussion Recognition Cert|First Aid CPR|SafeSport Certified,2028-11-07,cleared,covered
STAFF-093,Sakura Campbell,First Aid Attendant,no rank,First Aid CPR,2026-09-09,cleared,covered
STAFF-094,Ravi Park,Videographer (contract),no rank,First Aid CPR,2026-03-14,cleared,covered
STAFF-095,Theo Zhou,Videographer (contract),no rank,First Aid CPR|SafeSport Certified,2026-06-10,cleared,1099_no_coverage
STAFF-096,Omar Nair,Timekeeper (event),1-kyu judo,Concussion Recognition Cert|First Aid CPR,2028-10-07,cleared,event_only
STAFF-097,Juno Scott,Timekeeper (event),1-kyu kendo,Concussion Recognition Cert|First Aid CPR|SafeSport Certified,2027-02-10,cleared,event_only
STAFF-098,Cyrus Kang,Cleaning (contract),no rank,OSHA 10,2026-03-03,re_check,covered
STAFF-099,Ayano Shah,Scorekeeper (event),2-dan kendo,First Aid CPR|USJF Judge Level B,2026-05-04,pending,event_only
STAFF-100,Sage Reddy,Marketing Consultant (contract),no rank,OSHA 10,2028-03-27,cleared,covered
STAFF-101,Haruki Rao,Kids' Class Aide,2-dan kendo,First Aid CPR|SafeSport Certified,2028-01-14,cleared,event_only
STAFF-102,Piper Smith,Assistant Judo Instructor,3-dan judo,AUSKF Judge Level B|First Aid CPR|USJF Judge Level B,2026-01-26,cleared,event_only
STAFF-103,Ava Iyer,Scorekeeper (event),1-kyu judo,First Aid CPR|SafeSport Certified,2026-05-15,re_check,1099_no_coverage
STAFF-104,Anika Adams,Cleaning (contract),no rank,OSHA 10,2028-01-15,cleared,event_only
STAFF-105,Kaede Torres,Event Volunteer Lead,3-dan kendo,SafeSport Certified|USJF Judge Level B,2028-07-22,cleared,covered
