waiver_id,registration_id,signer_type,signer_name,signed_at,waiver_version,status
WAIVER-REG-2026FALL-0023,REG-2026FALL-0023,participant,Graham Scott,2026-10-02T14:00:00-07:00,2026-09,signed
WAIVER-REG-2026FALL-0024,REG-2026FALL-0024,guardian,Jackson Green,2026-07-02T17:00:00-07:00,2026-09,signed
WAIVER-REG-2026FALL-0025,REG-2026FALL-0025,guardian,Megan Delgado,2026-09-07T12:00:00-07:00,2026-09,signed
WAIVER-REG-2026FALL-0026,REG-2026FALL-0026,participant,Nadia Henderson,2026-10-01T10:00:00-07:00,2026-09,signed
WAIVER-REG-2026FALL-0027,REG-2026FALL-0027,guardian,Jade Shaw,2026-10-01T14:00:00-07:00,2026-09,signed
WAIVER-REG-2026FALL-0028,REG-2026FALL-0028,participant,Finn Bennett,2026-08-01T19:00:00-07:00,2026-09,signed
WAIVER-REG-2026FALL-0029,REG-2026FALL-0029,participant,Kenji Rodriguez,2026-09-01T13:00:00-07:00,2026-09,signed
WAIVER-REG-2026FALL-0030,REG-2026FALL-0030,participant,Charlotte Sanchez,2026-09-08T19:00:00-07:00,2026-09,signed
WAIVER-REG-2026FALL-0031,REG-2026FALL-0031,participant,Emma Garcia,2026-08-03T12:00:00-07:00,2026-09,signed
WAIVER-REG-2026FALL-0032,REG-2026FALL-0032,guardian,Kaia Tanaka,2026-09-05T19:00:00-07:00,2026-09,signed
WAIVER-REG-2026FALL-0033,REG-2026FALL-0033,participant,Carlos Stewart,2026-08-08T11:00:00-07:00,2026-09,signed
WAIVER-REG-2026FALL-0034,REG-2026FALL-0034,participant,Elliott Wong,2026-10-09T13:00:00-07:00,2026-09,signed
WAIVER-REG-2026FALL-0035,REG-2026FALL-0035,participant,Caleb Adams,2026-08-02T12:00:00-07:00,2026-09,signed
WAIVER-REG-2026FALL-0036,REG-2026FALL-0036,participant,Megan Ross,2026-07-03T11:00:00-07:00,2026-09,signed
WAIVER-REG-2026FALL-0037,REG-2026FALL-0037,guardian,Emery Wood,2026-07-04T08:00:00-07:00,2026-09,signed
WAIVER-REG-2026FALL-0038,REG-2026FALL-0038,participant,Felix Thomas,2026-08-05T13:00:00-07:00,2026-09,signed
WAIVER-REG-2026FALL-0039,REG-2026FALL-0039,participant,Finn Campbell,2026-07-01T11:00:00-07:00,2026-09,signed
WAIVER-REG-2026FALL-0040,REG-2026FALL-0040,guardian,Victor Adams,2026-08-08T17:00:00-07:00,2026-09,signed
WAIVER-REG-2026FALL-0041,REG-2026FALL-0041,participant,Ava Shaw,2026-09-02T12:00:00-07:00,2026-09,signed
WAIVER-REG-2026FALL-0042,REG-2026FALL-0042,participant,Maya Hall,NEVER_DISPATCHED,2026-09,missing
WAIVER-REG-2026FALL-0043,REG-2026FALL-0043,participant,Mason Coleman,NEVER_DISPATCHED,2026-09,missing
WAIVER-REG-2026FALL-0044,REG-2026FALL-0044,guardian,Ruby Cook,2026-08-04T18:00:00-07:00,2026-09,signed
WAIVER-REG-2026FALL-0045,REG-2026FALL-0045,participant,Wren Henderson,2026-10-09T08:00:00-07:00,2026-09,signed
WAIVER-REG-2026FALL-0046,REG-2026FALL-0046,guardian,Oscar Nakamura,2026-07-08T10:00:00-07:00,2026-09,signed
WAIVER-REG-2026FALL-0047,REG-2026FALL-0047,participant,Ivy Nelson,2026-07-04T12:00:00-07:00,2026-09,signed
WAIVER-REG-2026FALL-0048,REG-2026FALL-0048,participant,Beckett Nelson,2026-09-07T14:00:00-07:00,2026-09,signed
WAIVER-REG-2026FALL-0049,REG-2026FALL-0049,participant,Charlotte Anderson,2026-08-08T12:00:00-07:00,2026-09,signed
WAIVER-REG-2026FALL-0050,REG-2026FALL-0050,participant,Kira Shaw,2026-10-10T09:00:00-07:00,2026-09,signed
WAIVER-REG-2026FALL-0051,REG-2026FALL-0051,participant,Dominic Wong,NEVER_DISPATCHED,2026-09,missing
WAIVER-REG-2026FALL-0052,REG-2026FALL-0052,participant,Henry Cooper,2026-09-09T18:00:00-07:00,2026-09,signed
WAIVER-REG-2026FALL-0053,REG-2026FALL-0053,guardian,Michael Lopez,2026-07-08T09:00:00-07:00,2026-09,signed
WAIVER-REG-2026FALL-0054,REG-2026FALL-0054,participant,Layla Price,2026-09-05T12:00:00-07:00,2026-09,signed
WAIVER-REG-2026FALL-0055,REG-2026FALL-0055,guardian,Carlos Rivera,2026-09-04T10:00:00-07:00,2026-09,signed
WAIVER-REG-2026FALL-0056,REG-2026FALL-0056,participant,Mia Park,2026-07-10T14:00:00-07:00,2026-09,signed
WAIVER-REG-2026FALL-0057,REG-2026FALL-0057,participant,Jasper Kumar,2026-07-08T12:00:00-07:00,2026-09,signed
WAIVER-REG-2026FALL-0058,REG-2026FALL-0058,participant,Caleb Hayashi,2026-10-01T17:00:00-07:00,2026-09,signed
WAIVER-REG-2026FALL-0059,REG-2026FALL-0059,participant,Hana Reed,2026-08-06T19:00:00-07:00,2026-09,signed
WAIVER-REG-2026FALL-0060,REG-2026FALL-0060,participant,Suki Hall,2026-10-06T16:00:00-07:00,2026-09,signed
WAIVER-REG-2026FALL-0061,REG-2026FALL-0061,participant,Aaron Adams,2026-08-05T09:00:00-07:00,2026-09,signed
WAIVER-REG-2026FALL-0062,REG-2026FALL-0062,guardian,Kaia Torres,2026-08-06T18:00:00-07:00,2026-09,signed
WAIVER-REG-2026FALL-0063,REG-2026FALL-0063,participant,Hiroshi King,2026-09-07T20:00:00-07:00,2026-09,signed
WAIVER-REG-2026FALL-0064,REG-2026FALL-0064,participant,Sophia Hall,2026-09-08T09:00:00-07:00,2026-09,signed
WAIVER-REG-2026FALL-0065,REG-2026FALL-0065,participant,Suki Campbell,2026-07-08T11:00:00-07:00,2026-09,signed
WAIVER-REG-2026FALL-0066,REG-2026FALL-0066,participant,Harper Green,2026-10-09T12:00:00-07:00,2026-09,signed
WAIVER-REG-2026FALL-0067,REG-2026FALL-0067,participant,Derek Kobayashi,2026-08-03T11:00:00-07:00,2026-09,signed
WAIVER-REG-2026FALL-0068,REG-2026FALL-0068,participant,Julian Hoffman,2026-10-03T13:00:00-07:00,2026-09,signed
WAIVER-REG-2026FALL-0069,REG-2026FALL-0069,participant,Violet Wong,2026-07-08T13:00:00-07:00,2026-09,signed
WAIVER-REG-2026FALL-0070,REG-2026FALL-0070,guardian,Troy Evans,2026-07-01T15:00:00-07:00,2026-09,signed
WAIVER-REG-2026FALL-0071,REG-2026FALL-0071,participant,Mei Green,2026-08-10T20:00:00-07:00,2026-09,signed
WAIVER-REG-2026FALL-0072,REG-2026FALL-0072,participant,Grant Ito,2026-07-03T17:00:00-07:00,2026-09,signed
WAIVER-REG-2026FALL-0073,REG-2026FALL-0073,participant,Leo Ross,2026-10-08T14:00:00-07:00,2026-09,signed
WAIVER-REG-2026FALL-0074,REG-2026FALL-0074,participant,Grace Chen,NEVER_DISPATCHED,2026-09,missing
WAIVER-REG-2026FALL-0075,REG-2026FALL-0075,participant,Michael Coleman,2026-07-06T20:00:00-07:00,2026-09,signed
WAIVER-REG-2026FALL-0076,REG-2026FALL-0076,participant,Luna Hernandez,2026-07-04T11:00:00-07:00,2026-09,signed
WAIVER-REG-2026FALL-0077,REG-2026FALL-0077,participant,Elena Harris,2026-08-02T14:00:00-07:00,2026-09,signed
WAIVER-REG-2026FALL-0078,REG-2026FALL-0078,participant,Liam Bailey,2026-07-01T12:00:00-07:00,2026-09,signed
WAIVER-REG-2026FALL-0079,REG-2026FALL-0079,participant,Nora Yamamoto,2026-09-07T18:00:00-07:00,2026-09,signed
WAIVER-REG-2026FALL-0080,REG-2026FALL-0080,participant,Brianna Cook,2026-10-06T20:00:00-07:00,2026-09,signed
WAIVER-REG-2026FALL-0081,REG-2026FALL-0081,participant,Clark Rodriguez,2026-10-01T11:00:00-07:00,2026-09,signed
WAIVER-REG-2026FALL-0082,REG-2026FALL-0082,participant,Kaia Suzuki,UNKNOWN,2026-09,bounced
WAIVER-REG-2026FALL-0083,REG-2026FALL-0083,participant,Andre Suzuki,NEVER_DISPATCHED,2026-09,missing
WAIVER-REG-2026FALL-0084,REG-2026FALL-0084,participant,Leo Taylor,NEVER_DISPATCHED,2026-09,missing
WAIVER-REG-2026FALL-0085,REG-2026FALL-0085,participant,Finn Barnes,NEVER_DISPATCHED,2026-09,missing
WAIVER-REG-2026FALL-0086,REG-2026FALL-0086,participant,Sierra Singh,NEVER_DISPATCHED,2026-09,missing
WAIVER-REG-2026FALL-0087,REG-2026FALL-0087,participant,Hana Mitchell,NEVER_DISPATCHED,2026-09,missing
WAIVER-REG-2026FALL-0088,REG-2026FALL-0088,participant,Emma Watanabe,PENDING_SIGNATURE,2026-09,sent_unsigned
WAIVER-REG-2026FALL-0089,REG-2026FALL-0089,participant,James Parker,NEVER_DISPATCHED,2026-09,missing
WAIVER-REG-2026FALL-0090,REG-2026FALL-0090,participant,Megan Tanaka,PENDING_SIGNATURE,2026-09,sent_unsigned
WAIVER-REG-2026FALL-0091,REG-2026FALL-0091,participant,Jin Evans,UNKNOWN,2026-09,bounced
WAIVER-REG-2026FALL-0092,REG-2026FALL-0092,participant,Sean Edwards,NEVER_DISPATCHED,2026-09,missing
WAIVER-REG-2026FALL-0093,REG-2026FALL-0093,participant,Hana Moore,UNKNOWN,2026-09,bounced
WAIVER-REG-2026FALL-0094,REG-2026FALL-0094,guardian,Elena Walker,UNKNOWN,2026-09,bounced
WAIVER-REG-2026FALL-0095,REG-2026FALL-0095,participant,Emily Wood,NEVER_DISPATCHED,2026-09,missing
WAIVER-REG-2026FALL-0096,REG-2026FALL-0096,participant,Hazel Scott,UNKNOWN,2026-09,bounced
WAIVER-REG-2026FALL-0097,REG-2026FALL-0097,participant,Ian Robinson,NEVER_DISPATCHED,2026-09,missing
WAIVER-REG-2026FALL-0098,REG-2026FALL-0098,guardian,Ellie Fox,UNKNOWN,2026-09,bounced
WAIVER-REG-2026FALL-0099,REG-2026FALL-0099,participant,Patrick Rivera,NEVER_DISPATCHED,2026-09,missing
WAIVER-REG-2026FALL-0100,REG-2026FALL-0100,guardian,Hazel Phillips,UNKNOWN,2026-09,bounced
WAIVER-REG-2026FALL-0101,REG-2026FALL-0101,participant,Jackson Mori,NEVER_DISPATCHED,2026-09,missing
WAIVER-REG-2026FALL-0102,REG-2026FALL-0102,participant,Reed Lewis,NEVER_DISPATCHED,2026-09,missing
WAIVER-REG-2026FALL-0103,REG-2026FALL-0103,participant,Aiden Ross,NEVER_DISPATCHED,2026-09,missing
WAIVER-REG-2026FALL-0104,REG-2026FALL-0104,participant,Emma Green,NEVER_DISPATCHED,2026-09,missing
WAIVER-REG-2026FALL-0105,REG-2026FALL-0105,participant,Sean Nakamura,NEVER_DISPATCHED,2026-09,missing
WAIVER-REG-2026FALL-0106,REG-2026FALL-0106,participant,Reed Bailey,NEVER_DISPATCHED,2026-09,missing
WAIVER-REG-2026FALL-0107,REG-2026FALL-0107,participant,Anika Garcia,NEVER_DISPATCHED,2026-09,missing
WAIVER-REG-2026FALL-0108,REG-2026FALL-0108,participant,Skye Parker,UNKNOWN,2026-09,bounced
WAIVER-REG-2026FALL-0109,REG-2026FALL-0109,participant,Layla Nelson,NEVER_DISPATCHED,2026-09,missing
WAIVER-REG-2026FALL-0110,REG-2026FALL-0110,participant,Min Suzuki,NEVER_DISPATCHED,2026-09,missing
WAIVER-REG-2026FALL-0111,REG-2026FALL-0111,guardian,Nathan Morgan,NEVER_DISPATCHED,2026-09,missing
WAIVER-REG-2026FALL-0112,REG-2026FALL-0112,guardian,Suki Wilson,NEVER_DISPATCHED,2026-09,missing
WAIVER-REG-2026FALL-0113,REG-2026FALL-0113,participant,Philip Yamamoto,NEVER_DISPATCHED,2026-09,missing
WAIVER-REG-2026FALL-0114,REG-2026FALL-0114,participant,Brynn Bennett,NEVER_DISPATCHED,2026-09,missing
WAIVER-REG-2026FALL-0115,REG-2026FALL-0115,participant,Philip Takahashi,NEVER_DISPATCHED,2026-09,missing
WAIVER-REG-2026FALL-0116,REG-2026FALL-0116,participant,Lauren Bell,NEVER_DISPATCHED,2026-09,missing
WAIVER-REG-2026FALL-0117,REG-2026FALL-0117,participant,Abigail White,UNKNOWN,2026-09,bounced
WAIVER-REG-2026FALL-0118,REG-2026FALL-0118,participant,Violet Adams,NEVER_DISPATCHED,2026-09,missing
WAIVER-REG-2026FALL-0119,REG-2026FALL-0119,participant,Takeshi Mitchell,NEVER_DISPATCHED,2026-09,missing
WAIVER-REG-2026FALL-0120,REG-2026FALL-0120,participant,Naomi Hoffman,NEVER_DISPATCHED,2026-09,missing
WAIVER-REG-2026FALL-0121,REG-2026FALL-0121,participant,Ava Reeves,NEVER_DISPATCHED,2026-09,missing
WAIVER-REG-2026FALL-0122,REG-2026FALL-0122,participant,Wren Russell,UNKNOWN,2026-09,bounced
WAIVER-REG-2026FALL-0123,REG-2026FALL-0123,guardian,Mitchell Allen,UNKNOWN,2026-09,bounced
WAIVER-REG-2026FALL-0124,REG-2026FALL-0124,participant,Abigail Wood,UNKNOWN,2026-09,bounced
WAIVER-REG-2026FALL-0125,REG-2026FALL-0125,participant,Brandon Mitchell,UNKNOWN,2026-09,bounced
