division,expected_fighter_count,judge_id,judge_name,backup_judge_id
Kids Kendo U12 (Fall 2024),15,STAFF-042,Sakura Wu,STAFF-008
Youth Kendo U18 (Fall 2024),12,STAFF-006,Liam Lopez,STAFF-001
Adult Kendo Kyu (Fall 2024),26,STAFF-055,Ananya Kumar,STAFF-006
Adult Kendo Dan (Fall 2024),22,STAFF-042,Shiori Young,STAFF-022
Kids Judo U12 (Fall 2024),11,STAFF-018,Miku Wilson,STAFF-008
Adult Judo Kyu (Fall 2024),13,STAFF-005,Sadie Verma,STAFF-012
Adult Judo Dan (Fall 2024),13,STAFF-004,Rico Ma,STAFF-042
Judo Open (Fall 2024),15,STAFF-004,Rowan Chen,STAFF-005
Kata Demonstration (Fall 2024),8,STAFF-004,Yuma Gonzalez,STAFF-002
Kids Kendo U12 (Spring 2024),24,STAFF-010,Rina Carter,STAFF-042
Youth Kendo U18 (Spring 2024),15,STAFF-008,Jin Shah,STAFF-035
Adult Kendo Kyu (Spring 2024),34,STAFF-012,Ezra Mitchell,STAFF-006
Adult Kendo Dan (Spring 2024),21,STAFF-055,Callum Hernandez,STAFF-004
Kids Judo U12 (Spring 2024),8,STAFF-004,Xi Lewis,STAFF-022
Adult Judo Kyu (Spring 2024),11,STAFF-028,Poppy Kobayashi,STAFF-008
Adult Judo Dan (Spring 2024),15,STAFF-002,Hazel Young,STAFF-007
Judo Open (Spring 2024),7,STAFF-001,Marisol Zhang,STAFF-035
Kata Demonstration (Spring 2024),9,STAFF-002,Juno Hall,STAFF-010
Kids Kendo U12 (Junior Open 2025),20,STAFF-055,Nao Hernandez,STAFF-022
Youth Kendo U18 (Junior Open 2025),20,STAFF-012,Noa Wilson,STAFF-004
Adult Kendo Kyu (Junior Open 2025),25,STAFF-006,Ines Watanabe,STAFF-012
Adult Kendo Dan (Junior Open 2025),15,STAFF-028,Camila Lopez,STAFF-022
Kids Judo U12 (Junior Open 2025),12,STAFF-005,Malik Sanchez,STAFF-018
Adult Judo Kyu (Junior Open 2025),10,STAFF-003,Sage Yamada,STAFF-035
Adult Judo Dan (Junior Open 2025),9,STAFF-055,Aoi Wright,STAFF-015
Judo Open (Junior Open 2025),13,STAFF-004,Wren Zhang,STAFF-006
Kata Demonstration (Junior Open 2025),6,STAFF-022,Noa Clark,STAFF-018
Kids Kendo U12 (Junior Open 2026),20,STAFF-028,Beckett White,STAFF-005
Youth Kendo U18 (Junior Open 2026),15,STAFF-003,Grady Johnson,STAFF-042
Adult Kendo Kyu (Junior Open 2026),34,STAFF-042,August Martinez,STAFF-006
Adult Kendo Dan (Junior Open 2026),18,STAFF-007,Callum Sanchez,STAFF-006
Kids Judo U12 (Junior Open 2026),12,STAFF-009,Omar Liu,STAFF-001
Adult Judo Kyu (Junior Open 2026),15,STAFF-010,Shiori Wilson,STAFF-055
Adult Judo Dan (Junior Open 2026),15,STAFF-007,Cruz Williams,STAFF-008
Judo Open (Junior Open 2026),15,STAFF-004,Amir Thomas,STAFF-005
Kata Demonstration (Junior Open 2026),4,STAFF-005,Ella Wilson,STAFF-015
Kids Kendo U12 (Regional Qualifier 2025),20,STAFF-002,Hiro Zhou,STAFF-042
Youth Kendo U18 (Regional Qualifier 2025),17,STAFF-010,Ming Zhou,STAFF-022
Adult Kendo Kyu (Regional Qualifier 2025),29,STAFF-002,Shiori Anderson,STAFF-010
Adult Kendo Dan (Regional Qualifier 2025),14,STAFF-008,Wyatt Allen,STAFF-006
Kids Judo U12 (Regional Qualifier 2025),13,STAFF-001,Zhen Campbell,STAFF-055
Adult Judo Kyu (Regional Qualifier 2025),17,STAFF-018,Ren Song,STAFF-006
Adult Judo Dan (Regional Qualifier 2025),10,STAFF-009,Sloane Rivera,STAFF-055
Judo Open (Regional Qualifier 2025),5,STAFF-010,Callum Green,STAFF-018
Kata Demonstration (Regional Qualifier 2025),2,STAFF-028,Ines Thompson,STAFF-005
Kids Kendo U12 (Regional Qualifier 2026),20,STAFF-003,Zara Verma,STAFF-004
Youth Kendo U18 (Regional Qualifier 2026),14,STAFF-042,Layla Zhang,STAFF-055
Adult Kendo Kyu (Regional Qualifier 2026),30,STAFF-012,Ayano Ito,STAFF-035
Adult Kendo Dan (Regional Qualifier 2026),23,STAFF-006,Noah Tanaka,STAFF-055
Kids Judo U12 (Regional Qualifier 2026),13,STAFF-007,Chen Robinson,STAFF-002
Adult Judo Kyu (Regional Qualifier 2026),15,STAFF-004,Wyatt Nguyen,STAFF-005
Adult Judo Dan (Regional Qualifier 2026),8,STAFF-055,Iris Roberts,STAFF-012
Judo Open (Regional Qualifier 2026),5,STAFF-007,Aoi Liu,STAFF-009
Kata Demonstration (Regional Qualifier 2026),5,STAFF-008,Henry Thompson,STAFF-010
