id,employeeId,type,status,start,end,amount,unit,notes,created
TOR-00150,BHR-00197,2026-01-25,2026-11-24,1,Personal,approved,Nora Carter,generic entry #703,detail_723
TOR-00151,BHR-00102,2026-08-24,2027-01-04,1,Training,approved,Jamal Kumar,generic entry #135,detail_203
TOR-00152,BHR-00189,2026-03-19,2026-12-01,1,Sick,approved,Malik Chen,generic entry #608,detail_248
TOR-00153,BHR-00165,2026-05-20,2026-12-25,5,Sick,pending,Kaito Williams,generic entry #305,detail_534
TOR-00154,BHR-00200,2026-03-19,2026-11-03,8,Bereavement,denied,Emilio Ma,generic entry #454,detail_224
TOR-00155,BHR-00175,2026-05-28,2026-11-13,4,Bereavement,pending,August Yoshida,generic entry #118,detail_737
TOR-00156,BHR-00203,2026-10-11,2026-11-03,1,Sick,cancelled,Liam Walker,generic entry #865,detail_983
TOR-00157,BHR-00152,2026-10-14,2026-11-10,5,Sick,approved,Otto Nguyen,generic entry #598,detail_365
TOR-00158,BHR-00150,2026-05-28,2026-10-20,3,Training,denied,Sanjay Moore,generic entry #219,detail_508
TOR-00159,BHR-00167,2026-01-13,2026-12-24,7,Personal,pending,Zara Yoon,generic entry #677,detail_374
TOR-00160,BHR-00134,2026-06-10,2026-10-26,4,Family,denied,Omar Sanchez,generic entry #816,detail_780
TOR-00161,BHR-00150,2026-07-26,2026-10-23,7,Training,cancelled,Ansel Moore,generic entry #910,detail_979
TOR-00162,BHR-00125,2026-06-27,2026-12-16,3,Family,cancelled,Wei Liu,generic entry #635,detail_318
TOR-00163,BHR-00102,2026-08-09,2026-11-25,10,Bereavement,approved,Clara Choi,generic entry #181,detail_130
TOR-00164,BHR-00115,2026-06-11,2026-10-24,4,Sick,approved,Ezra Wang,generic entry #447,detail_165
TOR-00165,BHR-00106,2026-07-18,2026-12-11,6,Sick,approved,Emi Zhang,generic entry #389,detail_150
TOR-00166,BHR-00198,2026-06-23,2026-11-11,9,Vacation,approved,Riku Roberts,generic entry #844,detail_633
TOR-00167,BHR-00203,2026-01-19,2026-11-04,2,Bereavement,denied,Rohan Martin,generic entry #773,detail_553
TOR-00168,BHR-00205,2026-09-13,2026-12-15,7,Family,pending,Nadia White,generic entry #970,detail_627
TOR-00169,BHR-00146,2026-09-06,2026-11-30,4,Vacation,approved,Sanjay Martinez,generic entry #165,detail_604
TOR-00170,BHR-00116,2026-08-07,2026-12-16,1,Vacation,approved,Kai Nakamura,generic entry #316,detail_882
TOR-00171,BHR-00101,2026-09-27,2026-12-22,2,Vacation,cancelled,Callum Iyer,generic entry #428,detail_620
TOR-00172,BHR-00153,2026-03-22,2026-11-16,9,Sick,pending,Kai Robinson,generic entry #397,detail_545
TOR-00173,BHR-00199,2026-09-05,2026-12-03,8,Sick,cancelled,Sakura Moore,generic entry #749,detail_115
TOR-00174,BHR-00157,2026-03-12,2026-11-12,5,Bereavement,pending,Ava Kobayashi,generic entry #355,detail_529
TOR-00175,BHR-00199,2026-08-08,2027-01-06,2,Sick,approved,Ayano Hernandez,generic entry #340,detail_183
TOR-00176,BHR-00131,2026-03-29,2026-12-13,6,Vacation,cancelled,Nico Moore,generic entry #971,detail_882
TOR-00177,BHR-00177,2026-01-18,2027-01-03,1,Sick,denied,Rafael Flores,generic entry #209,detail_771
TOR-00178,BHR-00132,2026-01-31,2026-12-13,3,Family,cancelled,Silas Tanaka,generic entry #854,detail_183
TOR-00179,BHR-00195,2026-04-03,2026-12-29,7,Sick,cancelled,Miles Rodriguez,generic entry #400,detail_202
TOR-00180,BHR-00147,2026-01-29,2026-11-27,2,Family,pending,Hazel Lee,generic entry #611,detail_885
TOR-00181,BHR-00189,2026-05-05,2026-11-08,9,Family,pending,Ren Yamamoto,generic entry #592,detail_480
TOR-00182,BHR-00144,2026-02-06,2026-11-19,2,Vacation,approved,Bao Song,generic entry #324,detail_485
TOR-00183,BHR-00152,2026-07-07,2026-12-02,2,Family,pending,Theo Yamamoto,generic entry #929,detail_913
TOR-00184,BHR-00136,2026-01-02,2026-11-23,9,Sick,approved,Ayano Watanabe,generic entry #676,detail_178
TOR-00185,BHR-00165,2026-10-02,2026-11-25,3,Sick,pending,Hazel Nguyen,generic entry #944,detail_380
TOR-00186,BHR-00165,2026-03-20,2026-11-22,9,Bereavement,cancelled,Sofia Mitchell,generic entry #461,detail_440
TOR-00187,BHR-00102,2026-05-25,2026-12-26,10,Sick,denied,Isla Mitchell,generic entry #708,detail_987
TOR-00188,BHR-00139,2026-09-05,2026-12-03,2,Family,cancelled,Wren Lim,generic entry #765,detail_181
TOR-00189,BHR-00193,2026-08-22,2026-10-31,5,Training,approved,Amir Zhou,generic entry #816,detail_845
TOR-00190,BHR-00149,2026-08-06,2027-01-11,6,Personal,approved,Amir Iyer,generic entry #235,detail_836
TOR-00191,BHR-00125,2026-07-29,2027-01-04,10,Vacation,pending,Riku Kang,generic entry #164,detail_704
TOR-00192,BHR-00126,2026-04-01,2026-11-23,5,Vacation,pending,Aisha Shin,generic entry #821,detail_527
TOR-00193,BHR-00132,2026-06-21,2026-10-31,6,Family,approved,Takumi Nguyen,generic entry #930,detail_603
TOR-00194,BHR-00125,2026-07-22,2026-11-24,3,Family,pending,Jack Kim,generic entry #760,detail_479
TOR-00195,BHR-00168,2026-02-06,2026-12-31,7,Sick,approved,Rohan Thompson,generic entry #627,detail_665
TOR-00196,BHR-00203,2026-05-26,2026-10-31,3,Bereavement,pending,Layla Huang,generic entry #320,detail_527
TOR-00197,BHR-00201,2026-03-01,2026-12-21,3,Family,approved,Blythe Wright,generic entry #725,detail_209
TOR-00198,BHR-00167,2026-02-05,2026-11-20,10,Training,approved,Delia Yoshida,generic entry #159,detail_302
TOR-00199,BHR-00196,2026-04-07,2026-11-14,8,Vacation,cancelled,Piper Baker,generic entry #638,detail_375
TOR-00200,BHR-00134,2026-06-23,2026-12-23,1,Vacation,pending,Levi Lee,generic entry #360,detail_674
TOR-00201,BHR-00184,2026-02-24,2026-11-01,10,Vacation,approved,Miles Kim,generic entry #956,detail_719
TOR-00202,BHR-00192,2026-04-30,2026-11-22,2,Family,approved,Reed Nelson,generic entry #903,detail_760
TOR-00203,BHR-00110,2026-06-19,2027-01-12,9,Training,approved,Sanjay Lewis,generic entry #656,detail_746
TOR-00204,BHR-00188,2026-09-03,2026-10-23,3,Sick,pending,Rina Wright,generic entry #666,detail_828
