id,createdTime,client_id,client_name,address,city,zip,last_job_date,panel_amps,roof_orientation,roof_age_years,property_year_built,warranty_through,solar_fit_score,notes
rec_zt3p3r0ud6h2,2025-09-22,C033,Rina Fox,2245 S Whitnall Ave,Milwaukee,53207,2023-03-25,150,North,17,1931,2028-03-25,1,Direct neighbor of Bjornson rewire job
rec_mcsqk5gv9xxz,2026-09-27,C034,Calvin Trees,3814 S Wildwood Ave,St. Francis,53235,2024-11-14,200,South,3,1961,2029-11-14,8,
rec_v95vk0ffbofr,2026-01-28,C035,Yuri Klein,2519 S Lenox St,Milwaukee,53207,2022-12-09,100,West,16,1934,2027-12-09,2,
rec_pox06wwwcudo,2026-05-03,C036,Hannah Lim,3201 S Logan Ave,Milwaukee,53207,2023-05-31,200,South,2,1956,2028-05-31,9,Korean Presbyterian congregation
rec_pqgdtqdwj5ub,2025-05-24,C037,Eli Davenport,4225 S Pine Ave,St. Francis,53235,2024-07-05,200,SW,5,1963,2029-07-05,7,
rec_dlczkyp24q3z,2025-10-30,C038,Margo Welch,2710 S Allis St,Milwaukee,53207,2022-06-18,200,SE,7,1953,2027-06-18,6,
rec_6bwk4fj9o4g8,2025-03-19,C039,Trevor Aoki,3617 S New York Ave,Milwaukee,53207,2023-09-09,200,South,2,1960,2028-09-09,9,
rec_dpqt7wfdtirj,2026-07-20,C040,Beth Sandberg,2820 S Pennsylvania Ave,St. Francis,53235,2024-04-23,200,South,3,1962,2029-04-23,8,
rec_n2ff9ugjupnz,2025-12-28,C041,Junji Komori,3120 S Howell Ave,Milwaukee,53207,2023-12-02,200,South,1,1965,2028-12-02,9,Asked about solar Mar 2026
rec_rilpejek1ei0,2025-08-24,C042,Lauren Ott,2438 S Logan Ave,Milwaukee,53207,2024-06-29,150,East,12,1937,2029-06-29,3,
rec_xwqjq94a8by2,2026-01-20,C043,Hector Solana,3905 S Burrell St,Milwaukee,53207,2022-09-14,200,South,4,1958,2027-09-14,8,
rec_6tlneg1bsc90,2025-12-08,C044,Becky Glass,4015 S Packard Ave,Cudahy,53110,2024-01-26,200,SW,6,1961,2029-01-26,7,
rec_8bt1dlfodmhe,2025-02-06,C045,Owen Frye,2533 S Wentworth Ave,Milwaukee,53207,2023-04-11,200,South,2,1955,2028-04-11,9,
rec_skkqzwom38dl,2025-01-20,C046,Mia Carrasco,3329 S Kinnickinnic Ave,Milwaukee,53207,2024-09-23,200,SE,5,1960,2029-09-23,7,
rec_2k3mkcpq0lo9,2025-09-17,C047,Daniel Pruitt,2729 S Pine Ave,Milwaukee,53207,2023-07-28,100,North,19,1928,2028-07-28,1,
rec_ysipx9erwc9y,2026-07-29,C048,Imelda Vargas,4408 S Whitnall Ave,Cudahy,53110,2022-11-05,200,South,3,1963,2027-11-05,8,
rec_hdxwc9h7oou0,2025-10-26,C049,Russ Hooper,2918 S Lipton Ave,Milwaukee,53207,2024-03-17,200,South,1,1965,2029-03-17,9,
rec_fwf1lnl4959v,2026-05-12,C050,Sarah Drechsler,3742 S Howell Ave,Milwaukee,53207,2023-08-02,200,SW,4,1959,2028-08-02,8,
rec_hz2mo28kh41f,2026-02-03,C051,Lin Zhou,2107 S Logan Ave,Milwaukee,53207,2024-10-08,200,South,2,1958,2029-10-08,9,
rec_qakl4fyu1ipd,2026-04-26,C052,Brett Hofer,3308 S Wentworth Ave,Milwaukee,53207,2022-07-22,200,SE,8,1954,2027-07-22,6,
rec_niu9t2pb23o0,2025-10-16,C053,Connie Bjelajac,4523 S Packard Ave,Cudahy,53110,2023-11-26,150,East,11,1942,2028-11-26,3,
rec_l5u5jp6wkhih,2025-12-26,C054,Manny Acosta,2818 S Howell Ave,Milwaukee,53207,2024-08-14,200,South,3,1962,2029-08-14,8,
rec_5stfzzf4gpil,2026-01-28,C055,Frieda Hollander,3015 S Burrell St,Milwaukee,53207,2023-01-29,200,South,5,1957,2028-01-29,7,Older home but recent reroof
rec_l5v6z92raws6,2026-01-17,C056,Tobias Hwang,3917 S Pine Ave,St. Francis,53235,2024-05-19,200,South,2,1964,2029-05-19,9,Korean Presbyterian
rec_88i7tom6uhox,2025-06-10,C057,Audrey Mendel,2625 S Allis St,Milwaukee,53207,2022-04-06,200,North,9,1948,2027-04-06,3,
rec_sxpuvzzf4geu,2025-04-10,C058,Glenn Pasternak,3204 S Pennsylvania Ave,St. Francis,53235,2024-12-17,200,South,1,1965,2029-12-17,9,
rec_0smfe77rryej,2026-02-13,C059,Petra Lindgren,2840 S Whitnall Ave,Milwaukee,53207,2023-06-22,150,West,15,1933,2028-06-22,2,
rec_h1gtxyv3w2i7,2026-03-27,C060,Tomas Reyes,3611 S Kinnickinnic Ave,Milwaukee,53207,2024-02-04,200,SE,6,1959,2029-02-04,7,
rec_qyryh6dkm3ts,2026-03-28,C061,Whitney Briggs,4129 S Howell Ave,Milwaukee,53207,2023-10-13,200,South,3,1961,2028-10-13,8,
rec_bn3tf72ng5d3,2025-08-15,C062,Doug Kallenberger,2517 S Logan Ave,Milwaukee,53207,2024-07-21,200,SW,4,1958,2029-07-21,7,
