transaction_id,account_id,amount,iso_currency_code,date,name,merchant_name,category,pending,payment_channel
txn-pend-01,acc-chk-001,-1250.00,USD,2026-10-22,Deposit Denise Newton transmission service,Denise Newton,Transfer;Deposit,true,other
txn-set-0131,acc-sav-002,66.5,USD,2026-09-05,Vendor Purchase 31,Merchant 31,Shops;Automotive,false,in store
txn-set-0132,acc-chk-001,68.0,USD,2026-09-06,Vendor Purchase 32,Merchant 32,Shops;Automotive,false,in store
txn-set-0133,acc-sav-002,69.5,USD,2026-09-07,Vendor Purchase 33,Merchant 33,Shops;Automotive,false,in store
txn-set-0134,acc-chk-001,71.0,USD,2026-09-08,Vendor Purchase 34,Merchant 34,Shops;Automotive,false,in store
txn-set-0135,acc-sav-002,72.5,USD,2026-09-09,Vendor Purchase 35,Merchant 35,Shops;Automotive,false,in store
txn-set-0136,acc-chk-001,74.0,USD,2026-09-10,Vendor Purchase 36,Merchant 36,Shops;Automotive,false,in store
txn-set-0137,acc-sav-002,75.5,USD,2026-09-11,Vendor Purchase 37,Merchant 37,Shops;Automotive,false,in store
txn-set-0138,acc-chk-001,77.0,USD,2026-09-12,Vendor Purchase 38,Merchant 38,Shops;Automotive,false,in store
txn-set-0139,acc-sav-002,78.5,USD,2026-09-13,Vendor Purchase 39,Merchant 39,Shops;Automotive,false,in store
txn-set-0140,acc-chk-001,80.0,USD,2026-09-14,Vendor Purchase 40,Merchant 40,Shops;Automotive,false,in store
txn-set-0141,acc-sav-002,81.5,USD,2026-09-15,Vendor Purchase 41,Merchant 41,Shops;Automotive,false,in store
txn-set-0142,acc-chk-001,83.0,USD,2026-09-16,Vendor Purchase 42,Merchant 42,Shops;Automotive,false,in store
txn-set-0143,acc-sav-002,84.5,USD,2026-09-17,Vendor Purchase 43,Merchant 43,Shops;Automotive,false,in store
txn-set-0144,acc-chk-001,86.0,USD,2026-09-18,Vendor Purchase 44,Merchant 44,Shops;Automotive,false,in store
txn-set-0145,acc-sav-002,87.5,USD,2026-09-19,Vendor Purchase 45,Merchant 45,Shops;Automotive,false,in store
txn-set-0146,acc-chk-001,89.0,USD,2026-09-20,Vendor Purchase 46,Merchant 46,Shops;Automotive,false,in store
txn-set-0147,acc-sav-002,90.5,USD,2026-09-21,Vendor Purchase 47,Merchant 47,Shops;Automotive,false,in store
txn-set-0148,acc-chk-001,92.0,USD,2026-09-22,Vendor Purchase 48,Merchant 48,Shops;Automotive,false,in store
txn-set-0149,acc-sav-002,93.5,USD,2026-09-23,Vendor Purchase 49,Merchant 49,Shops;Automotive,false,in store
txn-set-0150,acc-chk-001,95.0,USD,2026-09-24,Vendor Purchase 50,Merchant 50,Shops;Automotive,false,in store
txn-set-0151,acc-sav-002,96.5,USD,2026-09-25,Vendor Purchase 51,Merchant 51,Shops;Automotive,false,in store
txn-set-0152,acc-chk-001,98.0,USD,2026-09-26,Vendor Purchase 52,Merchant 52,Shops;Automotive,false,in store
txn-set-0153,acc-sav-002,99.5,USD,2026-09-27,Vendor Purchase 53,Merchant 53,Shops;Automotive,false,in store
txn-set-0154,acc-chk-001,101.0,USD,2026-09-01,Vendor Purchase 54,Merchant 54,Shops;Automotive,false,in store
txn-set-0155,acc-sav-002,102.5,USD,2026-09-02,Vendor Purchase 55,Merchant 55,Shops;Automotive,false,in store
txn-set-0156,acc-chk-001,104.0,USD,2026-09-03,Vendor Purchase 56,Merchant 56,Shops;Automotive,false,in store
txn-set-0157,acc-sav-002,105.5,USD,2026-09-04,Vendor Purchase 57,Merchant 57,Shops;Automotive,false,in store
txn-set-0158,acc-chk-001,107.0,USD,2026-09-05,Vendor Purchase 58,Merchant 58,Shops;Automotive,false,in store
txn-set-0159,acc-sav-002,108.5,USD,2026-09-06,Vendor Purchase 59,Merchant 59,Shops;Automotive,false,in store
txn-set-0160,acc-chk-001,110.0,USD,2026-09-07,Vendor Purchase 60,Merchant 60,Shops;Automotive,false,in store
txn-set-0161,acc-sav-002,111.5,USD,2026-09-08,Vendor Purchase 61,Merchant 61,Shops;Automotive,false,in store
txn-set-0162,acc-chk-001,113.0,USD,2026-09-09,Vendor Purchase 62,Merchant 62,Shops;Automotive,false,in store
txn-set-0163,acc-sav-002,114.5,USD,2026-09-10,Vendor Purchase 63,Merchant 63,Shops;Automotive,false,in store
txn-set-0164,acc-chk-001,116.0,USD,2026-09-11,Vendor Purchase 64,Merchant 64,Shops;Automotive,false,in store
txn-set-0165,acc-sav-002,117.5,USD,2026-09-12,Vendor Purchase 65,Merchant 65,Shops;Automotive,false,in store
txn-set-0166,acc-chk-001,119.0,USD,2026-09-13,Vendor Purchase 66,Merchant 66,Shops;Automotive,false,in store
txn-set-0167,acc-sav-002,120.5,USD,2026-09-14,Vendor Purchase 67,Merchant 67,Shops;Automotive,false,in store
txn-set-0168,acc-chk-001,122.0,USD,2026-09-15,Vendor Purchase 68,Merchant 68,Shops;Automotive,false,in store
txn-set-0169,acc-sav-002,123.5,USD,2026-09-16,Vendor Purchase 69,Merchant 69,Shops;Automotive,false,in store
txn-set-0170,acc-chk-001,125.0,USD,2026-09-17,Vendor Purchase 70,Merchant 70,Shops;Automotive,false,in store
txn-set-0171,acc-sav-002,126.5,USD,2026-09-18,Vendor Purchase 71,Merchant 71,Shops;Automotive,false,in store
txn-set-0172,acc-chk-001,128.0,USD,2026-09-19,Vendor Purchase 72,Merchant 72,Shops;Automotive,false,in store
txn-set-0173,acc-sav-002,129.5,USD,2026-09-20,Vendor Purchase 73,Merchant 73,Shops;Automotive,false,in store
txn-set-0174,acc-chk-001,131.0,USD,2026-09-21,Vendor Purchase 74,Merchant 74,Shops;Automotive,false,in store
txn-set-0175,acc-sav-002,132.5,USD,2026-09-22,Vendor Purchase 75,Merchant 75,Shops;Automotive,false,in store
txn-set-0176,acc-chk-001,134.0,USD,2026-09-23,Vendor Purchase 76,Merchant 76,Shops;Automotive,false,in store
txn-set-0177,acc-sav-002,135.5,USD,2026-09-24,Vendor Purchase 77,Merchant 77,Shops;Automotive,false,in store
txn-set-0178,acc-chk-001,137.0,USD,2026-09-25,Vendor Purchase 78,Merchant 78,Shops;Automotive,false,in store
txn-set-0179,acc-sav-002,138.5,USD,2026-09-26,Vendor Purchase 79,Merchant 79,Shops;Automotive,false,in store
txn-set-0180,acc-chk-001,140.0,USD,2026-09-27,Vendor Purchase 80,Merchant 80,Shops;Automotive,false,in store
txn-set-0181,acc-sav-002,141.5,USD,2026-09-01,Vendor Purchase 81,Merchant 81,Shops;Automotive,false,in store
