id,iid,project_id,title,description,state,author,assignee,labels,created_at,updated_at,closed_at
40011,11,501,[timesheet-1995] Sophia Rivera - annual pay-period ledger,Digitized ledger for Sophia Rivera covering FY1995. Pay periods: 26 bi-weekly cycles (1995-01-06 through 1995-12-24). Regular hours: 2080. OT hours: 129. Source: paper ledger PB-95-1001. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,sophia.rivera,"timesheet,archive,fy-1995",1995-01-06T09:00:00Z,1995-12-31T17:00:00Z,1995-12-31T17:00:00Z
40012,12,501,[timesheet-1996] Sophia Rivera - annual pay-period ledger,Digitized ledger for Sophia Rivera covering FY1996. Pay periods: 26 bi-weekly cycles (1996-01-06 through 1996-12-24). Regular hours: 2080. OT hours: 138. Source: paper ledger PB-96-1001. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,sophia.rivera,"timesheet,archive,fy-1996",1996-01-06T09:00:00Z,1996-12-31T17:00:00Z,1996-12-31T17:00:00Z
40013,13,501,[timesheet-1997] Sophia Rivera - annual pay-period ledger,Digitized ledger for Sophia Rivera covering FY1997. Pay periods: 26 bi-weekly cycles (1997-01-06 through 1997-12-24). Regular hours: 2080. OT hours: 75. Source: paper ledger PB-97-1001. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,sophia.rivera,"timesheet,archive,fy-1997",1997-01-06T09:00:00Z,1997-12-31T17:00:00Z,1997-12-31T17:00:00Z
40014,14,501,[timesheet-1985] Ricardo Alvarado - annual pay-period ledger,Digitized ledger for Ricardo Alvarado covering FY1985. Pay periods: 26 bi-weekly cycles (1985-01-06 through 1985-12-24). Regular hours: 2080. OT hours: 135. Source: paper ledger PB-85-1002. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,ricardo.alvarado,"timesheet,archive,fy-1985",1985-01-06T09:00:00Z,1985-12-31T17:00:00Z,1985-12-31T17:00:00Z
40015,15,501,[timesheet-1986] Ricardo Alvarado - annual pay-period ledger,Digitized ledger for Ricardo Alvarado covering FY1986. Pay periods: 26 bi-weekly cycles (1986-01-06 through 1986-12-24). Regular hours: 2080. OT hours: 129. Source: paper ledger PB-86-1002. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,ricardo.alvarado,"timesheet,archive,fy-1986",1986-01-06T09:00:00Z,1986-12-31T17:00:00Z,1986-12-31T17:00:00Z
40016,16,501,[timesheet-1987] Ricardo Alvarado - annual pay-period ledger,Digitized ledger for Ricardo Alvarado covering FY1987. Pay periods: 26 bi-weekly cycles (1987-01-06 through 1987-12-24). Regular hours: 2080. OT hours: 39. Source: paper ledger PB-87-1002. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,ricardo.alvarado,"timesheet,archive,fy-1987",1987-01-06T09:00:00Z,1987-12-31T17:00:00Z,1987-12-31T17:00:00Z
40017,17,501,[timesheet-1988] Ricardo Alvarado - annual pay-period ledger,Digitized ledger for Ricardo Alvarado covering FY1988. Pay periods: 26 bi-weekly cycles (1988-01-06 through 1988-12-24). Regular hours: 2080. OT hours: 147. Source: paper ledger PB-88-1002. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,ricardo.alvarado,"timesheet,archive,fy-1988",1988-01-06T09:00:00Z,1988-12-31T17:00:00Z,1988-12-31T17:00:00Z
40018,18,501,[timesheet-1989] Ricardo Alvarado - annual pay-period ledger,Digitized ledger for Ricardo Alvarado covering FY1989. Pay periods: 26 bi-weekly cycles (1989-01-06 through 1989-12-24). Regular hours: 2080. OT hours: 65. Source: paper ledger PB-89-1002. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,ricardo.alvarado,"timesheet,archive,fy-1989",1989-01-06T09:00:00Z,1989-12-31T17:00:00Z,1989-12-31T17:00:00Z
40019,19,501,[timesheet-1990] Ricardo Alvarado - annual pay-period ledger,Digitized ledger for Ricardo Alvarado covering FY1990. Pay periods: 26 bi-weekly cycles (1990-01-06 through 1990-12-24). Regular hours: 2080. OT hours: 121. Source: paper ledger PB-90-1002. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,ricardo.alvarado,"timesheet,archive,fy-1990",1990-01-06T09:00:00Z,1990-12-31T17:00:00Z,1990-12-31T17:00:00Z
40020,20,501,[timesheet-1991] Ricardo Alvarado - annual pay-period ledger,Digitized ledger for Ricardo Alvarado covering FY1991. Pay periods: 26 bi-weekly cycles (1991-01-06 through 1991-12-24). Regular hours: 2080. OT hours: 45. Source: paper ledger PB-91-1002. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,ricardo.alvarado,"timesheet,archive,fy-1991",1991-01-06T09:00:00Z,1991-12-31T17:00:00Z,1991-12-31T17:00:00Z
40021,21,501,[timesheet-1992] Ricardo Alvarado - annual pay-period ledger,Digitized ledger for Ricardo Alvarado covering FY1992. Pay periods: 26 bi-weekly cycles (1992-01-06 through 1992-12-24). Regular hours: 2080. OT hours: 62. Source: paper ledger PB-92-1002. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,ricardo.alvarado,"timesheet,archive,fy-1992",1992-01-06T09:00:00Z,1992-12-31T17:00:00Z,1992-12-31T17:00:00Z
40022,22,501,[timesheet-1993] Ricardo Alvarado - annual pay-period ledger,Digitized ledger for Ricardo Alvarado covering FY1993. Pay periods: 26 bi-weekly cycles (1993-01-06 through 1993-12-24). Regular hours: 2080. OT hours: 62. Source: paper ledger PB-93-1002. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,ricardo.alvarado,"timesheet,archive,fy-1993",1993-01-06T09:00:00Z,1993-12-31T17:00:00Z,1993-12-31T17:00:00Z
40023,23,501,[timesheet-1994] Ricardo Alvarado - annual pay-period ledger,Digitized ledger for Ricardo Alvarado covering FY1994. Pay periods: 26 bi-weekly cycles (1994-01-06 through 1994-12-24). Regular hours: 2080. OT hours: 70. Source: paper ledger PB-94-1002. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,ricardo.alvarado,"timesheet,archive,fy-1994",1994-01-06T09:00:00Z,1994-12-31T17:00:00Z,1994-12-31T17:00:00Z
40024,24,501,[timesheet-1995] Ricardo Alvarado - annual pay-period ledger,Digitized ledger for Ricardo Alvarado covering FY1995. Pay periods: 26 bi-weekly cycles (1995-01-06 through 1995-12-24). Regular hours: 2080. OT hours: 70. Source: paper ledger PB-95-1002. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,ricardo.alvarado,"timesheet,archive,fy-1995",1995-01-06T09:00:00Z,1995-12-31T17:00:00Z,1995-12-31T17:00:00Z
40025,25,501,[timesheet-1996] Ricardo Alvarado - annual pay-period ledger,Digitized ledger for Ricardo Alvarado covering FY1996. Pay periods: 26 bi-weekly cycles (1996-01-06 through 1996-12-24). Regular hours: 2080. OT hours: 109. Source: paper ledger PB-96-1002. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,ricardo.alvarado,"timesheet,archive,fy-1996",1996-01-06T09:00:00Z,1996-12-31T17:00:00Z,1996-12-31T17:00:00Z
40026,26,501,[timesheet-1997] Ricardo Alvarado - annual pay-period ledger,Digitized ledger for Ricardo Alvarado covering FY1997. Pay periods: 26 bi-weekly cycles (1997-01-06 through 1997-12-24). Regular hours: 2080. OT hours: 160. Source: paper ledger PB-97-1002. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,ricardo.alvarado,"timesheet,archive,fy-1997",1997-01-06T09:00:00Z,1997-12-31T17:00:00Z,1997-12-31T17:00:00Z
40027,27,501,[timesheet-1994] Teresa Garza - annual pay-period ledger,Digitized ledger for Teresa Garza covering FY1994. Pay periods: 26 bi-weekly cycles (1994-01-06 through 1994-12-24). Regular hours: 2080. OT hours: 40. Source: paper ledger PB-94-1011. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,teresa.garza,"timesheet,archive,fy-1994",1994-01-06T09:00:00Z,1994-12-31T17:00:00Z,1994-12-31T17:00:00Z
40028,28,501,[timesheet-1995] Teresa Garza - annual pay-period ledger,Digitized ledger for Teresa Garza covering FY1995. Pay periods: 26 bi-weekly cycles (1995-01-06 through 1995-12-24). Regular hours: 2080. OT hours: 170. Source: paper ledger PB-95-1011. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,teresa.garza,"timesheet,archive,fy-1995",1995-01-06T09:00:00Z,1995-12-31T17:00:00Z,1995-12-31T17:00:00Z
40029,29,501,[timesheet-1996] Teresa Garza - annual pay-period ledger,Digitized ledger for Teresa Garza covering FY1996. Pay periods: 26 bi-weekly cycles (1996-01-06 through 1996-12-24). Regular hours: 2080. OT hours: 157. Source: paper ledger PB-96-1011. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,teresa.garza,"timesheet,archive,fy-1996",1996-01-06T09:00:00Z,1996-12-31T17:00:00Z,1996-12-31T17:00:00Z
40030,30,501,[timesheet-1997] Teresa Garza - annual pay-period ledger,Digitized ledger for Teresa Garza covering FY1997. Pay periods: 26 bi-weekly cycles (1997-01-06 through 1997-12-24). Regular hours: 2080. OT hours: 174. Source: paper ledger PB-97-1011. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,teresa.garza,"timesheet,archive,fy-1997",1997-01-06T09:00:00Z,1997-12-31T17:00:00Z,1997-12-31T17:00:00Z
40031,31,501,[timesheet-1998] Teresa Garza - annual pay-period ledger,Digitized ledger for Teresa Garza covering FY1998. Pay periods: 26 bi-weekly cycles (1998-01-06 through 1998-12-24). Regular hours: 2080. OT hours: 130. Source: paper ledger PB-98-1011. Digitized 1998-07-15 during GitLab migration.,closed,teresa.garza,teresa.garza,"timesheet,archive,fy-1998",1998-01-06T09:00:00Z,1998-12-31T17:00:00Z,1998-12-31T17:00:00Z
40032,32,501,[timesheet-1999] Teresa Garza - annual pay-period ledger,Digitized ledger for Teresa Garza covering FY1999. Pay periods: 26 bi-weekly cycles (1999-01-06 through 1999-12-24). Regular hours: 2080. OT hours: 148. Source: paper ledger PB-99-1011. Digitized 1998-07-15 during GitLab migration.,closed,teresa.garza,teresa.garza,"timesheet,archive,fy-1999",1999-01-06T09:00:00Z,1999-12-31T17:00:00Z,1999-12-31T17:00:00Z
40033,33,501,[timesheet-1985] Henry Solis - annual pay-period ledger,Digitized ledger for Henry Solis covering FY1985. Pay periods: 26 bi-weekly cycles (1985-01-06 through 1985-12-24). Regular hours: 2080. OT hours: 116. Source: paper ledger PB-85-1030. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,henry.solis,"timesheet,archive,fy-1985",1985-01-06T09:00:00Z,1985-12-31T17:00:00Z,1985-12-31T17:00:00Z
40034,34,501,[timesheet-1986] Henry Solis - annual pay-period ledger,Digitized ledger for Henry Solis covering FY1986. Pay periods: 26 bi-weekly cycles (1986-01-06 through 1986-12-24). Regular hours: 2080. OT hours: 179. Source: paper ledger PB-86-1030. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,henry.solis,"timesheet,archive,fy-1986",1986-01-06T09:00:00Z,1986-12-31T17:00:00Z,1986-12-31T17:00:00Z
40035,35,501,[timesheet-1987] Henry Solis - annual pay-period ledger,Digitized ledger for Henry Solis covering FY1987. Pay periods: 26 bi-weekly cycles (1987-01-06 through 1987-12-24). Regular hours: 2080. OT hours: 28. Source: paper ledger PB-87-1030. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,henry.solis,"timesheet,archive,fy-1987",1987-01-06T09:00:00Z,1987-12-31T17:00:00Z,1987-12-31T17:00:00Z
40036,36,501,[timesheet-1988] Henry Solis - annual pay-period ledger,Digitized ledger for Henry Solis covering FY1988. Pay periods: 26 bi-weekly cycles (1988-01-06 through 1988-12-24). Regular hours: 2080. OT hours: 145. Source: paper ledger PB-88-1030. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,henry.solis,"timesheet,archive,fy-1988",1988-01-06T09:00:00Z,1988-12-31T17:00:00Z,1988-12-31T17:00:00Z
40037,37,501,[timesheet-1989] Henry Solis - annual pay-period ledger,Digitized ledger for Henry Solis covering FY1989. Pay periods: 26 bi-weekly cycles (1989-01-06 through 1989-12-24). Regular hours: 2080. OT hours: 94. Source: paper ledger PB-89-1030. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,henry.solis,"timesheet,archive,fy-1989",1989-01-06T09:00:00Z,1989-12-31T17:00:00Z,1989-12-31T17:00:00Z
40038,38,501,[timesheet-1990] Henry Solis - annual pay-period ledger,Digitized ledger for Henry Solis covering FY1990. Pay periods: 26 bi-weekly cycles (1990-01-06 through 1990-12-24). Regular hours: 2080. OT hours: 158. Source: paper ledger PB-90-1030. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,henry.solis,"timesheet,archive,fy-1990",1990-01-06T09:00:00Z,1990-12-31T17:00:00Z,1990-12-31T17:00:00Z
40039,39,501,[timesheet-1991] Henry Solis - annual pay-period ledger,Digitized ledger for Henry Solis covering FY1991. Pay periods: 26 bi-weekly cycles (1991-01-06 through 1991-12-24). Regular hours: 2080. OT hours: 54. Source: paper ledger PB-91-1030. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,henry.solis,"timesheet,archive,fy-1991",1991-01-06T09:00:00Z,1991-12-31T17:00:00Z,1991-12-31T17:00:00Z
40040,40,501,[timesheet-1992] Henry Solis - annual pay-period ledger,Digitized ledger for Henry Solis covering FY1992. Pay periods: 26 bi-weekly cycles (1992-01-06 through 1992-12-24). Regular hours: 2080. OT hours: 160. Source: paper ledger PB-92-1030. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,henry.solis,"timesheet,archive,fy-1992",1992-01-06T09:00:00Z,1992-12-31T17:00:00Z,1992-12-31T17:00:00Z
40041,41,501,[timesheet-1993] Henry Solis - annual pay-period ledger,Digitized ledger for Henry Solis covering FY1993. Pay periods: 26 bi-weekly cycles (1993-01-06 through 1993-12-24). Regular hours: 2080. OT hours: 47. Source: paper ledger PB-93-1030. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,henry.solis,"timesheet,archive,fy-1993",1993-01-06T09:00:00Z,1993-12-31T17:00:00Z,1993-12-31T17:00:00Z
40042,42,501,[timesheet-1994] Henry Solis - annual pay-period ledger,Digitized ledger for Henry Solis covering FY1994. Pay periods: 26 bi-weekly cycles (1994-01-06 through 1994-12-24). Regular hours: 2080. OT hours: 53. Source: paper ledger PB-94-1030. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,henry.solis,"timesheet,archive,fy-1994",1994-01-06T09:00:00Z,1994-12-31T17:00:00Z,1994-12-31T17:00:00Z
40043,43,501,[timesheet-1995] Henry Solis - annual pay-period ledger,Digitized ledger for Henry Solis covering FY1995. Pay periods: 26 bi-weekly cycles (1995-01-06 through 1995-12-24). Regular hours: 2080. OT hours: 76. Source: paper ledger PB-95-1030. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,henry.solis,"timesheet,archive,fy-1995",1995-01-06T09:00:00Z,1995-12-31T17:00:00Z,1995-12-31T17:00:00Z
40044,44,501,[timesheet-1996] Henry Solis - annual pay-period ledger,Digitized ledger for Henry Solis covering FY1996. Pay periods: 26 bi-weekly cycles (1996-01-06 through 1996-12-24). Regular hours: 2080. OT hours: 67. Source: paper ledger PB-96-1030. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,henry.solis,"timesheet,archive,fy-1996",1996-01-06T09:00:00Z,1996-12-31T17:00:00Z,1996-12-31T17:00:00Z
40045,45,501,[timesheet-1997] Henry Solis - annual pay-period ledger,Digitized ledger for Henry Solis covering FY1997. Pay periods: 26 bi-weekly cycles (1997-01-06 through 1997-12-24). Regular hours: 2080. OT hours: 123. Source: paper ledger PB-97-1030. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,henry.solis,"timesheet,archive,fy-1997",1997-01-06T09:00:00Z,1997-12-31T17:00:00Z,1997-12-31T17:00:00Z
40046,46,501,[timesheet-1985] Wanda Kroeger - annual pay-period ledger,Digitized ledger for Wanda Kroeger covering FY1985. Pay periods: 26 bi-weekly cycles (1985-01-06 through 1985-12-24). Regular hours: 2080. OT hours: 69. Source: paper ledger PB-85-1031. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,wanda.kroeger,"timesheet,archive,fy-1985",1985-01-06T09:00:00Z,1985-12-31T17:00:00Z,1985-12-31T17:00:00Z
40047,47,501,[timesheet-1986] Wanda Kroeger - annual pay-period ledger,Digitized ledger for Wanda Kroeger covering FY1986. Pay periods: 26 bi-weekly cycles (1986-01-06 through 1986-12-24). Regular hours: 2080. OT hours: 99. Source: paper ledger PB-86-1031. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,wanda.kroeger,"timesheet,archive,fy-1986",1986-01-06T09:00:00Z,1986-12-31T17:00:00Z,1986-12-31T17:00:00Z
40048,48,501,[timesheet-1987] Wanda Kroeger - annual pay-period ledger,Digitized ledger for Wanda Kroeger covering FY1987. Pay periods: 26 bi-weekly cycles (1987-01-06 through 1987-12-24). Regular hours: 2080. OT hours: 78. Source: paper ledger PB-87-1031. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,wanda.kroeger,"timesheet,archive,fy-1987",1987-01-06T09:00:00Z,1987-12-31T17:00:00Z,1987-12-31T17:00:00Z
40049,49,501,[timesheet-1988] Wanda Kroeger - annual pay-period ledger,Digitized ledger for Wanda Kroeger covering FY1988. Pay periods: 26 bi-weekly cycles (1988-01-06 through 1988-12-24). Regular hours: 2080. OT hours: 72. Source: paper ledger PB-88-1031. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,wanda.kroeger,"timesheet,archive,fy-1988",1988-01-06T09:00:00Z,1988-12-31T17:00:00Z,1988-12-31T17:00:00Z
40050,50,501,[timesheet-1989] Wanda Kroeger - annual pay-period ledger,Digitized ledger for Wanda Kroeger covering FY1989. Pay periods: 26 bi-weekly cycles (1989-01-06 through 1989-12-24). Regular hours: 2080. OT hours: 20. Source: paper ledger PB-89-1031. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,wanda.kroeger,"timesheet,archive,fy-1989",1989-01-06T09:00:00Z,1989-12-31T17:00:00Z,1989-12-31T17:00:00Z
40051,51,501,[timesheet-1990] Wanda Kroeger - annual pay-period ledger,Digitized ledger for Wanda Kroeger covering FY1990. Pay periods: 26 bi-weekly cycles (1990-01-06 through 1990-12-24). Regular hours: 2080. OT hours: 142. Source: paper ledger PB-90-1031. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,wanda.kroeger,"timesheet,archive,fy-1990",1990-01-06T09:00:00Z,1990-12-31T17:00:00Z,1990-12-31T17:00:00Z
40052,52,501,[timesheet-1991] Wanda Kroeger - annual pay-period ledger,Digitized ledger for Wanda Kroeger covering FY1991. Pay periods: 26 bi-weekly cycles (1991-01-06 through 1991-12-24). Regular hours: 2080. OT hours: 178. Source: paper ledger PB-91-1031. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,wanda.kroeger,"timesheet,archive,fy-1991",1991-01-06T09:00:00Z,1991-12-31T17:00:00Z,1991-12-31T17:00:00Z
40053,53,501,[timesheet-1992] Wanda Kroeger - annual pay-period ledger,Digitized ledger for Wanda Kroeger covering FY1992. Pay periods: 26 bi-weekly cycles (1992-01-06 through 1992-12-24). Regular hours: 2080. OT hours: 164. Source: paper ledger PB-92-1031. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,wanda.kroeger,"timesheet,archive,fy-1992",1992-01-06T09:00:00Z,1992-12-31T17:00:00Z,1992-12-31T17:00:00Z
40054,54,501,[timesheet-1993] Wanda Kroeger - annual pay-period ledger,Digitized ledger for Wanda Kroeger covering FY1993. Pay periods: 26 bi-weekly cycles (1993-01-06 through 1993-12-24). Regular hours: 2080. OT hours: 77. Source: paper ledger PB-93-1031. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,wanda.kroeger,"timesheet,archive,fy-1993",1993-01-06T09:00:00Z,1993-12-31T17:00:00Z,1993-12-31T17:00:00Z
40055,55,501,[timesheet-1994] Wanda Kroeger - annual pay-period ledger,Digitized ledger for Wanda Kroeger covering FY1994. Pay periods: 26 bi-weekly cycles (1994-01-06 through 1994-12-24). Regular hours: 2080. OT hours: 69. Source: paper ledger PB-94-1031. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,wanda.kroeger,"timesheet,archive,fy-1994",1994-01-06T09:00:00Z,1994-12-31T17:00:00Z,1994-12-31T17:00:00Z
40056,56,501,[timesheet-1995] Wanda Kroeger - annual pay-period ledger,Digitized ledger for Wanda Kroeger covering FY1995. Pay periods: 26 bi-weekly cycles (1995-01-06 through 1995-12-24). Regular hours: 2080. OT hours: 76. Source: paper ledger PB-95-1031. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,wanda.kroeger,"timesheet,archive,fy-1995",1995-01-06T09:00:00Z,1995-12-31T17:00:00Z,1995-12-31T17:00:00Z
40057,57,501,[timesheet-1996] Wanda Kroeger - annual pay-period ledger,Digitized ledger for Wanda Kroeger covering FY1996. Pay periods: 26 bi-weekly cycles (1996-01-06 through 1996-12-24). Regular hours: 2080. OT hours: 147. Source: paper ledger PB-96-1031. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,wanda.kroeger,"timesheet,archive,fy-1996",1996-01-06T09:00:00Z,1996-12-31T17:00:00Z,1996-12-31T17:00:00Z
40058,58,501,[timesheet-1997] Wanda Kroeger - annual pay-period ledger,Digitized ledger for Wanda Kroeger covering FY1997. Pay periods: 26 bi-weekly cycles (1997-01-06 through 1997-12-24). Regular hours: 2080. OT hours: 134. Source: paper ledger PB-97-1031. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,wanda.kroeger,"timesheet,archive,fy-1997",1997-01-06T09:00:00Z,1997-12-31T17:00:00Z,1997-12-31T17:00:00Z
40059,59,501,[timesheet-1985] Ernesto Cabral - annual pay-period ledger,Digitized ledger for Ernesto Cabral covering FY1985. Pay periods: 26 bi-weekly cycles (1985-01-06 through 1985-12-24). Regular hours: 2080. OT hours: 48. Source: paper ledger PB-85-1032. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,ernesto.cabral,"timesheet,archive,fy-1985",1985-01-06T09:00:00Z,1985-12-31T17:00:00Z,1985-12-31T17:00:00Z
40060,60,501,[timesheet-1986] Ernesto Cabral - annual pay-period ledger,Digitized ledger for Ernesto Cabral covering FY1986. Pay periods: 26 bi-weekly cycles (1986-01-06 through 1986-12-24). Regular hours: 2080. OT hours: 100. Source: paper ledger PB-86-1032. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,ernesto.cabral,"timesheet,archive,fy-1986",1986-01-06T09:00:00Z,1986-12-31T17:00:00Z,1986-12-31T17:00:00Z
40061,61,501,[timesheet-1987] Ernesto Cabral - annual pay-period ledger,Digitized ledger for Ernesto Cabral covering FY1987. Pay periods: 26 bi-weekly cycles (1987-01-06 through 1987-12-24). Regular hours: 2080. OT hours: 153. Source: paper ledger PB-87-1032. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,ernesto.cabral,"timesheet,archive,fy-1987",1987-01-06T09:00:00Z,1987-12-31T17:00:00Z,1987-12-31T17:00:00Z
