id,ship_id,ship_date,carrier,tracking_number,destination,pieces_count,shipping_cost_usd,status
recSHIP00080,SHIP-00080,2024-07-31,UPS,TR857405940214,Red Earth Gallery Sedona,3,12.21,delivered
recSHIP00081,SHIP-00081,2025-02-01,UPS,TR928906094784,Victoria Brown,3,41.79,delivered
recSHIP00082,SHIP-00082,2025-10-06,UPS,7242977541094,Turquoise Trail Gallery Santa Fe,2,34.5,delivered
recSHIP00083,SHIP-00083,2025-02-09,USPS,7664115944580,Turquoise Trail Gallery Santa Fe,4,33.11,delivered
recSHIP00084,SHIP-00084,2025-04-05,USPS,TR149022263309,Red Earth Gallery Sedona,2,14.27,delivered
recSHIP00085,SHIP-00085,2026-06-05,UPS,1Z738226361036,Red Earth Gallery Sedona,1,29.09,in-transit
recSHIP00086,SHIP-00086,2024-07-19,FedEx,7598036269228,Turquoise Trail Gallery Santa Fe,4,13.06,delivered
recSHIP00087,SHIP-00087,2025-01-20,USPS,7832206538813,Red Earth Gallery Sedona,2,10.34,delivered
recSHIP00088,SHIP-00088,2026-05-29,USPS,TR618532336730,Turquoise Trail Gallery Santa Fe,4,20.09,delivered
recSHIP00089,SHIP-00089,2025-06-02,UPS,7101428221582,Turquoise Trail Gallery Santa Fe,3,40.2,delivered
recSHIP00090,SHIP-00090,2025-01-19,FedEx,7143698758149,Red Earth Gallery Sedona,3,22.38,in-transit
recSHIP00091,SHIP-00091,2024-10-01,UPS,TR179468303683,Red Earth Gallery Sedona,3,36.39,delivered
recSHIP00092,SHIP-00092,2026-02-17,UPS,1Z304582454255,Red Earth Gallery Sedona,2,33.29,in-transit
recSHIP00093,SHIP-00093,2026-04-21,FedEx,7142867827017,Mary Williams,4,38.36,delivered
recSHIP00094,SHIP-00094,2025-12-04,FedEx,1Z768132200724,Turquoise Trail Gallery Santa Fe,3,25.09,delivered
recSHIP00095,SHIP-00095,2025-09-10,FedEx,TR933914796353,Turquoise Trail Gallery Santa Fe,4,28.4,in-transit
recSHIP00096,SHIP-00096,2026-05-28,UPS,7100346567628,Becky Morrison,3,12.74,delivered
recSHIP00097,SHIP-00097,2026-02-24,USPS,TR123103059042,Turquoise Trail Gallery Santa Fe,3,18.65,delivered
recSHIP00098,SHIP-00098,2024-08-30,UPS,7476539729947,Red Earth Gallery Sedona,3,25.89,delivered
recSHIP00099,SHIP-00099,2025-08-03,FedEx,7709926258926,Andrew Brown,4,38.75,delivered
recSHIP00100,SHIP-00100,2026-02-19,USPS,7591121387631,Turquoise Trail Gallery Santa Fe,3,15.71,delivered
recSHIP00101,SHIP-00101,2026-01-14,UPS,1Z814718558774,Turquoise Trail Gallery Santa Fe,2,21.51,delivered
recSHIP00102,SHIP-00102,2026-02-16,USPS,7926336166802,Turquoise Trail Gallery Santa Fe,4,29.8,delivered
recSHIP00103,SHIP-00103,2024-12-25,FedEx,1Z921832396416,Turquoise Trail Gallery Santa Fe,4,27.97,delivered
recSHIP00104,SHIP-00104,2025-04-16,UPS,7925572584209,Red Earth Gallery Sedona,3,17.21,delivered
recSHIP00105,SHIP-00105,2025-05-12,UPS,1Z675636206745,Turquoise Trail Gallery Santa Fe,2,9.82,delivered
recSHIP00106,SHIP-00106,2024-12-10,UPS,1Z698810365066,Red Earth Gallery Sedona,2,40.32,delivered
recSHIP00107,SHIP-00107,2025-08-27,FedEx,1Z334901263074,Turquoise Trail Gallery Santa Fe,2,11.67,delivered
recSHIP00108,SHIP-00108,2025-04-30,FedEx,TR543202517633,Joseph Jordan,1,12.47,delivered
recSHIP00109,SHIP-00109,2025-01-30,FedEx,7920715965732,Turquoise Trail Gallery Santa Fe,1,39.28,delivered
recSHIP00110,SHIP-00110,2025-05-09,USPS,TR672358715403,Turquoise Trail Gallery Santa Fe,2,27.84,delivered
recSHIP00111,SHIP-00111,2026-02-26,UPS,TR391049804882,Red Earth Gallery Sedona,1,34.35,delivered
recSHIP00112,SHIP-00112,2026-03-14,UPS,7391715325762,Turquoise Trail Gallery Santa Fe,2,13.88,in-transit
recSHIP00113,SHIP-00113,2025-02-27,USPS,7582008905321,Turquoise Trail Gallery Santa Fe,2,14.98,delivered
recSHIP00114,SHIP-00114,2026-05-09,UPS,1Z837551357141,Red Earth Gallery Sedona,1,24.87,delivered
recSHIP00115,SHIP-00115,2024-07-09,FedEx,TR935693736912,Stephen Medina,1,34.93,delivered
recSHIP00116,SHIP-00116,2024-11-08,UPS,1Z595374867673,Red Earth Gallery Sedona,2,11.87,delivered
recSHIP00117,SHIP-00117,2025-11-19,FedEx,TR257576767566,Red Earth Gallery Sedona,2,18.41,delivered
recSHIP00118,SHIP-00118,2025-02-03,USPS,7925615014691,Turquoise Trail Gallery Santa Fe,1,40.42,delivered
recSHIP00119,SHIP-00119,2024-12-29,USPS,7530181868666,Turquoise Trail Gallery Santa Fe,4,41.72,delivered
recSHIP00120,SHIP-00120,2024-12-26,USPS,7497185799360,Brian Arnold,4,22.61,delivered
recSHIP00121,SHIP-00121,2024-07-15,FedEx,7256663524707,Red Earth Gallery Sedona,3,26.42,delivered
recSHIP00122,SHIP-00122,2026-02-17,USPS,TR743702198449,Red Earth Gallery Sedona,4,41.47,delivered
recSHIP00123,SHIP-00123,2024-11-16,UPS,TR230726195274,Red Earth Gallery Sedona,2,39.27,delivered
recSHIP00124,SHIP-00124,2026-02-17,USPS,7342729585578,Red Earth Gallery Sedona,1,12.18,delivered
recSHIP00125,SHIP-00125,2025-02-28,FedEx,1Z957584159980,Turquoise Trail Gallery Santa Fe,1,21.64,delivered
recSHIP00126,SHIP-00126,2026-06-11,FedEx,7612869169954,Red Earth Gallery Sedona,2,39.8,delivered
recSHIP00127,SHIP-00127,2025-03-02,FedEx,TR319367669233,Turquoise Trail Gallery Santa Fe,1,16.69,in-transit
recSHIP00128,SHIP-00128,2024-10-19,UPS,7248963676678,Kara Shannon MD,1,19.28,delivered
recSHIP00129,SHIP-00129,2025-12-11,FedEx,7530868885880,Theresa Ingram,4,28.31,delivered
recSHIP00130,SHIP-00130,2025-01-01,FedEx,1Z991277281137,Red Earth Gallery Sedona,4,30.52,delivered
recSHIP00131,SHIP-00131,2025-08-01,FedEx,TR879712897614,Turquoise Trail Gallery Santa Fe,2,10.62,delivered
recSHIP00132,SHIP-00132,2025-11-01,USPS,TR292991598695,Red Earth Gallery Sedona,3,17.38,delivered
recSHIP00133,SHIP-00133,2026-05-09,USPS,TR479061375641,Turquoise Trail Gallery Santa Fe,3,10.06,in-transit
recSHIP00134,SHIP-00134,2026-04-15,USPS,7837759261176,Maureen Ryan,3,11.73,delivered
recSHIP00135,SHIP-00135,2025-11-03,UPS,TR533514351710,Turquoise Trail Gallery Santa Fe,3,27.86,delivered
recSHIP00136,SHIP-00136,2026-02-10,USPS,TR339249903758,Red Earth Gallery Sedona,3,38.66,delivered
recSHIP00137,SHIP-00137,2025-09-15,FedEx,7506045187097,Red Earth Gallery Sedona,4,21.95,delivered
recSHIP00138,SHIP-00138,2025-09-06,UPS,TR260727304835,Red Earth Gallery Sedona,2,38.49,delivered
recSHIP00139,SHIP-00139,2025-01-10,UPS,1Z114004799559,Turquoise Trail Gallery Santa Fe,4,30.99,delivered
recSHIP00140,SHIP-00140,2025-11-25,USPS,1Z325457345290,Turquoise Trail Gallery Santa Fe,3,15.52,in-transit
recSHIP00141,SHIP-00141,2024-10-19,FedEx,1Z417747260669,Larry Neal,1,11.36,in-transit
recSHIP00142,SHIP-00142,2025-05-08,UPS,TR537759313476,Andrew Perez,2,11.69,delivered
recSHIP00143,SHIP-00143,2026-05-16,UPS,TR821568319112,Red Earth Gallery Sedona,4,24.15,delivered
recSHIP00144,SHIP-00144,2025-12-24,USPS,1Z279142797853,Gerald Olson,3,33.29,delivered
recSHIP00145,SHIP-00145,2024-12-04,FedEx,7958777546895,Turquoise Trail Gallery Santa Fe,3,23.14,delivered
recSHIP00146,SHIP-00146,2025-04-03,USPS,TR596328578566,Turquoise Trail Gallery Santa Fe,4,22.87,delivered
recSHIP00147,SHIP-00147,2024-12-25,USPS,1Z224831450889,Turquoise Trail Gallery Santa Fe,2,27.84,in-transit
recSHIP00148,SHIP-00148,2024-10-28,USPS,TR350685327251,Red Earth Gallery Sedona,3,11.44,delivered
recSHIP00149,SHIP-00149,2024-11-13,FedEx,1Z129766739799,Stephen Alvarez,4,25.33,in-transit
recSHIP00150,SHIP-00150,2025-02-21,UPS,1Z508729451134,Kelly Campbell,3,32.62,delivered
