id,commission_id,buyer_name,buyer_email,piece_type,quoted_value_usd,deposit_cleared,deposit_amount_usd,status,opened,reserved_sku,reservation_note
recCOM0018,COM-0018,Mark Fisher,mark.fisher@example.com,buckle,714,False,0,reserved,2025-03-24,,
recCOM0019,COM-0019,Gloria Sawyer,gloria.sawyer@example.com,bolo,290,False,0,completed,2026-04-26,,
recCOM0020,COM-0020,Willie Pratt,willie.pratt@example.com,bolo,486,False,0,open-no-deposit,2025-10-04,,
recCOM0021,COM-0021,Mary Williams,mary.williams@example.com,buckle,736,False,0,open-no-deposit,2025-07-03,,
recCOM0022,COM-0022,Cassandra Butler,cassandra.butler@example.com,cuff,549,False,0,cancelled,2025-04-28,,
recCOM0023,COM-0023,Stephen Alvarez,stephen.alvarez@example.com,cuff,639,True,319.5,awaiting-stones,2024-08-22,,
recCOM0024,COM-0024,Ellis Whitehorse,ellis.whitehorse@example.com,buckle,906,True,453.0,reserved,2025-05-22,,
recCOM0025,COM-0025,Laura Pena,laura.pena@example.com,bolo,378,False,0,cancelled,2025-12-14,,
recCOM0026,COM-0026,Anthony Rivera,anthony.rivera@example.com,bolo,497,True,248.5,reserved,2026-03-16,,
recCOM0027,COM-0027,Kathleen Norris,kathleen.norris@example.com,buckle,950,False,0,reserved,2026-01-12,,
recCOM0028,COM-0028,Jennifer Flores,jennifer.flores@example.com,cuff,810,True,405.0,awaiting-stones,2026-01-12,,
recCOM0029,COM-0029,Jessica Shea,jessica.shea@example.com,cuff,829,True,414.5,in-progress,2026-04-29,,
recCOM0030,COM-0030,Peter Chapman,peter.chapman@example.com,cuff,669,True,334.5,reserved,2025-02-14,,
recCOM0031,COM-0031,Melody Cook,melody.cook@example.com,cuff,701,False,0,awaiting-stones,2025-03-16,,
recCOM0032,COM-0032,Antonio Contreras,antonio.contreras@example.com,buckle,888,True,444.0,reserved,2024-07-13,,
recCOM0033,COM-0033,Laura Pena,laura.pena@example.com,buckle,1015,True,507.5,in-progress,2025-03-15,,
recCOM0034,COM-0034,Patricia Willis,patricia.willis@example.com,cuff,695,False,0,in-progress,2024-09-11,,
recCOM0035,COM-0035,Andrew Brown,andrew.brown@example.com,buckle,971,False,0,in-progress,2025-12-07,,
recCOM0036,COM-0036,Ernest Guerrero,ernest.guerrero@example.com,cuff,480,True,240.0,reserved,2025-08-07,,
recCOM0037,COM-0037,Tami Moore,tami.moore@example.com,buckle,1096,False,0,completed,2026-06-06,,
recCOM0038,COM-0038,Ellis Whitehorse,ellis.whitehorse@example.com,bolo,329,True,164.5,in-progress,2024-08-16,,
recCOM0039,COM-0039,Laura Pena,laura.pena@example.com,cuff,440,False,0,in-progress,2026-03-18,,
recCOM0040,COM-0040,Louis Chavez,louis.chavez@example.com,bolo,411,True,205.5,in-progress,2025-09-04,,
recCOM0041,COM-0041,Jose Taylor,jose.taylor@example.com,buckle,1037,False,0,reserved,2025-10-23,,
recCOM0042,COM-0042,Edward Roach,edward.roach@example.com,buckle,815,False,0,awaiting-stones,2024-12-20,,
recCOM0043,COM-0043,Megan Boyer,megan.boyer@example.com,buckle,919,True,459.5,in-progress,2024-11-17,,
recCOM0044,COM-0044,Andrea Bowen,andrea.bowen@example.com,cuff,899,True,449.5,awaiting-stones,2025-05-22,,
recCOM0045,COM-0045,Charles Sharp,charles.sharp@example.com,bolo,477,False,0,in-progress,2024-10-07,,
recCOM0046,COM-0046,Shane Anderson,shane.anderson@example.com,cuff,803,True,401.5,completed,2025-05-06,,
recCOM0047,COM-0047,Christopher Ellison,christopher.ellison@example.com,bolo,315,True,157.5,awaiting-stones,2025-03-12,,
recCOM0048,COM-0048,Karen Smith,karen.smith@example.com,cuff,619,True,309.5,completed,2026-05-11,,
recCOM0049,COM-0049,Patricia Smith,patricia.smith@example.com,cuff,873,True,436.5,awaiting-stones,2024-08-11,,
recCOM0050,COM-0050,Edward Roach,edward.roach@example.com,bolo,430,True,215.0,completed,2025-10-12,,
recCOM0051,COM-0051,Cassandra Butler,cassandra.butler@example.com,buckle,1031,True,515.5,in-progress,2026-04-30,,
recCOM0052,COM-0052,James Mullins,james.mullins@example.com,buckle,756,True,378.0,awaiting-stones,2024-12-06,,
recCOM0053,COM-0053,Jessica Shea,jessica.shea@example.com,buckle,1195,True,597.5,completed,2025-12-24,,
recCOM0054,COM-0054,Edward Roach,edward.roach@example.com,cuff,477,True,238.5,awaiting-stones,2025-05-09,,
recCOM0055,COM-0055,Andrew Perez,andrew.perez@example.com,buckle,1132,False,0,completed,2024-09-26,,
recCOM0056,COM-0056,Eileen Smith,eileen.smith@example.com,bolo,303,False,0,in-progress,2025-05-10,,
recCOM0057,COM-0057,Desiree Hobbs,desiree.hobbs@example.com,bolo,331,False,0,reserved,2025-09-06,,
recCOM0058,COM-0058,Cheryl Gentry,cheryl.gentry@example.com,buckle,1149,True,574.5,completed,2026-01-04,,
recCOM0059,COM-0059,Theresa Ingram,theresa.ingram@example.com,buckle,933,True,466.5,awaiting-stones,2024-12-19,,
recCOM0060,COM-0060,Johnny Smith,johnny.smith@example.com,buckle,1107,True,553.5,awaiting-stones,2026-04-05,,
recCOM0061,COM-0061,Melody Cook,melody.cook@example.com,buckle,712,True,356.0,in-progress,2025-12-29,,
recCOM0062,COM-0062,Steven Delgado DDS,steven.delgado.dds@example.com,buckle,664,True,332.0,reserved,2025-10-26,,
recCOM0063,COM-0063,Jennifer Flores,jennifer.flores@example.com,cuff,416,True,208.0,in-progress,2025-02-22,,
recCOM0064,COM-0064,Matthew Smith,matthew.smith@example.com,cuff,712,True,356.0,completed,2025-05-28,,
recCOM0065,COM-0065,Theresa Ingram,theresa.ingram@example.com,bolo,427,False,0,cancelled,2025-05-19,,
recCOM0066,COM-0066,Theresa Ingram,theresa.ingram@example.com,buckle,664,True,332.0,in-progress,2026-04-30,,
recCOM0067,COM-0067,Seth Escobar,seth.escobar@example.com,bolo,490,True,245.0,completed,2025-07-21,,
recCOM0068,COM-0068,Michael Bond Jr.,michael.bond.jr.@example.com,buckle,719,True,359.5,completed,2024-10-12,,
recCOM0069,COM-0069,Grant Marquez,grant.marquez@example.com,cuff,728,True,364.0,in-progress,2026-04-17,,
recCOM0070,COM-0070,Shane Anderson,shane.anderson@example.com,cuff,881,False,0,reserved,2025-06-12,,
recCOM0071,COM-0071,Tiffany Taylor,tiffany.taylor@example.com,buckle,890,True,445.0,in-progress,2025-08-05,,
recCOM0072,COM-0072,Louis Chavez,louis.chavez@example.com,bolo,448,False,0,awaiting-stones,2026-04-29,,
recCOM0073,COM-0073,Amanda Smith,amanda.smith@example.com,buckle,840,True,420.0,reserved,2025-11-20,,
recCOM0074,COM-0074,Brian Arnold,brian.arnold@example.com,buckle,727,True,363.5,reserved,2026-03-27,,
recCOM0075,COM-0075,Theresa Ingram,theresa.ingram@example.com,buckle,872,True,436.0,reserved,2026-01-02,,
recCOM0076,COM-0076,Laura Pena,laura.pena@example.com,buckle,938,False,0,completed,2025-09-22,,
recCOM0077,COM-0077,Marisol Vega,marisol.vega.mv@example.com,cuff,741,True,370.5,awaiting-stones,2026-02-15,,
recCOM0078,COM-0078,Brandon Richards,brandon.richards@example.com,bolo,304,True,152.0,in-progress,2025-11-19,,
recCOM0079,COM-0079,Abigail Martinez,abigail.martinez@example.com,bolo,484,True,242.0,awaiting-stones,2024-12-06,,
recCOM0080,COM-0080,Andrew Rasmussen,andrew.rasmussen@example.com,bolo,452,False,0,reserved,2025-11-21,,
recCOM0081,COM-0081,Adriana Harris,adriana.harris@example.com,buckle,1042,True,521.0,completed,2025-06-09,,
recCOM0082,COM-0082,Cheryl Gentry,cheryl.gentry@example.com,bolo,334,False,0,awaiting-stones,2025-01-18,,
recCOM0083,COM-0083,Brian White,brian.white@example.com,bolo,281,True,140.5,reserved,2025-05-09,,
recCOM0084,COM-0084,Edward Roach,edward.roach@example.com,cuff,528,False,0,open-no-deposit,2025-01-06,,
recCOM0085,COM-0085,Larry Neal,larry.neal@example.com,buckle,1117,True,558.5,awaiting-stones,2024-10-25,,
recCOM0086,COM-0086,Tami Moore,tami.moore@example.com,buckle,778,False,0,awaiting-stones,2024-12-03,,
recCOM0087,COM-0087,Victoria Brown,victoria.brown@example.com,bolo,465,True,232.5,in-progress,2025-09-27,,
recCOM0088,COM-0088,David Trujillo,david.trujillo@example.com,bolo,361,True,180.5,awaiting-stones,2025-06-01,,
recCOM0089,COM-0089,Jacob Bowman,jacob.bowman@example.com,cuff,473,False,0,completed,2025-01-23,,
recCOM0090,COM-0090,Brandon Richards,brandon.richards@example.com,bolo,437,True,218.5,awaiting-stones,2025-09-21,,
recCOM0091,COM-0091,Joshua Larson,joshua.larson@example.com,cuff,717,True,358.5,awaiting-stones,2025-08-19,,
recCOM0092,COM-0092,Marisol Vega,marisol.vega.mv@example.com,buckle,1115,True,557.5,awaiting-stones,2025-06-08,,
recCOM0093,COM-0093,Craig Gray,craig.gray@example.com,bolo,458,False,0,awaiting-stones,2025-11-27,,
recCOM0094,COM-0094,Tami Moore,tami.moore@example.com,bolo,390,False,0,reserved,2025-08-17,,
recCOM0095,COM-0095,Christopher Briggs,christopher.briggs@example.com,cuff,630,True,315.0,awaiting-stones,2025-09-22,,
recCOM0096,COM-0096,James Mullins,james.mullins@example.com,cuff,437,True,218.5,reserved,2025-10-04,,
recCOM0097,COM-0097,Marisol Vega,marisol.vega.mv@example.com,bolo,324,False,0,reserved,2025-12-29,,
recCOM0098,COM-0098,Patricia Smith,patricia.smith@example.com,buckle,958,False,0,open-no-deposit,2024-12-28,,
recCOM0099,COM-0099,Adriana Harris,adriana.harris@example.com,cuff,852,True,426.0,awaiting-stones,2025-11-25,,
recCOM0100,COM-0100,Jessica Jensen,jessica.jensen@example.com,bolo,510,True,255.0,completed,2025-11-30,,
recCOM0101,COM-0101,Tracy Smith,tracy.smith@example.com,bolo,347,True,173.5,in-progress,2025-10-23,,
recCOM0102,COM-0102,Andrea Bowen,andrea.bowen@example.com,bolo,314,False,0,open-no-deposit,2025-01-01,,
recCOM0103,COM-0103,Toni Rodriguez,toni.rodriguez@example.com,bolo,334,False,0,reserved,2026-01-07,,
recCOM0104,COM-0104,Robert Knight,robert.knight@example.com,buckle,793,True,396.5,completed,2025-12-05,,
recCOM0105,COM-0105,Arthur Diaz,arthur.diaz@example.com,bolo,355,False,0,open-no-deposit,2024-10-24,,
recCOM0106,COM-0106,Kayla Horn,kayla.horn@example.com,bolo,493,True,246.5,completed,2025-11-07,,
recCOM0107,COM-0107,John Marquez,john.marquez@example.com,buckle,871,True,435.5,completed,2026-01-19,,
recCOM0108,COM-0108,Robert Deleon,robert.deleon@example.com,bolo,453,False,0,reserved,2025-01-07,,
recCOM0109,COM-0109,Ashley Schmidt MD,ashley.schmidt.md@example.com,buckle,1199,True,599.5,reserved,2026-01-22,,
recCOM0110,COM-0110,Carrie Johnson,carrie.johnson@example.com,cuff,657,False,0,cancelled,2026-04-11,,
recCOM9047,COM-9047,Ellis Whitehorse,ellis.whitehorse@example.com,cuff,720,True,400.0,reserved,2026-10-24,OMW-C-047,Reserved on cleared Stripe deposit 2026-11-04. Hold from all gallery consignment.
