id,employeeId,name,type,start,end
wo_053,1003,Tom Marshfield,Personal,2026-12-20,2026-12-20
wo_054,1010,Mason Reyes,Personal,2026-05-21,2026-05-21
wo_055,1005,Lina Torres,Vacation,2026-11-09,2026-11-10
wo_056,1006,Bree Halvorsen,Sick,2026-05-26,2026-05-26
wo_057,1002,Anjali Patel,Vacation,2026-08-09,2026-08-11
wo_058,1003,Tom Marshfield,CE / Training,2027-03-16,2027-03-17
wo_059,1012,Hiro Tanaka,Bereavement,2026-12-11,2026-12-14
wo_060,1003,Tom Marshfield,CE / Training,2027-02-21,2027-02-23
wo_061,1004,Midori Kelley,Vacation,2026-02-14,2026-02-17
wo_062,1006,Bree Halvorsen,Vacation,2027-03-05,2027-03-07
wo_063,1008,Carol Bishop,Bereavement,2027-03-22,2027-03-23
wo_064,1010,Mason Reyes,CE / Training,2026-12-04,2026-12-04
wo_065,1007,Danny Reyes,CE / Training,2026-03-12,2026-03-13
wo_066,1010,Mason Reyes,Personal,2026-10-28,2026-10-29
wo_067,1010,Mason Reyes,Personal,2026-10-04,2026-10-07
wo_068,1002,Anjali Patel,Bereavement,2026-02-20,2026-02-20
wo_069,1005,Lina Torres,Vacation,2027-01-19,2027-01-19
wo_070,1001,Karen Whitfield,Vacation,2026-07-24,2026-07-24
wo_071,1007,Danny Reyes,Bereavement,2026-04-20,2026-04-23
wo_072,1012,Hiro Tanaka,Vacation,2027-02-18,2027-02-20
wo_073,1006,Bree Halvorsen,Personal,2026-05-10,2026-05-13
wo_074,1012,Hiro Tanaka,Personal,2027-04-01,2027-04-01
wo_075,1006,Bree Halvorsen,CE / Training,2027-01-04,2027-01-04
wo_076,1004,Midori Kelley,Personal,2026-01-20,2026-01-21
wo_077,1004,Midori Kelley,Personal,2026-11-04,2026-11-06
wo_078,1009,Jordan Pham,Personal,2026-09-14,2026-09-15
wo_079,1006,Bree Halvorsen,Vacation,2026-03-17,2026-03-20
wo_080,1009,Jordan Pham,CE / Training,2026-08-26,2026-08-26
wo_081,1002,Anjali Patel,Sick,2026-05-27,2026-05-27
wo_082,1013,Priya Anand,Personal,2026-04-02,2026-04-03
wo_083,1013,Priya Anand,Bereavement,2026-11-02,2026-11-04
wo_084,1008,Carol Bishop,Personal,2026-02-11,2026-02-14
wo_085,1004,Midori Kelley,Bereavement,2026-07-09,2026-07-12
wo_086,1005,Lina Torres,Vacation,2026-03-21,2026-03-21
wo_087,1005,Lina Torres,Vacation,2026-04-20,2026-04-23
wo_088,1001,Karen Whitfield,Bereavement,2026-06-03,2026-06-05
wo_089,1013,Priya Anand,Sick,2026-04-02,2026-04-03
wo_090,1004,Midori Kelley,CE / Training,2026-07-15,2026-07-17
wo_091,1006,Bree Halvorsen,CE / Training,2026-06-04,2026-06-04
wo_092,1006,Bree Halvorsen,Vacation,2027-01-19,2027-01-21
wo_093,1012,Hiro Tanaka,Bereavement,2027-01-12,2027-01-14
wo_094,1009,Jordan Pham,Bereavement,2027-01-03,2027-01-04
wo_095,1002,Anjali Patel,Bereavement,2027-01-17,2027-01-19
wo_096,1006,Bree Halvorsen,Vacation,2026-10-20,2026-10-23
wo_097,1002,Anjali Patel,CE / Training,2026-12-22,2026-12-24
wo_098,1009,Jordan Pham,CE / Training,2027-02-10,2027-02-10
wo_099,1001,Karen Whitfield,Sick,2026-09-26,2026-09-26
wo_100,1010,Mason Reyes,Personal,2026-10-17,2026-10-17
wo_101,1010,Mason Reyes,Vacation,2027-01-13,2027-01-13
wo_102,1005,Lina Torres,Sick,2027-03-07,2027-03-10
wo_103,1004,Midori Kelley,Bereavement,2027-02-06,2027-02-09
wo_104,1006,Bree Halvorsen,Personal,2027-02-14,2027-02-16
wo_105,1007,Danny Reyes,Bereavement,2026-04-16,2026-04-19
wo_106,1004,Midori Kelley,Vacation,2026-05-06,2026-05-08
wo_107,1007,Danny Reyes,Personal,2027-02-20,2027-02-20
wo_108,1002,Anjali Patel,Bereavement,2026-01-27,2026-01-29
wo_109,1010,Mason Reyes,Personal,2026-01-28,2026-01-31
wo_110,1009,Jordan Pham,Personal,2027-01-04,2027-01-04
wo_111,1002,Anjali Patel,Personal,2026-12-11,2026-12-14
wo_112,1013,Priya Anand,Personal,2026-10-09,2026-10-10
wo_113,1006,Bree Halvorsen,Bereavement,2026-11-02,2026-11-03
wo_114,1003,Tom Marshfield,Bereavement,2027-02-28,2027-03-01
wo_115,1002,Anjali Patel,Personal,2026-02-26,2026-03-01
wo_116,1001,Karen Whitfield,Vacation,2026-07-23,2026-07-25
wo_117,1009,Jordan Pham,Bereavement,2026-11-19,2026-11-20
wo_118,1008,Carol Bishop,Personal,2026-05-18,2026-05-18
wo_119,1003,Tom Marshfield,Personal,2026-10-11,2026-10-13
wo_120,1006,Bree Halvorsen,CE / Training,2026-06-10,2026-06-12
wo_121,1001,Karen Whitfield,Personal,2026-08-10,2026-08-13
wo_122,1005,Lina Torres,Personal,2027-03-30,2027-03-30
wo_123,1010,Mason Reyes,Bereavement,2026-09-18,2026-09-21
wo_124,1001,Karen Whitfield,Vacation,2027-03-04,2027-03-04
wo_125,1003,Tom Marshfield,Sick,2026-11-25,2026-11-27
wo_126,1010,Mason Reyes,Bereavement,2026-04-11,2026-04-11
wo_127,1012,Hiro Tanaka,CE / Training,2026-01-17,2026-01-17
wo_128,1012,Hiro Tanaka,Personal,2026-01-05,2026-01-08
wo_129,1003,Tom Marshfield,Sick,2027-03-12,2027-03-14
wo_130,1003,Tom Marshfield,Vacation,2026-04-21,2026-04-23
wo_131,1013,Priya Anand,Personal,2026-03-15,2026-03-16
wo_132,1012,Hiro Tanaka,Bereavement,2026-09-07,2026-09-07
wo_133,1003,Tom Marshfield,Personal,2026-04-01,2026-04-04
wo_134,1012,Hiro Tanaka,Bereavement,2027-03-21,2027-03-21
wo_135,1012,Hiro Tanaka,Sick,2026-02-18,2026-02-19
wo_136,1007,Danny Reyes,Sick,2026-04-30,2026-04-30
wo_137,1005,Lina Torres,Sick,2026-05-14,2026-05-14
wo_138,1006,Bree Halvorsen,Bereavement,2026-04-19,2026-04-21
wo_139,1004,Midori Kelley,CE / Training,2026-06-01,2026-06-04
wo_140,1008,Carol Bishop,Sick,2026-12-14,2026-12-15
wo_141,1004,Midori Kelley,Sick,2026-12-29,2026-12-29
wo_142,1003,Tom Marshfield,Personal,2026-12-05,2026-12-05
wo_143,1001,Karen Whitfield,Personal,2027-01-15,2027-01-15
wo_144,1002,Anjali Patel,Vacation,2026-06-28,2026-07-01
wo_145,1004,Midori Kelley,CE / Training,2026-11-25,2026-11-26
wo_146,1003,Tom Marshfield,CE / Training,2027-01-13,2027-01-15
wo_147,1012,Hiro Tanaka,Vacation,2027-01-31,2027-02-02
wo_148,1012,Hiro Tanaka,Vacation,2026-04-19,2026-04-19
wo_149,1007,Danny Reyes,Personal,2026-08-25,2026-08-26
wo_150,1013,Priya Anand,Personal,2027-02-02,2027-02-05
wo_151,1003,Tom Marshfield,CE / Training,2026-08-30,2026-08-31
wo_152,1012,Hiro Tanaka,Personal,2026-01-03,2026-01-03
wo_153,1013,Priya Anand,Sick,2026-04-08,2026-04-10
wo_154,1008,Carol Bishop,Sick,2026-06-29,2026-06-29
wo_155,1002,Anjali Patel,Vacation,2026-10-29,2026-10-30
wo_156,1009,Jordan Pham,Vacation,2026-09-08,2026-09-10
wo_157,1003,Tom Marshfield,Sick,2027-03-23,2027-03-24
wo_158,1013,Priya Anand,Bereavement,2026-08-09,2026-08-09
wo_159,1007,Danny Reyes,Vacation,2026-06-19,2026-06-21
wo_160,1008,Carol Bishop,Personal,2026-03-20,2026-03-22
wo_161,1010,Mason Reyes,Personal,2026-11-28,2026-12-01
wo_162,1012,Hiro Tanaka,Sick,2026-11-07,2026-11-08
wo_163,1010,Mason Reyes,CE / Training,2026-02-24,2026-02-27
wo_164,1007,Danny Reyes,Sick,2027-03-17,2027-03-18
wo_165,1008,Carol Bishop,Sick,2026-07-25,2026-07-25
wo_166,1006,Bree Halvorsen,Vacation,2026-12-31,2026-12-31
wo_167,1003,Tom Marshfield,Vacation,2026-01-26,2026-01-27
wo_168,1006,Bree Halvorsen,Bereavement,2026-06-15,2026-06-18
wo_169,1002,Anjali Patel,Vacation,2026-09-16,2026-09-19
wo_170,1013,Priya Anand,Bereavement,2026-08-19,2026-08-22
wo_171,1002,Anjali Patel,CE / Training,2027-01-03,2027-01-03
wo_172,1006,Bree Halvorsen,Sick,2026-07-29,2026-07-29
wo_173,1008,Carol Bishop,CE / Training,2027-02-14,2027-02-17
wo_174,1010,Mason Reyes,Personal,2026-04-20,2026-04-22
wo_175,1004,Midori Kelley,CE / Training,2026-10-15,2026-10-16
wo_176,1005,Lina Torres,Sick,2027-01-08,2027-01-10
wo_177,1008,Carol Bishop,Bereavement,2026-12-25,2026-12-27
wo_178,1007,Danny Reyes,Vacation,2026-06-24,2026-06-24
wo_179,1009,Jordan Pham,Sick,2026-05-09,2026-05-12
wo_180,1009,Jordan Pham,Personal,2026-04-11,2026-04-14
wo_181,1006,Bree Halvorsen,Sick,2027-03-31,2027-04-02
wo_182,1004,Midori Kelley,Personal,2027-03-22,2027-03-24
wo_183,1001,Karen Whitfield,Sick,2026-05-23,2026-05-24
wo_184,1013,Priya Anand,Vacation,2026-04-14,2026-04-15
wo_185,1009,Jordan Pham,Sick,2026-10-21,2026-10-23
wo_186,1002,Anjali Patel,Bereavement,2026-07-24,2026-07-26
wo_187,1013,Priya Anand,Bereavement,2027-03-31,2027-03-31
wo_188,1005,Lina Torres,CE / Training,2026-07-22,2026-07-25
wo_189,1006,Bree Halvorsen,CE / Training,2026-03-29,2026-04-01
wo_190,1012,Hiro Tanaka,Bereavement,2026-11-14,2026-11-17
wo_191,1009,Jordan Pham,Vacation,2026-12-16,2026-12-16
wo_192,1003,Tom Marshfield,CE / Training,2027-03-24,2027-03-25
wo_193,1008,Carol Bishop,CE / Training,2026-04-28,2026-04-29
wo_194,1010,Mason Reyes,Personal,2027-03-11,2027-03-12
wo_195,1001,Karen Whitfield,Vacation,2026-02-27,2026-02-27
wo_196,1012,Hiro Tanaka,Personal,2026-09-21,2026-09-24
wo_197,1009,Jordan Pham,Bereavement,2026-02-03,2026-02-03
wo_198,1005,Lina Torres,Sick,2026-10-30,2026-11-02
wo_199,1010,Mason Reyes,Personal,2026-11-13,2026-11-13
wo_200,1012,Hiro Tanaka,CE / Training,2026-04-06,2026-04-08
wo_201,1003,Tom Marshfield,Vacation,2026-05-08,2026-05-11
wo_202,1005,Lina Torres,CE / Training,2026-12-04,2026-12-06
wo_203,1005,Lina Torres,Sick,2026-06-09,2026-06-10
wo_204,1007,Danny Reyes,CE / Training,2026-07-31,2026-08-01
wo_205,1006,Bree Halvorsen,Bereavement,2027-02-18,2027-02-18
wo_206,1003,Tom Marshfield,Vacation,2026-01-01,2026-01-01
wo_207,1008,Carol Bishop,Sick,2026-02-22,2026-02-23
wo_208,1002,Anjali Patel,Bereavement,2026-04-14,2026-04-17
wo_209,1006,Bree Halvorsen,Bereavement,2026-06-21,2026-06-24
wo_210,1006,Bree Halvorsen,Sick,2026-01-03,2026-01-05
wo_211,1001,Karen Whitfield,Sick,2026-10-25,2026-10-25
wo_212,1013,Priya Anand,Personal,2027-02-04,2027-02-05
wo_213,1008,Carol Bishop,Personal,2026-08-10,2026-08-13
wo_214,1009,Jordan Pham,CE / Training,2026-07-30,2026-07-31
wo_215,1003,Tom Marshfield,Sick,2026-07-18,2026-07-20
wo_216,1012,Hiro Tanaka,Personal,2027-02-01,2027-02-03
wo_217,1001,Karen Whitfield,Bereavement,2026-03-28,2026-03-29
wo_218,1010,Mason Reyes,CE / Training,2026-08-10,2026-08-13
wo_219,1003,Tom Marshfield,Vacation,2026-06-07,2026-06-09
wo_220,1002,Anjali Patel,Vacation,2026-02-22,2026-02-24
wo_221,1009,Jordan Pham,Personal,2026-01-02,2026-01-05
wo_222,1003,Tom Marshfield,Sick,2026-06-26,2026-06-28
wo_223,1002,Anjali Patel,Sick,2026-06-26,2026-06-28
wo_224,1010,Mason Reyes,CE / Training,2026-11-18,2026-11-18
wo_225,1007,Danny Reyes,CE / Training,2026-07-07,2026-07-10
wo_226,1008,Carol Bishop,Vacation,2026-03-10,2026-03-13
wo_227,1002,Anjali Patel,CE / Training,2027-02-28,2027-02-28
wo_228,1009,Jordan Pham,CE / Training,2026-12-17,2026-12-20
wo_229,1007,Danny Reyes,Sick,2026-09-02,2026-09-02
wo_230,1010,Mason Reyes,CE / Training,2026-07-27,2026-07-29
wo_231,1003,Tom Marshfield,Sick,2026-01-23,2026-01-24
wo_232,1005,Lina Torres,Bereavement,2026-02-08,2026-02-10
wo_233,1013,Priya Anand,CE / Training,2026-04-03,2026-04-06
wo_234,1005,Lina Torres,Sick,2026-06-17,2026-06-20
wo_235,1005,Lina Torres,Personal,2027-02-01,2027-02-03
wo_236,1008,Carol Bishop,CE / Training,2026-02-04,2026-02-06
wo_237,1012,Hiro Tanaka,CE / Training,2026-07-19,2026-07-22
wo_238,1008,Carol Bishop,Personal,2027-02-14,2027-02-15
wo_239,1003,Tom Marshfield,Personal,2026-12-07,2026-12-08
wo_240,1013,Priya Anand,CE / Training,2026-08-19,2026-08-19
wo_241,1002,Anjali Patel,Bereavement,2026-02-19,2026-02-20
wo_242,1012,Hiro Tanaka,Vacation,2026-12-31,2027-01-03
wo_243,1007,Danny Reyes,Vacation,2026-10-27,2026-10-28
wo_244,1002,Anjali Patel,CE / Training,2026-05-29,2026-05-30
wo_245,1009,Jordan Pham,CE / Training,2026-09-07,2026-09-09
