sheet_id,cell,value,note
RSVP,A33,Kimberly Moore,
RSVP,B33,rsvp_yes,
RSVP,C33,paid,
RSVP,D33,8,
RSVP,A34,Steven Harris,
RSVP,B34,rsvp_yes,
RSVP,C34,paid,
RSVP,D34,9,
RSVP,A35,Emily Young,
RSVP,B35,rsvp_yes,
RSVP,C35,paid,
RSVP,D35,10,
RSVP,A36,Paul Hill,
RSVP,B36,rsvp_yes,
RSVP,C36,paid,
RSVP,D36,11,
RSVP,A37,Donna Rivera,
RSVP,B37,rsvp_yes,
RSVP,C37,paid,
RSVP,D37,12,
RSVP,A38,Andrew Williams,
RSVP,B38,rsvp_yes,
RSVP,C38,paid,
RSVP,D38,1,
RSVP,A39,Michelle Martinez,
RSVP,B39,rsvp_yes,
RSVP,C39,paid,
RSVP,D39,2,
RSVP,A40,Joshua Taylor,
RSVP,B40,rsvp_yes,
RSVP,C40,paid,
RSVP,D40,3,
RSVP,A41,Carol White,
RSVP,B41,rsvp_yes,
RSVP,C41,paid,
RSVP,D41,4,
RSVP,A42,Kenneth Walker,
RSVP,B42,rsvp_yes,
RSVP,C42,paid,
RSVP,D42,5,
RSVP,A43,Amanda Nguyen,
RSVP,B43,rsvp_yes,
RSVP,C43,paid,
RSVP,D43,6,
RSVP,A44,Kevin Hall,
RSVP,B44,rsvp_yes,
RSVP,C44,paid,
RSVP,D44,7,
RSVP,A45,Dorothy Johnson,
RSVP,B45,rsvp_yes,
RSVP,C45,paid,
RSVP,D45,8,
RSVP,A46,Brian Rodriguez,
RSVP,B46,rsvp_yes,
RSVP,C46,paid,
RSVP,D46,9,
RSVP,A47,Melissa Thomas,
RSVP,B47,rsvp_yes,
RSVP,C47,paid,
RSVP,D47,10,
RSVP,A48,George Thompson,
RSVP,B48,rsvp_yes,
RSVP,C48,paid,
RSVP,D48,11,
RSVP,A49,Deborah Robinson,
RSVP,B49,rsvp_yes,
RSVP,C49,paid,
RSVP,D49,12,
RSVP,A50,Timothy Torres,
RSVP,B50,rsvp_yes,
RSVP,C50,paid,
RSVP,D50,1,
RSVP,A51,Stephanie Baker,
RSVP,B51,rsvp_yes,
RSVP,C51,paid,
RSVP,D51,2,
RSVP,A52,Ronald Smith,
RSVP,B52,rsvp_yes,
RSVP,C52,paid,
RSVP,D52,3,
RSVP,A53,Rebecca Davis,
RSVP,B53,rsvp_yes,
RSVP,C53,paid,
RSVP,D53,4,
RSVP,A54,Edward Anderson,
RSVP,B54,rsvp_yes,
RSVP,C54,paid,
RSVP,D54,5,
RSVP,A55,Sharon Perez,
RSVP,B55,rsvp_yes,
RSVP,C55,paid,
RSVP,D55,6,
RSVP,A56,Jason Lewis,
RSVP,B56,rsvp_yes,
RSVP,C56,paid,
RSVP,D56,7,
RSVP,A57,Laura Scott,
RSVP,B57,rsvp_yes,
RSVP,C57,paid,
RSVP,D57,8,
RSVP,A58,Jeffrey Nelson,
RSVP,B58,rsvp_yes,
RSVP,C58,paid,
RSVP,D58,9,
RSVP,A59,Cynthia Roberts,
RSVP,B59,rsvp_yes,
RSVP,C59,paid,
RSVP,D59,10,
RSVP,A60,Ryan Miller,
RSVP,B60,rsvp_yes,
RSVP,C60,paid,
RSVP,D60,11,
RSVP,A61,Kathleen Wilson,
RSVP,B61,rsvp_yes,
RSVP,C61,paid,
RSVP,D61,12,
RSVP,A62,Jacob Lee,
RSVP,B62,rsvp_yes,
RSVP,C62,paid,
RSVP,D62,1,
RSVP,A63,Amy Ramirez,
RSVP,B63,rsvp_yes,
RSVP,C63,paid,
RSVP,D63,2,
RSVP,A64,Gary Wright,
RSVP,B64,rsvp_yes,
RSVP,C64,paid,
RSVP,D64,3,
RSVP,A65,Angela Adams,
RSVP,B65,rsvp_yes,
RSVP,C65,paid,
RSVP,D65,4,
RSVP,A66,Nicholas Carter,
RSVP,B66,rsvp_yes,
RSVP,C66,paid,
RSVP,D66,5,
RSVP,A67,Shirley Garcia,
RSVP,B67,rsvp_yes,
RSVP,C67,paid,
RSVP,D67,6,
RSVP,A68,Eric Gonzalez,
RSVP,B68,rsvp_yes,
RSVP,C68,paid,
RSVP,D68,7,
RSVP,A69,Anna Martin,
RSVP,B69,rsvp_yes,
RSVP,C69,paid,
RSVP,D69,8,
RSVP,A70,Jonathan Clark,
RSVP,B70,rsvp_yes,
RSVP,C70,paid,
RSVP,D70,9,
RSVP,A71,Brenda King,
RSVP,B71,rsvp_yes,
RSVP,C71,paid,
RSVP,D71,10,
RSVP,A72,Stephen Green,
RSVP,B72,rsvp_yes,
RSVP,C72,paid,
RSVP,D72,11,
RSVP,A73,Pamela Mitchell,
RSVP,B73,rsvp_yes,
RSVP,C73,paid,
RSVP,D73,12,
RSVP,A74,Larry Jones,
RSVP,B74,rsvp_yes,
RSVP,C74,paid,
RSVP,D74,1,
RSVP,A75,Nicole Lopez,
RSVP,B75,rsvp_yes,
RSVP,C75,paid,
RSVP,D75,2,
RSVP,A76,Justin Jackson,
RSVP,B76,rsvp_yes,
RSVP,C76,paid,
RSVP,D76,3,
RSVP,A77,Ruth Sanchez,
RSVP,B77,rsvp_yes,
RSVP,C77,paid,
RSVP,D77,4,
RSVP,A78,Scott Allen,
RSVP,B78,rsvp_yes,
RSVP,C78,paid,
RSVP,D78,5,
RSVP,A79,Katherine Flores,
RSVP,B79,rsvp_yes,
RSVP,C79,paid,
RSVP,D79,6,
RSVP,A80,Brandon Campbell,
RSVP,B80,rsvp_yes,
RSVP,C80,paid,
RSVP,D80,7,
RSVP,A81,Samantha Brown,
RSVP,B81,rsvp_yes,
RSVP,C81,paid,
RSVP,D81,8,
RSVP,A82,Benjamin Hernandez,
RSVP,B82,rsvp_yes,
RSVP,C82,paid,
RSVP,D82,9,
RSVP,A83,Christine Moore,
RSVP,B83,rsvp_yes,
RSVP,C83,paid,
RSVP,D83,10,
RSVP,A84,Samuel Harris,
RSVP,B84,rsvp_yes,
RSVP,C84,paid,
RSVP,D84,11,
RSVP,A85,Emma Young,
RSVP,B85,rsvp_yes,
RSVP,C85,paid,
RSVP,D85,12,
RSVP,A86,Kenneth Garcia,
RSVP,B86,rsvp_yes,
RSVP,C86,rsvp_unpaid,
RSVP,D86,1,
RSVP,A87,Amanda Rodriguez,
RSVP,B87,rsvp_yes,
RSVP,C87,rsvp_unpaid,
RSVP,D87,2,
RSVP,A88,Kevin Lopez,
RSVP,B88,rsvp_yes,
RSVP,C88,rsvp_unpaid,
RSVP,D88,3,
RSVP,A89,Dorothy Anderson,
RSVP,B89,rsvp_yes,
RSVP,C89,rsvp_unpaid,
RSVP,D89,4,
RSVP,A90,Keisha Monroe,
RSVP,B90,rsvp_yes,
RSVP,C90,comp_mentor,
RSVP,D90,13,
RSVP,A91,Tommy Bridges,
RSVP,B91,rsvp_yes,
RSVP,C91,comp_mentor,
RSVP,D91,13,
RSVP,A92,Eddie Jackson,
RSVP,B92,rsvp_yes,
RSVP,C92,comp_mentor,
RSVP,D92,13,
RSVP,A93,Carlos Ruiz,
RSVP,B93,rsvp_yes,
RSVP,C93,comp_mentor,
RSVP,D93,13,
Inventory,A1,item,
Inventory,B1,sku,
Inventory,C1,qty,
Inventory,D1,location,
Inventory,A2,Part 0,
Inventory,B2,SKU1000,
Inventory,C2,5,
Inventory,D2,Bay 1,
Inventory,A3,Part 1,
Inventory,B3,SKU1001,
Inventory,C3,6,
Inventory,D3,Bay 2,
Inventory,A4,Part 2,
Inventory,B4,SKU1002,
Inventory,C4,7,
Inventory,D4,Bay 3,
Inventory,A5,Part 3,
Inventory,B5,SKU1003,
Inventory,C5,8,
Inventory,D5,Bay 4,
Inventory,A6,Part 4,
Inventory,B6,SKU1004,
Inventory,C6,9,
Inventory,D6,Bay 5,
Inventory,A7,Part 5,
Inventory,B7,SKU1005,
Inventory,C7,10,
Inventory,D7,Bay 6,
Inventory,A8,Part 6,
Inventory,B8,SKU1006,
Inventory,C8,11,
Inventory,D8,Bay 1,
Inventory,A9,Part 7,
Inventory,B9,SKU1007,
Inventory,C9,12,
Inventory,D9,Bay 2,
Inventory,A10,Part 8,
Inventory,B10,SKU1008,
Inventory,C10,13,
Inventory,D10,Bay 3,
Inventory,A11,Part 9,
Inventory,B11,SKU1009,
Inventory,C11,14,
Inventory,D11,Bay 4,
Inventory,A12,Part 10,
Inventory,B12,SKU1010,
Inventory,C12,15,
Inventory,D12,Bay 5,
Inventory,A13,Part 11,
Inventory,B13,SKU1011,
Inventory,C13,16,
Inventory,D13,Bay 6,
Inventory,A14,Part 12,
Inventory,B14,SKU1012,
Inventory,C14,17,
Inventory,D14,Bay 1,
Inventory,A15,Part 13,
Inventory,B15,SKU1013,
Inventory,C15,18,
Inventory,D15,Bay 2,
Inventory,A16,Part 14,
Inventory,B16,SKU1014,
Inventory,C16,19,
Inventory,D16,Bay 3,
Inventory,A17,Part 15,
Inventory,B17,SKU1015,
Inventory,C17,20,
Inventory,D17,Bay 4,
Inventory,A18,Part 16,
Inventory,B18,SKU1016,
Inventory,C18,21,
Inventory,D18,Bay 5,
Inventory,A19,Part 17,
Inventory,B19,SKU1017,
Inventory,C19,22,
Inventory,D19,Bay 6,
Inventory,A20,Part 18,
Inventory,B20,SKU1018,
Inventory,C20,23,
Inventory,D20,Bay 1,
Inventory,A21,Part 19,
Inventory,B21,SKU1019,
Inventory,C21,24,
Inventory,D21,Bay 2,
Inventory,A22,Part 20,
Inventory,B22,SKU1020,
Inventory,C22,25,
Inventory,D22,Bay 3,
Inventory,A23,Part 21,
Inventory,B23,SKU1021,
Inventory,C23,26,
Inventory,D23,Bay 4,
Inventory,A24,Part 22,
Inventory,B24,SKU1022,
Inventory,C24,27,
Inventory,D24,Bay 5,
Inventory,A25,Part 23,
Inventory,B25,SKU1023,
Inventory,C25,28,
Inventory,D25,Bay 6,
Inventory,A26,Part 24,
Inventory,B26,SKU1024,
Inventory,C26,29,
Inventory,D26,Bay 1,
Inventory,A27,Part 25,
Inventory,B27,SKU1025,
Inventory,C27,30,
Inventory,D27,Bay 2,
Inventory,A28,Part 26,
Inventory,B28,SKU1026,
Inventory,C28,31,
Inventory,D28,Bay 3,
Inventory,A29,Part 27,
Inventory,B29,SKU1027,
Inventory,C29,32,
Inventory,D29,Bay 4,
Inventory,A30,Part 28,
Inventory,B30,SKU1028,
Inventory,C30,33,
Inventory,D30,Bay 5,
Inventory,A31,Part 29,
Inventory,B31,SKU1029,
Inventory,C31,34,
Inventory,D31,Bay 6,
Inventory,A32,Part 30,
Inventory,B32,SKU1030,
Inventory,C32,35,
Inventory,D32,Bay 1,
Inventory,A33,Part 31,
Inventory,B33,SKU1031,
Inventory,C33,36,
Inventory,D33,Bay 2,
Inventory,A34,Part 32,
Inventory,B34,SKU1032,
Inventory,C34,37,
Inventory,D34,Bay 3,
Inventory,A35,Part 33,
Inventory,B35,SKU1033,
Inventory,C35,38,
Inventory,D35,Bay 4,
Inventory,A36,Part 34,
Inventory,B36,SKU1034,
Inventory,C36,39,
Inventory,D36,Bay 5,
Inventory,A37,Part 35,
Inventory,B37,SKU1035,
Inventory,C37,40,
Inventory,D37,Bay 6,
Inventory,A38,Part 36,
Inventory,B38,SKU1036,
Inventory,C38,41,
Inventory,D38,Bay 1,
Inventory,A39,Part 37,
Inventory,B39,SKU1037,
Inventory,C39,42,
Inventory,D39,Bay 2,
Inventory,A40,Part 38,
Inventory,B40,SKU1038,
Inventory,C40,43,
Inventory,D40,Bay 3,
Inventory,A41,Part 39,
Inventory,B41,SKU1039,
Inventory,C41,44,
Inventory,D41,Bay 4,
Inventory,A42,Part 40,
Inventory,B42,SKU1040,
Inventory,C42,5,
Inventory,D42,Bay 5,
Inventory,A43,Part 41,
Inventory,B43,SKU1041,
Inventory,C43,6,
Inventory,D43,Bay 6,
Inventory,A44,Part 42,
Inventory,B44,SKU1042,
Inventory,C44,7,
Inventory,D44,Bay 1,
Inventory,A45,Part 43,
Inventory,B45,SKU1043,
Inventory,C45,8,
Inventory,D45,Bay 2,
Inventory,A46,Part 44,
Inventory,B46,SKU1044,
Inventory,C46,9,
Inventory,D46,Bay 3,
Inventory,A47,Part 45,
Inventory,B47,SKU1045,
Inventory,C47,10,
Inventory,D47,Bay 4,
Inventory,A48,Part 46,
Inventory,B48,SKU1046,
Inventory,C48,11,
Inventory,D48,Bay 5,
Inventory,A49,Part 47,
Inventory,B49,SKU1047,
Inventory,C49,12,
Inventory,D49,Bay 6,
Inventory,A50,Part 48,
Inventory,B50,SKU1048,
Inventory,C50,13,
Inventory,D50,Bay 1,
Inventory,A51,Part 49,
Inventory,B51,SKU1049,
Inventory,C51,14,
Inventory,D51,Bay 2,
Inventory,A52,Part 50,
Inventory,B52,SKU1050,
Inventory,C52,15,
Inventory,D52,Bay 3,
Inventory,A53,Part 51,
Inventory,B53,SKU1051,
Inventory,C53,16,
Inventory,D53,Bay 4,
Inventory,A54,Part 52,
Inventory,B54,SKU1052,
Inventory,C54,17,
Inventory,D54,Bay 5,
Inventory,A55,Part 53,
Inventory,B55,SKU1053,
Inventory,C55,18,
Inventory,D55,Bay 6,
Inventory,A56,Part 54,
Inventory,B56,SKU1054,
Inventory,C56,19,
Inventory,D56,Bay 1,
Inventory,A57,Part 55,
Inventory,B57,SKU1055,
Inventory,C57,20,
Inventory,D57,Bay 2,
Inventory,A58,Part 56,
Inventory,B58,SKU1056,
Inventory,C58,21,
Inventory,D58,Bay 3,
Inventory,A59,Part 57,
Inventory,B59,SKU1057,
Inventory,C59,22,
Inventory,D59,Bay 4,
Inventory,A60,Part 58,
Inventory,B60,SKU1058,
Inventory,C60,23,
Inventory,D60,Bay 5,
Inventory,A61,Part 59,
Inventory,B61,SKU1059,
Inventory,C61,24,
Inventory,D61,Bay 6,
