subscriber_id,email,first,last,age_band,subscribed_date,last_open_date,bounce_count,zip,household_id
S-00037,bonnie.stovall@bellsouth.net,Bonnie,Stovall,75_84,2021-08-30,2022-05-15,0,42001,H-0125
S-00038,dolores.barclay@gmail.com,Dolores,Barclay,under_40,2019-07-21,2024-02-11,0,42001,
S-00039,odell.ladd@paducah.net,Odell,Ladd,under_40,2020-09-28,2023-04-30,0,42003,
S-00040,faye.ellington@bellsouth.net,Faye,Ellington,40_61,2024-03-18,2025-02-28,0,42001,
S-00041,iris.hosick@gmail.com,Iris,Hosick,under_40,2023-05-09,2025-04-11,0,42001,
S-00042,beulah.nave@gmail.com,Beulah,Nave,40_61,2023-03-10,2024-06-06,0,42024,
S-00043,alma.ellington@bellsouth.net,Alma,Ellington,under_40,2020-06-25,2023-10-27,0,42024,
S-00044,james.dodson@paducah.net,James,Dodson,75_84,2025-06-23,2025-12-14,0,42001,H-0010
S-00045,tommy.halbrook@bellsouth.net,Tommy,Halbrook,40_61,2024-01-01,2025-02-10,0,42001,
S-00046,franklin.sisk@bellsouth.net,Franklin,Sisk,40_61,2021-03-25,2024-12-29,0,42001,
S-00047,ottis.dodson@gmail.com,Ottis,Dodson,62_74,2025-11-29,2026-05-15,0,42003,H-0076
S-00048,bennie.quisenberry@paducah.net,Bennie,Quisenberry,85_plus,2022-09-12,2026-07-27,0,42001,
S-00049,marie.jent@paducah.net,Marie,Jent,40_61,2022-06-25,2023-12-17,0,42003,
S-00050,fay.kegley@bellsouth.net,Fay,Kegley,40_61,2020-10-02,2021-09-12,1,42086,
S-00051,sylvia.kegley@gmail.com,Sylvia,Kegley,62_74,2022-03-23,2023-07-09,0,42003,H-0132
S-00052,shirley.ewing@paducah.net,Shirley,Ewing,75_84,2024-02-20,2025-01-24,0,42003,H-0171
S-00053,zelda.sowell@paducah.net,Zelda,Sowell,under_40,2024-09-30,2026-08-13,0,42001,
S-00054,florence.longmire@paducah.net,Florence,Longmire,62_74,2025-07-10,2026-07-09,0,42053,H-0139
S-00055,carolyn.overby@paducah.net,Carolyn,Overby,62_74,2024-02-05,2024-07-08,0,42053,H-0120
S-00056,betty.yielding@paducah.net,Betty,Yielding,75_84,2020-11-09,2026-10-12,0,42053,H-0060
S-00057,rosalie.bramlett@paducah.net,Rosalie,Bramlett,under_40,2024-03-08,2024-06-21,0,42053,
S-00058,ellen.hendon@bellsouth.net,Ellen,Hendon,62_74,2024-04-02,2025-09-12,0,42001,H-0198
S-00059,gerald.tarpley@gmail.com,Gerald,Tarpley,75_84,2020-03-28,2020-12-24,0,42003,H-0064
S-00060,grover.thurman@bellsouth.net,Grover,Thurman,75_84,2021-10-25,2022-03-05,0,42001,H-0066
S-00061,denver.ivey@bellsouth.net,Denver,Ivey,40_61,2020-11-19,2021-02-17,0,42024,
S-00062,ottis.eller@bellsouth.net,Ottis,Eller,85_plus,2025-07-29,2026-05-24,0,42001,H-0183
S-00063,edna.oxford@paducah.net,Edna,Oxford,75_84,2024-02-08,2026-08-20,0,42001,H-0230
S-00064,wayne.puckett@bellsouth.net,Wayne,Puckett,75_84,2022-10-09,2025-09-06,0,42001,H-0194
S-00065,elmer.nave@gmail.com,Elmer,Nave,under_40,2025-04-18,2025-07-20,0,42001,
S-00066,reba.voss@gmail.com,Reba,Voss,85_plus,2025-06-16,2026-03-09,0,42024,H-0256
S-00067,tilden.bruce@paducah.net,Tilden,Bruce,62_74,2023-05-05,2024-02-27,0,42086,H-0195
S-00068,norman.gaddis@bellsouth.net,Norman,Gaddis,under_40,2024-08-10,2026-01-27,0,42001,
S-00069,hollis.fain@paducah.net,Hollis,Fain,under_40,2019-03-22,2020-10-15,0,42001,
S-00070,verlene.tarpley@gmail.com,Verlene,Tarpley,62_74,2024-01-25,2026-03-03,0,42001,H-0122
S-00071,franklin.osteen@paducah.net,Franklin,Osteen,under_40,2019-08-10,2020-07-10,0,42086,
S-00072,eunice.vickers@paducah.net,Eunice,Vickers,75_84,2025-01-23,2025-12-04,0,42053,H-0072
S-00073,roscoe.kilgore@bellsouth.net,Roscoe,Kilgore,under_40,2025-11-28,2026-10-27,0,42001,
S-00074,bernice.draffen@bellsouth.net,Bernice,Draffen,62_74,2026-09-27,2026-10-20,0,42001,H-0006
S-00075,bernice.zumwalt@paducah.net,Bernice,Zumwalt,under_40,2020-12-18,2025-06-03,0,42001,
S-00076,retha.woodson@paducah.net,Retha,Woodson,62_74,2025-01-17,2025-08-10,0,42001,H-0235
S-00077,odie.nave@gmail.com,Odie,Nave,40_61,2023-09-13,2026-03-25,0,42001,
S-00078,della.wilkes@paducah.net,Della,Wilkes,75_84,2021-11-05,2022-03-04,0,42003,
S-00079,corine.doerr@bellsouth.net,Corine,Doerr,75_84,2023-03-30,2025-12-05,0,42086,H-0095
S-00080,harlan.hendon@gmail.com,Harlan,Hendon,75_84,2024-08-17,2026-03-05,0,42001,H-0005
S-00081,cora.egerton@bellsouth.net,Cora,Egerton,85_plus,2024-03-26,2024-12-15,0,42001,H-0048
S-00082,louise.beasley@bellsouth.net,Louise,Beasley,40_61,2022-01-22,2022-03-21,0,42003,
S-00083,delbert.tarpley@gmail.com,Delbert,Tarpley,85_plus,2022-12-27,2024-10-09,2,42024,H-0197
S-00084,david.cissell@gmail.com,David,Cissell,62_74,2022-11-27,2025-09-12,0,42001,H-0162
S-00085,david.quisenberry@bellsouth.net,David,Quisenberry,40_61,2021-06-16,2025-02-02,0,42003,
S-00086,lester.latham@paducah.net,Lester,Latham,under_40,2026-08-07,2026-09-04,0,42003,
S-00087,wendell.mcdaniel@paducah.net,Wendell,McDaniel,40_61,2022-09-18,2026-07-20,0,42001,
S-00088,clara.gaskin@bellsouth.net,Clara,Gaskin,under_40,2020-12-28,2022-10-05,0,42001,
S-00089,tilden.roark@paducah.net,Tilden,Roark,62_74,2022-05-02,2026-07-28,0,42053,H-0011
S-00090,etta.ridenour@gmail.com,Etta,Ridenour,under_40,2022-05-11,2023-02-01,3,42003,
S-00091,grover.sowell@bellsouth.net,Grover,Sowell,40_61,2022-10-09,2026-01-27,0,42001,
S-00092,blanche.kilburn@bellsouth.net,Blanche,Kilburn,62_74,2023-10-31,2024-09-24,0,42001,H-0028
S-00093,milton.cundiff@bellsouth.net,Milton,Cundiff,under_40,2022-09-03,2024-04-08,0,42001,
S-00094,twyla.larkin@gmail.com,Twyla,Larkin,under_40,2020-06-03,2025-03-07,0,42001,
S-00095,fay.pyle@gmail.com,Fay,Pyle,62_74,2026-02-18,2026-04-28,0,42003,H-0148
S-00096,vernon.cissell@bellsouth.net,Vernon,Cissell,under_40,2025-12-20,2026-10-07,1,42001,
S-00097,patsy.zumwalt@paducah.net,Patsy,Zumwalt,62_74,2021-05-28,2021-06-14,0,42003,H-0242
S-00098,merle.latham@paducah.net,Merle,Latham,62_74,2023-09-20,2024-04-20,0,42053,H-0075
S-00099,ann.jeter@paducah.net,Ann,Jeter,62_74,2025-11-13,2026-07-16,0,42001,H-0022
S-00100,fay.norvell@gmail.com,Fay,Norvell,75_84,2023-07-19,2024-11-26,0,42003,
S-00101,vivian.fentress@bellsouth.net,Vivian,Fentress,under_40,2022-10-10,2026-08-24,2,42053,
S-00102,bonnie.fentress@gmail.com,Bonnie,Fentress,under_40,2026-04-06,2026-07-13,0,42003,
S-00103,betty.hendon@paducah.net,Betty,Hendon,75_84,2025-12-01,2026-07-21,0,42003,H-0229
S-00104,roscoe.turnbow@bellsouth.net,Roscoe,Turnbow,40_61,2019-01-17,2022-05-11,0,42001,
S-00105,ellen.pyle@gmail.com,Ellen,Pyle,40_61,2025-04-10,2025-05-29,0,42086,
S-00106,nell.ewing@paducah.net,Nell,Ewing,40_61,2025-10-15,2025-12-21,0,42001,
S-00107,della.stovall@bellsouth.net,Della,Stovall,62_74,2021-10-31,2021-11-27,0,42001,H-0004
S-00108,herman.vaughn@paducah.net,Herman,Vaughn,40_61,2023-11-26,2025-07-07,0,42024,
S-00109,nadine.eldridge@paducah.net,Nadine,Eldridge,under_40,2021-02-24,2023-10-06,0,42001,
S-00110,thelma.yancey@paducah.net,Thelma,Yancey,62_74,2020-02-27,2024-11-08,0,42003,H-0042
S-00111,yvonne.sartin@paducah.net,Yvonne,Sartin,62_74,2025-11-07,2026-09-13,0,42086,H-0169
S-00112,ronald.vickers@paducah.net,Ronald,Vickers,62_74,2020-04-11,2020-08-20,0,42024,H-0035
S-00113,blanche.hendon@gmail.com,Blanche,Hendon,62_74,2026-08-24,2026-10-22,0,42001,H-0078
S-00114,jerry.vickers@gmail.com,Jerry,Vickers,62_74,2022-03-31,2026-06-16,0,42001,H-0003
S-00115,willadean.cissell@paducah.net,Willadean,Cissell,62_74,2021-10-05,2023-03-11,0,42001,H-0218
S-00116,willie.threlkeld@paducah.net,Willie,Threlkeld,under_40,2024-05-12,2025-06-29,0,42001,
S-00117,linda.bruce@bellsouth.net,Linda,Bruce,75_84,2022-01-19,2024-07-14,0,42001,
S-00118,retha.redmon@paducah.net,Retha,Redmon,under_40,2022-12-06,2023-11-26,0,42001,
S-00119,mark.layman@paducah.net,Mark,Layman,85_plus,2021-11-24,2024-05-21,0,42001,H-0208
S-00120,jerry.trimble@paducah.net,Jerry,Trimble,under_40,2021-12-04,2026-01-15,0,42001,
S-00121,maude.threlkeld@gmail.com,Maude,Threlkeld,62_74,2026-07-17,2026-08-05,0,42001,H-0013
S-00122,frank.trimble@paducah.net,Frank,Trimble,85_plus,2024-12-02,2026-05-23,0,42001,
S-00123,helen.voss@gmail.com,Helen,Voss,under_40,2026-02-05,2026-10-02,0,42001,
S-00124,harold.hendon@gmail.com,Harold,Hendon,62_74,2021-06-28,2024-09-22,0,42003,
S-00125,cecil.overby@bellsouth.net,Cecil,Overby,under_40,2026-07-12,2026-08-10,2,42003,
S-00126,ola.grimes@gmail.com,Ola,Grimes,40_61,2022-12-16,2024-12-31,3,42003,
S-00127,beulah.kegley@gmail.com,Beulah,Kegley,40_61,2022-06-14,2026-05-21,0,42001,
S-00128,kathy.nave@bellsouth.net,Kathy,Nave,75_84,2020-03-22,2021-05-23,0,42003,H-0032
S-00129,sandra.longmire@gmail.com,Sandra,Longmire,under_40,2024-12-27,2025-12-31,0,42001,
S-00130,beatrice.overby@gmail.com,Beatrice,Overby,75_84,2024-11-06,2026-10-16,0,42003,H-0161
S-00131,verlene.kegley@bellsouth.net,Verlene,Kegley,85_plus,2022-12-24,2025-06-13,0,42053,H-0012
S-00132,ethel.chandler@bellsouth.net,Ethel,Chandler,75_84,2021-10-31,2023-01-01,0,42003,H-0038
S-00133,vera.hargrove@bellsouth.net,Vera,Hargrove,under_40,2024-05-04,2024-07-06,0,42003,
S-00134,peggy.norsworthy@paducah.net,Peggy,Norsworthy,40_61,2025-11-19,2026-02-12,0,42024,
S-00135,betty.woodson@bellsouth.net,Betty,Woodson,40_61,2024-06-24,2025-08-16,0,42001,
S-00136,emmett.wathen@paducah.net,Emmett,Wathen,62_74,2024-12-12,2025-03-01,0,42001,H-0046
S-00137,thelma.cummings@paducah.net,Thelma,Cummings,85_plus,2020-02-08,2020-06-17,0,42003,
S-00138,odessa.fentress@paducah.net,Odessa,Fentress,62_74,2022-04-23,2025-06-01,0,42001,H-0158
S-00139,percy.quisenberry@gmail.com,Percy,Quisenberry,under_40,2019-12-29,2021-09-16,0,42024,
S-00140,bernice.fain@bellsouth.net,Bernice,Fain,under_40,2021-10-15,2025-06-30,3,42001,
S-00141,fay.weddle@bellsouth.net,Fay,Weddle,62_74,2021-04-25,2025-10-30,0,42003,
S-00142,betty.turnbow@gmail.com,Betty,Turnbow,40_61,2021-11-15,2022-08-19,0,42001,
S-00143,geraldine.ivey@paducah.net,Geraldine,Ivey,40_61,2021-06-02,2021-09-14,0,42024,
S-00144,roy.kilburn@paducah.net,Roy,Kilburn,under_40,2025-01-31,2025-09-04,0,42001,
S-00145,zelda.norsworthy@bellsouth.net,Zelda,Norsworthy,40_61,2025-03-17,2026-02-14,0,42001,
S-00146,ann.fain@paducah.net,Ann,Fain,under_40,2023-05-02,2025-08-26,0,42003,
S-00147,david.peel@gmail.com,David,Peel,40_61,2025-03-31,2025-12-08,0,42001,
S-00148,frank.dockery@gmail.com,Frank,Dockery,under_40,2021-07-17,2022-06-13,0,42001,
S-00149,bryant.draffen@bellsouth.net,Bryant,Draffen,62_74,2022-02-03,2026-10-26,0,42086,H-0225
S-00150,wayne.aldridge@gmail.com,Wayne,Aldridge,40_61,2021-08-08,2024-08-13,0,42001,
S-00151,sandra.yonts@bellsouth.net,Sandra,Yonts,62_74,2025-04-19,2026-08-06,0,42003,H-0216
S-00152,faye.beasley@paducah.net,Faye,Beasley,75_84,2023-03-29,2026-02-06,0,42001,H-0214
S-00153,john.grimes@paducah.net,John,Grimes,62_74,2022-01-12,2024-04-25,0,42003,H-0224
S-00154,homer.sanger@gmail.com,Homer,Sanger,under_40,2023-11-25,2024-02-18,0,42001,
S-00155,rita.chandler@bellsouth.net,Rita,Chandler,62_74,2024-09-26,2025-04-18,0,42003,
S-00156,joyce.grissom@gmail.com,Joyce,Grissom,40_61,2019-01-14,2024-03-06,0,42001,
S-00157,evelyn.overstreet@gmail.com,Evelyn,Overstreet,85_plus,2024-02-24,2026-07-02,0,42001,H-0029
S-00158,junior.gooch@gmail.com,Junior,Gooch,40_61,2025-07-08,2026-02-11,0,42001,
S-00159,vernon.hemphill@bellsouth.net,Vernon,Hemphill,62_74,2021-03-10,2023-11-12,0,42001,H-0133
S-00160,doris.fisher@gmail.com,Doris,Fisher,62_74,2021-08-28,2022-11-30,0,42024,H-0135
S-00161,beulah.prewitt@gmail.com,Beulah,Prewitt,40_61,2026-04-22,2026-07-14,0,42003,
S-00162,gladys.osteen@bellsouth.net,Gladys,Osteen,under_40,2026-06-01,2026-09-28,0,42001,
S-00163,winifred.hendon@gmail.com,Winifred,Hendon,75_84,2021-05-30,2024-07-29,0,42001,H-0107
S-00164,doris.gaddis@gmail.com,Doris,Gaddis,75_84,2024-08-09,2025-11-27,2,42001,H-0002
S-00165,betty.judkins@paducah.net,Betty,Judkins,62_74,2022-08-21,2025-02-10,0,42001,H-0144
S-00166,donald.nally@gmail.com,Donald,Nally,62_74,2022-10-10,2026-02-15,0,42053,H-0180
S-00167,buddy.ladd@bellsouth.net,Buddy,Ladd,40_61,2026-07-18,2026-08-12,0,42001,
S-00168,mabel.pyle@paducah.net,Mabel,Pyle,75_84,2020-02-01,2020-10-30,0,42024,H-0239
S-00169,lloyd.fisher@paducah.net,Lloyd,Fisher,40_61,2026-09-13,2026-09-14,0,42024,
S-00170,curtis.sisk@paducah.net,Curtis,Sisk,under_40,2021-01-18,2021-11-26,0,42053,
S-00171,lester.prewitt@paducah.net,Lester,Prewitt,under_40,2019-01-25,2024-04-18,0,42053,
S-00172,floyd.killebrew@bellsouth.net,Floyd,Killebrew,under_40,2022-04-28,2023-02-09,0,42001,
S-00173,jean.hendon@paducah.net,Jean,Hendon,under_40,2024-04-04,2024-12-16,0,42024,
S-00174,charles.ridenour@paducah.net,Charles,Ridenour,40_61,2020-10-26,2024-12-03,2,42001,
S-00175,booker.norvell@gmail.com,Booker,Norvell,62_74,2021-05-03,2022-03-15,0,42001,H-0025
S-00176,marvin.dawson@gmail.com,Marvin,Dawson,85_plus,2023-12-27,2024-12-17,0,42001,H-0255
S-00177,wilma.ellington@bellsouth.net,Wilma,Ellington,under_40,2022-03-25,2023-10-26,0,42024,
S-00178,winifred.gaskin@paducah.net,Winifred,Gaskin,75_84,2024-10-15,2024-12-08,0,42001,H-0037
S-00179,vivian.cissell@bellsouth.net,Vivian,Cissell,40_61,2020-03-08,2021-03-24,0,42001,
S-00180,betty.jarrell@gmail.com,Betty,Jarrell,under_40,2020-01-03,2026-09-17,0,42001,
S-00181,dennis.bruce@gmail.com,Dennis,Bruce,75_84,2022-07-14,2022-08-28,0,42001,H-0245
S-00182,otho.voss@bellsouth.net,Otho,Voss,40_61,2019-01-17,2019-09-28,0,42001,
S-00183,arthur.yates@gmail.com,Arthur,Yates,75_84,2022-01-22,2024-10-27,0,42001,H-0073
S-00184,gladys.jessup@bellsouth.net,Gladys,Jessup,under_40,2025-02-19,2026-06-10,0,42001,
S-00185,donald.kemper@bellsouth.net,Donald,Kemper,40_61,2020-07-29,2021-09-28,0,42001,
S-00186,ottis.overstreet@bellsouth.net,Ottis,Overstreet,40_61,2019-09-13,2020-06-06,0,42001,
S-00187,clarence.mcdaniel@paducah.net,Clarence,McDaniel,under_40,2022-06-20,2023-11-01,0,42001,
S-00188,hollis.rainey@paducah.net,Hollis,Rainey,under_40,2020-06-21,2021-02-13,0,42086,
S-00189,vernon.grimes@gmail.com,Vernon,Grimes,62_74,2020-04-19,2023-10-26,0,42001,H-0040
S-00190,chester.larkin@gmail.com,Chester,Larkin,under_40,2021-04-09,2022-06-14,0,42001,
S-00191,norma.ellington@gmail.com,Norma,Ellington,under_40,2023-09-06,2025-11-26,0,42001,
S-00192,harold.grimes@bellsouth.net,Harold,Grimes,under_40,2020-08-10,2024-10-19,0,42024,
S-00193,leroy.vickers@gmail.com,Leroy,Vickers,75_84,2020-10-20,2026-07-29,0,42001,H-0109
S-00194,lloyd.purdom@paducah.net,Lloyd,Purdom,75_84,2020-03-06,2025-01-24,0,42001,H-0156
S-00195,ruby.milam@bellsouth.net,Ruby,Milam,under_40,2022-07-04,2026-05-02,0,42001,
S-00196,wendell.bruce@bellsouth.net,Wendell,Bruce,62_74,2020-11-19,2025-08-31,0,42001,H-0057
S-00197,buddy.dockery@gmail.com,Buddy,Dockery,under_40,2024-06-28,2026-04-24,0,42001,
S-00198,josie.jolley@gmail.com,Josie,Jolley,75_84,2023-06-02,2024-05-28,0,42001,H-0050
S-00199,hollis.franks@paducah.net,Hollis,Franks,under_40,2020-06-03,2024-12-16,0,42001,
S-00200,vivian.bickford@gmail.com,Vivian,Bickford,40_61,2023-10-02,2025-05-31,0,42003,
S-00201,roberta.hosick@bellsouth.net,Roberta,Hosick,40_61,2024-03-29,2024-09-06,0,42001,
S-00202,cletus.nally@gmail.com,Cletus,Nally,under_40,2025-06-20,2026-01-03,0,42053,
S-00203,edna.nave@bellsouth.net,Edna,Nave,62_74,2022-01-22,2025-06-10,0,42001,H-0071
S-00204,yvonne.eller@bellsouth.net,Yvonne,Eller,40_61,2022-04-19,2026-05-17,0,42024,
S-00205,buford.ivy@gmail.com,Buford,Ivy,62_74,2023-02-15,2024-06-18,0,42003,H-0211
S-00206,iris.tarpley@paducah.net,Iris,Tarpley,40_61,2022-04-04,2023-07-28,0,42001,
S-00207,richard.vaughn@paducah.net,Richard,Vaughn,under_40,2023-12-28,2024-01-12,3,42024,
S-00208,emmett.fain@gmail.com,Emmett,Fain,40_61,2019-12-13,2020-04-20,0,42003,
S-00209,lester.grissom@paducah.net,Lester,Grissom,40_61,2026-06-14,2026-10-25,0,42003,
S-00210,norman.nunn@paducah.net,Norman,Nunn,40_61,2026-01-14,2026-03-03,0,42001,
S-00211,vernon.dockery@bellsouth.net,Vernon,Dockery,85_plus,2026-07-16,2026-09-20,0,42003,H-0117
S-00212,everett.gholson@paducah.net,Everett,Gholson,85_plus,2019-12-25,2023-01-24,1,42001,
S-00213,chester.jeter@paducah.net,Chester,Jeter,62_74,2023-01-09,2026-10-09,0,42003,H-0015
S-00214,edna.ladd@gmail.com,Edna,Ladd,under_40,2021-08-28,2026-01-27,0,42053,
S-00215,billy.barclay@gmail.com,Billy,Barclay,40_61,2022-11-15,2025-04-10,3,42053,
S-00216,carolyn.utley@paducah.net,Carolyn,Utley,75_84,2020-08-14,2022-06-12,0,42001,H-0176
S-00217,grace.latham@bellsouth.net,Grace,Latham,75_84,2022-01-02,2025-11-23,0,42003,H-0079
S-00218,cletus.doerr@paducah.net,Cletus,Doerr,62_74,2022-07-24,2025-11-27,0,42001,H-0233
S-00219,elton.draffen@paducah.net,Elton,Draffen,85_plus,2026-01-08,2026-03-04,2,42024,H-0126
S-00220,otis.bickford@gmail.com,Otis,Bickford,under_40,2024-01-13,2025-04-02,3,42003,
S-00221,helen.vickers@gmail.com,Helen,Vickers,62_74,2023-10-04,2026-03-22,0,42003,H-0217
S-00222,hazel.roark@paducah.net,Hazel,Roark,75_84,2020-05-07,2022-01-21,0,42003,H-0168
S-00223,verna.doerr@bellsouth.net,Verna,Doerr,40_61,2020-01-02,2025-01-30,0,42001,
S-00224,ronald.devers@bellsouth.net,Ronald,Devers,75_84,2021-01-25,2025-11-23,0,42001,H-0151
S-00225,myrtle.bruce@gmail.com,Myrtle,Bruce,75_84,2020-06-14,2020-09-07,0,42001,H-0114
S-00226,billy.kegley@paducah.net,Billy,Kegley,62_74,2020-02-20,2026-02-15,0,42001,H-0220
S-00227,joyce.faulkner@bellsouth.net,Joyce,Faulkner,40_61,2025-06-02,2025-12-06,3,42001,
S-00228,orville.loveless@gmail.com,Orville,Loveless,40_61,2024-02-13,2025-10-23,0,42001,
S-00229,joyce.cummings@paducah.net,Joyce,Cummings,75_84,2020-12-25,2026-06-01,1,42024,
S-00230,buddy.meacham@bellsouth.net,Buddy,Meacham,75_84,2021-11-05,2026-03-02,0,42001,H-0043
S-00231,buford.bramlett@gmail.com,Buford,Bramlett,under_40,2025-03-06,2026-04-13,0,42001,
S-00232,vernon.duvall@paducah.net,Vernon,Duvall,40_61,2026-08-09,2026-10-26,0,42001,
S-00233,hazel.fentress@bellsouth.net,Hazel,Fentress,under_40,2020-01-20,2020-08-15,0,42053,
S-00234,carolyn.yeager@gmail.com,Carolyn,Yeager,under_40,2025-10-29,2025-12-05,0,42053,
S-00235,ronald.utley@gmail.com,Ronald,Utley,85_plus,2023-07-30,2025-01-03,2,42001,H-0063
S-00236,loretta.vickers@gmail.com,Loretta,Vickers,62_74,2022-01-30,2022-07-13,0,42001,H-0210
S-00237,willie.purdom@bellsouth.net,Willie,Purdom,75_84,2026-04-20,2026-04-22,0,42001,H-0099
S-00238,cecil.yonts@bellsouth.net,Cecil,Yonts,62_74,2022-10-09,2024-01-02,0,42001,H-0200
S-00239,pearl.jessup@gmail.com,Pearl,Jessup,62_74,2023-01-17,2026-03-21,0,42003,
S-00240,ottis.hollister@gmail.com,Ottis,Hollister,62_74,2023-04-29,2025-01-06,0,42003,H-0056
S-00241,evelyn.underhill@bellsouth.net,Evelyn,Underhill,62_74,2025-01-23,2026-10-13,0,42001,H-0026
S-00242,opal.pemberton@bellsouth.net,Opal,Pemberton,40_61,2019-04-28,2025-06-25,0,42053,
S-00243,kathy.inman@bellsouth.net,Kathy,Inman,75_84,2025-01-08,2026-01-21,0,42053,H-0052
S-00244,della.roark@gmail.com,Della,Roark,under_40,2023-10-24,2024-02-07,0,42003,
S-00245,bonnie.thurman@bellsouth.net,Bonnie,Thurman,40_61,2021-07-09,2025-07-20,0,42001,
S-00246,marlene.meade@bellsouth.net,Marlene,Meade,62_74,2024-02-15,2024-03-24,2,42024,
S-00247,carolyn.jarrell@gmail.com,Carolyn,Jarrell,under_40,2023-12-08,2024-03-10,0,42003,
S-00248,orville.kimbell@gmail.com,Orville,Kimbell,75_84,2021-02-26,2022-09-18,0,42086,H-0045
S-00249,vivian.bruce@paducah.net,Vivian,Bruce,62_74,2021-08-31,2023-09-25,0,42024,
S-00250,doyle.gooch@gmail.com,Doyle,Gooch,75_84,2019-02-12,2026-07-29,0,42003,H-0065
S-00251,patsy.hollister@bellsouth.net,Patsy,Hollister,40_61,2020-04-14,2021-05-16,0,42003,
S-00252,bennie.herndon@bellsouth.net,Bennie,Herndon,85_plus,2020-10-03,2023-02-16,0,42003,
S-00253,lois.yonts@gmail.com,Lois,Yonts,under_40,2023-07-31,2025-08-16,0,42003,
