household_id,primary_first,primary_last,spouse_first,street,city,state,zip,phone,email,status,flag_widow,flag_widower,flag_bereaved_2026,last_contact_date,last_contact_type,assigned_deacon,notes
H-0012,Verlene,Kegley,,5092 Farley Pl,La Center,KY,42053,(270) 555-6269,verlene.kegley@bellsouth.net,assisted_care,TRUE,FALSE,FALSE,2026-09-07,call,Wallace Grimes,
H-0013,Maude,Threlkeld,,5799 Cypress St,Paducah,KY,42001,(270) 555-5253,,active,TRUE,FALSE,TRUE,2026-02-11,visit,Corine Latham,Prefers not to be visited during UK basketball.
H-0014,Ernest,Sowell,,2914 Alben Barkley Dr,Paducah,KY,42001,(270) 555-1940,,active,FALSE,FALSE,FALSE,2026-08-29,newsletter_only,Jean Wilkes,
H-0015,Chester,Jeter,,2642 Meridian St,Paducah,KY,42003,(270) 555-3923,chester.jeter@paducah.net,active,FALSE,FALSE,FALSE,2026-08-25,call,Mattie Ruth Sanger,
H-0016,Ada,Roark,Milton,2856 Oak Ridge Dr,La Center,KY,42053,(270) 555-8239,ada.roark@paducah.net,active,FALSE,FALSE,FALSE,2026-10-14,visit,Elmer Dockery,
H-0017,Etta,Pemberton,,666 Lovelaceville Rd,Paducah,KY,42001,(270) 555-9395,,active,FALSE,FALSE,FALSE,2026-08-02,visit,Jean Wilkes,
H-0018,Ruby,Eldridge,,3792 Lone Oak Rd,Paducah,KY,42003,(270) 555-6748,ruby.eldridge@gmail.com,active,TRUE,FALSE,FALSE,2026-09-18,call,Elmer Dockery,
H-0019,Vivian,Ellington,Jimmy,3183 Madison St,Symsonia,KY,42086,(270) 555-7544,,homebound,FALSE,FALSE,FALSE,2026-11-01,visit,Frank Tarpley,
H-0020,Earl,Meacham,Gladys,5377 Hinkleville Rd,Paducah,KY,42001,(270) 555-1920,,active,FALSE,FALSE,FALSE,2026-08-02,call,Corine Latham,
H-0021,Wayne,Ratliff,Odessa,1682 Elmwood Dr,Kevil,KY,42024,(270) 555-5417,wayne.ratliff@bellsouth.net,active,FALSE,FALSE,FALSE,2026-08-11,visit,Mattie Ruth Sanger,
H-0022,Ann,Jeter,,3432 Shady Lane,Paducah,KY,42001,(270) 555-0818,ann.jeter@paducah.net,homebound,TRUE,FALSE,TRUE,2026-10-19,visit,Jean Wilkes,
H-0023,Reginald,Yeager,Ida,4761 Jefferson St,Symsonia,KY,42086,(270) 555-3409,,active,FALSE,FALSE,FALSE,2026-07-03,visit,Jean Wilkes,
H-0024,Bonnie,Nave,,4068 Blandville Rd,Paducah,KY,42001,(270) 555-8550,bonnie.nave@bellsouth.net,homebound,TRUE,FALSE,FALSE,2026-10-26,call,Frank Tarpley,
H-0025,Booker,Norvell,Alma,5555 Willow Ave,Paducah,KY,42001,(270) 555-0132,,active,FALSE,FALSE,FALSE,2026-09-16,card,Wallace Grimes,
H-0026,Evelyn,Underhill,Wallace,697 Madison St,Paducah,KY,42001,(270) 555-4364,,active,FALSE,FALSE,FALSE,2026-09-04,card,Ruth Halbrook,
H-0027,Roscoe,Osteen,Betty,1763 Maple Ave,Paducah,KY,42001,(270) 555-4058,,active,FALSE,FALSE,FALSE,2026-09-24,visit,Ruth Halbrook,
H-0028,Blanche,Kilburn,,3234 Shady Lane,Paducah,KY,42001,(270) 555-1152,blanche.kilburn@bellsouth.net,active,TRUE,FALSE,FALSE,2026-08-27,call,Sam Ivy,
H-0029,Evelyn,Overstreet,,828 Cedar St,Paducah,KY,42001,(270) 555-2994,,active,TRUE,FALSE,FALSE,2026-09-18,call,Mattie Ruth Sanger,
H-0030,Frances,Sartin,,3566 Sunset Blvd,Kevil,KY,42024,(270) 555-9710,,active,TRUE,FALSE,FALSE,2026-10-18,call,Elmer Dockery,
H-0031,Marjorie,Callahan,,1866 Old Cairo Rd,Paducah,KY,42001,(270) 555-4425,,active,FALSE,FALSE,FALSE,2026-08-11,call,Frank Tarpley,"Prior committee chair. Recovering from hip surgery, wants normal cadence."
H-0032,Kathy,Nave,,4567 Old Mayfield Rd,Paducah,KY,42003,(270) 555-3119,,active,TRUE,FALSE,FALSE,2026-09-06,visit,Wallace Grimes,
H-0033,Rudy,Pyle,Louise,495 Lovelaceville Rd,Paducah,KY,42001,(270) 555-3115,rudy.pyle@bellsouth.net,active,FALSE,FALSE,FALSE,2026-09-07,visit,Sam Ivy,
H-0034,Harold,Owings,,5111 Oak Ridge Dr,Paducah,KY,42001,(270) 555-4384,,active,FALSE,FALSE,FALSE,2026-08-20,call,Frank Tarpley,
H-0035,Ronald,Vickers,,2198 West End Dr,Kevil,KY,42024,(270) 555-7731,,active,FALSE,TRUE,FALSE,2026-07-12,card,Jean Wilkes,
H-0036,Patsy,McDaniel,Marvin,5299 Lovelaceville Rd,Kevil,KY,42024,(270) 555-2394,patsy.mcdaniel@paducah.net,assisted_care,FALSE,FALSE,FALSE,2026-07-07,call,Sam Ivy,
H-0037,Winifred,Gaskin,Wallace,472 Fountain Ave,Paducah,KY,42001,(270) 555-5956,winifred.gaskin@paducah.net,homebound,FALSE,FALSE,FALSE,2026-10-11,visit,Frank Tarpley,
H-0038,Ethel,Chandler,Arthur,1583 Pecan Grove Rd,Paducah,KY,42003,(270) 555-9232,ethel.chandler@bellsouth.net,opted_out,FALSE,FALSE,FALSE,2024-02-25,newsletter_only,Frank Tarpley,
H-0039,Odessa,Jolley,,3081 Cotton Row,Paducah,KY,42001,(270) 555-9587,odessa.jolley@bellsouth.net,homebound,FALSE,FALSE,FALSE,2026-10-01,card,Frank Tarpley,
H-0040,Vernon,Grimes,Roberta,1175 Buckner Ln,Paducah,KY,42001,(270) 555-5660,vernon.grimes@gmail.com,opted_out,FALSE,FALSE,FALSE,2024-11-14,newsletter_only,Corine Latham,
H-0041,Agnes,McDaniel,Ottis,2407 Lovelaceville Rd,Paducah,KY,42001,(270) 555-5683,,active,FALSE,FALSE,FALSE,2026-09-14,newsletter_only,Mattie Ruth Sanger,
H-0042,Thelma,Yancey,,5483 Blandville Rd,Paducah,KY,42003,(270) 555-5189,thelma.yancey@paducah.net,active,TRUE,FALSE,FALSE,2026-08-13,visit,Frank Tarpley,
H-0043,Buddy,Meacham,Diane,275 Perkins Creek Dr,Paducah,KY,42001,(270) 555-0694,buddy.meacham@bellsouth.net,homebound,FALSE,FALSE,FALSE,2026-02-03,visit,Wallace Grimes,
H-0044,Percy,Ladd,Iris,4986 Hinkleville Rd,Paducah,KY,42003,(270) 555-8139,percy.ladd@gmail.com,active,FALSE,FALSE,FALSE,2026-10-02,call,Wallace Grimes,
H-0045,Orville,Kimbell,Zelda,5789 Blandville Rd,Symsonia,KY,42086,(270) 555-2444,,active,FALSE,FALSE,FALSE,2026-09-10,newsletter_only,Mattie Ruth Sanger,
H-0046,Emmett,Wathen,,4760 Shady Lane,Paducah,KY,42001,(270) 555-2818,,active,FALSE,FALSE,FALSE,2026-10-05,call,Mattie Ruth Sanger,
H-0047,Roy,Thurman,,4007 Lovelaceville Rd,Paducah,KY,42001,(270) 555-0252,roy.thurman@bellsouth.net,active,FALSE,FALSE,FALSE,2026-01-17,call,Sam Ivy,
H-0048,Cora,Egerton,,2500 Willow Ave,Paducah,KY,42001,(270) 555-7664,cora.egerton@bellsouth.net,active,TRUE,FALSE,FALSE,2026-01-23,call,Corine Latham,
H-0049,Jimmy,Gaskin,,1537 Blandville Rd,Symsonia,KY,42086,(270) 555-8410,jimmy.gaskin@bellsouth.net,active,FALSE,FALSE,FALSE,2026-08-23,visit,Frank Tarpley,
H-0050,Josie,Jolley,Sylvester,1896 Shady Lane,Paducah,KY,42001,(270) 555-2446,,active,FALSE,FALSE,FALSE,2026-10-05,visit,Ruth Halbrook,
H-0051,Denver,Owings,Ola,1056 McCracken Blvd,Paducah,KY,42003,(270) 555-8146,,active,FALSE,FALSE,FALSE,2026-08-09,card,Wallace Grimes,
H-0052,Kathy,Inman,Harlan,3790 Blandville Rd,La Center,KY,42053,(270) 555-6847,kathy.inman@bellsouth.net,active,FALSE,FALSE,FALSE,2026-08-18,card,Ruth Halbrook,
H-0053,Beatrice,Kilburn,Clyde,3849 Meadow Ln,Paducah,KY,42001,(270) 555-9589,beatrice.kilburn@gmail.com,assisted_care,FALSE,FALSE,FALSE,2026-03-20,visit,Bud Osteen,
H-0054,Willie,Gholson,Shirley,5615 Cedar St,Paducah,KY,42001,(270) 555-8052,willie.gholson@paducah.net,active,FALSE,FALSE,FALSE,2026-10-02,call,Corine Latham,
H-0055,Delbert,Bickford,Wanda,5252 Clark St,Paducah,KY,42001,(270) 555-2578,,assisted_care,FALSE,FALSE,FALSE,2026-06-27,call,Wallace Grimes,
H-0056,Ottis,Hollister,Geneva,3773 Bridge St,Paducah,KY,42003,(270) 555-7557,ottis.hollister@gmail.com,homebound,FALSE,FALSE,FALSE,2026-10-14,visit,Sam Ivy,
H-0057,Wendell,Bruce,Twyla,3173 Hickory Ln,Paducah,KY,42001,(270) 555-8600,wendell.bruce@bellsouth.net,active,FALSE,FALSE,FALSE,2026-09-19,card,Sam Ivy,
H-0058,Vernon,Purdom,Geraldine,3715 Blandville Rd,Paducah,KY,42001,(270) 555-1793,,active,FALSE,FALSE,FALSE,2026-08-25,newsletter_only,Jean Wilkes,
H-0059,Homer,Doerr,Patsy,1708 Lovelaceville Rd,Paducah,KY,42001,(270) 555-4101,homer.doerr@bellsouth.net,active,FALSE,FALSE,FALSE,2026-03-16,newsletter_only,Frank Tarpley,
H-0060,Betty,Yielding,Harlan,584 Husbands Rd,La Center,KY,42053,(270) 555-9614,betty.yielding@paducah.net,deceased_2026,FALSE,FALSE,FALSE,2026-01-20,call,Frank Tarpley,
H-0061,Kermit,Ackerman,Mavis,4424 Harrison St,Paducah,KY,42001,(270) 555-1857,,active,FALSE,FALSE,FALSE,2026-10-29,card,Wallace Grimes,
H-0062,Herman,Hargrove,Verna,4111 Adams St,Kevil,KY,42024,(270) 555-0226,,active,FALSE,FALSE,FALSE,2026-09-02,card,Corine Latham,
H-0063,Ronald,Utley,,916 Bridge St,Paducah,KY,42001,(270) 555-0361,ronald.utley@gmail.com,active,FALSE,TRUE,TRUE,2026-10-28,card,Frank Tarpley,"Uses hearing aid, speak up."
H-0064,Gerald,Tarpley,,935 Lone Oak Rd,Paducah,KY,42003,(270) 555-2648,,active,FALSE,TRUE,FALSE,2026-10-18,visit,Ruth Halbrook,
H-0065,Doyle,Gooch,,402 Willow Ave,Paducah,KY,42003,(270) 555-0162,doyle.gooch@gmail.com,assisted_care,FALSE,FALSE,FALSE,2026-06-02,visit,Mattie Ruth Sanger,
H-0066,Grover,Thurman,Etta,5930 Jefferson St,Paducah,KY,42001,(270) 555-2465,grover.thurman@bellsouth.net,active,FALSE,FALSE,FALSE,2026-08-26,visit,Elmer Dockery,
H-0067,Louise,Barclay,,1392 Clark St,Paducah,KY,42001,(270) 555-5958,louise.barclay@gmail.com,active,TRUE,FALSE,FALSE,2026-09-06,newsletter_only,Frank Tarpley,
H-0068,Marlene,Hurst,,5811 Adams St,Paducah,KY,42001,(270) 555-4552,,homebound,TRUE,FALSE,FALSE,2026-11-01,call,Jean Wilkes,
H-0069,Mildred,Fain,,2704 Broadway St,Paducah,KY,42001,(270) 555-8650,mildred.fain@bellsouth.net,active,TRUE,FALSE,FALSE,2026-08-21,visit,Frank Tarpley,
H-0070,Ethel,Ingle,,3418 Hickory Ln,Paducah,KY,42003,(270) 555-8944,,active,TRUE,FALSE,TRUE,2026-08-15,newsletter_only,Corine Latham,Daughter in Louisville handles mail.
H-0071,Edna,Nave,,1479 Willow Ave,Paducah,KY,42001,(270) 555-2610,edna.nave@bellsouth.net,active,TRUE,FALSE,TRUE,2026-08-01,call,Ruth Halbrook,
H-0072,Eunice,Vickers,,4977 Chestnut St,La Center,KY,42053,(270) 555-2913,eunice.vickers@paducah.net,active,FALSE,FALSE,FALSE,2026-10-24,card,Bud Osteen,
H-0073,Arthur,Yates,Nadine,151 Sunflower Ln,Paducah,KY,42001,(270) 555-7660,arthur.yates@gmail.com,assisted_care,FALSE,FALSE,FALSE,2026-02-27,call,Sam Ivy,
H-0074,Tommy,Turnbow,,3848 Harrison St,Paducah,KY,42001,(270) 555-3725,,active,FALSE,TRUE,FALSE,2026-10-07,visit,Sam Ivy,
H-0075,Merle,Latham,,1199 Kentucky Ave,La Center,KY,42053,(270) 555-2134,merle.latham@paducah.net,active,FALSE,TRUE,TRUE,2026-08-29,visit,Wallace Grimes,
H-0076,Ottis,Dodson,,4380 Perkins Creek Dr,Paducah,KY,42003,(270) 555-6949,ottis.dodson@gmail.com,homebound,FALSE,FALSE,FALSE,2026-01-19,call,Corine Latham,
H-0077,Odessa,Doerr,,5020 Reidland Rd,Paducah,KY,42001,(270) 555-8948,odessa.doerr@gmail.com,opted_out,FALSE,FALSE,FALSE,2024-04-17,newsletter_only,Wallace Grimes,
H-0078,Blanche,Hendon,Mark,992 Broadway St,Paducah,KY,42001,(270) 555-4852,,active,FALSE,FALSE,FALSE,2026-09-02,card,Wallace Grimes,
H-0079,Grace,Latham,Jimmy,1050 Fountain Ave,Paducah,KY,42003,(270) 555-6207,,active,FALSE,FALSE,FALSE,2026-10-29,call,Sam Ivy,
H-0080,Evelyn,Threlkeld,,3767 Locust Grove Rd,Paducah,KY,42003,(270) 555-2673,,assisted_care,TRUE,FALSE,FALSE,2026-05-08,call,Sam Ivy,
H-0081,Sylvia,Inman,,325 Husbands Rd,Paducah,KY,42001,(270) 555-2986,,active,FALSE,FALSE,FALSE,2026-10-29,call,Wallace Grimes,
H-0082,Thelma,Yates,,2813 Fountain Ave,Paducah,KY,42001,(270) 555-7913,,assisted_care,TRUE,FALSE,FALSE,2026-03-12,card,Wallace Grimes,
H-0083,Opal,Ratliff,Earl,5219 Shady Lane,Paducah,KY,42001,(270) 555-0797,,homebound,FALSE,FALSE,FALSE,2026-10-10,call,Ruth Halbrook,
H-0084,Ellen,Franks,,4442 Alben Barkley Dr,Paducah,KY,42001,(270) 555-5906,,assisted_care,FALSE,FALSE,FALSE,2026-07-10,call,Jean Wilkes,
H-0085,Curtis,Cissell,Roxanne,4675 Locust Grove Rd,Paducah,KY,42003,(270) 555-4197,,assisted_care,FALSE,FALSE,FALSE,2026-09-14,call,Elmer Dockery,
H-0086,Rupert,Hargrove,,1399 Broadway St,Paducah,KY,42003,(270) 555-0672,,active,FALSE,TRUE,TRUE,2026-08-04,call,Frank Tarpley,
H-0087,Shirley,Zumwalt,,2002 Meridian St,Symsonia,KY,42086,(270) 555-7677,,active,TRUE,FALSE,FALSE,2026-09-20,call,Mattie Ruth Sanger,
H-0088,Joyce,Sanger,James,1859 Maple Ave,Kevil,KY,42024,(270) 555-1327,joyce.sanger@paducah.net,active,FALSE,FALSE,FALSE,2026-04-04,call,Bud Osteen,
H-0089,Beulah,Grissom,,2773 Cotton Row,Kevil,KY,42024,(270) 555-6020,beulah.grissom@bellsouth.net,active,TRUE,FALSE,FALSE,2026-10-03,call,Mattie Ruth Sanger,
H-0090,Effie,Bruce,Harold,585 West End Dr,Kevil,KY,42024,(270) 555-6723,effie.bruce@bellsouth.net,active,FALSE,FALSE,FALSE,2026-06-15,call,Ruth Halbrook,
H-0091,Etta,McDaniel,Homer,1394 Elmwood Dr,Paducah,KY,42001,(270) 555-4285,,assisted_care,FALSE,FALSE,FALSE,2026-02-02,call,Frank Tarpley,
H-0092,Bonnie,Sanger,Sam,3249 Monroe St,Paducah,KY,42001,(270) 555-0896,bonnie.sanger@gmail.com,assisted_care,FALSE,FALSE,FALSE,2026-07-02,call,Wallace Grimes,
H-0093,Nancy,Underhill,,4589 Locust Grove Rd,Paducah,KY,42001,(270) 555-0826,,active,TRUE,FALSE,FALSE,2026-09-26,card,Bud Osteen,
H-0094,Carolyn,Yates,Vernon,4289 McCracken Blvd,Paducah,KY,42001,(270) 555-1703,carolyn.yates@paducah.net,assisted_care,FALSE,FALSE,FALSE,2026-06-09,card,Elmer Dockery,
H-0095,Corine,Doerr,Elmer,631 Alben Barkley Dr,Symsonia,KY,42086,(270) 555-3592,corine.doerr@bellsouth.net,active,FALSE,FALSE,FALSE,2026-09-08,visit,Mattie Ruth Sanger,
H-0096,Rupert,Fentress,Winifred,2992 Church St,Paducah,KY,42003,(270) 555-7642,,assisted_care,FALSE,FALSE,FALSE,2026-08-03,call,Corine Latham,
H-0097,Florence,Hendon,,2363 Old Mayfield Rd,Paducah,KY,42001,(270) 555-7501,,active,FALSE,FALSE,FALSE,2026-08-01,visit,Bud Osteen,
H-0098,Eugene,Sowell,Diane,1927 Cotton Row,Symsonia,KY,42086,(270) 555-8610,eugene.sowell@bellsouth.net,active,FALSE,FALSE,FALSE,2026-09-18,newsletter_only,Sam Ivy,
H-0099,Willie,Purdom,,434 Husbands Rd,Paducah,KY,42001,(270) 555-8253,,homebound,FALSE,TRUE,FALSE,2026-10-11,visit,Mattie Ruth Sanger,
H-0100,Odell,Ackerman,,3505 Madison St,Symsonia,KY,42086,(270) 555-8854,,homebound,FALSE,TRUE,FALSE,2026-10-29,card,Jean Wilkes,
H-0101,Dolores,Massie,,1209 West End Dr,Paducah,KY,42001,(270) 555-0530,dolores.massie@bellsouth.net,active,TRUE,FALSE,FALSE,2026-04-10,newsletter_only,Ruth Halbrook,
H-0102,Peggy,Bramlett,Odell,485 Buckner Ln,Paducah,KY,42001,(270) 555-0218,peggy.bramlett@paducah.net,active,FALSE,FALSE,FALSE,2026-09-12,visit,Corine Latham,
H-0103,Kathy,Coates,Rupert,3169 Poplar St,Paducah,KY,42003,(270) 555-9086,,active,FALSE,FALSE,FALSE,2026-08-07,call,Jean Wilkes,
H-0104,Louise,Inman,,2180 Church St,Paducah,KY,42001,(270) 555-7562,louise.inman@bellsouth.net,homebound,TRUE,FALSE,FALSE,2026-10-05,call,Frank Tarpley,
H-0105,Gladys,Nave,,3886 Elmwood Dr,Paducah,KY,42001,(270) 555-2505,,homebound,FALSE,FALSE,FALSE,2026-07-12,card,Frank Tarpley,
H-0106,Barbara,Yancey,,4890 Cairo Rd,Paducah,KY,42003,(270) 555-1650,,opted_out,FALSE,FALSE,FALSE,2024-02-05,newsletter_only,Elmer Dockery,Wants a copy of the Advent devotional printed.
H-0107,Winifred,Hendon,Mark,1477 Reidland Rd,Paducah,KY,42001,(270) 555-1939,,opted_out,FALSE,FALSE,FALSE,2024-02-28,newsletter_only,Frank Tarpley,
H-0108,Charlotte,Purdom,,1580 Cypress St,Kevil,KY,42024,(270) 555-8653,charlotte.purdom@paducah.net,active,TRUE,FALSE,FALSE,2026-10-16,call,Corine Latham,
H-0109,Leroy,Vickers,Opal,4088 Cedar St,Paducah,KY,42001,(270) 555-0700,leroy.vickers@gmail.com,active,FALSE,FALSE,FALSE,2026-05-08,call,Wallace Grimes,
H-0110,Mark,Kilburn,Betty,2601 Shady Lane,La Center,KY,42053,(270) 555-3406,mark.kilburn@paducah.net,active,FALSE,FALSE,FALSE,2026-09-19,visit,Elmer Dockery,
H-0111,Wendell,Meade,,4115 Walnut St,Paducah,KY,42003,(270) 555-6361,,active,FALSE,FALSE,FALSE,2026-08-07,visit,Frank Tarpley,
H-0112,Myrtle,Whitfield,,5535 Hinkleville Rd,La Center,KY,42053,(270) 555-4943,myrtle.whitfield@bellsouth.net,active,TRUE,FALSE,FALSE,2026-10-21,call,Wallace Grimes,
H-0113,Dennis,Cundiff,,1620 Chestnut St,Paducah,KY,42003,(270) 555-0422,dennis.cundiff@bellsouth.net,homebound,FALSE,TRUE,FALSE,2026-10-07,call,Corine Latham,
H-0114,Myrtle,Bruce,,3191 Lovelaceville Rd,Paducah,KY,42001,(270) 555-7160,myrtle.bruce@gmail.com,active,TRUE,FALSE,FALSE,2026-08-26,call,Bud Osteen,
H-0115,Winifred,Yeager,,1408 Madison St,Paducah,KY,42001,(270) 555-1247,,active,TRUE,FALSE,FALSE,2026-09-04,call,Corine Latham,
H-0116,Verlene,Hargrove,Ernest,1309 Monroe St,Paducah,KY,42001,(270) 555-7064,verlene.hargrove@gmail.com,active,FALSE,FALSE,FALSE,2026-08-09,call,Mattie Ruth Sanger,
H-0117,Vernon,Dockery,,2256 Monroe St,Paducah,KY,42003,(270) 555-0908,vernon.dockery@bellsouth.net,active,FALSE,TRUE,FALSE,2026-08-16,call,Wallace Grimes,
H-0118,Mark,Milam,,4438 Poplar St,Paducah,KY,42001,(270) 555-5179,mark.milam@gmail.com,active,FALSE,TRUE,TRUE,2026-07-02,card,Frank Tarpley,
H-0119,Norman,Kilgore,Zelda,3783 Buckner Ln,Paducah,KY,42001,(270) 555-1517,norman.kilgore@bellsouth.net,active,FALSE,FALSE,FALSE,2026-10-20,visit,Frank Tarpley,
H-0120,Carolyn,Overby,Floyd,2667 Sunset Blvd,La Center,KY,42053,(270) 555-4247,,homebound,FALSE,FALSE,FALSE,2026-10-31,call,Sam Ivy,
H-0121,Pearl,Ackerman,,2056 Oak Ridge Dr,Paducah,KY,42001,(270) 555-8381,,opted_out,FALSE,FALSE,FALSE,2024-09-02,newsletter_only,Sam Ivy,Deb dropped off soup in September.
H-0122,Verlene,Tarpley,,5231 Madison St,Paducah,KY,42001,(270) 555-9060,,active,FALSE,FALSE,FALSE,2026-10-28,visit,Sam Ivy,
H-0123,Tilden,Woodson,,792 Hinkleville Rd,Kevil,KY,42024,(270) 555-5018,tilden.woodson@gmail.com,active,FALSE,TRUE,FALSE,2026-08-08,card,Frank Tarpley,
H-0124,Wallace,Inman,Ola,530 Concord Ln,Paducah,KY,42001,(270) 555-4013,,active,FALSE,FALSE,FALSE,2026-10-14,call,Mattie Ruth Sanger,
H-0125,Bonnie,Stovall,,2551 Perkins Creek Dr,Paducah,KY,42001,(270) 555-0446,bonnie.stovall@bellsouth.net,active,FALSE,FALSE,FALSE,2026-09-27,call,Elmer Dockery,Enters through side door only.
H-0126,Elton,Draffen,Jean,5077 Farley Pl,Kevil,KY,42024,(270) 555-0255,elton.draffen@paducah.net,active,FALSE,FALSE,FALSE,2026-10-31,card,Elmer Dockery,
H-0127,Rita,Egerton,,2355 Cairo Rd,La Center,KY,42053,(270) 555-2189,rita.egerton@paducah.net,active,TRUE,FALSE,FALSE,2026-07-14,call,Frank Tarpley,
H-0128,Elna,Nunn,,2927 West End Dr,Paducah,KY,42001,(270) 555-2379,,homebound,TRUE,FALSE,FALSE,2026-10-11,visit,Corine Latham,
H-0129,Homer,Eller,Marlene,4618 Cairo Rd,Symsonia,KY,42086,(270) 555-4296,homer.eller@gmail.com,homebound,FALSE,FALSE,FALSE,2026-02-23,call,Jean Wilkes,
H-0130,Odie,Trimble,Leroy,5200 Chestnut St,La Center,KY,42053,(270) 555-6297,,homebound,FALSE,FALSE,FALSE,2026-10-30,newsletter_only,Ruth Halbrook,
H-0131,Faye,Kilburn,Hoyt,3493 Pecan Grove Rd,Paducah,KY,42001,(270) 555-4079,faye.kilburn@bellsouth.net,active,FALSE,FALSE,FALSE,2026-08-04,card,Jean Wilkes,
H-0132,Sylvia,Kegley,Sam,1114 Poplar St,Paducah,KY,42003,(270) 555-8491,sylvia.kegley@gmail.com,active,FALSE,FALSE,FALSE,2026-09-21,newsletter_only,Elmer Dockery,
H-0133,Vernon,Hemphill,,4407 Elmwood Dr,Paducah,KY,42001,(270) 555-2157,,active,FALSE,FALSE,FALSE,2026-10-21,call,Frank Tarpley,
H-0134,Eunice,Kilgore,Hoyt,5700 Fountain Ave,La Center,KY,42053,(270) 555-5032,eunice.kilgore@gmail.com,active,FALSE,FALSE,FALSE,2026-05-06,call,Mattie Ruth Sanger,
H-0135,Doris,Fisher,,1816 Elmwood Dr,Kevil,KY,42024,(270) 555-0853,doris.fisher@gmail.com,active,TRUE,FALSE,FALSE,2026-08-01,card,Frank Tarpley,
H-0136,Nell,Devers,Larry,983 Madison St,Paducah,KY,42001,(270) 555-4620,nell.devers@gmail.com,active,FALSE,FALSE,FALSE,2026-09-25,call,Sam Ivy,
H-0137,Ottis,Hemphill,Betty,4166 Concord Ln,Kevil,KY,42024,(270) 555-1565,,active,FALSE,FALSE,FALSE,2026-08-02,call,Elmer Dockery,
H-0138,Ronald,Sinclair,,5616 Locust Grove Rd,Symsonia,KY,42086,(270) 555-8707,ronald.sinclair@paducah.net,active,FALSE,FALSE,FALSE,2026-05-03,visit,Jean Wilkes,
H-0139,Florence,Longmire,,2841 Fountain Ave,La Center,KY,42053,(270) 555-2454,florence.longmire@paducah.net,active,TRUE,FALSE,FALSE,2026-10-21,card,Mattie Ruth Sanger,
H-0140,Mavis,Kimbell,,5297 Meridian St,La Center,KY,42053,(270) 555-8965,,active,TRUE,FALSE,FALSE,2026-10-31,newsletter_only,Corine Latham,
H-0141,Opal,Osteen,,3439 Monroe St,Paducah,KY,42001,(270) 555-9175,opal.osteen@paducah.net,active,TRUE,FALSE,FALSE,2026-09-03,call,Elmer Dockery,
H-0142,Harold,Renfro,Sherry,268 Cotton Row,Paducah,KY,42001,(270) 555-4807,hal.renfro@bellsouth.net,opted_out,FALSE,FALSE,FALSE,2024-08-17,newsletter_only,Bud Osteen,Family requested no outreach following 2024 dispute. Deb to keep off all lists.
H-0143,Ethel,Lassiter,Roy,1787 Maple Ave,Paducah,KY,42001,(270) 555-2106,ethel.lassiter@gmail.com,active,FALSE,FALSE,FALSE,2026-09-21,call,Elmer Dockery,
H-0144,Betty,Judkins,Leroy,2379 Shady Lane,Paducah,KY,42001,(270) 555-3410,betty.judkins@paducah.net,active,FALSE,FALSE,FALSE,2026-07-19,call,Sam Ivy,
