date,day_of_week,kerry_shift,kids_activity,coverage_plan,fallback,notes
2026-12-02,Wednesday,off,Chloe art 1530 Roslindale,Kerry drives Chloe,none needed,catch up sleep morning only
2026-12-03,Thursday,off,Liam hockey 1730 Daly Memorial,Kerry drives Liam,none needed,quiet Thursday
2026-12-04,Friday,off,off,Kerry home,none needed,pack the car for Worcester Saturday
2026-12-05,Saturday,off,Patrick family event Worcester area,TBD pending date confirmation,Kerry home if unconfirmed,multiple dates in circulation check sources
2026-12-06,Sunday,off,off,Kerry home,none needed,recovery day
2026-12-07,Monday,off,Liam hockey 1730 Daly Memorial,Kerry drives Liam,none needed,quiet Monday
2026-12-08,Tuesday,off,Liam hockey 1730 Daly Memorial,Kerry drives Liam,none needed,quiet Tuesday
2026-12-09,Wednesday,night shift 1900 to 0700,Chloe art 1530 Roslindale,Ava daytime and overnight,Colleen backup,post shift sleep window 0730 to 1500
2026-12-10,Thursday,night shift 1900 to 0700,Liam hockey 1730 Daly Memorial,Ava overnight and Ava drives Liam,Kim drives rink pickup,post shift sleep window 0730 to 1500
2026-12-11,Friday,night shift 1900 to 0700,off,Ava overnight,Colleen backup,post shift sleep window 0730 to 1500
2026-12-12,Saturday,off,off,Kerry home,none needed,laundry catch up
2026-12-13,Sunday,night shift 1900 to 0700,off,Ava overnight,Colleen backup,Week A rotation
2026-12-14,Monday,night shift 1900 to 0700,Liam hockey 1730 Daly Memorial,Ava overnight and Ava drives Liam,Kim drives rink pickup,post shift sleep window 0730 to 1500
2026-12-15,Tuesday,night shift 1900 to 0700,Liam hockey 1730 Daly Memorial,Ava overnight and Ava drives Liam,Kim drives rink pickup,post shift sleep window 0730 to 1500
2026-12-16,Wednesday,off,Chloe art 1530 Roslindale,Kerry drives Chloe,none needed,catch up sleep morning only
2026-12-17,Thursday,off,Liam hockey 1730 Daly Memorial,Kerry drives Liam,none needed,quiet Thursday
2026-12-18,Friday,off,off,Kerry home,none needed,school winter break starts
2026-12-19,Saturday,off,off,Kerry home,none needed,quiet Saturday
2026-12-20,Sunday,off,off,Kerry home,none needed,winter break
2026-12-21,Monday,off,off,Kerry home,none needed,winter break
2026-12-22,Tuesday,off,off,Kerry home,none needed,winter break
2026-12-23,Wednesday,off,off,Kerry home,none needed,Kerry off shift for holiday block
2026-12-24,Thursday,off,off,Kerry home,none needed,Christmas Eve
2026-12-25,Friday,off,Christmas at home with Colleen,Kerry home,none needed,Kerry off shift for holiday block
2026-12-26,Saturday,off,off,Kerry home,none needed,winter break
2026-12-27,Sunday,off,off,Kerry home,none needed,winter break
2026-12-28,Monday,night shift 1900 to 0700,off,Ava overnight,Colleen backup,back on rotation after holiday block
2026-12-29,Tuesday,night shift 1900 to 0700,off,Ava overnight,Colleen backup,post shift sleep window 0730 to 1500
2026-12-30,Wednesday,night shift 1900 to 0700,off,Ava overnight,Colleen backup,post shift sleep window 0730 to 1500
2026-12-31,Thursday,off,off,Kerry home,none needed,New Year Eve quiet at home
