School	Student_Last	Student_Initial	Grade	Session_Date	Mentor	Attendance
Sligo Creek Middle School	Patel	R	6	2026-02-05	Priya Nair	Present
Sligo Creek Middle School	Osei	K	7	2026-02-05	Marcus Webb	Present
Sligo Creek Middle School	Okafor	D	6	2026-02-12	Marcus Webb	Present
Sligo Creek Middle School	Kim	J	7	2026-02-12	Priya Nair	Absent
Sligo Creek Middle School	Hassan	A	8	2026-02-12	Marcus Webb	Present
Sligo Creek Middle School	Torres	M	6	2026-02-12	Priya Nair	Present
Sligo Creek Middle School	Kowalski	B	7	2026-02-12	James Park	Absent
Sligo Creek Middle School	Washington	T	8	2026-02-12	James Park	Present
Sligo Creek Middle School	Patel	R	6	2026-02-12	Priya Nair	Absent
Sligo Creek Middle School	Osei	K	7	2026-02-12	Marcus Webb	Present
Sligo Creek Middle School	Okafor	D	6	2026-02-19	Marcus Webb	Present
Sligo Creek Middle School	Kim	J	7	2026-02-19	Priya Nair	Present
Sligo Creek Middle School	Hassan	A	8	2026-02-19	Marcus Webb	Present
Sligo Creek Middle School	Torres	M	6	2026-02-19	Priya Nair	Present
Sligo Creek Middle School	Kowalski	B	7	2026-02-19	James Park	Present
Sligo Creek Middle School	Washington	T	8	2026-02-19	James Park	Present
Sligo Creek Middle School	Patel	R	6	2026-02-19	Priya Nair	Present
Sligo Creek Middle School	Osei	K	7	2026-02-19	Marcus Webb	Present
Sligo Creek Middle School	Okafor	D	6	2026-02-26	Marcus Webb	Present
Sligo Creek Middle School	Kim	J	7	2026-02-26	Priya Nair	Present
Sligo Creek Middle School	Hassan	A	8	2026-02-26	Marcus Webb	Present
Sligo Creek Middle School	Torres	M	6	2026-02-26	Priya Nair	Present
Sligo Creek Middle School	Kowalski	B	7	2026-02-26	James Park	Present
Sligo Creek Middle School	Washington	T	8	2026-02-26	James Park	Present
Sligo Creek Middle School	Patel	R	6	2026-02-26	Priya Nair	Present
Sligo Creek Middle School	Osei	K	7	2026-02-26	Marcus Webb	Present
Takoma Park Middle School	Diaz	L	6	2026-01-08	Carol Simmons	Present
Takoma Park Middle School	Chen	W	8	2026-01-08	Carol Simmons	Present
Takoma Park Middle School	Nakamura	S	7	2026-01-08	David Ortega	Present
Takoma Park Middle School	Brown	I	6	2026-01-08	David Ortega	Absent
Takoma Park Middle School	Gomez	F	8	2026-01-08	Carol Simmons	Present
Takoma Park Middle School	Yusuf	M	7	2026-01-08	David Ortega	Present
Takoma Park Middle School	Richardson	C	6	2026-01-08	Carol Simmons	Present
Takoma Park Middle School	Diaz	L	6	2026-01-15	Carol Simmons	Present
Takoma Park Middle School	Chen	W	8	2026-01-15	Carol Simmons	Present
Takoma Park Middle School	Nakamura	S	7	2026-01-15	David Ortega	Present
Takoma Park Middle School	Brown	I	6	2026-01-15	David Ortega	Present
Takoma Park Middle School	Gomez	F	8	2026-01-15	Carol Simmons	Present
Takoma Park Middle School	Yusuf	M	7	2026-01-15	David Ortega	Present
Takoma Park Middle School	Richardson	C	6	2026-01-15	Carol Simmons	Present
Takoma Park Middle School	Diaz	L	6	2026-01-22	Carol Simmons	Present
Takoma Park Middle School	Chen	W	8	2026-01-22	Carol Simmons	Present
Takoma Park Middle School	Nakamura	S	7	2026-01-22	David Ortega	Present
Takoma Park Middle School	Brown	I	6	2026-01-22	David Ortega	Present
Takoma Park Middle School	Gomez	F	8	2026-01-22	Carol Simmons	Present
Takoma Park Middle School	Yusuf	M	7	2026-01-22	David Ortega	Present
Takoma Park Middle School	Richardson	C	6	2026-01-22	Carol Simmons	Present
Takoma Park Middle School	Diaz	L	6	2026-01-29	Carol Simmons	Present
Takoma Park Middle School	Chen	W	8	2026-01-29	Carol Simmons	Present
Takoma Park Middle School	Nakamura	S	7	2026-01-29	David Ortega	Present
Takoma Park Middle School	Brown	I	6	2026-01-29	David Ortega	Absent
Takoma Park Middle School	Gomez	F	8	2026-01-29	Carol Simmons	Absent
Takoma Park Middle School	Yusuf	M	7	2026-01-29	David Ortega	Absent
Takoma Park Middle School	Richardson	C	6	2026-01-29	Carol Simmons	Present
Takoma Park Middle School	Diaz	L	6	2026-02-05	Carol Simmons	Present
Takoma Park Middle School	Chen	W	8	2026-02-05	Carol Simmons	Present
Takoma Park Middle School	Nakamura	S	7	2026-02-05	David Ortega	Absent
Takoma Park Middle School	Brown	I	6	2026-02-05	David Ortega	Present
Takoma Park Middle School	Gomez	F	8	2026-02-05	Carol Simmons	Present
Takoma Park Middle School	Yusuf	M	7	2026-02-05	David Ortega	Present
Takoma Park Middle School	Richardson	C	6	2026-02-05	Carol Simmons	Present
Takoma Park Middle School	Diaz	L	6	2026-02-12	Carol Simmons	Present
Takoma Park Middle School	Chen	W	8	2026-02-12	Carol Simmons	Absent
Takoma Park Middle School	Nakamura	S	7	2026-02-12	David Ortega	Present
Takoma Park Middle School	Brown	I	6	2026-02-12	David Ortega	Present
Takoma Park Middle School	Gomez	F	8	2026-02-12	Carol Simmons	Present
Takoma Park Middle School	Yusuf	M	7	2026-02-12	David Ortega	Present
Takoma Park Middle School	Richardson	C	6	2026-02-12	Carol Simmons	Present
Takoma Park Middle School	Diaz	L	6	2026-02-19	Carol Simmons	Absent
Takoma Park Middle School	Chen	W	8	2026-02-19	Carol Simmons	Present
Takoma Park Middle School	Nakamura	S	7	2026-02-19	David Ortega	Present
Takoma Park Middle School	Brown	I	6	2026-02-19	David Ortega	Present
Takoma Park Middle School	Gomez	F	8	2026-02-19	Carol Simmons	Present
Takoma Park Middle School	Yusuf	M	7	2026-02-19	David Ortega	Present
Takoma Park Middle School	Richardson	C	6	2026-02-19	Carol Simmons	Present
Takoma Park Middle School	Diaz	L	6	2026-02-26	Carol Simmons	Present
Takoma Park Middle School	Chen	W	8	2026-02-26	Carol Simmons	Present
Takoma Park Middle School	Nakamura	S	7	2026-02-26	David Ortega	Present
Takoma Park Middle School	Brown	I	6	2026-02-26	David Ortega	Present
Takoma Park Middle School	Gomez	F	8	2026-02-26	Carol Simmons	Present
Takoma Park Middle School	Yusuf	M	7	2026-02-26	David Ortega	Present
Takoma Park Middle School	Richardson	C	6	2026-02-26	Carol Simmons	Present
Eastern Middle School	Alvarez	P	8	2026-01-08	Kwame Mensah	Present
Eastern Middle School	Singh	H	6	2026-01-08	Kwame Mensah	Present
Eastern Middle School	Williams	Z	7	2026-01-08	Lisa Chen	Present
Eastern Middle School	Petrov	N	8	2026-01-08	Lisa Chen	Present
Eastern Middle School	Ibrahim	O	6	2026-01-08	Kwame Mensah	Absent
Eastern Middle School	Fernandez	G	7	2026-01-08	Lisa Chen	Present
Eastern Middle School	Alvarez	P	8	2026-01-15	Kwame Mensah	Absent
Eastern Middle School	Singh	H	6	2026-01-15	Kwame Mensah	Present
Eastern Middle School	Williams	Z	7	2026-01-15	Lisa Chen	Present
Eastern Middle School	Petrov	N	8	2026-01-15	Lisa Chen	Present
Eastern Middle School	Ibrahim	O	6	2026-01-15	Kwame Mensah	Present
Eastern Middle School	Fernandez	G	7	2026-01-15	Lisa Chen	Absent
Eastern Middle School	Alvarez	P	8	2026-01-22	Kwame Mensah	Present
Eastern Middle School	Singh	H	6	2026-01-22	Kwame Mensah	Present
Eastern Middle School	Williams	Z	7	2026-01-22	Lisa Chen	Absent
Eastern Middle School	Petrov	N	8	2026-01-22	Lisa Chen	Present
Eastern Middle School	Ibrahim	O	6	2026-01-22	Kwame Mensah	Absent
Eastern Middle School	Fernandez	G	7	2026-01-22	Lisa Chen	Present
Eastern Middle School	Alvarez	P	8	2026-01-29	Kwame Mensah	Present
Eastern Middle School	Singh	H	6	2026-01-29	Kwame Mensah	Present
Eastern Middle School	Williams	Z	7	2026-01-29	Lisa Chen	Present
Eastern Middle School	Petrov	N	8	2026-01-29	Lisa Chen	Present
Eastern Middle School	Ibrahim	O	6	2026-01-29	Kwame Mensah	Present
Eastern Middle School	Fernandez	G	7	2026-01-29	Lisa Chen	Present
Eastern Middle School	Alvarez	P	8	2026-02-05	Kwame Mensah	Present
Eastern Middle School	Singh	H	6	2026-02-05	Kwame Mensah	Present
Eastern Middle School	Williams	Z	7	2026-02-05	Lisa Chen	Present
Eastern Middle School	Petrov	N	8	2026-02-05	Lisa Chen	Present
Eastern Middle School	Ibrahim	O	6	2026-02-05	Kwame Mensah	Present
Eastern Middle School	Fernandez	G	7	2026-02-05	Lisa Chen	Present
Eastern Middle School	Alvarez	P	8	2026-02-12	Kwame Mensah	Present
Eastern Middle School	Singh	H	6	2026-02-12	Kwame Mensah	Present
Eastern Middle School	Williams	Z	7	2026-02-12	Lisa Chen	Present
Eastern Middle School	Petrov	N	8	2026-02-12	Lisa Chen	Present
Eastern Middle School	Ibrahim	O	6	2026-02-12	Kwame Mensah	Present
Eastern Middle School	Fernandez	G	7	2026-02-12	Lisa Chen	Present
Eastern Middle School	Alvarez	P	8	2026-02-19	Kwame Mensah	Present
Eastern Middle School	Singh	H	6	2026-02-19	Kwame Mensah	Present
Eastern Middle School	Williams	Z	7	2026-02-19	Lisa Chen	Present
Eastern Middle School	Petrov	N	8	2026-02-19	Lisa Chen	Present
Eastern Middle School	Ibrahim	O	6	2026-02-19	Kwame Mensah	Absent
Eastern Middle School	Fernandez	G	7	2026-02-19	Lisa Chen	Present
Eastern Middle School	Alvarez	P	8	2026-02-26	Kwame Mensah	Present
Eastern Middle School	Singh	H	6	2026-02-26	Kwame Mensah	Present
Eastern Middle School	Williams	Z	7	2026-02-26	Lisa Chen	Present
Eastern Middle School	Petrov	N	8	2026-02-26	Lisa Chen	Absent
Eastern Middle School	Ibrahim	O	6	2026-02-26	Kwame Mensah	Present
Eastern Middle School	Fernandez	G	7	2026-02-26	Lisa Chen	Present
Newport Mill Middle School	Johnson	A	7	2026-01-08	Tony Nguyen Jr.	Present
Newport Mill Middle School	Park	E	8	2026-01-08	Tony Nguyen Jr.	Present
Newport Mill Middle School	Martinez	R	6	2026-01-08	Tony Nguyen Jr.	Present
Newport Mill Middle School	Lee	S	7	2026-01-08	Tony Nguyen Jr.	Present
Newport Mill Middle School	Owusu	P	8	2026-01-08	Robin Price	Present
Newport Mill Middle School	Gupta	V	6	2026-01-08	Robin Price	Present
Newport Mill Middle School	Johnson	A	7	2026-01-15	Tony Nguyen Jr.	Present
Newport Mill Middle School	Park	E	8	2026-01-15	Tony Nguyen Jr.	Present
Newport Mill Middle School	Martinez	R	6	2026-01-15	Tony Nguyen Jr.	Absent
Newport Mill Middle School	Lee	S	7	2026-01-15	Tony Nguyen Jr.	Present
Newport Mill Middle School	Owusu	P	8	2026-01-15	Robin Price	Present
Newport Mill Middle School	Gupta	V	6	2026-01-15	Robin Price	Present
Newport Mill Middle School	Johnson	A	7	2026-01-22	Tony Nguyen Jr.	Present
Newport Mill Middle School	Park	E	8	2026-01-22	Tony Nguyen Jr.	Present
Newport Mill Middle School	Martinez	R	6	2026-01-22	Tony Nguyen Jr.	Present
Newport Mill Middle School	Lee	S	7	2026-01-22	Tony Nguyen Jr.	Absent
Newport Mill Middle School	Owusu	P	8	2026-01-22	Robin Price	Present
Newport Mill Middle School	Gupta	V	6	2026-01-22	Robin Price	Present
Newport Mill Middle School	Johnson	A	7	2026-01-29	Tony Nguyen Jr.	Present
Newport Mill Middle School	Park	E	8	2026-01-29	Tony Nguyen Jr.	Present
Newport Mill Middle School	Martinez	R	6	2026-01-29	Tony Nguyen Jr.	Present
Newport Mill Middle School	Lee	S	7	2026-01-29	Tony Nguyen Jr.	Present
Newport Mill Middle School	Owusu	P	8	2026-01-29	Robin Price	Present
Newport Mill Middle School	Gupta	V	6	2026-01-29	Robin Price	Present
Newport Mill Middle School	Johnson	A	7	2026-02-05	Tony Nguyen Jr.	Present
Newport Mill Middle School	Park	E	8	2026-02-05	Tony Nguyen Jr.	Present
Newport Mill Middle School	Martinez	R	6	2026-02-05	Tony Nguyen Jr.	Present
Newport Mill Middle School	Lee	S	7	2026-02-05	Tony Nguyen Jr.	Present
Newport Mill Middle School	Owusu	P	8	2026-02-05	Robin Price	Present
Newport Mill Middle School	Gupta	V	6	2026-02-05	Robin Price	Absent
Newport Mill Middle School	Johnson	A	7	2026-02-12	Tony Nguyen Jr.	Present
Newport Mill Middle School	Park	E	8	2026-02-12	Tony Nguyen Jr.	Present
Newport Mill Middle School	Martinez	R	6	2026-02-12	Tony Nguyen Jr.	Present
Newport Mill Middle School	Lee	S	7	2026-02-12	Tony Nguyen Jr.	Present
Newport Mill Middle School	Owusu	P	8	2026-02-12	Robin Price	Present
Newport Mill Middle School	Gupta	V	6	2026-02-12	Robin Price	Present
Newport Mill Middle School	Johnson	A	7	2026-02-19	Tony Nguyen Jr.	Present
Newport Mill Middle School	Park	E	8	2026-02-19	Tony Nguyen Jr.	Present
Newport Mill Middle School	Martinez	R	6	2026-02-19	Tony Nguyen Jr.	Present
Newport Mill Middle School	Lee	S	7	2026-02-19	Tony Nguyen Jr.	Absent
Newport Mill Middle School	Owusu	P	8	2026-02-19	Robin Price	Present
Newport Mill Middle School	Gupta	V	6	2026-02-19	Robin Price	Present
Newport Mill Middle School	Johnson	A	7	2026-02-26	Tony Nguyen Jr.	Present
Newport Mill Middle School	Park	E	8	2026-02-26	Tony Nguyen Jr.	Present
Newport Mill Middle School	Martinez	R	6	2026-02-26	Tony Nguyen Jr.	Present
Newport Mill Middle School	Lee	S	7	2026-02-26	Tony Nguyen Jr.	Present
Newport Mill Middle School	Owusu	P	8	2026-02-26	Robin Price	Present
Newport Mill Middle School	Gupta	V	6	2026-02-26	Robin Price	Present
Silver Spring International Middle School	Adeola	T	6	2026-01-08	Patricia Okonkwo	Present
Silver Spring International Middle School	Wang	L	7	2026-01-08	Patricia Okonkwo	Present
Silver Spring International Middle School	Morales	D	8	2026-01-08	Ivan Reyes	Present
Silver Spring International Middle School	Obi	C	6	2026-01-08	Ivan Reyes	Present
Silver Spring International Middle School	Stewart	M	7	2026-01-08	Patricia Okonkwo	Present
Silver Spring International Middle School	Adeola	T	6	2026-01-15	Patricia Okonkwo	Present
Silver Spring International Middle School	Wang	L	7	2026-01-15	Patricia Okonkwo	Present
Silver Spring International Middle School	Morales	D	8	2026-01-15	Ivan Reyes	Present
Silver Spring International Middle School	Obi	C	6	2026-01-15	Ivan Reyes	Absent
Silver Spring International Middle School	Stewart	M	7	2026-01-15	Patricia Okonkwo	Present
Silver Spring International Middle School	Adeola	T	6	2026-01-22	Patricia Okonkwo	Present
Silver Spring International Middle School	Wang	L	7	2026-01-22	Patricia Okonkwo	Present
Silver Spring International Middle School	Morales	D	8	2026-01-22	Ivan Reyes	Present
Silver Spring International Middle School	Obi	C	6	2026-01-22	Ivan Reyes	Present
Silver Spring International Middle School	Stewart	M	7	2026-01-22	Patricia Okonkwo	Absent
Silver Spring International Middle School	Adeola	T	6	2026-01-29	Patricia Okonkwo	Present
Silver Spring International Middle School	Wang	L	7	2026-01-29	Patricia Okonkwo	Present
Silver Spring International Middle School	Morales	D	8	2026-01-29	Ivan Reyes	Present
Silver Spring International Middle School	Obi	C	6	2026-01-29	Ivan Reyes	Present
Silver Spring International Middle School	Stewart	M	7	2026-01-29	Patricia Okonkwo	Absent
Silver Spring International Middle School	Adeola	T	6	2026-02-05	Patricia Okonkwo	Present
Silver Spring International Middle School	Wang	L	7	2026-02-05	Patricia Okonkwo	Present
Silver Spring International Middle School	Morales	D	8	2026-02-05	Ivan Reyes	Present
Silver Spring International Middle School	Obi	C	6	2026-02-05	Ivan Reyes	Present
Silver Spring International Middle School	Stewart	M	7	2026-02-05	Patricia Okonkwo	Present
Silver Spring International Middle School	Adeola	T	6	2026-02-12	Patricia Okonkwo	Present
Silver Spring International Middle School	Wang	L	7	2026-02-12	Patricia Okonkwo	Present
Silver Spring International Middle School	Morales	D	8	2026-02-12	Ivan Reyes	Present
Silver Spring International Middle School	Obi	C	6	2026-02-12	Ivan Reyes	Present
Silver Spring International Middle School	Stewart	M	7	2026-02-12	Patricia Okonkwo	Present
Silver Spring International Middle School	Adeola	T	6	2026-02-19	Patricia Okonkwo	Present
Silver Spring International Middle School	Wang	L	7	2026-02-19	Patricia Okonkwo	Present
Silver Spring International Middle School	Morales	D	8	2026-02-19	Ivan Reyes	Present
Silver Spring International Middle School	Obi	C	6	2026-02-19	Ivan Reyes	Present
Silver Spring International Middle School	Stewart	M	7	2026-02-19	Patricia Okonkwo	Present
Silver Spring International Middle School	Adeola	T	6	2026-02-26	Patricia Okonkwo	Present
Silver Spring International Middle School	Wang	L	7	2026-02-26	Patricia Okonkwo	Absent
Silver Spring International Middle School	Morales	D	8	2026-02-26	Ivan Reyes	Present
Silver Spring International Middle School	Obi	C	6	2026-02-26	Ivan Reyes	Present
Silver Spring International Middle School	Stewart	M	7	2026-02-26	Patricia Okonkwo	Present
Argyle Middle School	Thompson	B	7	2026-01-08	Howard Salter	Absent
Argyle Middle School	Nwosu	A	8	2026-01-08	Howard Salter	Present
Argyle Middle School	Garcia	J	6	2026-01-08	Angela Park	Present
Argyle Middle School	Kim	Y	7	2026-01-08	Angela Park	Present
Argyle Middle School	Davis	F	8	2026-01-08	Howard Salter	Present
Argyle Middle School	Thompson	B	7	2026-01-15	Howard Salter	Present
Argyle Middle School	Nwosu	A	8	2026-01-15	Howard Salter	Present
Argyle Middle School	Garcia	J	6	2026-01-15	Angela Park	Present
Argyle Middle School	Kim	Y	7	2026-01-15	Angela Park	Present
Argyle Middle School	Davis	F	8	2026-01-15	Howard Salter	Present
Argyle Middle School	Thompson	B	7	2026-01-22	Howard Salter	Present
Argyle Middle School	Nwosu	A	8	2026-01-22	Howard Salter	Present
Argyle Middle School	Garcia	J	6	2026-01-22	Angela Park	Present
Argyle Middle School	Kim	Y	7	2026-01-22	Angela Park	Absent
Argyle Middle School	Davis	F	8	2026-01-22	Howard Salter	Present
Argyle Middle School	Thompson	B	7	2026-01-29	Howard Salter	Present
Argyle Middle School	Nwosu	A	8	2026-01-29	Howard Salter	Present
Argyle Middle School	Garcia	J	6	2026-01-29	Angela Park	Present
Argyle Middle School	Kim	Y	7	2026-01-29	Angela Park	Present
Argyle Middle School	Davis	F	8	2026-01-29	Howard Salter	Absent
Argyle Middle School	Thompson	B	7	2026-02-05	Howard Salter	Absent
Argyle Middle School	Nwosu	A	8	2026-02-05	Howard Salter	Present
Argyle Middle School	Garcia	J	6	2026-02-05	Angela Park	Present
Argyle Middle School	Kim	Y	7	2026-02-05	Angela Park	Present
Argyle Middle School	Davis	F	8	2026-02-05	Howard Salter	Present
Argyle Middle School	Thompson	B	7	2026-02-12	Howard Salter	Present
Argyle Middle School	Nwosu	A	8	2026-02-12	Howard Salter	Present
Argyle Middle School	Garcia	J	6	2026-02-12	Angela Park	Present
Argyle Middle School	Kim	Y	7	2026-02-12	Angela Park	Present
Argyle Middle School	Davis	F	8	2026-02-12	Howard Salter	Present
Argyle Middle School	Thompson	B	7	2026-02-19	Howard Salter	Present
Argyle Middle School	Nwosu	A	8	2026-02-19	Howard Salter	Absent
Argyle Middle School	Garcia	J	6	2026-02-19	Angela Park	Present
Argyle Middle School	Kim	Y	7	2026-02-19	Angela Park	Present
Argyle Middle School	Davis	F	8	2026-02-19	Howard Salter	Absent
Argyle Middle School	Thompson	B	7	2026-02-26	Howard Salter	Present
Argyle Middle School	Nwosu	A	8	2026-02-26	Howard Salter	Present
Argyle Middle School	Garcia	J	6	2026-02-26	Angela Park	Present
Argyle Middle School	Kim	Y	7	2026-02-26	Angela Park	Present
Argyle Middle School	Davis	F	8	2026-02-26	Howard Salter	Present
