id,person,idea,date_mentioned,purchased,occasion
rec_00177,value_0,value_1,value_2,value_3,value_4
rec_00178,value_0,value_1,value_2,value_3,value_4
rec_00179,value_0,value_1,value_2,value_3,value_4
rec_00180,value_0,value_1,value_2,value_3,value_4
rec_00181,value_0,value_1,value_2,value_3,value_4
rec_00182,value_0,value_1,value_2,value_3,value_4
rec_00183,value_0,value_1,value_2,value_3,value_4
rec_00184,value_0,value_1,value_2,value_3,value_4
rec_00185,value_0,value_1,value_2,value_3,value_4
rec_00186,value_0,value_1,value_2,value_3,value_4
rec_00187,value_0,value_1,value_2,value_3,value_4
rec_00188,value_0,value_1,value_2,value_3,value_4
rec_00189,value_0,value_1,value_2,value_3,value_4
rec_00190,value_0,value_1,value_2,value_3,value_4
rec_00191,value_0,value_1,value_2,value_3,value_4
rec_00192,value_0,value_1,value_2,value_3,value_4
rec_00193,value_0,value_1,value_2,value_3,value_4
rec_00194,value_0,value_1,value_2,value_3,value_4
rec_00195,value_0,value_1,value_2,value_3,value_4
rec_00196,value_0,value_1,value_2,value_3,value_4
rec_00197,value_0,value_1,value_2,value_3,value_4
rec_00198,value_0,value_1,value_2,value_3,value_4
rec_00199,value_0,value_1,value_2,value_3,value_4
rec_00200,value_0,value_1,value_2,value_3,value_4
rec_00201,v0_201,v1_201,v2_201,v3_201,v4_201
rec_00202,v0_202,v1_202,v2_202,v3_202,v4_202
rec_00203,v0_203,v1_203,v2_203,v3_203,v4_203
rec_00204,v0_204,v1_204,v2_204,v3_204,v4_204
rec_00205,v0_205,v1_205,v2_205,v3_205,v4_205
rec_00206,v0_206,v1_206,v2_206,v3_206,v4_206
rec_00207,v0_207,v1_207,v2_207,v3_207,v4_207
rec_00208,v0_208,v1_208,v2_208,v3_208,v4_208
rec_00209,v0_209,v1_209,v2_209,v3_209,v4_209
rec_00210,v0_210,v1_210,v2_210,v3_210,v4_210
rec_00211,v0_211,v1_211,v2_211,v3_211,v4_211
rec_00212,v0_212,v1_212,v2_212,v3_212,v4_212
rec_00213,v0_213,v1_213,v2_213,v3_213,v4_213
rec_00214,v0_214,v1_214,v2_214,v3_214,v4_214
rec_00215,v0_215,v1_215,v2_215,v3_215,v4_215
rec_00216,v0_216,v1_216,v2_216,v3_216,v4_216
rec_00217,v0_217,v1_217,v2_217,v3_217,v4_217
rec_00218,v0_218,v1_218,v2_218,v3_218,v4_218
rec_00219,v0_219,v1_219,v2_219,v3_219,v4_219
rec_00220,v0_220,v1_220,v2_220,v3_220,v4_220
rec_00221,v0_221,v1_221,v2_221,v3_221,v4_221
rec_00222,v0_222,v1_222,v2_222,v3_222,v4_222
rec_00223,v0_223,v1_223,v2_223,v3_223,v4_223
rec_00224,v0_224,v1_224,v2_224,v3_224,v4_224
rec_00225,v0_225,v1_225,v2_225,v3_225,v4_225
rec_00226,v0_226,v1_226,v2_226,v3_226,v4_226
rec_00227,v0_227,v1_227,v2_227,v3_227,v4_227
rec_00228,v0_228,v1_228,v2_228,v3_228,v4_228
rec_00229,v0_229,v1_229,v2_229,v3_229,v4_229
rec_00230,v0_230,v1_230,v2_230,v3_230,v4_230
rec_00231,v0_231,v1_231,v2_231,v3_231,v4_231
rec_00232,v0_232,v1_232,v2_232,v3_232,v4_232
rec_00233,v0_233,v1_233,v2_233,v3_233,v4_233
rec_00234,v0_234,v1_234,v2_234,v3_234,v4_234
rec_00235,v0_235,v1_235,v2_235,v3_235,v4_235
rec_00236,v0_236,v1_236,v2_236,v3_236,v4_236
rec_00237,v0_237,v1_237,v2_237,v3_237,v4_237
rec_00238,v0_238,v1_238,v2_238,v3_238,v4_238
rec_00239,v0_239,v1_239,v2_239,v3_239,v4_239
rec_00240,v0_240,v1_240,v2_240,v3_240,v4_240
rec_00241,v0_241,v1_241,v2_241,v3_241,v4_241
rec_00242,v0_242,v1_242,v2_242,v3_242,v4_242
rec_00243,v0_243,v1_243,v2_243,v3_243,v4_243
rec_00244,v0_244,v1_244,v2_244,v3_244,v4_244
rec_00245,v0_245,v1_245,v2_245,v3_245,v4_245
rec_00246,v0_246,v1_246,v2_246,v3_246,v4_246
rec_00247,v0_247,v1_247,v2_247,v3_247,v4_247
rec_00248,v0_248,v1_248,v2_248,v3_248,v4_248
rec_00249,v0_249,v1_249,v2_249,v3_249,v4_249
rec_00250,v0_250,v1_250,v2_250,v3_250,v4_250
rec_00251,v0_251,v1_251,v2_251,v3_251,v4_251
rec_00252,v0_252,v1_252,v2_252,v3_252,v4_252
rec_00253,v0_253,v1_253,v2_253,v3_253,v4_253
rec_00254,v0_254,v1_254,v2_254,v3_254,v4_254
rec_00255,v0_255,v1_255,v2_255,v3_255,v4_255
rec_00256,v0_256,v1_256,v2_256,v3_256,v4_256
rec_00257,v0_257,v1_257,v2_257,v3_257,v4_257
rec_00258,v0_258,v1_258,v2_258,v3_258,v4_258
rec_00259,v0_259,v1_259,v2_259,v3_259,v4_259
rec_00260,v0_260,v1_260,v2_260,v3_260,v4_260
rec_00261,v0_261,v1_261,v2_261,v3_261,v4_261
rec_00262,v0_262,v1_262,v2_262,v3_262,v4_262
rec_00263,v0_263,v1_263,v2_263,v3_263,v4_263
rec_00264,v0_264,v1_264,v2_264,v3_264,v4_264
rec_00265,v0_265,v1_265,v2_265,v3_265,v4_265
rec_00266,v0_266,v1_266,v2_266,v3_266,v4_266
rec_00267,v0_267,v1_267,v2_267,v3_267,v4_267
rec_00268,v0_268,v1_268,v2_268,v3_268,v4_268
rec_00269,v0_269,v1_269,v2_269,v3_269,v4_269
rec_00270,v0_270,v1_270,v2_270,v3_270,v4_270
rec_00271,v0_271,v1_271,v2_271,v3_271,v4_271
rec_00272,v0_272,v1_272,v2_272,v3_272,v4_272
rec_00273,v0_273,v1_273,v2_273,v3_273,v4_273
rec_00274,v0_274,v1_274,v2_274,v3_274,v4_274
rec_00275,v0_275,v1_275,v2_275,v3_275,v4_275
rec_00276,v0_276,v1_276,v2_276,v3_276,v4_276
rec_00277,v0_277,v1_277,v2_277,v3_277,v4_277
rec_00278,v0_278,v1_278,v2_278,v3_278,v4_278
rec_00279,v0_279,v1_279,v2_279,v3_279,v4_279
rec_00280,v0_280,v1_280,v2_280,v3_280,v4_280
rec_00281,v0_281,v1_281,v2_281,v3_281,v4_281
rec_00282,v0_282,v1_282,v2_282,v3_282,v4_282
rec_00283,v0_283,v1_283,v2_283,v3_283,v4_283
rec_00284,v0_284,v1_284,v2_284,v3_284,v4_284
rec_00285,v0_285,v1_285,v2_285,v3_285,v4_285
rec_00286,v0_286,v1_286,v2_286,v3_286,v4_286
rec_00287,v0_287,v1_287,v2_287,v3_287,v4_287
rec_00288,v0_288,v1_288,v2_288,v3_288,v4_288
rec_00289,v0_289,v1_289,v2_289,v3_289,v4_289
rec_00290,v0_290,v1_290,v2_290,v3_290,v4_290
