id,employeeId,name,type,start,end
wo_0082,7,Employee 7,Vacation,2026-05-16,2026-02-22
wo_0083,1,Employee 1,Sick,2026-07-22,2026-01-14
wo_0084,11,Employee 11,Vacation,2026-03-31,2026-02-17
wo_0085,26,Employee 26,Vacation,2026-10-04,2026-04-16
wo_0086,22,Employee 22,Sick,2026-09-27,2026-05-22
wo_0087,21,Employee 21,Vacation,2026-03-17,2026-02-24
wo_0088,23,Employee 23,Sick,2026-06-25,2026-07-29
wo_0089,27,Employee 27,Vacation,2026-04-06,2026-04-01
wo_0090,27,Employee 27,Vacation,2026-09-30,2026-07-25
wo_0091,10,Employee 10,Vacation,2026-09-06,2026-09-09
wo_0092,25,Employee 25,Vacation,2026-01-16,2026-02-12
wo_0093,23,Employee 23,Sick,2026-01-02,2026-09-27
wo_0094,21,Employee 21,Vacation,2026-06-29,2026-01-10
wo_0095,16,Employee 16,Vacation,2026-03-31,2026-01-26
wo_0096,4,Employee 4,Vacation,2026-05-29,2026-03-12
wo_0097,16,Employee 16,Vacation,2026-02-24,2026-04-28
wo_0098,23,Employee 23,Vacation,2026-07-12,2026-10-09
wo_0099,22,Employee 22,Vacation,2026-08-21,2026-05-09
wo_0100,5,Employee 5,Sick,2026-03-14,2026-04-28
wo_0101,4,Employee 4,Vacation,2026-07-14,2026-09-14
wo_0102,27,Employee 27,Sick,2026-02-14,2026-07-22
wo_0103,26,Employee 26,Sick,2026-05-28,2026-01-13
wo_0104,15,Employee 15,Vacation,2026-07-27,2026-05-26
wo_0105,20,Employee 20,Vacation,2026-08-03,2026-07-11
wo_0106,9,Employee 9,Sick,2026-07-09,2026-06-27
wo_0107,27,Employee 27,Vacation,2026-03-02,2026-06-27
wo_0108,18,Employee 18,Vacation,2026-04-26,2026-09-19
wo_0109,25,Employee 25,Vacation,2026-06-26,2026-05-08
wo_0110,28,Employee 28,Sick,2026-07-19,2026-03-27
wo_0111,28,Employee 28,Vacation,2026-04-02,2026-07-08
wo_0112,24,Employee 24,Vacation,2026-10-14,2026-02-14
wo_0113,25,Employee 25,Vacation,2026-02-28,2026-01-18
wo_0114,14,Employee 14,Vacation,2026-05-04,2026-08-22
wo_0115,12,Employee 12,Sick,2026-02-26,2026-06-03
wo_0116,8,Employee 8,Vacation,2026-06-27,2026-09-16
wo_0117,3,Employee 3,Vacation,2026-07-30,2026-03-04
wo_0118,5,Employee 5,Sick,2026-08-03,2026-01-21
wo_0119,20,Employee 20,Sick,2026-06-03,2026-08-05
