id,email,first_name,last_name,tags,added_date,last_automation_touch,household_id_ref,roster_status,drift_flag
A-00033,carolyn.overby@gmail.com,Carolyn,Overby,birthday_card;christmas_eve_reminder;homebound;visit_prompt,2018-08-02,2026-10-15,H-0120,homebound,
A-00034,billy.peel@paducah.net,Billy,Peel,active;bereaved;birthday_card;christmas_eve_reminder,2022-10-29,2026-10-03,H-0223,active,
A-00035,kathy.nave@paducah.net,Kathy,Nave,active;christmas_eve_reminder,2018-09-14,2026-06-15,H-0032,active,
A-00036,carolyn.yates@paducah.net,Carolyn,Yates,active;birthday_card;christmas_eve_reminder,2020-08-03,2026-04-29,H-0094,assisted_care,
A-00037,corine.beasley@gmail.com,Corine,Beasley,active;christmas_eve_reminder;visit_prompt,2017-07-13,2026-03-16,H-0241,active,
A-00038,vernon.hemphill@paducah.net,Vernon,Hemphill,active;birthday_card;christmas_eve_reminder,2021-10-28,2026-08-19,H-0133,active,
A-00039,rita.egerton@paducah.net,Rita,Egerton,active;christmas_eve_reminder,2020-06-25,2026-10-17,H-0127,active,
A-00040,myrtle.whitfield@bellsouth.net,Myrtle,Whitfield,active;visit_prompt;winter_check_in,2024-06-14,2026-09-04,H-0112,active,
A-00041,odessa.jolley@bellsouth.net,Odessa,Jolley,christmas_eve_reminder;homebound,2025-03-16,2026-07-21,H-0039,homebound,
A-00042,tommy.turnbow@gmail.com,Tommy,Turnbow,active;bereaved;winter_check_in,2025-10-14,2026-05-01,H-0074,active,
A-00043,hazel.roark@bellsouth.net,Hazel,Roark,active;birthday_card;christmas_eve_reminder,2023-11-19,2026-10-01,H-0168,active,
A-00044,winifred.faulkner@paducah.net,Winifred,Faulkner,active;winter_check_in,2016-05-01,2026-08-16,H-0236,opted_out,audience_still_active_but_roster_opted_out
A-00045,betty.judkins@paducah.net,Betty,Judkins,active;birthday_card;christmas_eve_reminder,2022-11-16,2026-08-05,H-0144,active,
A-00046,edna.nave@bellsouth.net,Edna,Nave,active;christmas_eve_reminder,2020-08-02,2026-06-23,H-0071,active,
A-00047,chester.jeter@paducah.net,Chester,Jeter,active;birthday_card;christmas_eve_reminder,2025-02-05,2026-07-04,H-0015,active,
A-00048,frances.sartin@gmail.com,Frances,Sartin,active;winter_check_in,2025-05-28,2026-08-07,H-0030,active,
A-00049,otis.franks@bellsouth.net,Otis,Franks,christmas_eve_reminder;homebound;visit_prompt,2019-02-10,2026-09-02,H-0228,homebound,
A-00050,lucille.kilburn@gmail.com,Lucille,Kilburn,active;birthday_card;winter_check_in,2024-01-15,2026-05-17,H-0167,active,
A-00051,kathy.coates@bellsouth.net,Kathy,Coates,active;christmas_eve_reminder,2018-12-13,2026-08-30,H-0103,active,
A-00052,lloyd.purdom@paducah.net,Lloyd,Purdom,active;winter_check_in,2024-06-13,2026-10-19,H-0156,active,
A-00053,nadine.yancey@paducah.net,Nadine,Yancey,active;birthday_card;visit_prompt;winter_check_in,2021-11-24,2026-10-18,H-0042,active,
A-00054,dennis.bruce@gmail.com,Dennis,Bruce,active;winter_check_in,2020-05-13,2026-06-04,H-0245,opted_out,audience_still_active_but_roster_opted_out
A-00055,alma.sartin@bellsouth.net,Alma,Sartin,active;winter_check_in,2025-07-16,2026-10-21,H-0178,active,
A-00056,harold.owings@bellsouth.net,Harold,Owings,active;birthday_card;winter_check_in,2021-05-14,2026-08-27,H-0034,active,
A-00057,roxanne.pyle@gmail.com,Roxanne,Pyle,bereaved;birthday_card;homebound;winter_check_in,2018-12-15,2026-07-20,H-0145,homebound,
A-00058,eunice.vickers@paducah.net,Eunice,Vickers,active;winter_check_in,2024-03-30,2026-07-21,H-0072,active,
A-00059,charlotte.purdom@paducah.net,Charlotte,Purdom,active;winter_check_in,2022-08-08,2026-05-09,H-0108,active,
A-00060,eunice.kilgore@gmail.com,Eunice,Kilgore,active;winter_check_in,2019-08-18,2026-04-08,H-0134,active,
A-00061,merle.dockery@gmail.com,Merle,Dockery,active;christmas_eve_reminder;visit_prompt,2020-04-30,2025-02-27,H-0190,assisted_care,
A-00062,mark.kilburn@paducah.net,Mark,Kilburn,active;christmas_eve_reminder;visit_prompt,2024-10-10,2026-05-29,H-0110,active,
A-00063,ronald.vickers@bellsouth.net,Ronald,Vickers,active;winter_check_in,2021-08-15,2026-09-12,H-0035,active,
A-00064,cecil.lassiter@paducah.net,Cecil,Lassiter,active;bereaved;birthday_card;winter_check_in,2017-03-05,2026-10-09,H-0009,assisted_care,
A-00065,patsy.mcdaniel@paducah.net,Patsy,McDaniel,active;birthday_card;christmas_eve_reminder,2019-03-11,2025-04-25,H-0036,assisted_care,
A-00066,odell.oxford@gmail.com,Odell,Oxford,birthday_card;homebound;winter_check_in,2022-09-02,2026-08-28,H-0152,homebound,
A-00067,myrtle.cummings@bellsouth.net,Myrtle,Cummings,active;birthday_card;visit_prompt;winter_check_in,2019-12-20,2026-04-27,H-0258,active,
A-00068,corine.doerr@bellsouth.net,Corine,Doerr,active;christmas_eve_reminder,2020-10-28,2026-06-02,H-0095,active,
A-00069,marie.pemberton@gmail.com,Marie,Pemberton,active;winter_check_in,2019-06-06,2026-09-21,H-0017,active,
A-00070,bonnie.nave@bellsouth.net,Bonnie,Nave,birthday_card;christmas_eve_reminder;homebound,2023-11-22,2026-08-30,H-0024,homebound,
A-00071,wayne.puckett@bellsouth.net,Wayne,Puckett,active;christmas_eve_reminder,2021-10-05,2026-05-07,H-0194,active,
A-00072,doris.gaddis@gmail.com,Doris,Gaddis,active;bereaved;christmas_eve_reminder,2024-04-10,2026-07-06,H-0002,active,
A-00073,cecil.yonts@gmail.com,Cecil,Yonts,active;birthday_card;christmas_eve_reminder;visit_prompt,2022-12-20,2026-06-21,H-0200,active,
A-00074,wanda.devers@paducah.net,Wanda,Devers,birthday_card;christmas_eve_reminder;homebound;visit_prompt,2020-11-12,2026-08-29,H-0151,homebound,
A-00075,lloyd.lassiter@bellsouth.net,Lloyd,Lassiter,active;birthday_card;christmas_eve_reminder,2019-09-30,2020-06-30,,no_household_link,no_household_link_in_roster
A-00076,marie.woodson@gmail.com,Marie,Woodson,birthday_card;homebound;winter_check_in,2021-11-02,2026-09-08,H-0186,homebound,
A-00077,odessa.doerr@gmail.com,Odessa,Doerr,active;visit_prompt;winter_check_in,2020-10-05,2026-03-20,H-0077,opted_out,audience_still_active_but_roster_opted_out
A-00078,marlene.threlkeld@gmail.com,Marlene,Threlkeld,active;visit_prompt;winter_check_in,2019-05-28,2026-04-21,H-0001,active,
A-00079,gerald.jolley@gmail.com,Gerald,Jolley,active;christmas_eve_reminder,2018-01-14,2026-04-25,H-0173,active,
A-00080,barbara.yancey@gmail.com,Barbara,Yancey,active;birthday_card;christmas_eve_reminder,2018-06-02,2024-10-05,H-0106,opted_out,audience_still_active_but_roster_opted_out
A-00081,paul.meacham@bellsouth.net,Paul,Meacham,active;christmas_eve_reminder,2017-10-28,2025-10-08,H-0166,assisted_care,
A-00082,ann.purdom@gmail.com,Ann,Purdom,active;christmas_eve_reminder,2021-12-28,2026-03-18,H-0058,active,
A-00083,verlene.tarpley@gmail.com,Verlene,Tarpley,active;christmas_eve_reminder,2024-01-25,2026-09-15,H-0122,active,
A-00084,leroy.mcdaniel@bellsouth.net,Leroy,McDaniel,homebound;visit_prompt;winter_check_in,2021-08-24,2026-04-12,H-0193,homebound,
A-00085,rudy.pyle@bellsouth.net,Rudy,Pyle,active;winter_check_in,2018-10-18,2026-06-18,H-0033,active,
A-00086,vernon.purdom@paducah.net,Vernon,Purdom,active;winter_check_in,2019-06-28,2026-05-30,H-0058,active,
A-00087,ruby.eldridge@gmail.com,Ruby,Eldridge,active;christmas_eve_reminder,2019-11-30,2026-08-28,H-0018,active,
A-00088,roy.ormsby@gmail.com,Roy,Ormsby,active;christmas_eve_reminder,2020-05-03,2021-06-20,,no_household_link,no_household_link_in_roster
A-00089,thelma.thigpen@bellsouth.net,Thelma,Thigpen,active;birthday_card;winter_check_in,2017-09-27,2026-09-30,H-0213,active,
A-00090,louise.barclay@gmail.com,Louise,Barclay,active;birthday_card;winter_check_in,2022-04-24,2026-05-12,H-0067,active,
A-00091,cyrus.tarpley@gmail.com,Cyrus,Tarpley,active;christmas_eve_reminder,2025-03-04,2026-07-12,H-0252,active,
A-00092,sandra.eller@gmail.com,Sandra,Eller,active;christmas_eve_reminder;visit_prompt,2020-12-04,2026-08-27,H-0153,active,
A-00093,roscoe.osteen@bellsouth.net,Roscoe,Osteen,active;christmas_eve_reminder,2020-01-18,2026-09-12,H-0027,active,
A-00094,jerry.jeter@gmail.com,Jerry,Jeter,active;christmas_eve_reminder,2021-11-03,2026-06-18,H-0015,active,
A-00095,buddy.meacham@bellsouth.net,Buddy,Meacham,christmas_eve_reminder;homebound,2019-04-18,2026-10-03,H-0043,homebound,
A-00096,dorothy.thigpen@gmail.com,Dorothy,Thigpen,active;birthday_card;winter_check_in,2023-03-20,2026-06-09,H-0213,active,
A-00097,wendell.meade@bellsouth.net,Wendell,Meade,active;visit_prompt;winter_check_in,2023-10-08,2026-06-06,H-0111,active,
A-00098,bernice.draffen@paducah.net,Bernice,Draffen,active;christmas_eve_reminder,2025-11-02,2026-10-16,H-0006,active,
A-00099,ernest.sowell@gmail.com,Ernest,Sowell,active;birthday_card;christmas_eve_reminder,2020-09-06,2026-10-01,H-0014,active,
A-00100,ronald.utley@gmail.com,Ronald,Utley,active;birthday_card;christmas_eve_reminder;visit_prompt,2020-10-09,2026-05-14,H-0063,active,
A-00101,wayne.ratliff@bellsouth.net,Wayne,Ratliff,active;winter_check_in,2024-05-30,2026-08-03,H-0021,active,
A-00102,odell.ackerman@paducah.net,Odell,Ackerman,homebound;winter_check_in,2022-09-28,2026-04-15,H-0100,homebound,
A-00103,vera.roark@bellsouth.net,Vera,Roark,active;christmas_eve_reminder,2019-06-05,2026-02-18,H-0016,active,
A-00104,ottis.hemphill@paducah.net,Ottis,Hemphill,active;christmas_eve_reminder,2021-03-08,2026-10-21,H-0137,active,
A-00105,gerald.tarpley@gmail.com,Gerald,Tarpley,active;birthday_card;visit_prompt;winter_check_in,2018-03-21,2026-06-17,H-0064,active,
A-00106,josie.rainey@gmail.com,Josie,Rainey,active;bereaved;christmas_eve_reminder,2023-09-22,2026-05-19,H-0254,active,
A-00107,shirley.ewing@bellsouth.net,Shirley,Ewing,active;birthday_card;winter_check_in,2021-04-27,2026-07-25,H-0171,active,
A-00108,david.cissell@gmail.com,David,Cissell,active;birthday_card;visit_prompt;winter_check_in,2025-01-29,2026-10-25,H-0162,active,
A-00109,wilma.cummings@bellsouth.net,Wilma,Cummings,active;visit_prompt;winter_check_in,2022-06-15,2026-09-23,H-0177,active,
A-00110,odell.layman@paducah.net,Odell,Layman,active;birthday_card;christmas_eve_reminder,2017-01-05,2026-08-01,H-0250,active,
A-00111,elna.nunn@bellsouth.net,Elna,Nunn,birthday_card;christmas_eve_reminder;homebound,2025-04-01,2026-10-21,H-0128,homebound,
A-00112,emmett.kilburn@paducah.net,Emmett,Kilburn,active;birthday_card;visit_prompt;winter_check_in,2018-09-16,2026-08-25,H-0167,active,
A-00113,mavis.kimbell@gmail.com,Mavis,Kimbell,active;birthday_card;christmas_eve_reminder,2020-05-02,2026-04-26,H-0140,active,
A-00114,billy.nichols@paducah.net,Billy,Nichols,homebound;visit_prompt;winter_check_in,2022-03-24,2026-09-15,H-0243,homebound,
A-00115,buford.ivy@gmail.com,Buford,Ivy,active;birthday_card;visit_prompt;winter_check_in,2022-07-21,2026-04-30,H-0211,active,
A-00116,ann.jeter@paducah.net,Ann,Jeter,homebound;visit_prompt;winter_check_in,2023-03-19,2026-05-16,H-0022,homebound,
A-00117,nell.devers@gmail.com,Nell,Devers,active;winter_check_in,2019-11-17,2026-09-22,H-0136,active,
A-00118,verna.trimble@paducah.net,Verna,Trimble,birthday_card;christmas_eve_reminder;homebound,2021-11-12,2026-07-29,H-0185,homebound,
A-00119,grover.thurman@bellsouth.net,Grover,Thurman,active;christmas_eve_reminder,2023-11-16,2026-06-17,H-0066,active,
A-00120,betty.hendon@bellsouth.net,Betty,Hendon,active;visit_prompt;winter_check_in,2019-06-25,2026-07-29,H-0229,active,
A-00121,barbara.fisher@gmail.com,Barbara,Fisher,active;bereaved;winter_check_in,2017-07-27,2024-06-07,H-0160,opted_out,audience_still_active_but_roster_opted_out
A-00122,ethel.ingle@paducah.net,Ethel,Ingle,active;winter_check_in,2020-03-03,2026-06-03,H-0070,active,
A-00123,herman.weatherford@paducah.net,Herman,Weatherford,active;christmas_eve_reminder,2021-02-04,2026-10-09,H-0222,opted_out,audience_still_active_but_roster_opted_out
A-00124,doris.fisher@gmail.com,Doris,Fisher,active;christmas_eve_reminder,2022-05-06,2026-05-16,H-0135,active,
A-00125,beatrice.kilburn@gmail.com,Beatrice,Kilburn,active;bereaved;winter_check_in,2019-06-20,2025-10-01,H-0053,assisted_care,
A-00126,gladys.nave@paducah.net,Gladys,Nave,christmas_eve_reminder;homebound,2025-02-27,2026-05-17,H-0105,homebound,
A-00127,willadean.cissell@bellsouth.net,Willadean,Cissell,active;bereaved;winter_check_in,2023-03-12,2026-06-12,H-0218,active,
A-00128,sylvia.kegley@gmail.com,Sylvia,Kegley,active;christmas_eve_reminder;visit_prompt,2019-08-21,2026-06-05,H-0132,active,
A-00129,earl.meacham@gmail.com,Earl,Meacham,active;birthday_card;christmas_eve_reminder,2021-02-06,2026-07-16,H-0020,active,
A-00130,willadean.doerr@paducah.net,Willadean,Doerr,active;birthday_card;visit_prompt;winter_check_in,2020-05-15,2026-08-10,H-0246,active,
A-00131,ethel.yonts@gmail.com,Ethel,Yonts,active;christmas_eve_reminder,2021-07-23,2026-09-06,H-0216,active,
A-00132,josie.cummings@gmail.com,Josie,Cummings,active;winter_check_in,2019-08-03,2026-06-06,H-0177,active,
A-00133,verlene.kegley@bellsouth.net,Verlene,Kegley,active;visit_prompt;winter_check_in,2018-03-02,2025-12-26,H-0012,assisted_care,
A-00134,josie.jolley@bellsouth.net,Josie,Jolley,active;winter_check_in,2019-08-10,2026-10-14,H-0050,active,
A-00135,arthur.yates@gmail.com,Arthur,Yates,active;christmas_eve_reminder;visit_prompt,2016-04-22,2025-05-29,H-0073,assisted_care,
A-00136,curtis.roark@paducah.net,Curtis,Roark,active;birthday_card;christmas_eve_reminder;visit_prompt,2021-08-15,2026-03-11,H-0168,active,
A-00137,joyce.sanger@paducah.net,Joyce,Sanger,active;birthday_card;visit_prompt;winter_check_in,2019-08-02,2026-06-04,H-0088,active,
A-00138,reginald.vickers@gmail.com,Reginald,Vickers,active;birthday_card;christmas_eve_reminder;visit_prompt,2017-05-28,2026-07-26,H-0035,active,
A-00139,judy.longmire@gmail.com,Judy,Longmire,active;christmas_eve_reminder;visit_prompt,2021-02-23,2026-08-26,H-0007,active,
A-00140,jerry.egerton@paducah.net,Jerry,Egerton,active;birthday_card;christmas_eve_reminder,2020-06-25,2024-10-08,H-0182,assisted_care,
A-00141,chester.pyle@paducah.net,Chester,Pyle,active;winter_check_in,2021-01-06,2026-09-03,H-0148,active,
A-00142,ethel.chandler@bellsouth.net,Ethel,Chandler,active;christmas_eve_reminder,2016-04-24,2024-09-21,H-0038,opted_out,audience_still_active_but_roster_opted_out
A-00143,ada.roark@paducah.net,Ada,Roark,active;winter_check_in,2019-09-07,2026-06-10,H-0016,active,
A-00144,verlene.hargrove@gmail.com,Verlene,Hargrove,active;christmas_eve_reminder;visit_prompt,2023-05-04,2026-05-12,H-0116,active,
A-00145,della.nave@bellsouth.net,Della,Nave,active;christmas_eve_reminder;visit_prompt,2018-07-30,2026-04-17,H-0032,active,
A-00146,odessa.fentress@bellsouth.net,Odessa,Fentress,active;christmas_eve_reminder,2019-08-22,2024-06-15,H-0158,assisted_care,
A-00147,loretta.jent@bellsouth.net,Loretta,Jent,active;christmas_eve_reminder,2020-12-11,2022-03-10,,no_household_link,no_household_link_in_roster
A-00148,gary.ackerman@bellsouth.net,Gary,Ackerman,active;christmas_eve_reminder,2025-08-10,2026-04-28,H-0248,active,
A-00149,zelda.ormsby@gmail.com,Zelda,Ormsby,active;winter_check_in,2020-03-22,2026-04-11,H-0203,active,
A-00150,donald.nally@gmail.com,Donald,Nally,active;birthday_card;visit_prompt;winter_check_in,2021-09-11,2026-09-03,H-0180,active,
A-00151,retha.woodson@bellsouth.net,Retha,Woodson,birthday_card;homebound;winter_check_in,2018-05-29,2026-06-28,H-0235,homebound,
A-00152,ernest.dockery@bellsouth.net,Ernest,Dockery,homebound;visit_prompt;winter_check_in,2020-03-05,2026-07-16,H-0147,homebound,
A-00153,vernon.grimes@gmail.com,Vernon,Grimes,active;birthday_card;winter_check_in,2016-04-07,2025-06-09,H-0040,opted_out,audience_still_active_but_roster_opted_out
A-00154,patsy.zumwalt@gmail.com,Patsy,Zumwalt,active;winter_check_in,2022-07-19,2026-10-16,H-0242,active,
A-00155,booker.norvell@gmail.com,Booker,Norvell,active;christmas_eve_reminder,2020-02-12,2026-06-27,H-0025,active,
A-00156,percy.ladd@gmail.com,Percy,Ladd,active;christmas_eve_reminder,2022-01-20,2026-05-08,H-0044,active,
A-00157,kermit.ackerman@paducah.net,Kermit,Ackerman,active;christmas_eve_reminder,2019-05-11,2026-07-08,H-0061,active,
A-00158,kenneth.larkin@bellsouth.net,Kenneth,Larkin,active;visit_prompt;winter_check_in,2022-09-28,2026-07-26,H-0196,active,
A-00159,nancy.oxford@gmail.com,Nancy,Oxford,active;christmas_eve_reminder,2023-08-30,2026-04-13,H-0170,active,
A-00160,delbert.norvell@paducah.net,Delbert,Norvell,bereaved;homebound;winter_check_in,2021-07-22,2026-07-22,H-0215,homebound,
A-00161,josie.ladd@paducah.net,Josie,Ladd,active;winter_check_in,2021-11-05,2026-07-25,H-0155,active,
A-00162,rita.doerr@paducah.net,Rita,Doerr,active;birthday_card;christmas_eve_reminder,2019-07-26,2026-07-28,H-0227,active,
A-00163,delbert.bickford@gmail.com,Delbert,Bickford,active;visit_prompt;winter_check_in,2018-01-06,2024-04-27,H-0055,assisted_care,
A-00164,delbert.tarpley@gmail.com,Delbert,Tarpley,active;visit_prompt;winter_check_in,2025-03-12,2026-05-07,H-0197,active,
A-00165,tilden.roark@gmail.com,Tilden,Roark,active;birthday_card;christmas_eve_reminder,2020-11-10,2026-06-21,H-0011,active,
A-00166,ellen.hendon@bellsouth.net,Ellen,Hendon,homebound;visit_prompt;winter_check_in,2020-01-20,2026-10-12,H-0198,homebound,
A-00167,rupert.fentress@paducah.net,Rupert,Fentress,active;christmas_eve_reminder,2018-04-28,2024-05-25,H-0096,assisted_care,
A-00168,bobby.draffen@bellsouth.net,Bobby,Draffen,active;winter_check_in,2018-05-06,2026-06-23,H-0238,active,
A-00169,john.grimes@paducah.net,John,Grimes,bereaved;christmas_eve_reminder;homebound,2025-05-24,2026-09-19,H-0224,homebound,
A-00170,wendell.bruce@bellsouth.net,Wendell,Bruce,active;christmas_eve_reminder,2021-08-28,2026-06-25,H-0057,active,
A-00171,jimmy.gaskin@bellsouth.net,Jimmy,Gaskin,active;winter_check_in,2021-07-19,2026-06-26,H-0049,active,
A-00172,ronald.devers@paducah.net,Ronald,Devers,christmas_eve_reminder;homebound;visit_prompt,2019-02-19,2026-05-12,H-0151,homebound,
A-00173,blanche.hendon@paducah.net,Blanche,Hendon,active;christmas_eve_reminder,2022-05-26,2026-07-01,H-0078,active,
A-00174,mark.layman@paducah.net,Mark,Layman,active;winter_check_in,2021-08-29,2026-08-31,H-0208,active,
A-00175,rufus.oxford@bellsouth.net,Rufus,Oxford,active;bereaved;birthday_card;winter_check_in,2023-07-20,2026-05-30,H-0230,active,
A-00176,roy.thurman@bellsouth.net,Roy,Thurman,active;birthday_card;visit_prompt;winter_check_in,2020-10-11,2026-05-10,H-0047,active,
A-00177,betty.yielding@paducah.net,Betty,Yielding,active;christmas_eve_reminder,2020-08-15,2024-07-27,H-0060,deceased_2026,audience_still_active_but_roster_deceased_2026
A-00178,eugene.sowell@bellsouth.net,Eugene,Sowell,active;christmas_eve_reminder,2023-06-05,2026-07-13,H-0098,active,
A-00179,bonnie.stovall@bellsouth.net,Bonnie,Stovall,active;birthday_card;winter_check_in,2021-06-30,2026-07-07,H-0125,active,
A-00180,kermit.callahan@gmail.com,Kermit,Callahan,active;birthday_card;visit_prompt;winter_check_in,2025-08-13,2026-09-06,H-0149,active,
A-00181,lucille.isbell@bellsouth.net,Lucille,Isbell,active;birthday_card;winter_check_in,2018-01-11,2026-08-22,H-0150,active,
A-00182,shirley.sisk@bellsouth.net,Shirley,Sisk,christmas_eve_reminder;homebound;visit_prompt,2023-02-28,2026-04-29,H-0192,homebound,
A-00183,roy.jent@bellsouth.net,Roy,Jent,active;winter_check_in,2021-10-12,2026-10-08,H-0174,active,
A-00184,arthur.egerton@paducah.net,Arthur,Egerton,active;christmas_eve_reminder,2019-06-27,2026-08-28,H-0127,active,
A-00185,evelyn.overstreet@gmail.com,Evelyn,Overstreet,active;winter_check_in,2022-09-24,2026-04-23,H-0029,active,
A-00186,evelyn.threlkeld@gmail.com,Evelyn,Threlkeld,active;christmas_eve_reminder;visit_prompt,2021-02-21,2026-05-30,H-0080,assisted_care,
A-00187,kathy.inman@bellsouth.net,Kathy,Inman,active;christmas_eve_reminder,2019-11-04,2026-09-30,H-0052,active,
A-00188,ronald.sinclair@paducah.net,Ronald,Sinclair,active;winter_check_in,2019-07-04,2026-05-10,H-0138,active,
A-00189,ellen.franks@paducah.net,Ellen,Franks,active;birthday_card;christmas_eve_reminder,2017-09-23,2026-01-10,H-0084,assisted_care,
A-00190,mildred.chandler@bellsouth.net,Mildred,Chandler,active;birthday_card;christmas_eve_reminder,2020-07-16,2026-07-06,H-0205,active,
A-00191,florence.longmire@paducah.net,Florence,Longmire,active;christmas_eve_reminder,2020-09-03,2026-09-08,H-0139,active,
A-00192,blanche.kilburn@bellsouth.net,Blanche,Kilburn,active;bereaved;visit_prompt;winter_check_in,2021-09-17,2026-10-23,H-0028,active,
A-00193,carolyn.utley@gmail.com,Carolyn,Utley,active;birthday_card;winter_check_in,2023-06-29,2026-10-04,H-0176,active,
A-00194,james.dodson@paducah.net,James,Dodson,active;birthday_card;winter_check_in,2020-12-06,2026-10-24,H-0010,active,
A-00195,wallace.inman@gmail.com,Wallace,Inman,active;christmas_eve_reminder,2021-09-16,2026-10-12,H-0124,active,
A-00196,linda.jeter@paducah.net,Linda,Jeter,active;birthday_card;visit_prompt;winter_check_in,2019-08-21,2026-05-12,H-0154,active,
A-00197,everett.mccoy@paducah.net,Everett,McCoy,active;birthday_card;winter_check_in,2021-08-05,2026-09-17,H-0159,active,
A-00198,arthur.lassiter@bellsouth.net,Arthur,Lassiter,active;birthday_card;christmas_eve_reminder;visit_prompt,2017-06-05,2025-12-13,H-0253,deceased_2026,audience_still_active_but_roster_deceased_2026
A-00199,odie.trimble@gmail.com,Odie,Trimble,homebound;winter_check_in,2022-10-01,2026-04-19,H-0130,homebound,
A-00200,roxanne.osteen@gmail.com,Roxanne,Osteen,active;christmas_eve_reminder,2021-07-05,2026-07-28,H-0027,active,
A-00201,denver.owings@paducah.net,Denver,Owings,active;birthday_card;winter_check_in,2020-12-23,2026-07-25,H-0051,active,
