id,summary,description,time_zone,access_role,primary,color_id
cal-00151,Aaron Personal v7,America/Chicago,#d50000,true,detail_639,gen_34281
cal-00152,Family Delgado v8,America/Chicago,#aa00ff,false,detail_175,gen_95141
cal-00153,Kids School v9,America/Los_Angeles,#ff6d00,false,detail_861,gen_71287
cal-00154,Family Delgado v1,Asia/Tokyo,#ff6d00,true,detail_801,gen_34110
cal-00155,Cedar Ridge Ops v2,America/Chicago,#d50000,true,detail_548,gen_14493
cal-00156,Kids School v3,America/Los_Angeles,#d50000,false,detail_479,gen_04324
cal-00157,Kids School v4,America/New_York,#ff6d00,false,detail_510,gen_21784
cal-00158,Aaron Woodworking v5,Asia/Tokyo,#aa00ff,true,detail_543,gen_33305
cal-00159,Family Delgado v6,America/New_York,#ff6d00,false,detail_941,gen_76417
cal-00160,Aaron Personal v7,America/New_York,#aa00ff,true,detail_507,gen_24847
cal-00161,Studio External v8,America/Chicago,#aa00ff,false,detail_875,gen_76910
cal-00162,Kendo Tournament Circuit v9,America/Chicago,#d50000,true,detail_131,gen_58493
cal-00163,Aaron Personal v1,America/New_York,#aa00ff,true,detail_836,gen_89806
cal-00164,Kendo Tournament Circuit v2,America/Los_Angeles,#aa00ff,true,detail_966,gen_98069
cal-00165,Kendo Tournament Circuit v3,America/Chicago,#00c853,true,detail_916,gen_11289
cal-00166,Lantern Keeper v4,America/Los_Angeles,#aa00ff,false,detail_306,gen_51742
cal-00167,Aaron Cycling v5,America/Chicago,#aa00ff,true,detail_860,gen_41421
cal-00168,Cedar Ridge Ops v6,America/New_York,#00c853,true,detail_976,gen_58393
cal-00169,Lantern Keeper v7,America/Los_Angeles,#3d5afe,false,detail_955,gen_16973
cal-00170,Studio External v8,Asia/Tokyo,#00c853,true,detail_901,gen_30783
cal-00171,Kids School v9,America/New_York,#aa00ff,true,detail_721,gen_48030
cal-00172,Aaron Cycling v1,Asia/Tokyo,#aa00ff,false,detail_260,gen_98756
cal-00173,Aaron Cycling v2,America/Los_Angeles,#d50000,false,detail_600,gen_16228
cal-00174,Kendo Tournament Circuit v3,America/Los_Angeles,#3d5afe,false,detail_796,gen_91806
cal-00175,Kendo Tournament Circuit v4,Asia/Tokyo,#00c853,true,detail_768,gen_82684
cal-00176,Family Delgado v5,America/Chicago,#ff6d00,false,detail_924,gen_11240
cal-00177,Kids School v6,Asia/Tokyo,#00c853,false,detail_435,gen_96165
cal-00178,Kids School v7,America/New_York,#d50000,false,detail_271,gen_87048
cal-00179,Aaron Woodworking v8,America/Chicago,#3d5afe,true,detail_127,gen_93858
cal-00180,Aaron Personal v9,America/New_York,#ff6d00,false,detail_372,gen_94813
cal-00181,Studio External v1,America/Chicago,#ff6d00,false,detail_892,gen_20091
cal-00182,Aaron Cycling v2,America/Chicago,#3d5afe,true,detail_382,gen_03281
cal-00183,Studio External v3,America/New_York,#aa00ff,true,detail_513,gen_15839
cal-00184,Aaron Personal v4,Asia/Tokyo,#00c853,false,detail_374,gen_65039
cal-00185,Kids School v5,America/New_York,#ff6d00,true,detail_460,gen_28082
cal-00186,Kids School v6,America/Los_Angeles,#ff6d00,false,detail_878,gen_11787
cal-00187,Lantern Keeper v7,America/New_York,#00c853,false,detail_107,gen_87553
cal-00188,Kendo Tournament Circuit v8,America/Chicago,#00c853,false,detail_232,gen_91610
cal-00189,Aaron Woodworking v9,America/Los_Angeles,#ff6d00,false,detail_140,gen_02384
cal-00190,Lantern Keeper v1,America/Chicago,#ff6d00,false,detail_166,gen_09548
cal-00191,Aaron Woodworking v2,America/Chicago,#00c853,false,detail_575,gen_30035
cal-00192,Kids School v3,America/Los_Angeles,#ff6d00,false,detail_751,gen_16988
cal-00193,Aaron Cycling v4,America/Los_Angeles,#3d5afe,true,detail_498,gen_15610
cal-00194,Studio External v5,Asia/Tokyo,#00c853,false,detail_271,gen_66072
cal-00195,Aaron Personal v6,America/New_York,#3d5afe,false,detail_303,gen_41592
cal-00196,Kendo Tournament Circuit v7,America/New_York,#aa00ff,false,detail_855,gen_94288
cal-00197,Studio External v8,America/New_York,#3d5afe,true,detail_627,gen_14736
cal-00198,Studio External v9,America/Los_Angeles,#3d5afe,false,detail_566,gen_82274
cal-00199,Lantern Keeper v1,America/Chicago,#00c853,false,detail_269,gen_38055
cal-00200,Lantern Keeper v2,America/Los_Angeles,#3d5afe,false,detail_367,gen_10362
cal-00201,Aaron Woodworking v3,Asia/Tokyo,#aa00ff,true,detail_741,gen_50442
cal-00202,Aaron Cycling v4,America/Chicago,#d50000,false,detail_590,gen_19036
cal-00203,Aaron Cycling v5,America/New_York,#d50000,true,detail_932,gen_41416
cal-00204,Kids School v6,Asia/Tokyo,#d50000,false,detail_551,gen_10385
