id,createdTime,Student,Status,CoPayUsd
recCost0000000002-e004,2026-10-11T00:00:00.000Z,Nicole Kearney,outstanding,40
recCost0000000003-e004,2026-10-11T00:00:00.000Z,Ashley Bauer,outstanding,40
recCost0000000004-e004,2026-10-11T00:00:00.000Z,Maria Concepcion,outstanding,40
recCost0000000005-e004,2026-10-11T00:00:00.000Z,Sarah O'Connell,outstanding,40
recCost0000000006-e004,2026-10-11T00:00:00.000Z,Kelly DiSanto,outstanding,40
recCost0000000007-e004,2026-10-11T00:00:00.000Z,Rosa Iglesias,outstanding,40
recCost0000000008-e004,2026-10-11T00:00:00.000Z,Jennifer Holcomb,outstanding,40
recCost0000000009-e004,2026-10-11T00:00:00.000Z,Renee Atkins,outstanding,40
recCost0000000010-e004,2026-10-11T00:00:00.000Z,Patricia Wong,outstanding,40
recCost0000000011-e004,2026-10-11T00:00:00.000Z,Crystal Aguilar,outstanding,40
recCost0000000012-e004,2026-10-11T00:00:00.000Z,Hope Mitchell,outstanding,40
recCost0000000013-e004,2026-10-11T00:00:00.000Z,Erin Donaldson,outstanding,40
recCost0000000014-e004,2026-10-11T00:00:00.000Z,Vanessa Choi,outstanding,40
recCost0000000015-e004,2026-10-11T00:00:00.000Z,Tina Mwangi,outstanding,40
recCost0000000016-e004,2026-10-11T00:00:00.000Z,Sasha Kim,outstanding,40
