audience_id,email,first,last,tags,added_date,last_automation_touch,household_id
A-00108,david.cissell@gmail.com,David,Cissell,active;birthday_card;visit_prompt;winter_check_in,2025-01-29,2026-10-25,H-0162
A-00109,wilma.cummings@bellsouth.net,Wilma,Cummings,active;visit_prompt;winter_check_in,2022-06-15,2026-09-23,H-0177
A-00110,odell.layman@paducah.net,Odell,Layman,active;birthday_card;christmas_eve_reminder,2017-01-05,2026-08-01,H-0250
A-00111,elna.nunn@bellsouth.net,Elna,Nunn,birthday_card;christmas_eve_reminder;homebound,2025-04-01,2026-10-21,H-0128
A-00112,emmett.kilburn@paducah.net,Emmett,Kilburn,active;birthday_card;visit_prompt;winter_check_in,2018-09-16,2026-08-25,H-0167
A-00113,mavis.kimbell@gmail.com,Mavis,Kimbell,active;birthday_card;christmas_eve_reminder,2020-05-02,2026-04-26,H-0140
A-00114,billy.nichols@paducah.net,Billy,Nichols,homebound;visit_prompt;winter_check_in,2022-03-24,2026-09-15,H-0243
A-00115,buford.ivy@gmail.com,Buford,Ivy,active;birthday_card;visit_prompt;winter_check_in,2022-07-21,2026-04-30,H-0211
A-00116,ann.jeter@paducah.net,Ann,Jeter,homebound;visit_prompt;winter_check_in,2023-03-19,2026-05-16,H-0022
A-00117,nell.devers@gmail.com,Nell,Devers,active;winter_check_in,2019-11-17,2026-09-22,H-0136
A-00118,verna.trimble@paducah.net,Verna,Trimble,birthday_card;christmas_eve_reminder;homebound,2021-11-12,2026-07-29,H-0185
A-00119,grover.thurman@bellsouth.net,Grover,Thurman,active;christmas_eve_reminder,2023-11-16,2026-06-17,H-0066
A-00120,betty.hendon@bellsouth.net,Betty,Hendon,active;visit_prompt;winter_check_in,2019-06-25,2026-07-29,H-0229
A-00121,barbara.fisher@gmail.com,Barbara,Fisher,active;bereaved;winter_check_in,2017-07-27,2024-06-07,H-0160
A-00122,ethel.ingle@paducah.net,Ethel,Ingle,active;winter_check_in,2020-03-03,2026-06-03,H-0070
A-00123,herman.weatherford@paducah.net,Herman,Weatherford,active;christmas_eve_reminder,2021-02-04,2026-10-09,H-0222
A-00124,doris.fisher@gmail.com,Doris,Fisher,active;christmas_eve_reminder,2022-05-06,2026-05-16,H-0135
A-00125,beatrice.kilburn@gmail.com,Beatrice,Kilburn,active;bereaved;winter_check_in,2019-06-20,2025-10-01,H-0053
A-00126,gladys.nave@paducah.net,Gladys,Nave,christmas_eve_reminder;homebound,2025-02-27,2026-05-17,H-0105
A-00127,willadean.cissell@bellsouth.net,Willadean,Cissell,active;bereaved;winter_check_in,2023-03-12,2026-06-12,H-0218
A-00128,sylvia.kegley@gmail.com,Sylvia,Kegley,active;christmas_eve_reminder;visit_prompt,2019-08-21,2026-06-05,H-0132
A-00129,earl.meacham@gmail.com,Earl,Meacham,active;birthday_card;christmas_eve_reminder,2021-02-06,2026-07-16,H-0020
A-00130,willadean.doerr@paducah.net,Willadean,Doerr,active;birthday_card;visit_prompt;winter_check_in,2020-05-15,2026-08-10,H-0246
A-00131,ethel.yonts@gmail.com,Ethel,Yonts,active;christmas_eve_reminder,2021-07-23,2026-09-06,H-0216
A-00132,josie.cummings@gmail.com,Josie,Cummings,active;winter_check_in,2019-08-03,2026-06-06,H-0177
A-00133,verlene.kegley@bellsouth.net,Verlene,Kegley,active;visit_prompt;winter_check_in,2018-03-02,2025-12-26,H-0012
A-00134,josie.jolley@bellsouth.net,Josie,Jolley,active;winter_check_in,2019-08-10,2026-10-14,H-0050
A-00135,arthur.yates@gmail.com,Arthur,Yates,active;christmas_eve_reminder;visit_prompt,2016-04-22,2025-05-29,H-0073
A-00136,curtis.roark@paducah.net,Curtis,Roark,active;birthday_card;christmas_eve_reminder;visit_prompt,2021-08-15,2026-03-11,H-0168
A-00137,joyce.sanger@paducah.net,Joyce,Sanger,active;birthday_card;visit_prompt;winter_check_in,2019-08-02,2026-06-04,H-0088
A-00138,reginald.vickers@gmail.com,Reginald,Vickers,active;birthday_card;christmas_eve_reminder;visit_prompt,2017-05-28,2026-07-26,H-0035
A-00139,judy.longmire@gmail.com,Judy,Longmire,active;christmas_eve_reminder;visit_prompt,2021-02-23,2026-08-26,H-0007
A-00140,jerry.egerton@paducah.net,Jerry,Egerton,active;birthday_card;christmas_eve_reminder,2020-06-25,2024-10-08,H-0182
A-00141,chester.pyle@paducah.net,Chester,Pyle,active;winter_check_in,2021-01-06,2026-09-03,H-0148
A-00142,ethel.chandler@bellsouth.net,Ethel,Chandler,active;christmas_eve_reminder,2016-04-24,2024-09-21,H-0038
A-00143,ada.roark@paducah.net,Ada,Roark,active;winter_check_in,2019-09-07,2026-06-10,H-0016
A-00144,verlene.hargrove@gmail.com,Verlene,Hargrove,active;christmas_eve_reminder;visit_prompt,2023-05-04,2026-05-12,H-0116
A-00145,della.nave@bellsouth.net,Della,Nave,active;christmas_eve_reminder;visit_prompt,2018-07-30,2026-04-17,H-0032
A-00146,odessa.fentress@bellsouth.net,Odessa,Fentress,active;christmas_eve_reminder,2019-08-22,2024-06-15,H-0158
A-00147,loretta.jent@bellsouth.net,Loretta,Jent,active;christmas_eve_reminder,2020-12-11,2022-03-10,
A-00148,gary.ackerman@bellsouth.net,Gary,Ackerman,active;christmas_eve_reminder,2025-08-10,2026-04-28,H-0248
A-00149,zelda.ormsby@gmail.com,Zelda,Ormsby,active;winter_check_in,2020-03-22,2026-04-11,H-0203
A-00150,donald.nally@gmail.com,Donald,Nally,active;birthday_card;visit_prompt;winter_check_in,2021-09-11,2026-09-03,H-0180
A-00151,retha.woodson@bellsouth.net,Retha,Woodson,birthday_card;homebound;winter_check_in,2018-05-29,2026-06-28,H-0235
A-00152,ernest.dockery@bellsouth.net,Ernest,Dockery,homebound;visit_prompt;winter_check_in,2020-03-05,2026-07-16,H-0147
A-00153,vernon.grimes@gmail.com,Vernon,Grimes,active;birthday_card;winter_check_in,2016-04-07,2025-06-09,H-0040
A-00154,patsy.zumwalt@gmail.com,Patsy,Zumwalt,active;winter_check_in,2022-07-19,2026-10-16,H-0242
A-00155,booker.norvell@gmail.com,Booker,Norvell,active;christmas_eve_reminder,2020-02-12,2026-06-27,H-0025
A-00156,percy.ladd@gmail.com,Percy,Ladd,active;christmas_eve_reminder,2022-01-20,2026-05-08,H-0044
A-00157,kermit.ackerman@paducah.net,Kermit,Ackerman,active;christmas_eve_reminder,2019-05-11,2026-07-08,H-0061
A-00158,kenneth.larkin@bellsouth.net,Kenneth,Larkin,active;visit_prompt;winter_check_in,2022-09-28,2026-07-26,H-0196
A-00159,nancy.oxford@gmail.com,Nancy,Oxford,active;christmas_eve_reminder,2023-08-30,2026-04-13,H-0170
A-00160,delbert.norvell@paducah.net,Delbert,Norvell,bereaved;homebound;winter_check_in,2021-07-22,2026-07-22,H-0215
A-00161,josie.ladd@paducah.net,Josie,Ladd,active;winter_check_in,2021-11-05,2026-07-25,H-0155
A-00162,rita.doerr@paducah.net,Rita,Doerr,active;birthday_card;christmas_eve_reminder,2019-07-26,2026-07-28,H-0227
A-00163,delbert.bickford@gmail.com,Delbert,Bickford,active;visit_prompt;winter_check_in,2018-01-06,2024-04-27,H-0055
A-00164,delbert.tarpley@gmail.com,Delbert,Tarpley,active;visit_prompt;winter_check_in,2025-03-12,2026-05-07,H-0197
A-00165,tilden.roark@gmail.com,Tilden,Roark,active;birthday_card;christmas_eve_reminder,2020-11-10,2026-06-21,H-0011
A-00166,ellen.hendon@bellsouth.net,Ellen,Hendon,homebound;visit_prompt;winter_check_in,2020-01-20,2026-10-12,H-0198
A-00167,rupert.fentress@paducah.net,Rupert,Fentress,active;christmas_eve_reminder,2018-04-28,2024-05-25,H-0096
A-00168,bobby.draffen@bellsouth.net,Bobby,Draffen,active;winter_check_in,2018-05-06,2026-06-23,H-0238
A-00169,john.grimes@paducah.net,John,Grimes,bereaved;christmas_eve_reminder;homebound,2025-05-24,2026-09-19,H-0224
A-00170,wendell.bruce@bellsouth.net,Wendell,Bruce,active;christmas_eve_reminder,2021-08-28,2026-06-25,H-0057
A-00171,jimmy.gaskin@bellsouth.net,Jimmy,Gaskin,active;winter_check_in,2021-07-19,2026-06-26,H-0049
A-00172,ronald.devers@paducah.net,Ronald,Devers,christmas_eve_reminder;homebound;visit_prompt,2019-02-19,2026-05-12,H-0151
A-00173,blanche.hendon@paducah.net,Blanche,Hendon,active;christmas_eve_reminder,2022-05-26,2026-07-01,H-0078
A-00174,mark.layman@paducah.net,Mark,Layman,active;winter_check_in,2021-08-29,2026-08-31,H-0208
A-00175,rufus.oxford@bellsouth.net,Rufus,Oxford,active;bereaved;birthday_card;winter_check_in,2023-07-20,2026-05-30,H-0230
A-00176,roy.thurman@bellsouth.net,Roy,Thurman,active;birthday_card;visit_prompt;winter_check_in,2020-10-11,2026-05-10,H-0047
A-00177,betty.yielding@paducah.net,Betty,Yielding,active;christmas_eve_reminder,2020-08-15,2024-07-27,H-0060
A-00178,eugene.sowell@bellsouth.net,Eugene,Sowell,active;christmas_eve_reminder,2023-06-05,2026-07-13,H-0098
A-00179,bonnie.stovall@bellsouth.net,Bonnie,Stovall,active;birthday_card;winter_check_in,2021-06-30,2026-07-07,H-0125
A-00180,kermit.callahan@gmail.com,Kermit,Callahan,active;birthday_card;visit_prompt;winter_check_in,2025-08-13,2026-09-06,H-0149
A-00181,lucille.isbell@bellsouth.net,Lucille,Isbell,active;birthday_card;winter_check_in,2018-01-11,2026-08-22,H-0150
A-00182,shirley.sisk@bellsouth.net,Shirley,Sisk,christmas_eve_reminder;homebound;visit_prompt,2023-02-28,2026-04-29,H-0192
A-00183,roy.jent@bellsouth.net,Roy,Jent,active;winter_check_in,2021-10-12,2026-10-08,H-0174
A-00184,arthur.egerton@paducah.net,Arthur,Egerton,active;christmas_eve_reminder,2019-06-27,2026-08-28,H-0127
A-00185,evelyn.overstreet@gmail.com,Evelyn,Overstreet,active;winter_check_in,2022-09-24,2026-04-23,H-0029
A-00186,evelyn.threlkeld@gmail.com,Evelyn,Threlkeld,active;christmas_eve_reminder;visit_prompt,2021-02-21,2026-05-30,H-0080
A-00187,kathy.inman@bellsouth.net,Kathy,Inman,active;christmas_eve_reminder,2019-11-04,2026-09-30,H-0052
A-00188,ronald.sinclair@paducah.net,Ronald,Sinclair,active;winter_check_in,2019-07-04,2026-05-10,H-0138
A-00189,ellen.franks@paducah.net,Ellen,Franks,active;birthday_card;christmas_eve_reminder,2017-09-23,2026-01-10,H-0084
A-00190,mildred.chandler@bellsouth.net,Mildred,Chandler,active;birthday_card;christmas_eve_reminder,2020-07-16,2026-07-06,H-0205
A-00191,florence.longmire@paducah.net,Florence,Longmire,active;christmas_eve_reminder,2020-09-03,2026-09-08,H-0139
A-00192,blanche.kilburn@bellsouth.net,Blanche,Kilburn,active;bereaved;visit_prompt;winter_check_in,2021-09-17,2026-10-23,H-0028
A-00193,carolyn.utley@gmail.com,Carolyn,Utley,active;birthday_card;winter_check_in,2023-06-29,2026-10-04,H-0176
A-00194,james.dodson@paducah.net,James,Dodson,active;birthday_card;winter_check_in,2020-12-06,2026-10-24,H-0010
A-00195,wallace.inman@gmail.com,Wallace,Inman,active;christmas_eve_reminder,2021-09-16,2026-10-12,H-0124
A-00196,linda.jeter@paducah.net,Linda,Jeter,active;birthday_card;visit_prompt;winter_check_in,2019-08-21,2026-05-12,H-0154
A-00197,everett.mccoy@paducah.net,Everett,McCoy,active;birthday_card;winter_check_in,2021-08-05,2026-09-17,H-0159
A-00198,arthur.lassiter@bellsouth.net,Arthur,Lassiter,active;birthday_card;christmas_eve_reminder;visit_prompt,2017-06-05,2025-12-13,H-0253
A-00199,odie.trimble@gmail.com,Odie,Trimble,homebound;winter_check_in,2022-10-01,2026-04-19,H-0130
A-00200,roxanne.osteen@gmail.com,Roxanne,Osteen,active;christmas_eve_reminder,2021-07-05,2026-07-28,H-0027
A-00201,denver.owings@paducah.net,Denver,Owings,active;birthday_card;winter_check_in,2020-12-23,2026-07-25,H-0051
A-00202,denver.overstreet@paducah.net,Denver,Overstreet,active;winter_check_in,2021-06-07,2024-03-06,H-0209
A-00203,norman.kilgore@bellsouth.net,Norman,Kilgore,active;christmas_eve_reminder;visit_prompt,2024-06-30,2026-10-20,H-0119
A-00204,winifred.gaskin@paducah.net,Winifred,Gaskin,birthday_card;christmas_eve_reminder;homebound,2023-09-22,2026-09-18,H-0037
A-00205,jean.devers@paducah.net,Jean,Devers,active;birthday_card;winter_check_in,2018-03-29,2026-06-26,H-0136
A-00206,ethel.chandler@bellsouth.net,Ethel,Chandler,active;birthday_card;christmas_eve_reminder;visit_prompt,2020-08-08,2024-05-06,H-0038
A-00207,eunice.norsworthy@gmail.com,Eunice,Norsworthy,active;christmas_eve_reminder,2021-09-05,2026-05-25,H-0231
A-00208,agnes.mcdaniel@gmail.com,Agnes,McDaniel,active;christmas_eve_reminder,2020-10-17,2026-10-24,H-0041
A-00209,beatrice.overby@bellsouth.net,Beatrice,Overby,active;christmas_eve_reminder;visit_prompt,2022-04-14,2026-07-11,H-0161
A-00210,kathy.chandler@bellsouth.net,Kathy,Chandler,active;christmas_eve_reminder;visit_prompt,2020-07-16,2022-01-14,
A-00211,pearl.wilkes@gmail.com,Pearl,Wilkes,active;winter_check_in,2022-03-21,2026-09-16,H-0157
A-00212,sue.beasley@paducah.net,Sue,Beasley,christmas_eve_reminder;homebound,2023-03-31,2026-07-16,H-0214
A-00213,richard.franks@gmail.com,Richard,Franks,active;christmas_eve_reminder,2024-10-22,2026-10-20,H-0191
A-00214,homer.doerr@bellsouth.net,Homer,Doerr,active;christmas_eve_reminder,2021-02-16,2026-07-07,H-0059
A-00215,herman.hargrove@paducah.net,Herman,Hargrove,active;birthday_card;winter_check_in,2022-12-10,2026-09-01,H-0062
A-00216,ann.beasley@gmail.com,Ann,Beasley,active;christmas_eve_reminder,2024-05-20,2026-06-13,H-0241
A-00217,cora.egerton@bellsouth.net,Cora,Egerton,active;birthday_card;winter_check_in,2024-08-06,2026-07-12,H-0048
A-00218,barbara.yancey@bellsouth.net,Barbara,Yancey,active;birthday_card;christmas_eve_reminder,2020-07-07,2024-07-20,H-0106
