id,domain,message_id,event,recipient,timestamp,reason
ev_mg_x0042,mg.receipts.local,mg_x0042,delivered,alejandro.rios@Finthesiss.ai,2026-04-03T09:00:00Z,
ev_mg_x0043,mg.receipts.local,mg_x0043,delivered,alejandro.rios@Finthesiss.ai,2026-04-16T09:00:00Z,
ev_mg_x0044,mg.receipts.local,mg_x0044,delivered,alejandro.rios@Finthesiss.ai,2026-04-23T09:00:00Z,
ev_mg_x0045,mg.receipts.local,mg_x0045,delivered,alejandro.rios@Finthesiss.ai,2026-04-24T09:00:00Z,
ev_mg_20260503,mg.receipts.local,mg_20260503,delivered,alejandro.rios@Finthesiss.ai,2026-05-03T09:00:00Z,
ev_mg_x0046,mg.receipts.local,mg_x0046,delivered,alejandro.rios@Finthesiss.ai,2026-05-22T09:00:00Z,
ev_mg_x0047,mg.receipts.local,mg_x0047,delivered,alejandro.rios@Finthesiss.ai,2026-05-23T09:00:00Z,
ev_mg_20260603,mg.receipts.local,mg_20260603,delivered,alejandro.rios@Finthesiss.ai,2026-06-03T09:00:00Z,
ev_mg_x0048,mg.receipts.local,mg_x0048,delivered,alejandro.rios@Finthesiss.ai,2026-06-08T09:00:00Z,
ev_mg_x0049,mg.receipts.local,mg_x0049,delivered,alejandro.rios@Finthesiss.ai,2026-06-14T09:00:00Z,
ev_mg_x0050,mg.receipts.local,mg_x0050,delivered,alejandro.rios@Finthesiss.ai,2026-06-18T09:00:00Z,
ev_mg_x0051,mg.receipts.local,mg_x0051,delivered,alejandro.rios@Finthesiss.ai,2026-06-26T09:00:00Z,
ev_mg_x0052,mg.receipts.local,mg_x0052,delivered,alejandro.rios@Finthesiss.ai,2026-06-26T09:00:00Z,
ev_mg_20260703,mg.receipts.local,mg_20260703,delivered,alejandro.rios@Finthesiss.ai,2026-07-03T09:00:00Z,
ev_mg_x0053,mg.receipts.local,mg_x0053,delivered,alejandro.rios@Finthesiss.ai,2026-07-10T09:00:00Z,
ev_mg_x0054,mg.receipts.local,mg_x0054,delivered,alejandro.rios@Finthesiss.ai,2026-07-11T09:00:00Z,
ev_mg_20260803,mg.receipts.local,mg_20260803,delivered,alejandro.rios@Finthesiss.ai,2026-08-03T09:00:00Z,
ev_mg_x0055,mg.receipts.local,mg_x0055,delivered,alejandro.rios@Finthesiss.ai,2026-08-07T09:00:00Z,
ev_mg_x0056,mg.receipts.local,mg_x0056,delivered,alejandro.rios@Finthesiss.ai,2026-08-26T09:00:00Z,
ev_mg_20260903,mg.receipts.local,mg_20260903,delivered,alejandro.rios@Finthesiss.ai,2026-09-03T09:00:00Z,
ev_mg_x0057,mg.receipts.local,mg_x0057,delivered,alejandro.rios@Finthesiss.ai,2026-09-11T09:00:00Z,
ev_mg_x0058,mg.receipts.local,mg_x0058,delivered,alejandro.rios@Finthesiss.ai,2026-09-17T09:00:00Z,
ev_mg_20261003,mg.receipts.local,mg_20261003,delivered,alejandro.rios@Finthesiss.ai,2026-10-03T09:00:00Z,
ev_mg_x0059,mg.receipts.local,mg_x0059,delivered,alejandro.rios@Finthesiss.ai,2026-10-08T09:00:00Z,
