id,first_name,last_name,email,phone,company,title,source,created_at
5034,Nina,Hernandez,nina.hernandez.5034@candidatemail.ca,+14165552033,Peel DSB,Occasional Teacher,Job Fair,2026-10-04
5035,Sam,Dupont,sam.dupont.5035@candidatemail.ca,+14165552034,New Graduate,Education Assistant,Agency,2026-10-05
5036,Cora,Rossi,cora.rossi.5036@candidatemail.ca,+14165552035,Supply List,Education Assistant,Direct,2026-10-06
5037,Aisha,Kim,aisha.kim.5037@candidatemail.ca,+14165552036,Toronto DSB,Teacher,LinkedIn,2026-10-07
5038,Mateo,Thompson,mateo.thompson.5038@candidatemail.ca,+14165552037,Peel DSB,Occasional Teacher,Referral,2026-10-08
5039,Isabella,Ivanov,isabella.ivanov.5039@candidatemail.ca,+14165552038,York Region DSB,Education Assistant,Board Posting,2026-10-09
5040,Priya,Sullivan,priya.sullivan.5040@candidatemail.ca,+14165552039,Durham DSB,Education Assistant,Job Fair,2026-10-10
5041,Daniel,Vidal,daniel.vidal.5041@candidatemail.ca,+14165552040,New Graduate,Teacher,Agency,2026-10-11
5042,Leah,Serrano,leah.serrano.5042@candidatemail.ca,+14165552041,Durham DSB,Occasional Teacher,Direct,2026-10-12
5043,Tariq,Kowalski,tariq.kowalski.5043@candidatemail.ca,+14165552042,New Graduate,Teacher,LinkedIn,2026-10-13
5044,Lucia,Reyes,lucia.reyes.5044@candidatemail.ca,+14165552043,Supply List,Education Assistant,Referral,2026-10-14
5045,Simon,Ferreira,simon.ferreira.5045@candidatemail.ca,+14165552044,New Graduate,Teacher,Board Posting,2026-10-15
5046,Nina,Tremblay,nina.tremblay.5046@candidatemail.ca,+14165552045,York Region DSB,Education Assistant,Job Fair,2026-10-16
5047,Sam,Mensah,sam.mensah.5047@candidatemail.ca,+14165552046,Toronto DSB,Education Assistant,Agency,2026-10-17
5048,Cora,Okonkwo,cora.okonkwo.5048@candidatemail.ca,+14165552047,Durham DSB,Education Assistant,Direct,2026-10-18
5049,Aisha,Vasquez,aisha.vasquez.5049@candidatemail.ca,+14165552048,York Region DSB,Education Assistant,LinkedIn,2026-10-19
5050,Mateo,Silva,mateo.silva.5050@candidatemail.ca,+14165552049,Supply List,New Graduate,Referral,2026-10-20
5051,Isabella,Haddad,isabella.haddad.5051@candidatemail.ca,+14165552050,Supply List,New Graduate,Board Posting,2026-10-21
5052,Priya,Larsson,priya.larsson.5052@candidatemail.ca,+14165552051,Durham DSB,Occasional Teacher,Job Fair,2026-10-22
5053,Daniel,Bianchi,daniel.bianchi.5053@candidatemail.ca,+14165552052,Durham DSB,Occasional Teacher,Agency,2026-10-23
5054,Leah,Rivera,leah.rivera.5054@candidatemail.ca,+14165552053,York Region DSB,Teacher,Direct,2026-10-24
5055,Tariq,Lindqvist,tariq.lindqvist.5055@candidatemail.ca,+14165552054,Durham DSB,Teacher,LinkedIn,2026-10-25
5056,Lucia,Nguyen,lucia.nguyen.5056@candidatemail.ca,+14165552055,Supply List,Teacher,Referral,2026-10-26
5057,Simon,Ahmed,simon.ahmed.5057@candidatemail.ca,+14165552056,York Region DSB,Occasional Teacher,Board Posting,2026-10-27
5058,Nina,Sharma,nina.sharma.5058@candidatemail.ca,+14165552057,New Graduate,New Graduate,Job Fair,2026-10-28
5059,Sam,Novak,sam.novak.5059@candidatemail.ca,+14165552058,York Region DSB,New Graduate,Agency,2026-10-29
5060,Cora,Wallace,cora.wallace.5060@candidatemail.ca,+14165552059,Toronto DSB,Occasional Teacher,Direct,2026-10-30
5061,Aisha,Cohen,aisha.cohen.5061@candidatemail.ca,+14165552060,Durham DSB,New Graduate,LinkedIn,2026-10-31
5062,Mateo,Antoine,mateo.antoine.5062@candidatemail.ca,+14165552061,Durham DSB,New Graduate,Referral,2026-11-01
5063,Isabella,Okafor,isabella.okafor.5063@candidatemail.ca,+14165552062,New Graduate,Occasional Teacher,Board Posting,2026-11-02
5064,Priya,Murphy,priya.murphy.5064@candidatemail.ca,+14165552063,Peel DSB,New Graduate,Job Fair,2026-11-03
5065,Daniel,Zhang,daniel.zhang.5065@candidatemail.ca,+14165552064,Peel DSB,Occasional Teacher,Agency,2026-11-04
5066,Leah,Mbeki,leah.mbeki.5066@candidatemail.ca,+14165552065,Peel DSB,Occasional Teacher,Direct,2026-11-05
5067,Tariq,Fernandez,tariq.fernandez.5067@candidatemail.ca,+14165552066,Supply List,Teacher,LinkedIn,2026-11-06
5068,Lucia,Park,lucia.park.5068@candidatemail.ca,+14165552067,Supply List,Education Assistant,Referral,2026-11-07
5069,Simon,Yamada,simon.yamada.5069@candidatemail.ca,+14165552068,Durham DSB,New Graduate,Board Posting,2026-11-08
5070,Nina,Patel,nina.patel.5070@candidatemail.ca,+14165552069,York Region DSB,Teacher,Job Fair,2026-11-09
5071,Sam,Dubois,sam.dubois.5071@candidatemail.ca,+14165552070,York Region DSB,Teacher,Agency,2026-11-10
5072,Cora,Ali,cora.ali.5072@candidatemail.ca,+14165552071,New Graduate,Teacher,Direct,2026-11-11
5073,Aisha,Costa,aisha.costa.5073@candidatemail.ca,+14165552072,Peel DSB,New Graduate,LinkedIn,2026-11-12
5074,Mateo,Adeyemi,mateo.adeyemi.5074@candidatemail.ca,+14165552073,York Region DSB,Occasional Teacher,Referral,2026-11-13
5075,Isabella,Boateng,isabella.boateng.5075@candidatemail.ca,+14165552074,Supply List,New Graduate,Board Posting,2026-11-14
5076,Priya,Bello,priya.bello.5076@candidatemail.ca,+14165552075,Supply List,Occasional Teacher,Job Fair,2026-11-15
5077,Daniel,Chen,daniel.chen.5077@candidatemail.ca,+14165552076,Supply List,Occasional Teacher,Agency,2026-11-16
5078,Leah,Santos,leah.santos.5078@candidatemail.ca,+14165552077,Peel DSB,Education Assistant,Direct,2026-11-17
5079,Tariq,Osei,tariq.osei.5079@candidatemail.ca,+14165552078,York Region DSB,Occasional Teacher,LinkedIn,2026-11-18
5080,Lucia,Bauer,lucia.bauer.5080@candidatemail.ca,+14165552079,Toronto DSB,Education Assistant,Referral,2026-11-19
5081,Simon,Petrov,simon.petrov.5081@candidatemail.ca,+14165552080,Durham DSB,New Graduate,Board Posting,2026-11-20
5082,Nina,Hernandez,nina.hernandez.5082@candidatemail.ca,+14165552081,Durham DSB,New Graduate,Job Fair,2026-11-21
5083,Sam,Dupont,sam.dupont.5083@candidatemail.ca,+14165552082,Supply List,Education Assistant,Agency,2026-11-22
5084,Cora,Rossi,cora.rossi.5084@candidatemail.ca,+14165552083,Peel DSB,Education Assistant,Direct,2026-11-23
5085,Aisha,Kim,aisha.kim.5085@candidatemail.ca,+14165552084,York Region DSB,Education Assistant,LinkedIn,2026-11-24
5086,Mateo,Thompson,mateo.thompson.5086@candidatemail.ca,+14165552085,Durham DSB,Teacher,Referral,2026-11-25
5087,Isabella,Ivanov,isabella.ivanov.5087@candidatemail.ca,+14165552086,New Graduate,Education Assistant,Board Posting,2026-11-26
5088,Priya,Sullivan,priya.sullivan.5088@candidatemail.ca,+14165552087,Supply List,New Graduate,Job Fair,2026-11-27
5089,Daniel,Vidal,daniel.vidal.5089@candidatemail.ca,+14165552088,York Region DSB,Occasional Teacher,Agency,2026-11-28
5090,Leah,Serrano,leah.serrano.5090@candidatemail.ca,+14165552089,Supply List,Teacher,Direct,2026-11-29
5091,Tariq,Kowalski,tariq.kowalski.5091@candidatemail.ca,+14165552090,York Region DSB,Occasional Teacher,LinkedIn,2026-11-30
5092,Lucia,Reyes,lucia.reyes.5092@candidatemail.ca,+14165552091,Supply List,Teacher,Referral,2026-12-01
5093,Simon,Ferreira,simon.ferreira.5093@candidatemail.ca,+14165552092,York Region DSB,Occasional Teacher,Board Posting,2026-12-02
5094,Nina,Tremblay,nina.tremblay.5094@candidatemail.ca,+14165552093,Durham DSB,Occasional Teacher,Job Fair,2026-12-03
5095,Sam,Mensah,sam.mensah.5095@candidatemail.ca,+14165552094,Toronto DSB,Occasional Teacher,Agency,2026-12-04
5096,Cora,Okonkwo,cora.okonkwo.5096@candidatemail.ca,+14165552095,Toronto DSB,New Graduate,Direct,2026-12-05
5097,Aisha,Vasquez,aisha.vasquez.5097@candidatemail.ca,+14165552096,Toronto DSB,Teacher,LinkedIn,2026-12-06
5098,Mateo,Silva,mateo.silva.5098@candidatemail.ca,+14165552097,Toronto DSB,Occasional Teacher,Referral,2026-12-07
5099,Isabella,Haddad,isabella.haddad.5099@candidatemail.ca,+14165552098,Toronto DSB,Education Assistant,Board Posting,2026-12-08
5100,Priya,Larsson,priya.larsson.5100@candidatemail.ca,+14165552099,Toronto DSB,Occasional Teacher,Job Fair,2026-12-09
5101,Daniel,Bianchi,daniel.bianchi.5101@candidatemail.ca,+14165552100,Supply List,New Graduate,Agency,2026-12-10
5102,Leah,Rivera,leah.rivera.5102@candidatemail.ca,+14165552101,Toronto DSB,Education Assistant,Direct,2026-12-11
5103,Tariq,Lindqvist,tariq.lindqvist.5103@candidatemail.ca,+14165552102,Toronto DSB,Education Assistant,LinkedIn,2026-12-12
5104,Lucia,Nguyen,lucia.nguyen.5104@candidatemail.ca,+14165552103,Toronto DSB,Teacher,Referral,2026-12-13
5105,Simon,Ahmed,simon.ahmed.5105@candidatemail.ca,+14165552104,New Graduate,Occasional Teacher,Board Posting,2026-12-14
5106,Nina,Sharma,nina.sharma.5106@candidatemail.ca,+14165552105,Durham DSB,Teacher,Job Fair,2026-12-15
5107,Sam,Novak,sam.novak.5107@candidatemail.ca,+14165552106,York Region DSB,Education Assistant,Agency,2026-12-16
5108,Cora,Wallace,cora.wallace.5108@candidatemail.ca,+14165552107,Toronto DSB,Occasional Teacher,Direct,2026-12-17
5109,Aisha,Cohen,aisha.cohen.5109@candidatemail.ca,+14165552108,Toronto DSB,Education Assistant,LinkedIn,2026-12-18
5110,Mateo,Antoine,mateo.antoine.5110@candidatemail.ca,+14165552109,New Graduate,Education Assistant,Referral,2026-12-19
5111,Isabella,Okafor,isabella.okafor.5111@candidatemail.ca,+14165552110,Supply List,Occasional Teacher,Board Posting,2026-12-20
5112,Priya,Murphy,priya.murphy.5112@candidatemail.ca,+14165552111,Supply List,New Graduate,Job Fair,2026-12-21
5113,Daniel,Zhang,daniel.zhang.5113@candidatemail.ca,+14165552112,Peel DSB,Education Assistant,Agency,2026-12-22
5114,Leah,Mbeki,leah.mbeki.5114@candidatemail.ca,+14165552113,Durham DSB,Education Assistant,Direct,2026-12-23
5115,Tariq,Fernandez,tariq.fernandez.5115@candidatemail.ca,+14165552114,Toronto DSB,Occasional Teacher,LinkedIn,2026-12-24
5116,Lucia,Park,lucia.park.5116@candidatemail.ca,+14165552115,Supply List,New Graduate,Referral,2026-12-25
5117,Simon,Yamada,simon.yamada.5117@candidatemail.ca,+14165552116,Peel DSB,Teacher,Board Posting,2026-12-26
5118,Nina,Patel,nina.patel.5118@candidatemail.ca,+14165552117,Durham DSB,Occasional Teacher,Job Fair,2026-12-27
5119,Sam,Dubois,sam.dubois.5119@candidatemail.ca,+14165552118,Toronto DSB,Education Assistant,Agency,2026-12-28
5120,Cora,Ali,cora.ali.5120@candidatemail.ca,+14165552119,Toronto DSB,Teacher,Direct,2026-12-29
