"applicant_id","full_name","applied_date","source","years_brewing_experience","prior_breweries","certifications","stage","recruiter_rating_1_5","greg_rating_1_5","larry_rating_1_5","availability_start","hourly_rate_expected","notes"
"BBC-APP-2026-2711","Vincent Caraway","2026-09-20","Greenhouse — referral via Jake Moreland","2","Moreland Brewing, Hendersonville (2024–2026)","None","On-Site","4","4",,"2026-11-02","$21.00","Jake's referral. On-site Oct 8."
"BBC-APP-2026-2712","Hattie Brennan","2026-09-24","Greenhouse — Indeed","1","Burial Beer — assistant role (2025–2026)","None","Phone Screen","3",,,"2026-11-02","$20.50","Phone screen completed Sept 28. Eager. Light on experience."
"BBC-APP-2026-2713","Owen Petrova","2026-09-26","Greenhouse — Brewers Association job board","3","Catawba Brewing (2023–2026)","Cicerone Certified Beer Server, 2024","Phone Screen","4",,,"2026-11-02","$21.00","Phone screen scheduled Oct 6."
"BBC-APP-2026-2714","Aiyana Standingbear","2026-09-21","Greenhouse — Brewers Association job board","4","Asheville Brewing Company (2022–2026)","BJCP recognized judge","Phone Screen","4",,,"2026-11-02","$21.00","Phone screen scheduled Oct 7."
"BBC-APP-2026-2715","Sven Lindqvist","2026-09-28","Greenhouse — LinkedIn","8","Stockholm Brewing Co (Sweden, 2018–2024); Olde Hickory Brewing (2024–2026)","Siebel Institute advanced certificate, 2020","Phone Screen","5",,,"2026-11-02","$24.00","Phone screen scheduled Oct 6. Senior candidate; rate expectation high."
"BBC-APP-2026-2716","Raymond Beckwith","2026-09-29","Greenhouse — Indeed","2","Lookout Brewing (2024–2026)","None","Phone Screen","3",,,"2026-11-02","$20.00","Phone screen scheduled Oct 8."
"BBC-APP-2026-2717","Imani Fairbanks","2026-10-01","Greenhouse — Brewers Association","1","Catawba Brewing assistant (2025–2026)","None","Applied",,,,"2026-11-02","$20.00",""
"BBC-APP-2026-2718","Roland Yates","2026-10-02","Greenhouse — Indeed","3","French Broad Brewing (2023–2026)","Cicerone Beer Server","Applied",,,,"2026-11-02","$21.00",""
"BBC-APP-2026-2719","Beatrix Allard","2026-09-30","Greenhouse — Brewers Association","2","Highland Brewing (2024–2026)","None","Applied",,,,"2026-11-02","$20.00",""
"BBC-APP-2026-2720","Hector Salazar","2026-10-03","Greenhouse — Indeed","4","Wedge Brewing (2021–2026)","None","Applied",,,,"2026-11-02","$21.50",""
"BBC-APP-2026-2721","Mira Dasgupta","2026-10-04","Greenhouse — LinkedIn","5","Sierra Nevada Mills River (2021–2026)","Siebel basic, 2023","Applied",,,,"2026-11-09","$22.00","Note: cannot start opening week; one-week delay from current notice period."
"BBC-APP-2026-2722","Bennett Krasinski","2026-10-04","Greenhouse — Brewers Association","2","Burial Beer (2024–2026)","None","Applied",,,,"2026-11-02","$20.00",""
"BBC-APP-2026-2723","Penelope Forsythe","2026-10-02","Greenhouse — Indeed","1","Hi-Wire Brewing intern (2025–2026)","None","Applied",,,,"2026-11-02","$20.00",""
"BBC-APP-2026-2724","Vikram Anand","2026-10-01","Greenhouse — LinkedIn","6","Wicked Weed Brewing (2019–2025); homebrew (5 years prior)","Cicerone Certified Beer Server, 2023","Applied",,,,"2026-11-02","$22.50",""
"BBC-APP-2026-2725","Augusta Cleary","2026-09-29","Greenhouse — Brewers Association","3","Asheville Brewing Company (2023–2026)","None","Applied",,,,"2026-11-02","$21.00",""
"BBC-APP-2026-2726","Trent Galloway","2026-08-30","Greenhouse — Indeed","0","None — career changer from food service","None","Rejected","2",,,"2026-11-02","$18.00","Rejected at recruiter screen — insufficient brewing exposure for a seasonal slot."
"BBC-APP-2026-2727","Whitney Hargrove","2026-09-02","Greenhouse — Indeed","2","One Stop Beer Shop (2024–2026 — retail role, not production)","None","Rejected","2",,,"2026-11-02","$18.00","Rejected — retail experience not production experience."
"BBC-APP-2026-2728","Cyrus Thompson","2026-09-06","Greenhouse — LinkedIn","10","Multiple — frequent moves","Siebel Institute basic, 2017","Rejected","3","2",,"2026-11-02","$25.00","Rejected post-phone-screen. Tenure pattern concerning (no role held over 14 months in past five years). Rate expectation also above seasonal range."
"BBC-APP-2026-2729","Dahlia Voss","2026-09-10","Greenhouse — Brewers Association","1","Asheville Pizza Brewing (2025–2026)","None","Rejected","2",,,"2026-11-02","$18.00","Rejected at recruiter screen — phone screen no-show twice."
"BBC-APP-2026-2730","Wendell Carpenter","2026-09-14","Greenhouse — Indeed","3","Catawba Brewing (2023–2026)","None","Rejected","3","2",,"2026-11-02","$20.00","Rejected post-phone-screen — Greg flagged inconsistent recall of basic sanitation protocols."
"BBC-APP-2026-2731","Octavia Reinhardt","2026-09-17","Greenhouse — LinkedIn","4","New Belgium Asheville (2022–2026)","Cicerone Certified Beer Server","Rejected","4",,,"2027-01-15","$22.00","Rejected — availability start in mid-January misses two-thirds of season."
"BBC-APP-2026-2732","Beau Tatum","2026-09-19","Greenhouse — Indeed","0","None — recent graduate","UNC-Asheville fermentation studies certificate, 2026","Rejected","2",,,"2026-11-02","$18.00","Rejected at recruiter screen — academic credentials only, no commercial brewing hours."
"BBC-APP-2026-2733","Sergio Almeida","2026-09-25","Greenhouse — Brewers Association","2","Wedge Brewing (2024–2026)","None","Rejected","3","2",,"2026-11-02","$20.00","Rejected post-phone-screen — references did not return after two attempts."
"BBC-APP-2026-2734","Mariah Steinberg","2026-09-27","Greenhouse — LinkedIn","1","Burial Beer (assistant, 2025–2026)","None","Rejected","2",,,"2026-11-02","$18.00","Rejected at recruiter screen — limited fit on overnight fermentation watch availability."
