gid,name,email,workspace_gid
au-ext-42,Ingrid Bauer,asana.user42@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-43,Grace Osei,asana.user43@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-44,Sofia Bello,asana.user44@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-45,Bianca Petrov,asana.user45@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-46,Hassan Sharma,asana.user46@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-47,Leah Ahmed,asana.user47@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-48,Diego Nguyen,asana.user48@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-49,Ava Vidal,asana.user49@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-50,Lena Hernandez,asana.user50@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-51,Lucia Mbeki,asana.user51@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-52,Kwame Haddad,asana.user52@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-53,Carlos Santos,asana.user53@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-54,Kofi Bauer,asana.user54@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-55,Nadia Fernandez,asana.user55@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-56,Idris Bianchi,asana.user56@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-57,Nadia Yamada,asana.user57@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-58,Chloe Vidal,asana.user58@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-59,Sam Hernandez,asana.user59@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-60,Lucas Park,asana.user60@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-61,Bianca Cohen,asana.user61@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-62,James Sullivan,asana.user62@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-63,Kwame Lindqvist,asana.user63@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-64,Kofi Yamada,asana.user64@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-65,Liam Novak,asana.user65@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-66,Isabella Nguyen,asana.user66@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-67,Fatima Murphy,asana.user67@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-68,Eduardo Osei,asana.user68@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-69,Aisha Rossi,asana.user69@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-70,Simon Lindqvist,asana.user70@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-71,Tariq Serrano,asana.user71@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-72,Wei Haddad,asana.user72@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-73,Leah Adeyemi,asana.user73@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-74,Kwame Bello,asana.user74@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-75,Marcus Fernandez,asana.user75@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-76,Reza Murphy,asana.user76@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-77,Bruno Santos,asana.user77@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-78,Victor Yamada,asana.user78@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-79,Aisha Santos,asana.user79@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-80,Ingrid Bianchi,asana.user80@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-81,Aisha Zhang,asana.user81@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-82,James Ali,asana.user82@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-83,Marisol Yamada,asana.user83@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-84,Tariq Kowalski,asana.user84@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-85,Fatima Santos,asana.user85@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-86,Wei Park,asana.user86@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-87,Diego Tremblay,asana.user87@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-88,Lucia Serrano,asana.user88@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-89,Grace Vidal,asana.user89@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-90,Simon Osei,asana.user90@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-91,Simon Vasquez,asana.user91@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-92,Lena Bauer,asana.user92@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-93,Lucas Rivera,asana.user93@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-94,Mateo Dubois,asana.user94@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-95,Owen Bianchi,asana.user95@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-96,Farah Yamada,asana.user96@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-97,Grace Serrano,asana.user97@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-98,Ravi Osei,asana.user98@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-99,Grace Larsson,asana.user99@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-100,Hassan Okonkwo,asana.user100@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-101,Kwame Kowalski,asana.user101@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-102,Priya Cohen,asana.user102@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-103,Mateo Vidal,asana.user103@ridgewoodcollegiate.ca,ws-ridgewood
au-ext-104,Nadia Chen,asana.user104@ridgewoodcollegiate.ca,ws-ridgewood
