employee_id,employee_name,entity_code,role,annual_salary_sek,bamboohr_present,skatteverket_tax_filing_present,badge_entries_last_180d,vpn_sessions_last_180d,gusto_present,hire_date,salary_bank_iban,forensic_flag
E-5033,Ebba Gustafsson,VG-SE7,Senior Analyst,807000,true,true,126,167,true,2023-08-01,SE89 3000 005034 0000 5034,
E-5034,Martin Jansson,VG-SE1,Controller,841000,true,true,120,130,true,2019-07-06,SE89 3000 005035 0000 5035,
E-5035,Saga Gustafsson,VG-EE1,Product Manager,897000,true,true,178,108,true,2015-04-16,SE89 3000 005036 0000 5036,
E-5036,Mikael Roos,VG-SE7,Consultant,692000,true,true,174,131,true,2015-05-26,SE89 3000 005037 0000 5037,
E-5037,Alva Bengtsson,VG-SE9,Operations,522000,true,true,125,128,true,2020-12-14,SE89 3000 005038 0000 5038,
E-5038,Lars Sandberg,VG-SE5,HR Partner,734000,true,true,138,162,true,2022-12-10,SE89 3000 005039 0000 5039,
E-5039,Gustav Hansen,VG-SE1,Analyst,555000,true,true,123,133,true,2015-09-08,SE89 3000 005040 0000 5040,
E-5040,Johanna Roos,VG-EE1,Operations,576000,true,true,153,173,true,2021-03-21,SE89 3000 005041 0000 5041,
E-5041,Sara Falk,VG-SE2,Sales,623000,true,true,145,117,true,2013-12-13,SE89 3000 005042 0000 5042,
E-5042,Sofia Jonsson,VG-SE14,Consultant,613000,true,true,132,172,true,2017-05-08,SE89 3000 005043 0000 5043,
E-5043,Axel Bengtsson,VG-SE2,Analyst,528000,true,true,137,191,true,2016-04-21,SE89 3000 005044 0000 5044,
E-5044,Hugo Andersson,VG-SE5,HR Partner,758000,true,true,167,164,true,2024-12-13,SE89 3000 005045 0000 5045,
E-5045,Marcus Larsson,VG-SE2,Analyst,568000,true,true,151,169,true,2024-11-05,SE89 3000 005046 0000 5046,
E-5046,Gustav Nilsson,VG-SE7,Product Manager,741000,true,true,186,171,true,2016-09-05,SE89 3000 005047 0000 5047,
E-5047,Sofia Ohlin,VG-SE11,Senior Analyst,768000,true,true,147,161,true,2021-04-09,SE89 3000 005048 0000 5048,
E-5048,Patrik Molin,VG-SE1,Operations,519000,true,true,161,159,true,2021-09-22,SE89 3000 005049 0000 5049,
E-5049,Elin Hansson,VG-SE8,Director,1259000,true,true,125,132,true,2020-06-16,SE89 3000 005050 0000 5050,
E-5050,Viktor Ekstrom,VG-SE6,Director,1084000,true,true,163,151,true,2017-03-27,SE89 3000 005051 0000 5051,
E-5051,Sara Lindqvist,VG-SE2,Engineer,736000,true,true,100,196,true,2013-10-10,SE89 3000 005052 0000 5052,
E-5052,Johanna Bergstrom,VG-SE2,Product Manager,745000,true,true,123,165,true,2015-01-15,SE89 3000 005053 0000 5053,
E-5053,Sofia Ekstrom,VG-SE6,HR Partner,819000,true,true,157,187,true,2024-12-21,SE89 3000 005054 0000 5054,
E-5054,Elin Ekstrand,VG-SE8,Controller,826000,true,true,164,105,true,2016-10-07,SE89 3000 005055 0000 5055,
E-5055,Marcus Andersson,VG-SE7,Controller,767000,true,true,180,163,true,2015-04-14,SE89 3000 005056 0000 5056,
E-5056,Camilla Larsson,VG-SE7,Consultant,720000,true,true,111,156,true,2023-07-13,SE89 3000 005057 0000 5057,
E-5057,Wilma Lindqvist,VG-SE1,Sales,665000,true,true,171,104,true,2013-09-05,SE89 3000 005058 0000 5058,
E-5058,Linnea Berg,VG-SE6,Senior Analyst,768000,true,true,142,166,true,2013-08-27,SE89 3000 005059 0000 5059,
E-5059,Filip Tamm,VG-SE8,Consultant,659000,true,true,119,166,true,2021-11-02,SE89 3000 005060 0000 5060,
E-5060,Patrik Wallin,VG-SE10,Consultant,694000,true,true,108,159,true,2013-03-07,SE89 3000 005061 0000 5061,
E-5061,Freja Bengtsson,VG-SE8,Engineer,834000,true,true,155,185,true,2023-02-16,SE89 3000 005062 0000 5062,
E-5062,Filip Roos,VG-SE5,Senior Analyst,694000,true,true,181,116,true,2023-01-22,SE89 3000 005063 0000 5063,
E-5063,Camilla Gustafsson,VG-SE5,Senior Analyst,751000,true,true,171,188,true,2019-06-09,SE89 3000 005064 0000 5064,
E-5064,Charlotte Hansen,VG-SE9,HR Partner,637000,true,true,172,192,true,2016-01-26,SE89 3000 005065 0000 5065,
E-5065,Anders Molin,VG-SE10,Controller,763000,true,true,132,121,true,2021-04-19,SE89 3000 005066 0000 5066,
E-5066,Klara Ohlin,VG-EE1,Senior Analyst,743000,true,true,101,183,true,2013-05-16,SE89 3000 005067 0000 5067,
E-5067,Nils Falk,VG-SE7,Sales,577000,true,true,163,142,true,2018-07-03,SE89 3000 005068 0000 5068,
E-5068,Johan Bengtsson,VG-SE4,Senior Analyst,661000,true,true,125,122,true,2015-12-16,SE89 3000 005069 0000 5069,
E-5069,Camilla Sjoberg,VG-SE6,Senior Analyst,775000,true,true,114,187,true,2021-09-17,SE89 3000 005070 0000 5070,
E-5070,Maja Eriksson,VG-SE7,Analyst,583000,true,true,144,125,true,2020-07-22,SE89 3000 005071 0000 5071,
E-5071,Marcus Larsson,VG-SE4,Controller,797000,true,true,98,135,true,2019-08-11,SE89 3000 005072 0000 5072,
E-5072,Mikael Ahlberg,VG-SE4,Consultant,613000,true,true,188,141,true,2023-02-05,SE89 3000 005073 0000 5073,
E-5073,David Bergstrom,VG-SE6,Controller,872000,true,true,130,151,true,2018-08-11,SE89 3000 005074 0000 5074,
E-5074,Wilma Palmberg,VG-SE11,Analyst,610000,true,true,109,156,true,2013-07-22,SE89 3000 005075 0000 5075,
E-5075,Leo Palmberg,VG-SE12,Consultant,632000,true,true,96,140,true,2023-09-22,SE89 3000 005076 0000 5076,
E-5076,Gustav Jansson,VG-EE1,Sales,604000,true,true,127,117,true,2023-07-01,SE89 3000 005077 0000 5077,
E-5077,Martin Nilsson,VG-SE13,HR Partner,787000,true,true,163,106,true,2017-06-26,SE89 3000 005078 0000 5078,
E-5078,Henrik Andersson,VG-SE13,Consultant,702000,true,true,151,175,true,2022-05-25,SE89 3000 005079 0000 5079,
E-5079,Johanna Ekstrom,VG-SE2,Sales,728000,true,true,129,173,true,2022-02-17,SE89 3000 005080 0000 5080,
E-5080,Jaan Hansen,VG-SE7,HR Partner,698000,true,true,124,129,true,2017-06-27,SE89 3000 005081 0000 5081,
E-5081,Ebba Hansson,VG-SE1,Consultant,627000,true,true,126,161,true,2013-09-06,SE89 3000 005082 0000 5082,
E-5082,Wilma Ahlberg,VG-SE8,Operations,688000,true,true,129,169,true,2018-06-03,SE89 3000 005083 0000 5083,
E-5083,Elin Roos,VG-SE9,HR Partner,745000,true,true,116,180,true,2019-08-27,SE89 3000 005084 0000 5084,
E-5084,Patrik Johansson,VG-SE2,Sales,591000,true,true,100,130,true,2022-08-17,SE89 3000 005085 0000 5085,
E-5085,David Roos,VG-SE4,Consultant,549000,true,true,141,185,true,2013-02-11,SE89 3000 005086 0000 5086,
E-5086,Martin Karlsson,VG-EE1,Senior Analyst,633000,true,true,104,173,true,2017-06-06,SE89 3000 005087 0000 5087,
E-5087,Alexander Svensson,VG-SE7,Consultant,699000,true,true,142,194,true,2015-01-18,SE89 3000 005088 0000 5088,
E-5088,Nils Ohlin,VG-SE6,Senior Analyst,808000,true,true,182,151,true,2020-05-25,SE89 3000 005089 0000 5089,
E-5089,Erik Pettersson,VG-SE4,Senior Analyst,640000,true,true,163,180,true,2019-01-19,SE89 3000 005090 0000 5090,
E-5090,Alexander Nilsson,VG-SE12,Controller,811000,true,true,113,184,true,2017-09-11,SE89 3000 005091 0000 5091,
E-5091,Rikard Bengtsson,VG-SE2,Operations,538000,true,true,125,195,true,2019-12-14,SE89 3000 005092 0000 5092,
E-5092,Simon Larsson,VG-EE1,Sales,649000,true,true,170,155,true,2015-05-11,SE89 3000 005093 0000 5093,
E-5093,Oscar Lindstrom,VG-SE4,Engineer,728000,true,true,134,111,true,2017-04-14,SE89 3000 005094 0000 5094,
E-5094,Petra Molin,VG-SE7,Sales,735000,true,true,143,130,true,2020-01-24,SE89 3000 005095 0000 5095,
E-5095,Marcus Persson,VG-EE1,Sales,672000,true,true,166,144,true,2022-11-23,SE89 3000 005096 0000 5096,
E-5096,Rikard Bergstrom,VG-SE12,Consultant,653000,true,true,162,164,true,2017-03-18,SE89 3000 005097 0000 5097,
E-5097,Axel Eriksson,VG-SE10,Sales,610000,true,true,146,160,true,2020-05-26,SE89 3000 005098 0000 5098,
E-5098,Cecilia Karlsson,VG-SE1,Controller,802000,true,true,125,172,true,2020-04-22,SE89 3000 005099 0000 5099,
E-5099,Simon Ekstrom,VG-SE8,Controller,878000,true,true,185,151,true,2013-02-24,SE89 3000 005100 0000 5100,
E-5100,Erik Berg,VG-SE12,Controller,935000,true,true,150,161,true,2017-02-18,SE89 3000 005101 0000 5101,
E-5101,Malin Bengtsson,VG-SE6,Analyst,612000,true,true,133,115,true,2017-12-04,SE89 3000 005102 0000 5102,
E-5102,David Gustafsson,VG-SE14,Analyst,555000,true,true,116,185,true,2024-12-17,SE89 3000 005103 0000 5103,
E-5103,Kristina Gustafsson,VG-SE2,Engineer,857000,true,true,157,147,true,2017-09-09,SE89 3000 005104 0000 5104,
E-5104,Lars Ekstrom,VG-SE3,Sales,723000,true,true,121,133,true,2015-09-20,SE89 3000 005105 0000 5105,
E-5105,Hugo Svensson,VG-SE1,Sales,618000,true,true,167,143,true,2022-09-17,SE89 3000 005106 0000 5106,
E-5106,Johan Nilsson,VG-SE2,Controller,807000,true,true,100,185,true,2019-06-04,SE89 3000 005107 0000 5107,
E-5107,Freja Sjoberg,VG-SE5,HR Partner,745000,true,true,149,146,true,2019-02-18,SE89 3000 005108 0000 5108,
E-5108,Rikard Lindstrom,VG-SE3,Controller,821000,true,true,97,169,true,2024-11-27,SE89 3000 005109 0000 5109,
E-5109,Henrik Hansen,VG-SE7,Engineer,789000,true,true,131,152,true,2024-08-26,SE89 3000 005110 0000 5110,
E-5110,Anna Svensson,VG-SE3,Operations,517000,true,true,143,186,true,2024-06-14,SE89 3000 005111 0000 5111,
E-5111,Petra Hansson,VG-SE1,Analyst,531000,true,true,180,163,true,2021-06-19,SE89 3000 005112 0000 5112,
E-5112,Tobias Ekstrand,VG-SE7,HR Partner,770000,true,true,179,184,true,2019-08-09,SE89 3000 005113 0000 5113,
E-5113,Hugo Ahlberg,VG-SE4,Operations,513000,true,true,187,188,true,2020-10-26,SE89 3000 005114 0000 5114,
E-5114,Nils Berg,VG-SE7,Engineer,669000,true,true,124,180,true,2018-03-18,SE89 3000 005115 0000 5115,
E-5115,Ebba Lindstrom,VG-SE7,Sales,579000,true,true,108,132,true,2022-12-12,SE89 3000 005116 0000 5116,
E-5116,Wilma Bengtsson,VG-SE12,Controller,770000,true,true,114,196,true,2021-09-06,SE89 3000 005117 0000 5117,
E-5117,Leo Lindstrom,VG-SE10,Analyst,486000,true,true,182,158,true,2024-11-10,SE89 3000 005118 0000 5118,
E-5118,Tobias Ahlberg,VG-SE4,Director,1049000,true,true,190,135,true,2015-05-22,SE89 3000 005119 0000 5119,
E-5119,Peter Larsson,VG-SE1,Senior Analyst,650000,true,true,166,159,true,2021-03-23,SE89 3000 005120 0000 5120,
E-5120,Fredrik Nilsson,VG-SE8,Operations,550000,true,true,113,185,true,2017-06-19,SE89 3000 005121 0000 5121,
E-5121,Emma Bergstrom,VG-SE3,Consultant,546000,true,true,119,111,true,2024-01-26,SE89 3000 005122 0000 5122,
E-5122,Kristina Svensson,VG-SE7,Director,998000,true,true,187,165,true,2019-02-16,SE89 3000 005123 0000 5123,
E-5123,Cecilia Olsson,VG-SE7,Analyst,484000,true,true,170,109,true,2022-02-10,SE89 3000 005124 0000 5124,
E-5124,Sofia Larsson,VG-EE1,Operations,667000,true,true,168,147,true,2016-10-15,SE89 3000 005125 0000 5125,
E-5125,Lars Johansson,VG-SE2,Analyst,520000,true,true,156,153,true,2015-12-13,SE89 3000 005126 0000 5126,
E-5126,Wilma Johansson,VG-SE12,Operations,497000,true,true,160,155,true,2016-03-28,SE89 3000 005127 0000 5127,
E-5127,Wilma Lindberg,VG-SE9,HR Partner,710000,true,true,125,167,true,2024-07-13,SE89 3000 005128 0000 5128,
E-5128,Johanna Svensson,VG-EE1,Product Manager,760000,true,true,190,143,true,2024-05-10,SE89 3000 005129 0000 5129,
E-5129,Ebba Ahlberg,VG-EE1,HR Partner,650000,true,true,98,188,true,2024-07-22,SE89 3000 005130 0000 5130,
E-5130,Maja Karlsson,VG-SE13,Controller,853000,true,true,150,127,true,2016-12-03,SE89 3000 005131 0000 5131,
E-5131,Rikard Bergstrom,VG-SE12,Senior Analyst,632000,true,true,120,149,true,2021-05-01,SE89 3000 005132 0000 5132,
E-5132,Tobias Falk,VG-SE12,Analyst,590000,true,true,153,180,true,2020-11-10,SE89 3000 005133 0000 5133,
E-5133,Helena Svensson,VG-SE2,Director,1215000,true,true,134,124,true,2019-10-26,SE89 3000 005134 0000 5134,
E-5134,Camilla Falk,VG-SE1,Sales,594000,true,true,137,166,true,2022-03-21,SE89 3000 005135 0000 5135,
E-5135,Simon Lindqvist,VG-EE1,Engineer,640000,true,true,163,105,true,2015-02-22,SE89 3000 005136 0000 5136,
E-5136,Fredrik Roos,VG-SE5,Operations,522000,true,true,185,190,true,2017-11-06,SE89 3000 005137 0000 5137,
E-5137,Lisa Berg,VG-SE4,Operations,558000,true,true,104,167,true,2015-06-02,SE89 3000 005138 0000 5138,
E-5138,Anders Svensson,VG-SE3,Consultant,695000,true,true,129,135,true,2020-04-12,SE89 3000 005139 0000 5139,
E-5139,Jaan Olsson,VG-SE12,Engineer,812000,true,true,159,182,true,2024-12-15,SE89 3000 005140 0000 5140,
E-5140,Nils Nilsson,VG-SE1,Director,1218000,true,true,175,169,true,2024-10-05,SE89 3000 005141 0000 5141,
E-5141,Cecilia Lindberg,VG-EE1,Sales,654000,true,true,176,136,true,2024-09-23,SE89 3000 005142 0000 5142,
E-5142,Josefin Tamm,VG-SE9,Sales,666000,true,true,124,165,true,2024-03-24,SE89 3000 005143 0000 5143,
E-5143,Charlotte Ekstrand,VG-SE11,Sales,627000,true,true,117,126,true,2018-07-01,SE89 3000 005144 0000 5144,
E-5144,Henrik Molin,VG-SE10,Consultant,755000,true,true,181,152,true,2016-01-17,SE89 3000 005145 0000 5145,
E-5145,Alexander Jonsson,VG-SE7,Engineer,682000,true,true,115,195,true,2023-03-17,SE89 3000 005146 0000 5146,
E-5146,Cecilia Andersson,VG-SE13,Director,1265000,true,true,179,173,true,2013-02-02,SE89 3000 005147 0000 5147,
E-5147,Josefin Molin,VG-SE3,Sales,749000,true,true,118,105,true,2022-07-13,SE89 3000 005148 0000 5148,
E-5148,Johanna Persson,VG-SE14,Consultant,736000,true,true,179,142,true,2023-09-03,SE89 3000 005149 0000 5149,
E-5149,Saga Larsson,VG-SE14,Controller,765000,true,true,149,194,true,2015-03-06,SE89 3000 005150 0000 5150,
E-5150,Linnea Jonsson,VG-SE12,Controller,853000,true,true,103,162,true,2016-04-22,SE89 3000 005151 0000 5151,
E-5151,Erik Sjoberg,VG-SE9,Analyst,576000,true,true,143,155,true,2018-10-14,SE89 3000 005152 0000 5152,
E-5152,Sara Hansson,VG-SE2,Analyst,598000,true,true,153,191,true,2013-10-08,SE89 3000 005153 0000 5153,
E-5153,Camilla Persson,VG-SE8,Controller,888000,true,true,186,184,true,2024-02-15,SE89 3000 005154 0000 5154,
E-5154,Anna Ekstrand,VG-SE1,Consultant,617000,true,true,98,184,true,2013-10-09,SE89 3000 005155 0000 5155,
E-5155,Johan Ohlin,VG-SE12,HR Partner,735000,true,true,130,133,true,2013-03-25,SE89 3000 005156 0000 5156,
E-5156,Cecilia Larsson,VG-SE4,Consultant,773000,true,true,177,134,true,2023-09-15,SE89 3000 005157 0000 5157,
E-5157,Fredrik Falk,VG-SE6,HR Partner,659000,true,true,176,161,true,2019-10-11,SE89 3000 005158 0000 5158,
E-5158,Ida Sjoberg,VG-EE1,Consultant,738000,true,true,188,164,true,2021-02-04,SE89 3000 005159 0000 5159,
E-5159,Patrik Gustafsson,VG-SE11,Director,1202000,true,true,144,183,true,2017-09-20,SE89 3000 005160 0000 5160,
E-5160,Klara Falk,VG-SE1,Sales,615000,true,true,119,105,true,2017-05-22,SE89 3000 005161 0000 5161,
E-5161,Freja Nilsson,VG-SE6,Controller,835000,true,true,188,182,true,2017-12-24,SE89 3000 005162 0000 5162,
E-5162,Saga Falk,VG-SE6,Director,1172000,true,true,187,169,true,2016-06-13,SE89 3000 005163 0000 5163,
E-5163,Astrid Eriksson,VG-SE1,Controller,807000,true,true,183,174,true,2017-05-25,SE89 3000 005164 0000 5164,
E-5164,Tobias Gustafsson,VG-SE3,HR Partner,622000,true,true,160,191,true,2013-07-12,SE89 3000 005165 0000 5165,
E-5165,Filip Nilsson,VG-SE4,Senior Analyst,628000,true,true,115,105,true,2019-02-27,SE89 3000 005166 0000 5166,
E-5166,Simon Ekstrom,VG-SE4,Director,1142000,true,true,167,177,true,2018-12-16,SE89 3000 005167 0000 5167,
E-5167,Lars Lindstrom,VG-SE2,Engineer,746000,true,true,111,147,true,2020-07-01,SE89 3000 005168 0000 5168,
E-5168,Leo Bengtsson,VG-SE5,Controller,886000,true,true,97,193,true,2013-01-17,SE89 3000 005169 0000 5169,
E-5169,Filip Roos,VG-SE1,Operations,705000,true,true,187,153,true,2016-06-23,SE89 3000 005170 0000 5170,
E-5170,Viktor Berg,VG-SE7,Sales,737000,true,true,135,155,true,2024-05-01,SE89 3000 005171 0000 5171,
E-5171,Oskar Johansson,VG-SE5,Analyst,598000,true,true,133,169,true,2024-02-16,SE89 3000 005172 0000 5172,
E-5172,Wilma Palmberg,VG-SE12,Product Manager,743000,true,true,138,119,true,2019-03-23,SE89 3000 005173 0000 5173,
E-5173,Wilma Molin,VG-SE3,Operations,673000,true,true,96,178,true,2016-05-11,SE89 3000 005174 0000 5174,
E-5174,Martin Svensson,VG-SE9,Senior Analyst,803000,true,true,144,147,true,2019-02-18,SE89 3000 005175 0000 5175,
E-5175,Martin Sjoberg,VG-SE6,HR Partner,707000,true,true,152,130,true,2018-06-25,SE89 3000 005176 0000 5176,
E-5176,Helena Hansen,VG-SE8,Operations,595000,true,true,165,127,true,2016-05-26,SE89 3000 005177 0000 5177,
E-5177,Simon Lundgren,VG-SE3,Controller,903000,true,true,143,195,true,2023-12-08,SE89 3000 005178 0000 5178,
E-5178,Jaan Karlsson,VG-SE14,Product Manager,753000,true,true,177,151,true,2018-10-18,SE89 3000 005179 0000 5179,
E-5179,Emma Sjoberg,VG-SE4,HR Partner,689000,true,true,162,187,true,2017-06-28,SE89 3000 005180 0000 5180,
E-5180,Johan Olsson,VG-SE4,Engineer,632000,true,true,96,159,true,2018-05-09,SE89 3000 005181 0000 5181,
E-5181,Anders Ekstrom,VG-SE9,Operations,666000,true,true,101,163,true,2015-11-13,SE89 3000 005182 0000 5182,
E-5182,Anna Gustafsson,VG-SE3,Analyst,535000,true,true,120,142,true,2017-08-24,SE89 3000 005183 0000 5183,
