record_id,rsvp_status,tier_code,tier_name,guest_name,party_size,table_assignment,dietary_notes,confirmed_by,confirm_date,sponsor_tier,notes
FG-0096,confirmed,VLA,Volunteer Alumni,Kevin Simmons,1,Table 13,standard,Eventbrite,2026-09-18,,
FG-0097,confirmed,VLA,Volunteer Alumni,Ronald James,1,Table 13,dairy-free,Eventbrite,2026-09-09,,
FG-0098,confirmed,VLA,Volunteer Alumni,Timothy Green,2,Table 13,,Eventbrite,2026-09-07,,
FG-0099,no-response,VLA,Volunteer Alumni,[13 invited unconfirmed],-,-,-,Eventbrite,-,-,13 invited did not respond by Oct 3 cutoff
FG-0100,confirmed,VND,Vendor Partner,Christine Watson,1,Table 13,,Eventbrite,2026-09-05,,
FG-0101,confirmed,VND,Vendor Partner,Angela Ross,1,Table 13,,Eventbrite,2026-09-19,,
FG-0102,confirmed,VND,Vendor Partner,Ezra Bright,1,Table 13,standard,Eventbrite,2026-09-26,,
FG-0103,confirmed,VND,Vendor Partner,Nadia Wood,1,Table 13,,Eventbrite,2026-09-11,,
FG-0104,confirmed,VND,Vendor Partner,Zeke Kim,2,Table 14,,Eventbrite,2026-09-29,,
FG-0105,confirmed,VND,Vendor Partner,Sharon Alvarez,1,Table 14,,Eventbrite,2026-09-20,,
FG-0106,confirmed,VND,Vendor Partner,Aria Chen,2,Table 14,standard,Eventbrite,2026-09-09,,
FG-0107,confirmed,VND,Vendor Partner,Rita Nakamura,1,Table 14,kosher,Eventbrite,2026-09-26,,
FG-0108,confirmed,VND,Vendor Partner,Ryan Green,1,Table 14,standard,Eventbrite,2026-09-21,,
FG-0109,confirmed,VND,Vendor Partner,Edward Delgado,2,Table 14,,Eventbrite,2026-09-09,,
FG-0110,confirmed,VND,Vendor Partner,Nadia Katz,2,Table 14,,Eventbrite,2026-09-14,,
FG-0111,confirmed,VND,Vendor Partner,Yolanda Thompson,1,Table 14,gluten-free,Eventbrite,2026-09-27,,
FG-0112,confirmed,VND,Vendor Partner,Terrence Gill,1,Table 15,standard,Eventbrite,2026-10-01,,
FG-0113,confirmed,VND,Vendor Partner,Andrew Adams,1,Table 15,,Eventbrite,2026-09-05,,
FG-0114,confirmed,VND,Vendor Partner,Bianca Rogers,2,Table 15,,Eventbrite,2026-09-07,,
FG-0115,confirmed,VND,Vendor Partner,Yolanda Richardson,1,Table 15,vegetarian,Eventbrite,2026-09-27,,
FG-0116,confirmed,VND,Vendor Partner,Isla Nguyen,2,Table 15,,Eventbrite,2026-09-25,,
FG-0117,confirmed,VND,Vendor Partner,Nadia Alvarez,1,Table 15,,Eventbrite,2026-09-13,,
FG-0118,no-response,VND,Vendor Partner,[7 invited unconfirmed],-,-,-,Eventbrite,-,-,7 invited did not respond by Oct 3 cutoff
FG-0119,confirmed,GEN,General Admission,Rita Bennett,1,Table 15,,Eventbrite,2026-09-21,,
FG-0120,confirmed,GEN,General Admission,Ronald Bell,1,Table 16,,Eventbrite,2026-09-07,,
FG-0121,confirmed,GEN,General Admission,Mark Marisa,2,Table 16,,Eventbrite,2026-10-02,,
FG-0122,confirmed,GEN,General Admission,Terrence Delgado,2,Table 16,,Eventbrite,2026-09-25,,
FG-0123,confirmed,GEN,General Admission,Trevor Sanchez,2,Table 16,,Eventbrite,2026-09-11,,
FG-0124,confirmed,GEN,General Admission,Rebecca Ross,1,Table 16,standard,Eventbrite,2026-09-07,,
FG-0125,no-response,GEN,General Admission,[9 invited unconfirmed],-,-,-,Eventbrite,-,-,9 invited did not respond by Oct 3 cutoff
TIER-BRD,summary,-,Board Member +1,-,14,-,-,Eventbrite,2026-10-03,-,tier: 14 confirmed / 14 invited / 20 capacity
TIER-CNL,summary,-,Council Colleague,-,12,-,-,Eventbrite,2026-10-03,-,tier: 12 confirmed / 15 invited / 20 capacity
TIER-SPN,summary,-,Corporate Sponsor,-,28,-,-,Eventbrite,2026-10-03,-,tier: 28 confirmed / 35 invited / 40 capacity
TIER-VLA,summary,-,Volunteer Alumni,-,42,-,-,Eventbrite,2026-10-03,-,tier: 42 confirmed / 55 invited / 60 capacity
TIER-VND,summary,-,Vendor Partner,-,18,-,-,Eventbrite,2026-10-03,-,tier: 18 confirmed / 25 invited / 30 capacity
TIER-GEN,summary,-,General Admission,-,6,-,-,Eventbrite,2026-10-03,-,tier: 6 confirmed / 15 invited / 30 capacity
TOTAL-CONFIRMED,summary,-,ALL TIERS,-,120,-,-,Eventbrite,2026-10-03,-,120 confirmed guests
TOTAL-INVITED,summary,-,ALL TIERS,-,159,-,-,Eventbrite,2026-10-03,-,159 invited (across 6 tiers)
TOTAL-CAPACITY,summary,-,VENUE CAP,-,200,-,-,Ridgecrest Banquet Hall,-,-,Room cap 200; short of cap by 80 guests
NOISE-DECLINED,summary,-,Declined,-,0,-,-,Eventbrite,2026-10-03,-,declined tier historical noise
NOISE-NORESPONSE,summary,-,No Response,-,39,-,-,Eventbrite,2026-10-03,-,cumulative no-response across tiers (159 invited - 120 confirmed)
