snapshot_id,week_start,employee_id,employee_name,location,location_code,role,accrual_rate_hrs_per_week,balance_start_hrs,accrued_hrs,used_hrs,balance_end_hrs,request_status,notes
PTO-0028,2026-07-13,E-102,Marisol Perez,Greenfield Fuel & Market,GF,Assistant Manager,1.65,30.35,1.65,0,32.00,-,
PTO-0029,2026-07-20,E-102,Marisol Perez,Greenfield Fuel & Market,GF,Assistant Manager,1.65,32.00,1.65,0,33.65,-,
PTO-0030,2026-07-27,E-102,Marisol Perez,Greenfield Fuel & Market,GF,Assistant Manager,1.65,33.65,1.65,0,35.30,-,
PTO-0031,2026-08-03,E-102,Marisol Perez,Greenfield Fuel & Market,GF,Assistant Manager,1.65,35.30,1.65,0,36.95,-,
PTO-0032,2026-08-10,E-102,Marisol Perez,Greenfield Fuel & Market,GF,Assistant Manager,1.65,36.95,1.65,0,38.60,-,
PTO-0033,2026-08-17,E-102,Marisol Perez,Greenfield Fuel & Market,GF,Assistant Manager,1.65,38.60,1.65,0,40.25,-,
PTO-0034,2026-08-24,E-102,Marisol Perez,Greenfield Fuel & Market,GF,Assistant Manager,1.65,40.25,1.65,0,41.90,-,
PTO-0035,2026-08-31,E-102,Marisol Perez,Greenfield Fuel & Market,GF,Assistant Manager,1.65,41.90,1.65,0,43.55,-,
PTO-0036,2026-09-07,E-102,Marisol Perez,Greenfield Fuel & Market,GF,Assistant Manager,1.65,43.55,1.65,0,45.20,-,
PTO-0037,2026-09-14,E-102,Marisol Perez,Greenfield Fuel & Market,GF,Assistant Manager,1.65,45.20,1.65,0,46.85,-,
PTO-0038,2026-09-21,E-102,Marisol Perez,Greenfield Fuel & Market,GF,Assistant Manager,1.65,46.85,1.65,0,48.50,-,
PTO-0039,2026-09-28,E-102,Marisol Perez,Greenfield Fuel & Market,GF,Assistant Manager,1.65,48.50,1.65,0,50.15,-,
PTO-0040,2026-10-05,E-102,Marisol Perez,Greenfield Fuel & Market,GF,Assistant Manager,1.65,50.15,1.65,0,51.80,-,
PTO-0041,2026-10-12,E-102,Marisol Perez,Greenfield Fuel & Market,GF,Assistant Manager,1.65,51.80,1.65,16,37.45,approved,time-off used 16h
PTO-0042,2026-10-19,E-102,Marisol Perez,Greenfield Fuel & Market,GF,Assistant Manager,1.65,37.45,1.65,0,39.10,-,
PTO-0043,2026-10-26,E-102,Marisol Perez,Greenfield Fuel & Market,GF,Assistant Manager,1.65,39.10,1.65,0,40.75,-,
PTO-0044,2026-11-02,E-102,Marisol Perez,Greenfield Fuel & Market,GF,Assistant Manager,1.65,40.75,1.65,0,42.40,-,
PTO-0045,2026-11-09,E-102,Marisol Perez,Greenfield Fuel & Market,GF,Assistant Manager,1.65,42.40,1.65,0,44.05,-,
PTO-0046,2026-11-16,E-102,Marisol Perez,Greenfield Fuel & Market,GF,Assistant Manager,1.65,44.05,1.65,0,45.70,-,
PTO-0047,2026-11-23,E-102,Marisol Perez,Greenfield Fuel & Market,GF,Assistant Manager,1.65,45.70,1.65,0,47.35,-,
PTO-0048,2026-11-30,E-102,Marisol Perez,Greenfield Fuel & Market,GF,Assistant Manager,1.65,47.35,1.65,0,49.00,-,
PTO-0049,2026-12-07,E-102,Marisol Perez,Greenfield Fuel & Market,GF,Assistant Manager,1.65,49.00,1.65,0,50.65,-,
PTO-0050,2026-12-14,E-102,Marisol Perez,Greenfield Fuel & Market,GF,Assistant Manager,1.65,50.65,1.65,0,52.30,-,
PTO-0051,2026-12-21,E-102,Marisol Perez,Greenfield Fuel & Market,GF,Assistant Manager,1.65,52.30,1.65,0,53.95,-,
PTO-0052,2026-12-28,E-102,Marisol Perez,Greenfield Fuel & Market,GF,Assistant Manager,1.65,53.95,1.65,0,55.60,-,
PTO-0053,2026-07-06,E-103,Owen Hart,Greenfield Fuel & Market,GF,Part-time Cashier,0.80,18.30,0.80,0,19.10,-,
PTO-0054,2026-07-13,E-103,Owen Hart,Greenfield Fuel & Market,GF,Part-time Cashier,0.80,19.10,0.80,0,19.90,-,
PTO-0055,2026-07-20,E-103,Owen Hart,Greenfield Fuel & Market,GF,Part-time Cashier,0.80,19.90,0.80,0,20.70,-,
PTO-0056,2026-07-27,E-103,Owen Hart,Greenfield Fuel & Market,GF,Part-time Cashier,0.80,20.70,0.80,0,21.50,-,
PTO-0057,2026-08-03,E-103,Owen Hart,Greenfield Fuel & Market,GF,Part-time Cashier,0.80,21.50,0.80,0,22.30,-,
PTO-0058,2026-08-10,E-103,Owen Hart,Greenfield Fuel & Market,GF,Part-time Cashier,0.80,22.30,0.80,0,23.10,-,
PTO-0059,2026-08-17,E-103,Owen Hart,Greenfield Fuel & Market,GF,Part-time Cashier,0.80,23.10,0.80,0,23.90,-,
PTO-0060,2026-08-24,E-103,Owen Hart,Greenfield Fuel & Market,GF,Part-time Cashier,0.80,23.90,0.80,0,24.70,-,
PTO-0061,2026-08-31,E-103,Owen Hart,Greenfield Fuel & Market,GF,Part-time Cashier,0.80,24.70,0.80,0,25.50,-,
PTO-0062,2026-09-07,E-103,Owen Hart,Greenfield Fuel & Market,GF,Part-time Cashier,0.80,25.50,0.80,0,26.30,-,
PTO-0063,2026-09-14,E-103,Owen Hart,Greenfield Fuel & Market,GF,Part-time Cashier,0.80,26.30,0.80,0,27.10,-,
PTO-0064,2026-09-21,E-103,Owen Hart,Greenfield Fuel & Market,GF,Part-time Cashier,0.80,27.10,0.80,0,27.90,-,
PTO-0065,2026-09-28,E-103,Owen Hart,Greenfield Fuel & Market,GF,Part-time Cashier,0.80,27.90,0.80,0,28.70,-,
PTO-0066,2026-10-05,E-103,Owen Hart,Greenfield Fuel & Market,GF,Part-time Cashier,0.80,28.70,0.80,0,29.50,-,
PTO-0067,2026-10-12,E-103,Owen Hart,Greenfield Fuel & Market,GF,Part-time Cashier,0.80,29.50,0.80,0,30.30,-,
PTO-0068,2026-10-19,E-103,Owen Hart,Greenfield Fuel & Market,GF,Part-time Cashier,0.80,30.30,0.80,0,31.10,-,
PTO-0069,2026-10-26,E-103,Owen Hart,Greenfield Fuel & Market,GF,Part-time Cashier,0.80,31.10,0.80,0,31.90,-,
PTO-0070,2026-11-02,E-103,Owen Hart,Greenfield Fuel & Market,GF,Part-time Cashier,0.80,31.90,0.80,0,32.70,-,
PTO-0071,2026-11-09,E-103,Owen Hart,Greenfield Fuel & Market,GF,Part-time Cashier,0.80,32.70,0.80,0,33.50,-,
PTO-0072,2026-11-16,E-103,Owen Hart,Greenfield Fuel & Market,GF,Part-time Cashier,0.80,33.50,0.80,0,34.30,-,
PTO-0073,2026-11-23,E-103,Owen Hart,Greenfield Fuel & Market,GF,Part-time Cashier,0.80,34.30,0.80,0,35.10,-,
PTO-0074,2026-11-30,E-103,Owen Hart,Greenfield Fuel & Market,GF,Part-time Cashier,0.80,35.10,0.80,0,35.90,-,
PTO-0075,2026-12-07,E-103,Owen Hart,Greenfield Fuel & Market,GF,Part-time Cashier,0.80,35.90,0.80,0,36.70,-,
PTO-0076,2026-12-14,E-103,Owen Hart,Greenfield Fuel & Market,GF,Part-time Cashier,0.80,36.70,0.80,0,37.50,-,
PTO-0077,2026-12-21,E-103,Owen Hart,Greenfield Fuel & Market,GF,Part-time Cashier,0.80,37.50,0.80,8,30.30,approved,time-off used 8h
PTO-0078,2026-12-28,E-103,Owen Hart,Greenfield Fuel & Market,GF,Part-time Cashier,0.80,30.30,0.80,0,31.10,-,
PTO-0079,2026-07-06,E-104,Kelvin Rojas,Greenfield Fuel & Market,GF,Overnight Cashier,1.20,44.10,1.20,0,45.30,-,
PTO-0080,2026-07-13,E-104,Kelvin Rojas,Greenfield Fuel & Market,GF,Overnight Cashier,1.20,45.30,1.20,0,46.50,-,
PTO-0081,2026-07-20,E-104,Kelvin Rojas,Greenfield Fuel & Market,GF,Overnight Cashier,1.20,46.50,1.20,0,47.70,-,
PTO-0082,2026-07-27,E-104,Kelvin Rojas,Greenfield Fuel & Market,GF,Overnight Cashier,1.20,47.70,1.20,0,48.90,-,
PTO-0083,2026-08-03,E-104,Kelvin Rojas,Greenfield Fuel & Market,GF,Overnight Cashier,1.20,48.90,1.20,0,50.10,-,
PTO-0084,2026-08-10,E-104,Kelvin Rojas,Greenfield Fuel & Market,GF,Overnight Cashier,1.20,50.10,1.20,0,51.30,-,
PTO-0085,2026-08-17,E-104,Kelvin Rojas,Greenfield Fuel & Market,GF,Overnight Cashier,1.20,51.30,1.20,0,52.50,-,
PTO-0086,2026-08-24,E-104,Kelvin Rojas,Greenfield Fuel & Market,GF,Overnight Cashier,1.20,52.50,1.20,0,53.70,-,
PTO-0087,2026-08-31,E-104,Kelvin Rojas,Greenfield Fuel & Market,GF,Overnight Cashier,1.20,53.70,1.20,0,54.90,-,
PTO-0088,2026-09-07,E-104,Kelvin Rojas,Greenfield Fuel & Market,GF,Overnight Cashier,1.20,54.90,1.20,0,56.10,-,
PTO-0089,2026-09-14,E-104,Kelvin Rojas,Greenfield Fuel & Market,GF,Overnight Cashier,1.20,56.10,1.20,0,57.30,-,
PTO-0090,2026-09-21,E-104,Kelvin Rojas,Greenfield Fuel & Market,GF,Overnight Cashier,1.20,57.30,1.20,0,58.50,-,
PTO-0091,2026-09-28,E-104,Kelvin Rojas,Greenfield Fuel & Market,GF,Overnight Cashier,1.20,58.50,1.20,0,59.70,-,
PTO-0092,2026-10-05,E-104,Kelvin Rojas,Greenfield Fuel & Market,GF,Overnight Cashier,1.20,59.70,1.20,0,60.90,-,
PTO-0093,2026-10-12,E-104,Kelvin Rojas,Greenfield Fuel & Market,GF,Overnight Cashier,1.20,60.90,1.20,0,62.10,-,
PTO-0094,2026-10-19,E-104,Kelvin Rojas,Greenfield Fuel & Market,GF,Overnight Cashier,1.20,62.10,1.20,0,63.30,-,
PTO-0095,2026-10-26,E-104,Kelvin Rojas,Greenfield Fuel & Market,GF,Overnight Cashier,1.20,63.30,1.20,0,64.50,-,
PTO-0096,2026-11-02,E-104,Kelvin Rojas,Greenfield Fuel & Market,GF,Overnight Cashier,1.20,64.50,1.20,0,65.70,-,
PTO-0097,2026-11-09,E-104,Kelvin Rojas,Greenfield Fuel & Market,GF,Overnight Cashier,1.20,65.70,1.20,8,58.90,approved,time-off used 8h
PTO-0098,2026-11-16,E-104,Kelvin Rojas,Greenfield Fuel & Market,GF,Overnight Cashier,1.20,58.90,1.20,0,60.10,-,
PTO-0099,2026-11-23,E-104,Kelvin Rojas,Greenfield Fuel & Market,GF,Overnight Cashier,1.20,60.10,1.20,0,61.30,-,
PTO-0100,2026-11-30,E-104,Kelvin Rojas,Greenfield Fuel & Market,GF,Overnight Cashier,1.20,61.30,1.20,0,62.50,-,
PTO-0101,2026-12-07,E-104,Kelvin Rojas,Greenfield Fuel & Market,GF,Overnight Cashier,1.20,62.50,1.20,0,63.70,-,
PTO-0102,2026-12-14,E-104,Kelvin Rojas,Greenfield Fuel & Market,GF,Overnight Cashier,1.20,63.70,1.20,0,64.90,-,
PTO-0103,2026-12-21,E-104,Kelvin Rojas,Greenfield Fuel & Market,GF,Overnight Cashier,1.20,64.90,1.20,0,66.10,-,
PTO-0104,2026-12-28,E-104,Kelvin Rojas,Greenfield Fuel & Market,GF,Overnight Cashier,1.20,66.10,1.20,0,67.30,-,
PTO-0105,2026-07-06,E-105,Aria Nolan,Greenfield Fuel & Market,GF,Deli Attendant,1.10,43.10,1.10,0,44.20,-,
PTO-0106,2026-07-13,E-105,Aria Nolan,Greenfield Fuel & Market,GF,Deli Attendant,1.10,44.20,1.10,0,45.30,-,
PTO-0107,2026-07-20,E-105,Aria Nolan,Greenfield Fuel & Market,GF,Deli Attendant,1.10,45.30,1.10,0,46.40,-,
PTO-0108,2026-07-27,E-105,Aria Nolan,Greenfield Fuel & Market,GF,Deli Attendant,1.10,46.40,1.10,0,47.50,-,
PTO-0109,2026-08-03,E-105,Aria Nolan,Greenfield Fuel & Market,GF,Deli Attendant,1.10,47.50,1.10,0,48.60,-,
PTO-0110,2026-08-10,E-105,Aria Nolan,Greenfield Fuel & Market,GF,Deli Attendant,1.10,48.60,1.10,0,49.70,-,
PTO-0111,2026-08-17,E-105,Aria Nolan,Greenfield Fuel & Market,GF,Deli Attendant,1.10,49.70,1.10,0,50.80,-,
PTO-0112,2026-08-24,E-105,Aria Nolan,Greenfield Fuel & Market,GF,Deli Attendant,1.10,50.80,1.10,0,51.90,-,
PTO-0113,2026-08-31,E-105,Aria Nolan,Greenfield Fuel & Market,GF,Deli Attendant,1.10,51.90,1.10,0,53.00,-,
PTO-0114,2026-09-07,E-105,Aria Nolan,Greenfield Fuel & Market,GF,Deli Attendant,1.10,53.00,1.10,0,54.10,-,
PTO-0115,2026-09-14,E-105,Aria Nolan,Greenfield Fuel & Market,GF,Deli Attendant,1.10,54.10,1.10,0,55.20,-,
PTO-0116,2026-09-21,E-105,Aria Nolan,Greenfield Fuel & Market,GF,Deli Attendant,1.10,55.20,1.10,16,40.30,approved,time-off used 16h
PTO-0117,2026-09-28,E-105,Aria Nolan,Greenfield Fuel & Market,GF,Deli Attendant,1.10,40.30,1.10,0,41.40,-,
PTO-0118,2026-10-05,E-105,Aria Nolan,Greenfield Fuel & Market,GF,Deli Attendant,1.10,41.40,1.10,0,42.50,-,
PTO-0119,2026-10-12,E-105,Aria Nolan,Greenfield Fuel & Market,GF,Deli Attendant,1.10,42.50,1.10,0,43.60,-,
PTO-0120,2026-10-19,E-105,Aria Nolan,Greenfield Fuel & Market,GF,Deli Attendant,1.10,43.60,1.10,0,44.70,-,
PTO-0121,2026-10-26,E-105,Aria Nolan,Greenfield Fuel & Market,GF,Deli Attendant,1.10,44.70,1.10,0,45.80,-,
PTO-0122,2026-11-02,E-105,Aria Nolan,Greenfield Fuel & Market,GF,Deli Attendant,1.10,45.80,1.10,0,46.90,-,
PTO-0123,2026-11-09,E-105,Aria Nolan,Greenfield Fuel & Market,GF,Deli Attendant,1.10,46.90,1.10,0,48.00,-,
PTO-0124,2026-11-16,E-105,Aria Nolan,Greenfield Fuel & Market,GF,Deli Attendant,1.10,48.00,1.10,0,49.10,-,
PTO-0125,2026-11-23,E-105,Aria Nolan,Greenfield Fuel & Market,GF,Deli Attendant,1.10,49.10,1.10,0,50.20,-,
PTO-0126,2026-11-30,E-105,Aria Nolan,Greenfield Fuel & Market,GF,Deli Attendant,1.10,50.20,1.10,0,51.30,-,
PTO-0127,2026-12-07,E-105,Aria Nolan,Greenfield Fuel & Market,GF,Deli Attendant,1.10,51.30,1.10,4,48.40,approved,time-off used 4h
PTO-0128,2026-12-14,E-105,Aria Nolan,Greenfield Fuel & Market,GF,Deli Attendant,1.10,48.40,1.10,0,49.50,-,
PTO-0129,2026-12-21,E-105,Aria Nolan,Greenfield Fuel & Market,GF,Deli Attendant,1.10,49.50,1.10,0,50.60,-,
PTO-0130,2026-12-28,E-105,Aria Nolan,Greenfield Fuel & Market,GF,Deli Attendant,1.10,50.60,1.10,0,51.70,-,
PTO-0131,2026-07-06,E-106,Terrence James,Greenfield Fuel & Market,GF,Fuel Attendant,1.35,26.90,1.35,0,28.25,-,
PTO-0132,2026-07-13,E-106,Terrence James,Greenfield Fuel & Market,GF,Fuel Attendant,1.35,28.25,1.35,0,29.60,-,
PTO-0133,2026-07-20,E-106,Terrence James,Greenfield Fuel & Market,GF,Fuel Attendant,1.35,29.60,1.35,0,30.95,-,
PTO-0134,2026-07-27,E-106,Terrence James,Greenfield Fuel & Market,GF,Fuel Attendant,1.35,30.95,1.35,0,32.30,-,
PTO-0135,2026-08-03,E-106,Terrence James,Greenfield Fuel & Market,GF,Fuel Attendant,1.35,32.30,1.35,0,33.65,-,
PTO-0136,2026-08-10,E-106,Terrence James,Greenfield Fuel & Market,GF,Fuel Attendant,1.35,33.65,1.35,0,35.00,-,
PTO-0137,2026-08-17,E-106,Terrence James,Greenfield Fuel & Market,GF,Fuel Attendant,1.35,35.00,1.35,0,36.35,-,
PTO-0138,2026-08-24,E-106,Terrence James,Greenfield Fuel & Market,GF,Fuel Attendant,1.35,36.35,1.35,0,37.70,-,
PTO-0139,2026-08-31,E-106,Terrence James,Greenfield Fuel & Market,GF,Fuel Attendant,1.35,37.70,1.35,0,39.05,-,
PTO-0140,2026-09-07,E-106,Terrence James,Greenfield Fuel & Market,GF,Fuel Attendant,1.35,39.05,1.35,0,40.40,-,
PTO-0141,2026-09-14,E-106,Terrence James,Greenfield Fuel & Market,GF,Fuel Attendant,1.35,40.40,1.35,0,41.75,-,
PTO-0142,2026-09-21,E-106,Terrence James,Greenfield Fuel & Market,GF,Fuel Attendant,1.35,41.75,1.35,0,43.10,-,
PTO-0143,2026-09-28,E-106,Terrence James,Greenfield Fuel & Market,GF,Fuel Attendant,1.35,43.10,1.35,0,44.45,-,
PTO-0144,2026-10-05,E-106,Terrence James,Greenfield Fuel & Market,GF,Fuel Attendant,1.35,44.45,1.35,0,45.80,-,
PTO-0145,2026-10-12,E-106,Terrence James,Greenfield Fuel & Market,GF,Fuel Attendant,1.35,45.80,1.35,0,47.15,-,
PTO-0146,2026-10-19,E-106,Terrence James,Greenfield Fuel & Market,GF,Fuel Attendant,1.35,47.15,1.35,0,48.50,-,
PTO-0147,2026-10-26,E-106,Terrence James,Greenfield Fuel & Market,GF,Fuel Attendant,1.35,48.50,1.35,0,49.85,-,
PTO-0148,2026-11-02,E-106,Terrence James,Greenfield Fuel & Market,GF,Fuel Attendant,1.35,49.85,1.35,0,51.20,-,
PTO-0149,2026-11-09,E-106,Terrence James,Greenfield Fuel & Market,GF,Fuel Attendant,1.35,51.20,1.35,0,52.55,-,
PTO-0150,2026-11-16,E-106,Terrence James,Greenfield Fuel & Market,GF,Fuel Attendant,1.35,52.55,1.35,0,53.90,-,
PTO-0151,2026-11-23,E-106,Terrence James,Greenfield Fuel & Market,GF,Fuel Attendant,1.35,53.90,1.35,0,55.25,-,
PTO-0152,2026-11-30,E-106,Terrence James,Greenfield Fuel & Market,GF,Fuel Attendant,1.35,55.25,1.35,8,48.60,approved,time-off used 8h
PTO-0153,2026-12-07,E-106,Terrence James,Greenfield Fuel & Market,GF,Fuel Attendant,1.35,48.60,1.35,0,49.95,-,
PTO-0154,2026-12-14,E-106,Terrence James,Greenfield Fuel & Market,GF,Fuel Attendant,1.35,49.95,1.35,0,51.30,-,
PTO-0155,2026-12-21,E-106,Terrence James,Greenfield Fuel & Market,GF,Fuel Attendant,1.35,51.30,1.35,0,52.65,-,
PTO-0156,2026-12-28,E-106,Terrence James,Greenfield Fuel & Market,GF,Fuel Attendant,1.35,52.65,1.35,0,54.00,-,
PTO-0157,2026-07-06,E-201,Rita Delacroix,Schaefer Quick Stop,SF,Store Manager,2.00,31.30,2.00,0,33.30,-,
PTO-0158,2026-07-13,E-201,Rita Delacroix,Schaefer Quick Stop,SF,Store Manager,2.00,33.30,2.00,0,35.30,-,
PTO-0159,2026-07-20,E-201,Rita Delacroix,Schaefer Quick Stop,SF,Store Manager,2.00,35.30,2.00,0,37.30,-,
PTO-0160,2026-07-27,E-201,Rita Delacroix,Schaefer Quick Stop,SF,Store Manager,2.00,37.30,2.00,0,39.30,-,
PTO-0161,2026-08-03,E-201,Rita Delacroix,Schaefer Quick Stop,SF,Store Manager,2.00,39.30,2.00,0,41.30,-,
PTO-0162,2026-08-10,E-201,Rita Delacroix,Schaefer Quick Stop,SF,Store Manager,2.00,41.30,2.00,0,43.30,-,
PTO-0163,2026-08-17,E-201,Rita Delacroix,Schaefer Quick Stop,SF,Store Manager,2.00,43.30,2.00,0,45.30,-,
PTO-0164,2026-08-24,E-201,Rita Delacroix,Schaefer Quick Stop,SF,Store Manager,2.00,45.30,2.00,0,47.30,-,
PTO-0165,2026-08-31,E-201,Rita Delacroix,Schaefer Quick Stop,SF,Store Manager,2.00,47.30,2.00,0,49.30,-,
PTO-0166,2026-09-07,E-201,Rita Delacroix,Schaefer Quick Stop,SF,Store Manager,2.00,49.30,2.00,0,51.30,-,
PTO-0167,2026-09-14,E-201,Rita Delacroix,Schaefer Quick Stop,SF,Store Manager,2.00,51.30,2.00,0,53.30,-,
PTO-0168,2026-09-21,E-201,Rita Delacroix,Schaefer Quick Stop,SF,Store Manager,2.00,53.30,2.00,0,55.30,-,
PTO-0169,2026-09-28,E-201,Rita Delacroix,Schaefer Quick Stop,SF,Store Manager,2.00,55.30,2.00,0,57.30,-,
PTO-0170,2026-10-05,E-201,Rita Delacroix,Schaefer Quick Stop,SF,Store Manager,2.00,57.30,2.00,0,59.30,-,
PTO-0171,2026-10-12,E-201,Rita Delacroix,Schaefer Quick Stop,SF,Store Manager,2.00,59.30,2.00,0,61.30,-,
PTO-0172,2026-10-19,E-201,Rita Delacroix,Schaefer Quick Stop,SF,Store Manager,2.00,61.30,2.00,0,63.30,-,
PTO-0173,2026-10-26,E-201,Rita Delacroix,Schaefer Quick Stop,SF,Store Manager,2.00,63.30,2.00,0,65.30,-,
PTO-0174,2026-11-02,E-201,Rita Delacroix,Schaefer Quick Stop,SF,Store Manager,2.00,65.30,2.00,16,51.30,approved,time-off used 16h
PTO-0175,2026-11-09,E-201,Rita Delacroix,Schaefer Quick Stop,SF,Store Manager,2.00,51.30,2.00,0,53.30,-,
PTO-0176,2026-11-16,E-201,Rita Delacroix,Schaefer Quick Stop,SF,Store Manager,2.00,53.30,2.00,0,55.30,-,
PTO-0177,2026-11-23,E-201,Rita Delacroix,Schaefer Quick Stop,SF,Store Manager,2.00,55.30,2.00,0,57.30,-,
PTO-0178,2026-11-30,E-201,Rita Delacroix,Schaefer Quick Stop,SF,Store Manager,2.00,57.30,2.00,0,59.30,-,
PTO-0179,2026-12-07,E-201,Rita Delacroix,Schaefer Quick Stop,SF,Store Manager,2.00,59.30,2.00,0,61.30,-,
PTO-0180,2026-12-14,E-201,Rita Delacroix,Schaefer Quick Stop,SF,Store Manager,2.00,61.30,2.00,0,63.30,-,
PTO-0181,2026-12-21,E-201,Rita Delacroix,Schaefer Quick Stop,SF,Store Manager,2.00,63.30,2.00,0,65.30,-,
PTO-0182,2026-12-28,E-201,Rita Delacroix,Schaefer Quick Stop,SF,Store Manager,2.00,65.30,2.00,0,67.30,-,
PTO-0183,2026-07-06,E-202,Devon McGrath,Schaefer Quick Stop,SF,Assistant Manager,1.45,19.70,1.45,0,21.15,-,
PTO-0184,2026-07-13,E-202,Devon McGrath,Schaefer Quick Stop,SF,Assistant Manager,1.45,21.15,1.45,0,22.60,-,
PTO-0185,2026-07-20,E-202,Devon McGrath,Schaefer Quick Stop,SF,Assistant Manager,1.45,22.60,1.45,0,24.05,-,
PTO-0186,2026-07-27,E-202,Devon McGrath,Schaefer Quick Stop,SF,Assistant Manager,1.45,24.05,1.45,0,25.50,-,
PTO-0187,2026-08-03,E-202,Devon McGrath,Schaefer Quick Stop,SF,Assistant Manager,1.45,25.50,1.45,0,26.95,-,
PTO-0188,2026-08-10,E-202,Devon McGrath,Schaefer Quick Stop,SF,Assistant Manager,1.45,26.95,1.45,0,28.40,-,
PTO-0189,2026-08-17,E-202,Devon McGrath,Schaefer Quick Stop,SF,Assistant Manager,1.45,28.40,1.45,0,29.85,-,
PTO-0190,2026-08-24,E-202,Devon McGrath,Schaefer Quick Stop,SF,Assistant Manager,1.45,29.85,1.45,0,31.30,-,
PTO-0191,2026-08-31,E-202,Devon McGrath,Schaefer Quick Stop,SF,Assistant Manager,1.45,31.30,1.45,0,32.75,-,
PTO-0192,2026-09-07,E-202,Devon McGrath,Schaefer Quick Stop,SF,Assistant Manager,1.45,32.75,1.45,0,34.20,-,
PTO-0193,2026-09-14,E-202,Devon McGrath,Schaefer Quick Stop,SF,Assistant Manager,1.45,34.20,1.45,0,35.65,-,
PTO-0194,2026-09-21,E-202,Devon McGrath,Schaefer Quick Stop,SF,Assistant Manager,1.45,35.65,1.45,0,37.10,-,
