id,createdTime,Name,Email,Phone,RSVPStatus,Skill,Notes,SignupTask
recVol0000000013,2026-09-28T00:31:00.000Z,Caitlin Doherty,caitlind@aol.com,+1 267 473 4262,Yes,Bed prep,Can stay until cleanup.,tarps
recVol0000000014,2026-09-30T03:38:00.000Z,Ravi Sharma,ravi.sharma24@gmail.com,+12155775593,Yes,Carpentry,,tarps
recVol0000000015,2026-10-02T06:45:00.000Z,Yolanda Reyes,yolanda.reyes@gmail.com,267.492.1355,Yes,Drive truck,Friends of Carlos.,tarps
recVol0000000016,2026-10-03T09:52:00.000Z,Sam Goldberg,sgoldberg@gmail.com,(484) 244-6971,Yes,Mulching,Returning volunteer from spring.,tarps
recVol0000000017,2026-10-05T12:59:00.000Z,Esperanza Diaz,esperanza_diaz17@yahoo.com,610-261-2405,Yes,Plumbing assist,Has dewatering pump if needed.,tarps
recVol0000000018,2026-10-07T15:06:00.000Z,Patrick Kelleher,patrickk@protonmail.com,+1 856 517 8332,Yes,Translation,Will bring coffee for crew.,tarps
recVol0000000019,2026-10-09T18:13:00.000Z,Hassan Mehmood,hassan.mehmood29@outlook.com,+12153662278,Yes,Kid wrangling,Confirmed via email reply.,tarps
recVol0000000020,2026-10-11T21:20:00.000Z,Brianna Walker,brianna.walker@aol.com,267.476.1530,Yes,Outreach,Asked about parking.,tarps
recVol0000000021,2026-10-14T00:27:00.000Z,Renee Vargas,rvargas@gmail.com,(215) 576-4033,Yes,First aid,,drain_irrigation
recVol0000000022,2026-10-16T03:34:00.000Z,Connor Boyle,connor_boyle22@gmail.com,267-892-9583,Yes,Sign making,"Newer to the neighborhood, eager to help.",tarps
recVol0000000023,2026-10-18T06:41:00.000Z,Maya Chen,mayac@gmail.com,+1 484 234 9194,Yes,Tool maintenance,Coming after early shift.,tarps
recVol0000000024,2026-10-19T09:48:00.000Z,Devon Whitfield,devon.whitfield34@yahoo.com,+16105185295,Yes,Food prep,,tarps
recVol0000000025,2026-10-21T12:55:00.000Z,Imani Bryant,imani.bryant@protonmail.com,856.668.1023,Yes,Compost turning,Has a folding table to lend.,store_summer_infra
recVol0000000026,2026-09-01T15:02:00.000Z,Oscar Pelaez,opelaez@outlook.com,(215) 237-6704,Yes,Hauling,Knows how to operate a chainsaw if needed.,store_summer_infra
recVol0000000027,2026-09-03T18:09:00.000Z,Priya Anand,priya_anand27@aol.com,267-399-1425,Yes,Photography,"Note from coordinator: Priya texted she can't make it after all, work conflict. Keeping in roster for next month.",store_summer_infra
recVol0000000028,2026-09-05T21:16:00.000Z,Jamal Carter,jamalc@gmail.com,+1 215 710 8153,Yes,General labor,Sister also signed up.,store_summer_infra
recVol0000000029,2026-09-08T00:23:00.000Z,Lena Petrov,lena.petrov39@gmail.com,+12678459286,Yes,Bed prep,"Lives off Frankford, will take El.",store_summer_infra
recVol0000000030,2026-09-10T03:30:00.000Z,Eddie Romano,eddie.romano@gmail.com,484.319.8867,Yes,Carpentry,,store_summer_infra
recVol0000000031,2026-09-12T06:37:00.000Z,Naomi Goldstein,ngoldstein@yahoo.com,(610) 249-8206,Yes,Drive truck,Bringing chairs.,store_summer_infra
recVol0000000032,2026-09-13T09:44:00.000Z,Curtis McKinley,curtis_mckinley32@protonmail.com,856-390-5881,Yes,Mulching,Will arrive 7 sharp.,store_summer_infra
recVol0000000033,2026-09-15T12:51:00.000Z,Asha Ramirez-Lee,ashar@outlook.com,+1 215 450 0311,Yes,Plumbing assist,Volunteer hours for school.,store_summer_infra
recVol0000000034,2026-09-17T15:58:00.000Z,Felix Schroeder,felix.schroeder44@aol.com,+12672588699,Yes,Translation,Has WordPress skills if needed for write-up.,store_summer_infra
recVol0000000035,2026-09-19T18:05:00.000Z,Gloria Tran,gloria.tran@gmail.com,215.202.6814,Yes,Kid wrangling,Bringing donuts.,mulch_beds
recVol0000000036,2026-09-21T21:12:00.000Z,Roman Kowalski,rkowalski@gmail.com,(267) 278-4820,Yes,Outreach,Will help with sign-in table.,mulch_beds
recVol0000000037,2026-09-24T00:19:00.000Z,Ines Beaumont,ines_beaumont37@gmail.com,484-735-2960,Yes,First aid,Quiet but reliable.,mulch_beds
recVol0000000038,2026-09-26T03:26:00.000Z,Terrell Jackson,terrellj@yahoo.com,+1 610 374 1004,Yes,Sign making,Available 7 to 1.,mulch_beds
recVol0000000039,2026-09-28T06:33:00.000Z,Maya Ostrowski,maya.ostrowski49@protonmail.com,+18566788667,Yes,Tool maintenance,Bringing a wheelbarrow.,mulch_beds
recVol0000000040,2026-09-29T09:40:00.000Z,Holden Ferreira,holden.ferreira@outlook.com,215.377.4427,Yes,Food prep,"First time volunteer, can arrive by 8.",mulch_beds
recVol0000000041,2026-10-01T12:47:00.000Z,Saskia Vandermeer,svandermeer@aol.com,(267) 617-9312,Yes,Compost turning,Will park on Trenton Ave.,mulch_beds
recVol0000000042,2026-10-03T15:54:00.000Z,Jared Pinkett,jared_pinkett42@gmail.com,(215) 310-3939,No,Hauling,Out of town that weekend.,mulch_beds
recVol0000000043,2026-10-05T18:01:00.000Z,Camille Dubois,camilled@gmail.com,(267) 506-3139,No,Photography,Working a Saturday shift.,drain_irrigation
recVol0000000044,2026-10-07T21:08:00.000Z,Henry Iwasaki,henry.iwasaki54@gmail.com,(484) 878-4010,No,General labor,Family commitment.,tarps
recVol0000000045,2026-10-10T00:15:00.000Z,Beth Coleman,beth.coleman@yahoo.com,(610) 255-9072,No,Bed prep,Recovering from minor surgery.,store_summer_infra
recVol0000000046,2026-10-12T03:22:00.000Z,Mateo Salazar,msalazar@protonmail.com,(856) 758-2486,No,Carpentry,Will donate $25 instead.,mulch_beds
recVol0000000047,2026-10-14T06:29:00.000Z,Ruth Eisenberg,ruth_eisenberg47@outlook.com,(215) 899-7464,No,Drive truck,Already on the spring list.,drain_irrigation
recVol0000000048,2026-10-15T09:36:00.000Z,Quinn Atherton,quinna@aol.com,(267) 857-6862,No,Mulching,Conflict with church group.,tarps
recVol0000000049,2026-10-17T12:43:00.000Z,Drew Pennington,drew.pennington59@gmail.com,(215) 770-4385,No,Plumbing assist,Sick all week.,store_summer_infra
recVol0000000050,2026-10-19T15:50:00.000Z,Iris Kowalczyk,iris.kowalczyk@gmail.com,(267) 488-2150,No,Translation,Will be at the Phillies game.,mulch_beds
recVol0000000051,2026-10-21T18:57:00.000Z,Phoebe Sutton,psutton@gmail.com,(484) 420-2367,Maybe,Kid wrangling,Depends on weather and back.,drain_irrigation
recVol0000000052,2026-09-01T21:04:00.000Z,Andre Bonnet,andre_bonnet52@yahoo.com,(610) 894-8616,Maybe,Outreach,Will confirm Friday night.,tarps
recVol0000000053,2026-09-04T00:11:00.000Z,Marina Esposito,marinae@protonmail.com,(856) 751-9303,Maybe,First aid,"Tentative, has a wedding Sunday.",store_summer_infra
recVol0000000054,2026-09-06T03:18:00.000Z,Trevor McDaniel,trevor.mcdaniel64@outlook.com,(215) 590-1236,Maybe,Sign making,Waiting on childcare.,mulch_beds
recVol0000000055,2026-09-08T06:25:00.000Z,Layla Whitfield,layla.whitfield@aol.com,(267) 381-8498,Maybe,Tool maintenance,Will text if can swing it.,drain_irrigation
recVol0000000056,2026-09-09T09:32:00.000Z,Vincent Park,vpark@gmail.com,(215) 682-3963,Maybe,Food prep,Maybe afternoon only.,tarps
