Date	Store	Item	Category	Quantity	Unit_Price	Total	Payment_Method
2025-12-08	Missoula Community Food Co-op	Almond butter (16 oz)	Nut butter	1	11.49	11.49	Capital One Venture x4487
2025-12-08	Missoula Community Food Co-op	Pumpkin seeds	Nuts/Seeds	1	6.99	6.99	Capital One Venture x4487
2025-12-08	Missoula Community Food Co-op	Apple cider vinegar (32 oz)	Pantry	1	5.99	5.99	Capital One Venture x4487
2025-12-10	Rosauers	Chicken whole (4 lb)	Meat	1	12.49	12.49	Capital One Venture x4487
2025-12-10	Rosauers	Potatoes Yukon Gold (3 lb)	Produce	1	4.29	4.29	Capital One Venture x4487
2025-12-10	Rosauers	Thyme fresh (bunch)	Produce	1	2.49	2.49	Capital One Venture x4487
2025-12-10	Rosauers	Parmesan (4 oz wedge)	Dairy	1	6.99	6.99	Capital One Venture x4487
2025-12-15	Missoula Community Food Co-op	Zootown Roasters whole bean coffee (12 oz)	Coffee	1	17.50	17.50	Capital One Venture x4487
2025-12-15	Missoula Community Food Co-op	Coconut milk canned (13.5 oz)	Pantry	2	2.99	5.98	Capital One Venture x4487
2025-12-15	Missoula Community Food Co-op	Lentils red (1 lb)	Legumes	1	2.79	2.79	Capital One Venture x4487
2025-12-15	Missoula Community Food Co-op	Ginger root	Produce	1	1.29	1.29	Capital One Venture x4487
2025-12-17	Rosauers	Eggs free range (dozen)	Dairy	2	6.49	12.98	Capital One Venture x4487
2025-12-17	Rosauers	Milk whole (half gallon)	Dairy	1	3.49	3.49	Capital One Venture x4487
2025-12-17	Rosauers	Goat cheese (4 oz)	Dairy	1	5.99	5.99	Capital One Venture x4487
2025-12-17	Rosauers	Walnuts (8 oz)	Nuts/Seeds	1	8.99	8.99	Capital One Venture x4487
2026-01-03	Missoula Community Food Co-op	Zootown Roasters whole bean coffee (12 oz)	Coffee	1	17.50	17.50	Capital One Venture x4487
2026-01-03	Missoula Community Food Co-op	Oat milk (half gallon)	Dairy alternative	2	4.29	8.58	Capital One Venture x4487
2026-01-03	Missoula Community Food Co-op	Black beans canned	Legumes	4	1.79	7.16	Capital One Venture x4487
2026-01-03	Missoula Community Food Co-op	Farro (1 lb)	Grains	1	5.49	5.49	Capital One Venture x4487
2026-01-03	Missoula Community Food Co-op	Sourdough loaf	Bread	1	6.50	6.50	Capital One Venture x4487
2026-01-05	Rosauers	Pork shoulder (2 lb)	Meat	1	9.98	9.98	Capital One Venture x4487
2026-01-05	Rosauers	Dried chiles ancho	Pantry	1	3.99	3.99	Capital One Venture x4487
2026-01-05	Rosauers	Cabbage green (head)	Produce	1	2.49	2.49	Capital One Venture x4487
2026-01-05	Rosauers	Cilantro (bunch)	Produce	2	1.29	2.58	Capital One Venture x4487
2026-01-05	Rosauers	Lime	Produce	6	0.59	3.54	Capital One Venture x4487
2026-01-10	Missoula Community Food Co-op	Tahini (16 oz)	Condiments	1	9.99	9.99	Capital One Venture x4487
2026-01-10	Missoula Community Food Co-op	Za'atar spice blend	Spices	1	6.49	6.49	Capital One Venture x4487
2026-01-10	Missoula Community Food Co-op	Freekeh (1 lb)	Grains	1	5.99	5.99	Capital One Venture x4487
2026-01-14	Rosauers	Eggs free range (dozen)	Dairy	2	6.49	12.98	Capital One Venture x4487
2026-01-14	Rosauers	Greek yogurt plain (32 oz)	Dairy	1	5.99	5.99	Capital One Venture x4487
2026-01-14	Rosauers	Red wine (750 ml)	Wine	1	14.99	14.99	Capital One Venture x4487
2026-01-14	Rosauers	Mushrooms shiitake (3.5 oz dried)	Produce	1	7.49	7.49	Capital One Venture x4487
2026-01-20	Missoula Community Food Co-op	Zootown Roasters whole bean coffee (12 oz)	Coffee	1	17.50	17.50	Capital One Venture x4487
2026-01-20	Missoula Community Food Co-op	Butter grass-fed (8 oz)	Dairy	1	6.49	6.49	Capital One Venture x4487
2026-01-20	Missoula Community Food Co-op	Miso paste red (14 oz)	Condiments	1	8.99	8.99	Capital One Venture x4487
2026-01-25	Rosauers	Chicken thighs bone-in (2 lb)	Meat	1	7.48	7.48	Capital One Venture x4487
2026-01-25	Rosauers	Celery root (celeriac)	Produce	1	3.49	3.49	Capital One Venture x4487
2026-01-25	Rosauers	Parsnips (1 lb)	Produce	1	2.99	2.99	Capital One Venture x4487
2026-02-02	Missoula Community Food Co-op	Zootown Roasters whole bean coffee (12 oz)	Coffee	1	17.50	17.50	Capital One Venture x4487
2026-02-02	Missoula Community Food Co-op	Oat milk (half gallon)	Dairy alternative	2	4.29	8.58	Capital One Venture x4487
2026-02-02	Missoula Community Food Co-op	Sesame oil toasted	Pantry	1	7.99	7.99	Capital One Venture x4487
2026-02-04	Rosauers	Lamb shoulder (1.5 lb)	Meat	1	14.99	14.99	Capital One Venture x4487
2026-02-04	Rosauers	Eggplant	Produce	2	2.29	4.58	Capital One Venture x4487
2026-02-04	Rosauers	Tomatoes roma (1 lb)	Produce	1	2.99	2.99	Capital One Venture x4487
2026-02-04	Rosauers	Red wine (750 ml)	Wine	1	13.99	13.99	Capital One Venture x4487
2026-02-10	Missoula Community Food Co-op	Feta cheese (6 oz)	Dairy	1	7.49	7.49	Capital One Venture x4487
2026-02-10	Missoula Community Food Co-op	Olives Kalamata (8 oz)	Condiments	1	6.99	6.99	Capital One Venture x4487
2026-02-10	Missoula Community Food Co-op	Orzo pasta (1 lb)	Grains	1	3.49	3.49	Capital One Venture x4487
2026-02-14	Rosauers	Salmon fillet (1 lb)	Seafood	1	14.99	14.99	Capital One Venture x4487
2026-02-14	Rosauers	Asparagus (bunch)	Produce	1	4.49	4.49	Capital One Venture x4487
2026-02-14	Rosauers	Champagne (750 ml)	Wine	1	18.99	18.99	Capital One Venture x4487
2026-02-18	Missoula Community Food Co-op	Zootown Roasters whole bean coffee (12 oz)	Coffee	1	17.50	17.50	Capital One Venture x4487
2026-02-18	Missoula Community Food Co-op	Dried chickpeas (1 lb)	Legumes	1	3.49	3.49	Capital One Venture x4487
2026-02-18	Missoula Community Food Co-op	Harissa paste (4 oz)	Condiments	1	5.99	5.99	Capital One Venture x4487
2026-02-22	Rosauers	Eggs free range (dozen)	Dairy	2	6.49	12.98	Capital One Venture x4487
2026-02-22	Rosauers	Broccolini (bunch)	Produce	2	2.99	5.98	Capital One Venture x4487
2026-02-22	Rosauers	Peanuts unsalted (12 oz)	Nuts/Seeds	1	5.49	5.49	Capital One Venture x4487
2026-02-22	Rosauers	Rice noodles (14 oz)	Grains	1	3.79	3.79	Capital One Venture x4487
2026-02-26	Missoula Community Food Co-op	Zootown Roasters whole bean coffee (12 oz)	Coffee	1	17.50	17.50	Capital One Venture x4487
2026-02-26	Missoula Community Food Co-op	Sourdough loaf	Bread	1	6.50	6.50	Capital One Venture x4487
2026-02-26	Missoula Community Food Co-op	Kombu seaweed	Pantry	1	5.99	5.99	Capital One Venture x4487
