Date	Service	Plan	Account_ID	Amount	Payment_Method	Status	Next_Billing_Date
2025-05-01	Netflix	Standard with ads (shared)	NF-WILLA-FSK-0041	8.50	Capital One Venture x4487	Charged	2025-06-01
2025-05-01	Spotify Premium	Individual	SP-FRANK-8827	11.99	Capital One Venture x4487	Charged	2025-06-01
2025-05-01	Strava Premium	Annual subscription (monthly billing)	STRV-88274019	7.99	Capital One Venture x4487	Charged	2025-06-01
2025-05-01	River Rock Yoga Studio	Monthly unlimited membership	RRYS-MBR-0421	16.00	Capital One Venture x4487	Charged	2025-06-01
2025-06-01	Netflix	Standard with ads (shared)	NF-WILLA-FSK-0041	8.50	Capital One Venture x4487	Charged	2025-07-01
2025-06-01	Spotify Premium	Individual	SP-FRANK-8827	11.99	Capital One Venture x4487	Charged	2025-07-01
2025-06-01	Strava Premium	Annual subscription (monthly billing)	STRV-88274019	7.99	Capital One Venture x4487	Charged	2025-07-01
2025-06-01	River Rock Yoga Studio	Monthly unlimited membership	RRYS-MBR-0421	16.00	Capital One Venture x4487	Charged	2025-07-01
2025-07-01	Netflix	Standard with ads (shared)	NF-WILLA-FSK-0041	8.50	Capital One Venture x4487	Charged	2025-08-01
2025-07-01	Spotify Premium	Individual	SP-FRANK-8827	11.99	Capital One Venture x4487	Charged	2025-08-01
2025-07-01	Strava Premium	Annual subscription (monthly billing)	STRV-88274019	7.99	Capital One Venture x4487	Charged	2025-08-01
2025-07-01	River Rock Yoga Studio	Monthly unlimited membership	RRYS-MBR-0421	16.00	Capital One Venture x4487	Charged	2025-08-01
2025-08-01	Netflix	Standard with ads (shared)	NF-WILLA-FSK-0041	8.50	Capital One Venture x4487	Charged	2025-09-01
2025-08-01	Spotify Premium	Individual	SP-FRANK-8827	11.99	Capital One Venture x4487	Charged	2025-09-01
2025-08-01	Strava Premium	Annual subscription (monthly billing)	STRV-88274019	7.99	Capital One Venture x4487	Charged	2025-09-01
2025-08-01	River Rock Yoga Studio	Monthly unlimited membership	RRYS-MBR-0421	16.00	Capital One Venture x4487	Charged	2025-09-01
2025-09-01	Netflix	Standard with ads (shared)	NF-WILLA-FSK-0041	8.50	Capital One Venture x4487	Charged	2025-10-01
2025-09-01	Spotify Premium	Individual	SP-FRANK-8827	11.99	Capital One Venture x4487	Charged	2025-10-01
2025-09-01	Strava Premium	Annual subscription (monthly billing)	STRV-88274019	7.99	Capital One Venture x4487	Charged	2025-10-01
2025-09-01	River Rock Yoga Studio	Monthly unlimited membership	RRYS-MBR-0421	16.00	Capital One Venture x4487	Charged	2025-10-01
2025-10-01	Netflix	Standard with ads (shared)	NF-WILLA-FSK-0041	8.50	Capital One Venture x4487	Charged	2025-11-01
2025-10-01	Spotify Premium	Individual	SP-FRANK-8827	11.99	Capital One Venture x4487	Charged	2025-11-01
2025-10-01	Strava Premium	Annual subscription (monthly billing)	STRV-88274019	7.99	Capital One Venture x4487	Charged	2025-11-01
2025-10-01	River Rock Yoga Studio	Monthly unlimited membership	RRYS-MBR-0421	16.00	Capital One Venture x4487	Charged	2025-11-01
2025-11-01	Netflix	Standard with ads (shared)	NF-WILLA-FSK-0041	8.50	Capital One Venture x4487	Charged	2025-12-01
2025-11-01	Spotify Premium	Individual	SP-FRANK-8827	11.99	Capital One Venture x4487	Charged	2025-12-01
2025-11-01	Strava Premium	Annual subscription (monthly billing)	STRV-88274019	7.99	Capital One Venture x4487	Charged	2025-12-01
2025-11-01	River Rock Yoga Studio	Monthly unlimited membership	RRYS-MBR-0421	16.00	Capital One Venture x4487	Charged	2025-12-01
2025-12-01	Netflix	Standard with ads (shared)	NF-WILLA-FSK-0041	8.50	Capital One Venture x4487	Charged	2026-01-01
2025-12-01	Spotify Premium	Individual	SP-FRANK-8827	11.99	Capital One Venture x4487	Charged	2026-01-01
2025-12-01	Strava Premium	Annual subscription (monthly billing)	STRV-88274019	7.99	Capital One Venture x4487	Charged	2026-01-01
2025-12-01	River Rock Yoga Studio	Monthly unlimited membership	RRYS-MBR-0421	16.00	Capital One Venture x4487	Charged	2026-01-01
2026-01-01	Netflix	Standard with ads (shared)	NF-WILLA-FSK-0041	8.50	Capital One Venture x4487	Charged	2026-02-01
2026-01-01	Spotify Premium	Individual	SP-FRANK-8827	11.99	Capital One Venture x4487	Charged	2026-02-01
2026-01-01	Strava Premium	Annual subscription (monthly billing)	STRV-88274019	7.99	Capital One Venture x4487	Charged	2026-02-01
2026-01-01	River Rock Yoga Studio	Monthly unlimited membership	RRYS-MBR-0421	16.00	Capital One Venture x4487	Charged	2026-02-01
2026-02-01	Netflix	Standard with ads (shared)	NF-WILLA-FSK-0041	8.50	Capital One Venture x4487	Charged	2026-10-01
2026-02-01	Spotify Premium	Individual	SP-FRANK-8827	11.99	Capital One Venture x4487	Charged	2026-10-01
2026-02-01	Strava Premium	Annual subscription (monthly billing)	STRV-88274019	7.99	Capital One Venture x4487	Charged	2026-10-01
2026-02-01	River Rock Yoga Studio	Monthly unlimited membership	RRYS-MBR-0421	16.00	Capital One Venture x4487	Charged	2026-10-01
