Reg_Num	Last_Name	First_Name	USCF_ID	Rating	Club_Affiliation	Section	Reg_Date
38	Nwosu	Adaeze	13847102	1190	MACCF Youth Program	Scholastic	2025-06-01
39	Carter	James	10439563	954	Capitol Hill Chess	Scholastic	2025-06-15
40	Mitchell	John	10514002	1466	Arlington Chess Club	Reserve	2025-06-15
41	White	Robert	10150631	874	Montgomery Chess Federation	Scholastic	2025-06-15
42	Taylor	Michael	10961168	1348	Silver Spring Chess Club	Reserve	2025-06-15
43	Moore	David	10198702	1174	Bethesda Chess Club	Scholastic	2025-06-15
44	Jackson	Richard	10711097	859	Rockville Chess Club	Scholastic	2025-06-15
45	Martin	Charles	10632084	1019	Capitol Hill Chess	Scholastic	2025-06-15
46	Lee	Joseph	10139317	888	Arlington Chess Club	Scholastic	2025-06-15
47	Perez	Thomas	10554710	1228	Montgomery Chess Federation	Reserve	2025-06-15
48	Thompson	Christopher	10173248	1046	Silver Spring Chess Club	Scholastic	2025-06-15
49	Hall	Maria	10195119	1364	Bethesda Chess Club	Reserve	2025-06-15
50	Allen	Patricia	10545140	860	Rockville Chess Club	Scholastic	2025-06-15
51	Young	Linda	10967017	1379	Capitol Hill Chess	Reserve	2025-06-15
52	King	Barbara	10229815	1028	Arlington Chess Club	Scholastic	2025-06-15
53	Scott	Elizabeth	10761259	1442	Montgomery Chess Federation	Reserve	2025-06-15
54	Green	Jennifer	10711316	863	Silver Spring Chess Club	Scholastic	2025-06-15
55	Baker	Mary	10705136	1399	Bethesda Chess Club	Reserve	2025-06-15
56	Nelson	Susan	10515949	850	Rockville Chess Club	Scholastic	2025-06-15
57	Hill	Dorothy	10331821	847	Capitol Hill Chess	Scholastic	2025-06-15
58	Roberts	Sarah	10683705	936	Arlington Chess Club	Scholastic	2025-06-15
59	Evans	Kwame	10403677	1229	Montgomery Chess Federation	Reserve	2025-06-15
60	Edwards	Amara	10251262	1353	Silver Spring Chess Club	Reserve	2025-06-15
61	Collins	Priya	10223514	1384	Bethesda Chess Club	Reserve	2025-06-15
62	Stewart	Wei	10423466	1373	Rockville Chess Club	Reserve	2025-06-15
63	Morris	Omar	10955770	1498	Capitol Hill Chess	Reserve	2025-06-15
64	Rogers	Elena	10289505	905	Arlington Chess Club	Scholastic	2025-06-15
65	Reed	Marcus	10709851	1384	Montgomery Chess Federation	Reserve	2025-06-15
66	Cook	Fatima	10769949	992	Silver Spring Chess Club	Scholastic	2025-06-15
67	Morgan	Paulo	10490487	899	Bethesda Chess Club	Scholastic	2025-06-15
68	Bell	Andre	10674351	1529	Rockville Chess Club	Reserve	2025-06-15
69	Murphy	James	10165839	1377	Capitol Hill Chess	Reserve	2025-06-15
70	Bailey	John	10162496	1433	Arlington Chess Club	Reserve	2025-06-15
71	Rivera	Robert	10315963	1308	Montgomery Chess Federation	Reserve	2025-06-15
72	Cooper	Michael	10813451	1344	Silver Spring Chess Club	Reserve	2025-06-15
73	Cox	David	10548363	1595	Bethesda Chess Club	Reserve	2025-06-15
74	Howard	Richard	10429407	1276	Rockville Chess Club	Reserve	2025-06-15
75	Ward	Charles	10714006	1264	Capitol Hill Chess	Reserve	2025-06-15
76	Torres	Joseph	10479146	1106	Arlington Chess Club	Scholastic	2025-06-15
77	Gray	Thomas	10360494	984	Montgomery Chess Federation	Scholastic	2025-06-15
78	Ramirez	Christopher	10832948	1598	Silver Spring Chess Club	Reserve	2025-06-15
79	James	Maria	10355953	883	Bethesda Chess Club	Scholastic	2025-06-15
80	Watson	Patricia	10702326	1107	Rockville Chess Club	Scholastic	2025-06-15
81	Brooks	Linda	10650708	1306	Capitol Hill Chess	Reserve	2025-06-15
82	Kelly	Barbara	10460160	1546	Arlington Chess Club	Reserve	2025-06-15
83	Sanders	Elizabeth	10570636	1094	Montgomery Chess Federation	Scholastic	2025-06-15
84	Price	Jennifer	10738539	874	Silver Spring Chess Club	Scholastic	2025-06-15
85	Bennett	Mary	10223800	1324	Bethesda Chess Club	Reserve	2025-06-15
86	Wood	Susan	10538433	968	Rockville Chess Club	Scholastic	2025-06-15
87	Barnes	Dorothy	10893919	1150	Capitol Hill Chess	Scholastic	2025-06-15
88	Ross	Sarah	10259367	1300	Arlington Chess Club	Reserve	2025-06-15
89	Henderson	Kwame	10542182	840	Montgomery Chess Federation	Scholastic	2025-06-15
90	Coleman	Amara	10800675	879	Silver Spring Chess Club	Scholastic	2025-06-15
91	Jenkins	Priya	10901710	1371	Bethesda Chess Club	Reserve	2025-06-15
92	Perry	Wei	10700861	1121	Rockville Chess Club	Scholastic	2025-06-15
93	Powell	Omar	10456644	1511	Capitol Hill Chess	Reserve	2025-06-15
94	Long	Elena	10467188	1408	Arlington Chess Club	Reserve	2025-06-15
95	Patterson	Marcus	10620801	1393	Montgomery Chess Federation	Reserve	2025-06-15
96	Hughes	Fatima	10935601	1267	Silver Spring Chess Club	Reserve	2025-06-15
97	Flores	Paulo	10172103	895	Bethesda Chess Club	Scholastic	2025-06-15
