stakeholder_id,name,organization,role,category,ward,primary_language,secondary_language,first_engaged_date,last_engaged_date,engagement_count,recorded_position,position_last_updated,preferred_channel,notes
STK-1089,Javier Sanchez,Comite securite pietonne Saint Denis,Vice President,community_group,Plateau-Mont-Royal,es,en,2026-06-14,2026-07-04,2,conditional_support,2026-06-29,email,Newsletter and social media relay
STK-1090,Farhan Mahmood,Amis du parc Jeanne Mance,Coordinator,community_group,Mile End,ur,en,2026-04-27,2026-05-20,2,supportive,2026-05-01,phone,Cultural centre contact
STK-1091,Mizanur Rahman,Association pakistanaise Quebec,President,community_group,Milton-Parc,bn,en,2026-07-19,2026-10-02,11,supportive,2026-08-31,phone,Community meeting host
STK-1092,Rania Bakri,Voix des aines Plateau,Community Liaison,community_group,Plateau-Mont-Royal,ar,fr,2026-06-11,2026-07-14,9,neutral,2026-06-22,email,Family services touchpoint
STK-1093,Tarek Mansour,Amis du parc Jeanne Mance,Coordinator,community_group,Milton-Parc,ar,fr,2026-04-07,2026-04-20,2,neutral,2026-04-15,portal,Cultural centre contact
STK-1094,Olivier Dubois,Regroupement Jeanne Mance,Secretary,community_group,Milton-Parc,fr,,2026-06-15,2026-07-07,2,supportive,2026-07-03,in_person,Community meeting host
STK-1095,Le Duc Anh,Amis du parc Jeanne Mance,Secretary,community_group,Mile End,vi,,2026-06-09,2026-09-08,11,supportive,2026-07-10,email,Bridge to immigrant community networks
STK-1096,Ayesha Qureshi,Alliance des locataires du Plateau,Coordinator,community_group,Milton-Parc,ur,fr,2026-05-03,2026-07-19,5,neutral,2026-07-11,in_person,Family services touchpoint
STK-1097,Renaud Lachance,Collectif rue partagee,Policy Analyst,advocacy_group,Milton-Parc,fr,en,2026-08-13,2026-10-02,4,conditional_support,2026-09-08,in_person,Pedestrian priority policy focus
STK-1098,Robert Kingsley,Reseau accessibilite universelle,Executive Director,advocacy_group,Plateau-Mont-Royal,en,fr,2026-07-16,2026-07-30,1,supportive,2026-07-23,phone,Pedestrian priority policy focus
STK-1099,Micheline Cote,Vivre en Ville,Policy Analyst,advocacy_group,Mile End,fr,,2026-04-09,2026-09-20,0,supportive,2026-08-19,in_person,Housing displacement analyst
STK-1100,Nicholas Vaughan,Coalition arbres urbains,Executive Director,advocacy_group,Jeanne-Mance,en,fr,2026-07-22,2026-09-23,4,conditional_support,2026-09-08,phone,Cycling infrastructure advocate
STK-1101,Bertrand Morin,Alliance Cycliste du Quebec,Board Member,advocacy_group,Plateau-Mont-Royal,fr,en,2026-08-13,2026-09-03,2,supportive,2026-08-31,portal,Housing displacement analyst
STK-1102,Solange Levesque,Piétons Quebec,Advocacy Lead,advocacy_group,Plateau-Mont-Royal,fr,,2026-08-14,2026-09-29,2,supportive,2026-08-24,sms,Tree canopy and green infrastructure
STK-1103,Habibur Ali,Vivre en Ville,Policy Analyst,advocacy_group,Mile End,bn,en,2026-07-30,2026-07-31,0,supportive,2026-07-31,phone,Universal accessibility perspective
STK-1104,Meaghan Adair,Alliance Cycliste du Quebec,Board Member,advocacy_group,Plateau-Mont-Royal,en,fr,2026-05-17,2026-08-23,7,conditional_support,2026-06-14,sms,Housing displacement analyst
STK-1105,Renaud Poulin,Coalition arbres urbains,Policy Analyst,advocacy_group,Milton-Parc,fr,en,2026-07-26,2026-10-02,4,conditional_support,2026-08-25,email,Pedestrian priority policy focus
STK-1106,Olivier Nadeau,Coalition transport durable,Board Member,advocacy_group,Plateau-Mont-Royal,fr,en,2026-06-03,2026-09-20,1,neutral,2026-06-20,in_person,Pedestrian priority policy focus
STK-1107,Denise Michaud,Coalition transport durable,Advocacy Lead,advocacy_group,Plateau-Mont-Royal,fr,,2026-06-11,2026-07-23,9,neutral,2026-07-10,email,Housing displacement analyst
STK-1108,Katherine Fisher,Alliance Cycliste du Quebec,Advocacy Lead,advocacy_group,Plateau-Mont-Royal,en,fr,2026-06-13,2026-06-28,9,conditional_support,2026-06-22,portal,Universal accessibility perspective
STK-1109,Amanda Whitfield,Vivre en Ville,Board Member,advocacy_group,Mile End,en,fr,2026-04-17,2026-09-03,3,conditional_support,2026-07-18,email,Housing displacement analyst
STK-1110,Laurent Cloutier,Alliance Cycliste du Quebec,Board Member,advocacy_group,Plateau-Mont-Royal,fr,en,2026-06-12,2026-09-02,0,supportive,2026-06-19,sms,Universal accessibility perspective
STK-1111,Hina Siddiqui,Collectif rue partagee,Communications Lead,advocacy_group,Milton-Parc,ur,fr,2026-07-02,2026-07-20,10,no_response,2026-07-05,sms,Tree canopy and green infrastructure
STK-1112,Bui Thi Huong,Conseil d arrondissement Plateau Mont Royal,City Councillor,borough_council,Plateau-Mont-Royal,vi,fr,2026-04-22,2026-07-07,2,neutral,2026-05-05,portal,Attends borough council briefings
STK-1113,Carlos Perez,Conseil d arrondissement Plateau Mont Royal,Borough Advisor,borough_council,Plateau-Mont-Royal,es,fr,2026-07-04,2026-07-10,2,neutral,2026-07-06,email,Attends borough council briefings
STK-1114,Josee Fortin,Conseil d arrondissement Plateau Mont Royal,Borough Advisor,borough_council,Plateau-Mont-Royal,fr,en,2026-04-09,2026-07-26,2,supportive,2026-04-30,in_person,Ward level constituent liaison
STK-1115,Nadia Hussain,Conseil d arrondissement Plateau Mont Royal,Political Attache,borough_council,Plateau-Mont-Royal,ur,en,2026-04-09,2026-08-31,3,conditional_support,2026-06-11,portal,Community outreach lead
STK-1116,Helene Tremblay,Conseil d arrondissement Plateau Mont Royal,Political Attache,borough_council,Plateau-Mont-Royal,fr,en,2026-04-23,2026-09-28,13,conditional_support,2026-08-15,sms,Political attache constituent facing
STK-1117,Laura Griffin,Conseil d arrondissement Plateau Mont Royal,City Councillor,borough_council,Plateau-Mont-Royal,en,,2026-07-11,2026-10-01,3,conditional_support,2026-08-02,in_person,Ward level constituent liaison
STK-1118,Sarah Kingsley,Conseil d arrondissement Plateau Mont Royal,Community Organizer,borough_council,Plateau-Mont-Royal,en,fr,2026-04-30,2026-10-04,1,neutral,2026-08-10,phone,Ward level constituent liaison
STK-1119,Josee Caron,Devimco Plateau,Director of Development,developer,Plateau-Mont-Royal,fr,en,2026-04-16,2026-08-21,3,no_response,2026-07-29,portal,Ground floor retail impact
STK-1120,Marguerite Levesque,Devimco Plateau,VP Acquisitions,developer,Plateau-Mont-Royal,fr,en,2026-07-21,2026-09-01,9,neutral,2026-07-31,portal,Ground floor retail impact
STK-1121,Amanda Marshall,Constructions Rachel inc,Project Manager,developer,Plateau-Mont-Royal,en,fr,2026-05-10,2026-07-05,8,opposed,2026-06-26,sms,Coordinating with city on servicing
STK-1122,Daniel Kingsley,Habitations Mile End SEC,Community Relations Lead,developer,Jeanne-Mance,en,fr,2026-05-16,2026-09-12,6,opposed,2026-07-06,in_person,Interested in transit oriented density
STK-1123,Jessica Harrison,Groupe immobilier Nord Plateau,VP Acquisitions,developer,Plateau-Mont-Royal,en,fr,2026-06-24,2026-09-07,6,opposed,2026-08-14,email,Interested in transit oriented density
STK-1124,Renaud Martel,Devimco Plateau,VP Acquisitions,developer,Mile End,fr,en,2026-08-02,2026-10-02,3,opposed,2026-08-13,sms,Coordinating with city on servicing
STK-1125,Nicole Lemieux,Groupe immobilier Nord Plateau,Director of Development,developer,Plateau-Mont-Royal,fr,en,2026-05-06,2026-07-26,1,neutral,2026-07-02,portal,Coordinating with city on servicing
STK-1126,Vincent Levesque,Constructions Rachel inc,Director of Development,developer,Mile End,fr,en,2026-07-09,2026-09-26,1,no_response,2026-09-01,portal,Ground floor retail impact
STK-1127,Francine Tremblay,Constructions Rachel inc,Community Relations Lead,developer,Plateau-Mont-Royal,fr,en,2026-08-03,2026-08-26,7,conditional_support,2026-08-05,phone,Active development file adjacent to corridor
STK-1128,Pierre-Luc Poirier,Groupe immobilier Nord Plateau,Community Relations Lead,developer,Mile End,fr,en,2026-04-27,2026-07-30,5,supportive,2026-07-24,portal,Interested in transit oriented density
STK-1129,Guillaume Girard,UQAM Departement etudes urbaines,PhD Candidate,academic_partner,Plateau-Mont-Royal,fr,en,2026-07-25,2026-09-29,1,no_response,2026-08-24,sms,Bikeway safety research contributor
STK-1130,Bernard Boucher,INRS Urbanisation Culture Societe,Program Director,academic_partner,Plateau-Mont-Royal,fr,en,2026-07-27,2026-08-08,5,supportive,2026-07-28,portal,Bikeway safety research contributor
STK-1131,Hubert Girard,Universite Concordia Geography,Program Director,academic_partner,Plateau-Mont-Royal,fr,,2026-04-06,2026-05-03,6,supportive,2026-04-21,sms,Housing equity crossover expertise
STK-1132,Jennifer Davies,UQAM Departement etudes urbaines,PhD Candidate,academic_partner,Milton-Parc,en,fr,2026-06-16,2026-08-12,5,supportive,2026-07-02,in_person,Housing equity crossover expertise
STK-1133,Alison Carter,INRS Urbanisation Culture Societe,Program Director,academic_partner,Milton-Parc,en,fr,2026-05-11,2026-10-01,5,opposed,2026-06-20,sms,Advisory only external voice
STK-1134,Colette Gagne,Universite Concordia Geography,Research Fellow,academic_partner,Plateau-Mont-Royal,fr,en,2026-04-24,2026-05-16,4,no_response,2026-05-02,phone,Advisory only external voice
STK-1135,Le Van Minh,Universite Concordia Geography,PhD Candidate,academic_partner,Plateau-Mont-Royal,vi,,2026-08-14,2026-09-12,2,neutral,2026-08-22,email,Housing equity crossover expertise
STK-1136,Marguerite Boucher,Universite de Montreal Ecole d urbanisme,Program Director,academic_partner,Mile End,fr,en,2026-08-02,2026-09-16,4,opposed,2026-08-21,sms,Bikeway safety research contributor
STK-1137,Isabelle Lavoie,,Resident,individual_resident,Milton-Parc,fr,en,2026-06-11,2026-07-01,7,neutral,2026-06-26,portal,First engagement through intercept survey
STK-1138,Colette Bouchard,,Resident,individual_resident,Plateau-Mont-Royal,fr,en,2026-04-14,2026-08-25,2,opposed,2026-06-08,phone,Merchant regular customer voices concern about parking
STK-1139,Douglas Turner,,Resident,individual_resident,Plateau-Mont-Royal,en,fr,2026-07-23,2026-09-19,1,opposed,2026-08-31,phone,Young professional supporting bike lane extension
STK-1140,Olivier Bergeron,,Resident,individual_resident,Milton-Parc,fr,,2026-06-15,2026-08-02,8,conditional_support,2026-06-23,portal,Homeowner concerned about noise and delivery access
STK-1141,Emily Palmer,,Resident,individual_resident,Plateau-Mont-Royal,en,fr,2026-07-06,2026-10-02,3,conditional_support,2026-09-13,sms,Retired teacher active on tree canopy
STK-1142,Shahidul Mia,,Resident,individual_resident,Plateau-Mont-Royal,bn,fr,2026-04-17,2026-05-12,7,no_response,2026-04-23,phone,Cyclist commuting on Rachel corridor
STK-1143,Lucia Garcia,,Resident,individual_resident,Milton-Parc,es,fr,2026-07-29,2026-09-16,8,conditional_support,2026-08-19,email,First engagement through intercept survey
