id,amount,currency,status,payout_status,description,customer_email,created,paid,risk_level
ch_3QZ8ede1fc209aea99,300000,usd,succeeded,paid,Stocksy license tier 1,buyer1@gmail.com,2026-07-07T14:54:00Z,2026-07-07T14:54:00Z,normal
ch_3QZ86284153bf1b626,220000,usd,succeeded,paid,Stocksy license tier 1,buyer1@gmail.com,2026-07-01T13:21:00Z,2026-07-01T13:21:00Z,normal
ch_3QZ8d9d02404c178d5,180000,usd,succeeded,paid,Print storefront aggregate,collector@gmail.com,2026-09-15T14:54:00Z,2026-09-15T14:54:00Z,normal
ch_3QZ853b23bd1d9b2f0,180000,usd,succeeded,paid,Restaurant menu half-day,ana.moreira@gmail.com,2026-09-22T15:54:00Z,2026-09-22T15:54:00Z,normal
ch_3QZ8bba34062b7d6b1,150000,usd,succeeded,paid,Brand short-form 2 deliverables,brittany@hatchbev.co,2026-09-20T14:38:00Z,2026-09-20T14:38:00Z,normal
ch_3QZ8fdc1d63cefe0f1,220000,usd,succeeded,paid,Editorial half-day pitch,m.chen@edgewaterfoodjournal.com,2026-08-22T17:17:00Z,2026-08-22T17:17:00Z,normal
ch_3QZ8def799ba74f4c0,120000,usd,succeeded,paid,Brand short-form 2 deliverables,brittany@hatchbev.co,2026-09-11T16:45:00Z,2026-09-11T16:45:00Z,normal
ch_3QZ8299f496b04d33d,300000,usd,succeeded,paid,Print storefront aggregate,collector@gmail.com,2026-09-14T09:12:00Z,2026-09-14T09:12:00Z,normal
ch_3QZ890a4ea08dffbc7,180000,usd,succeeded,paid,Brand short-form deliverable,marcus@premixbrunch.com,2026-08-27T15:09:00Z,2026-08-27T15:09:00Z,normal
ch_3QZ8f9f7bd2bcddd0c,150000,usd,succeeded,paid,Cookbook progress shoot day,rebecca.a@saltandpress.com,2026-09-02T13:34:00Z,2026-09-02T13:34:00Z,normal
ch_3QZ83dda76e2d91cec,300000,usd,succeeded,paid,Cookbook progress shoot day,rebecca.a@saltandpress.com,2026-08-27T18:18:00Z,2026-08-27T18:18:00Z,normal
ch_3QZ8c2cbacb579cac1,120000,usd,succeeded,paid,Editorial half-day pitch,m.chen@edgewaterfoodjournal.com,2026-08-25T16:02:00Z,2026-08-25T16:02:00Z,normal
ch_3QZ8066980b15985c4,150000,usd,succeeded,paid,Print storefront aggregate,collector@gmail.com,2026-09-08T09:31:00Z,2026-09-08T09:31:00Z,normal
ch_3QZ8ccbffa84828c32,180000,usd,succeeded,paid,Stocksy license tier 2,buyer2@gmail.com,2026-09-01T11:20:00Z,2026-09-01T11:20:00Z,normal
ch_3QZ84f9d5e66e3b59a,220000,usd,succeeded,paid,Editorial premium day,priya.shah@tangerinemag.com,2026-07-26T11:30:00Z,2026-07-26T11:30:00Z,normal
ch_3QZ855c8aee71bc0de,45000,usd,succeeded,paid,Stocksy license tier 1,buyer1@gmail.com,2026-09-28T12:29:00Z,2026-09-28T12:29:00Z,normal
ch_3QZ8a557f420aa21cb,220000,usd,succeeded,paid,Brand short-form 2 deliverables,brittany@hatchbev.co,2026-09-19T14:05:00Z,2026-09-19T14:05:00Z,normal
ch_3QZ8c2b8fb0ee220e5,300000,usd,succeeded,paid,Brand short-form 2 deliverables,brittany@hatchbev.co,2026-07-27T17:53:00Z,2026-07-27T17:53:00Z,normal
ch_3QZ848fdcaeb066f9c,120000,usd,succeeded,paid,Brand short-form deliverable,marcus@premixbrunch.com,2026-07-09T15:03:00Z,2026-07-09T15:03:00Z,normal
ch_3QZ873b76f50e58e69,180000,usd,succeeded,paid,Print storefront aggregate,collector@gmail.com,2026-07-05T11:24:00Z,2026-07-05T11:24:00Z,normal
ch_3QZ8b41952188a0510,220000,usd,succeeded,paid,Stocksy license tier 1,buyer1@gmail.com,2026-08-17T13:08:00Z,2026-08-17T13:08:00Z,normal
ch_3QZ8947c6756c7189e,45000,usd,succeeded,paid,Stocksy license tier 1,buyer1@gmail.com,2026-09-23T15:23:00Z,2026-09-23T15:23:00Z,normal
ch_3QZ8fc0b3d3692c0ce,300000,usd,succeeded,paid,Retainer monthly cadence,sophie.lindqvist@oatly.com,2026-09-28T13:36:00Z,2026-09-28T13:36:00Z,normal
ch_3QZ81f532a784f5211,180000,usd,succeeded,paid,Retainer monthly cadence,sophie.lindqvist@oatly.com,2026-09-18T09:04:00Z,2026-09-18T09:04:00Z,normal
ch_3QZ83cebb136bf5269,300000,usd,succeeded,paid,Brand short-form deliverable,marcus@premixbrunch.com,2026-08-03T11:20:00Z,2026-08-03T11:20:00Z,normal
ch_3QZ80c189d8e4fd5cc,220000,usd,succeeded,paid,Editorial premium day,priya.shah@tangerinemag.com,2026-07-10T12:56:00Z,2026-07-10T12:56:00Z,normal
ch_3QZ80b3364943a9d97,220000,usd,succeeded,paid,Restaurant menu half-day,ana.moreira@gmail.com,2026-07-28T17:01:00Z,2026-07-28T17:01:00Z,normal
ch_3QZ8f3c668e02252bc,180000,usd,succeeded,paid,Stocksy license tier 2,buyer2@gmail.com,2026-07-03T17:58:00Z,2026-07-03T17:58:00Z,normal
ch_3QZ82b52013b87a373,300000,usd,succeeded,paid,Retainer monthly cadence,sophie.lindqvist@oatly.com,2026-08-17T15:57:00Z,2026-08-17T15:57:00Z,normal
ch_3QZ848ce2e13f4cf7c,80000,usd,succeeded,paid,Editorial half-day pitch,m.chen@edgewaterfoodjournal.com,2026-09-05T15:37:00Z,2026-09-05T15:37:00Z,normal
ch_3QZ8f0de8818f620ad,45000,usd,succeeded,paid,Stocksy license tier 2,buyer2@gmail.com,2026-07-15T10:22:00Z,2026-07-15T10:22:00Z,normal
ch_3QZ8959aa9b001fe75,150000,usd,succeeded,paid,Retainer monthly cadence,sophie.lindqvist@oatly.com,2026-09-03T13:21:00Z,2026-09-03T13:21:00Z,normal
ch_3QZ843ce9026f2e537,220000,usd,succeeded,paid,Restaurant menu half-day,ana.moreira@gmail.com,2026-09-15T14:38:00Z,2026-09-15T14:38:00Z,normal
ch_3QZ82983b5b305d2ba,300000,usd,succeeded,paid,Brand short-form deliverable,marcus@premixbrunch.com,2026-07-03T14:38:00Z,2026-07-03T14:38:00Z,normal
ch_3QZ8f830581aa198fa,80000,usd,succeeded,paid,Editorial premium day,priya.shah@tangerinemag.com,2026-07-09T13:24:00Z,2026-07-09T13:24:00Z,normal
ch_3QZ815769c49170a2d,180000,usd,succeeded,paid,Brand short-form deliverable,marcus@premixbrunch.com,2026-07-07T16:38:00Z,2026-07-07T16:38:00Z,normal
ch_3QZ8afb9c960a5b2a9,150000,usd,succeeded,paid,Print storefront aggregate,collector@gmail.com,2026-08-09T16:43:00Z,2026-08-09T16:43:00Z,normal
ch_3QZ8df7a874086f8c4,180000,usd,succeeded,paid,Stocksy license tier 2,buyer2@gmail.com,2026-08-08T15:16:00Z,2026-08-08T15:16:00Z,normal
ch_3QZ8fc9a99bfb6966f,180000,usd,succeeded,paid,Editorial premium day,priya.shah@tangerinemag.com,2026-08-27T10:41:00Z,2026-08-27T10:41:00Z,normal
ch_3QZ8cf02f349df9941,150000,usd,succeeded,paid,Brand short-form deliverable,marcus@premixbrunch.com,2026-08-24T18:58:00Z,2026-08-24T18:58:00Z,normal
ch_3QZ87ed88accf50263,180000,usd,succeeded,paid,Brand short-form 2 deliverables,brittany@hatchbev.co,2026-09-07T10:47:00Z,2026-09-07T10:47:00Z,normal
ch_3QZ85505f92c612209,120000,usd,succeeded,paid,Brand short-form 2 deliverables,brittany@hatchbev.co,2026-08-20T12:42:00Z,2026-08-20T12:42:00Z,normal
ch_3QZ8deea43c13361c8,150000,usd,succeeded,paid,Stocksy license tier 2,buyer2@gmail.com,2026-08-20T16:53:00Z,2026-08-20T16:53:00Z,normal
ch_3QZ8d0fc61cfc72ff4,45000,usd,succeeded,paid,Editorial premium day,priya.shah@tangerinemag.com,2026-08-14T12:57:00Z,2026-08-14T12:57:00Z,normal
ch_3QZ8a2da9b2047d236,220000,usd,succeeded,paid,Stocksy license tier 2,buyer2@gmail.com,2026-08-12T14:09:00Z,2026-08-12T14:09:00Z,normal
ch_3QZ87696493b0c1798,45000,usd,succeeded,paid,Editorial premium day,priya.shah@tangerinemag.com,2026-07-13T16:45:00Z,2026-07-13T16:45:00Z,normal
ch_3QZ8330155ae4a35f4,120000,usd,succeeded,paid,Editorial premium day,priya.shah@tangerinemag.com,2026-09-16T13:32:00Z,2026-09-16T13:32:00Z,normal
ch_3QZ8da1f059de5b203,45000,usd,succeeded,paid,Stocksy license tier 1,buyer1@gmail.com,2026-08-12T14:11:00Z,2026-08-12T14:11:00Z,normal
ch_3QZ8f86a68e6f38a58,300000,usd,succeeded,paid,Editorial premium day,priya.shah@tangerinemag.com,2026-07-11T13:54:00Z,2026-07-11T13:54:00Z,normal
ch_3QZ8d16902a332b573,150000,usd,succeeded,paid,Restaurant menu half-day,ana.moreira@gmail.com,2026-07-19T09:18:00Z,2026-07-19T09:18:00Z,normal
ch_3QZ81c3efccefc16f8,220000,usd,succeeded,paid,Retainer monthly cadence,sophie.lindqvist@oatly.com,2026-09-19T11:13:00Z,2026-09-19T11:13:00Z,normal
ch_3QZ8ac31af5555eab5,220000,usd,succeeded,paid,Stocksy license tier 1,buyer1@gmail.com,2026-08-25T10:34:00Z,2026-08-25T10:34:00Z,normal
ch_3QZ85c10063bd30f35,120000,usd,succeeded,paid,Cookbook progress shoot day,rebecca.a@saltandpress.com,2026-07-06T14:13:00Z,2026-07-06T14:13:00Z,normal
ch_3QZ88d3499824e2d73,150000,usd,succeeded,paid,Cookbook progress shoot day,rebecca.a@saltandpress.com,2026-09-23T14:00:00Z,2026-09-23T14:00:00Z,normal
ch_3QZ8f19f599318d200,300000,usd,succeeded,paid,Editorial half-day pitch,m.chen@edgewaterfoodjournal.com,2026-07-03T10:44:00Z,2026-07-03T10:44:00Z,normal
ch_3QZ822aaed106a43a2,220000,usd,succeeded,paid,Retainer monthly cadence,sophie.lindqvist@oatly.com,2026-07-19T10:43:00Z,2026-07-19T10:43:00Z,normal
ch_3QZ89aba8f9b2bf566,80000,usd,succeeded,paid,Stocksy license tier 2,buyer2@gmail.com,2026-07-25T15:39:00Z,2026-07-25T15:39:00Z,normal
ch_3QZ8a5343fd9dfac23,45000,usd,succeeded,paid,Cookbook progress shoot day,rebecca.a@saltandpress.com,2026-07-11T17:20:00Z,2026-07-11T17:20:00Z,normal
ch_3QZ8007ca71627248d,300000,usd,succeeded,paid,Stocksy license tier 1,buyer1@gmail.com,2026-09-10T18:41:00Z,2026-09-10T18:41:00Z,normal
ch_3QZ825a59988aae3d1,180000,usd,succeeded,paid,Restaurant menu half-day,ana.moreira@gmail.com,2026-09-21T09:37:00Z,2026-09-21T09:37:00Z,normal
ch_3QZ87ab19c406f48ff,180000,usd,succeeded,paid,Retainer monthly cadence,sophie.lindqvist@oatly.com,2026-07-17T17:41:00Z,2026-07-17T17:41:00Z,normal
ch_3QZ83b35252c76e1ea,180000,usd,succeeded,paid,Brand short-form 2 deliverables,brittany@hatchbev.co,2026-07-20T09:53:00Z,2026-07-20T09:53:00Z,normal
ch_3QZ8445f0c0448dbc9,45000,usd,succeeded,paid,Editorial half-day pitch,m.chen@edgewaterfoodjournal.com,2026-08-07T18:09:00Z,2026-08-07T18:09:00Z,normal
ch_3QZ8aa1d12b81fbbf0,45000,usd,succeeded,paid,Editorial half-day pitch,m.chen@edgewaterfoodjournal.com,2026-08-10T15:10:00Z,2026-08-10T15:10:00Z,normal
ch_3QZ8c3216616ecf62b,45000,usd,succeeded,paid,Brand short-form deliverable,marcus@premixbrunch.com,2026-09-25T16:55:00Z,2026-09-25T16:55:00Z,normal
ch_3QZ84312eba880802f,180000,usd,succeeded,paid,Restaurant menu half-day,ana.moreira@gmail.com,2026-07-12T14:04:00Z,2026-07-12T14:04:00Z,normal
ch_3QZ851ee8aa285ac99,80000,usd,succeeded,paid,Restaurant menu half-day,ana.moreira@gmail.com,2026-08-13T11:56:00Z,2026-08-13T11:56:00Z,normal
ch_3QZ87439996e56265b,300000,usd,succeeded,paid,Restaurant menu half-day,ana.moreira@gmail.com,2026-09-23T09:02:00Z,2026-09-23T09:02:00Z,normal
ch_3QZ80de73a1518b2aa,300000,usd,succeeded,paid,Print storefront aggregate,collector@gmail.com,2026-09-05T14:20:00Z,2026-09-05T14:20:00Z,normal
ch_3QZ8560851f9a562b0,300000,usd,succeeded,paid,Editorial premium day,priya.shah@tangerinemag.com,2026-08-05T13:34:00Z,2026-08-05T13:34:00Z,normal
ch_3QZ8e9add0dbe49c94,220000,usd,succeeded,paid,Editorial half-day pitch,m.chen@edgewaterfoodjournal.com,2026-09-14T09:41:00Z,2026-09-14T09:41:00Z,normal
ch_3QZ88984ae0cd825f2,300000,usd,succeeded,paid,Brand short-form 2 deliverables,brittany@hatchbev.co,2026-07-15T11:52:00Z,2026-07-15T11:52:00Z,normal
ch_3QZ81e770c29f4846e,300000,usd,succeeded,paid,Cookbook progress shoot day,rebecca.a@saltandpress.com,2026-07-02T13:00:00Z,2026-07-02T13:00:00Z,normal
ch_3QZ8a7aeca3f4cd85e,150000,usd,succeeded,paid,Stocksy license tier 1,buyer1@gmail.com,2026-09-13T13:21:00Z,2026-09-13T13:21:00Z,normal
ch_3QZ84f30a5d7d33ee6,45000,usd,succeeded,paid,Editorial half-day pitch,m.chen@edgewaterfoodjournal.com,2026-08-01T17:36:00Z,2026-08-01T17:36:00Z,normal
ch_3QZ878eafabe602646,45000,usd,succeeded,paid,Stocksy license tier 1,buyer1@gmail.com,2026-08-15T18:34:00Z,2026-08-15T18:34:00Z,normal
ch_3QZ888567ae16a27e6,150000,usd,succeeded,paid,Editorial half-day pitch,m.chen@edgewaterfoodjournal.com,2026-08-02T14:10:00Z,2026-08-02T14:10:00Z,normal
ch_3QZ83ff8af2bd392d4,120000,usd,succeeded,paid,Brand short-form 2 deliverables,brittany@hatchbev.co,2026-09-15T15:16:00Z,2026-09-15T15:16:00Z,normal
ch_3QZ85adb40f8c7401f,45000,usd,succeeded,paid,Stocksy license tier 2,buyer2@gmail.com,2026-08-05T13:56:00Z,2026-08-05T13:56:00Z,normal
ch_3QZ8d1e9988283395d,45000,usd,succeeded,paid,Stocksy license tier 2,buyer2@gmail.com,2026-07-05T18:17:00Z,2026-07-05T18:17:00Z,normal
ch_3QZ87c462066fd5262,80000,usd,succeeded,paid,Retainer monthly cadence,sophie.lindqvist@oatly.com,2026-07-06T18:15:00Z,2026-07-06T18:15:00Z,normal
ch_3QZ831de72fa580dee,45000,usd,succeeded,paid,Editorial premium day,priya.shah@tangerinemag.com,2026-08-28T12:55:00Z,2026-08-28T12:55:00Z,normal
ch_3QZ829cd5b6d9e74bc,180000,usd,succeeded,paid,Brand short-form 2 deliverables,brittany@hatchbev.co,2026-07-10T10:26:00Z,2026-07-10T10:26:00Z,normal
ch_3QZ85ca2a7c375cc08,45000,usd,succeeded,paid,Stocksy license tier 2,buyer2@gmail.com,2026-08-02T18:10:00Z,2026-08-02T18:10:00Z,normal
ch_3QZ887fd01f65eef0e,180000,usd,succeeded,paid,Stocksy license tier 1,buyer1@gmail.com,2026-07-17T12:10:00Z,2026-07-17T12:10:00Z,normal
ch_3QZ830de6a0b7fc56c,80000,usd,succeeded,paid,Print storefront aggregate,collector@gmail.com,2026-08-14T10:28:00Z,2026-08-14T10:28:00Z,normal
ch_3QZ8fe5ba2ea99eef8,80000,usd,succeeded,paid,Stocksy license tier 1,buyer1@gmail.com,2026-07-27T10:27:00Z,2026-07-27T10:27:00Z,normal
ch_3QZ839e46062996bd1,300000,usd,succeeded,paid,Restaurant menu half-day,ana.moreira@gmail.com,2026-09-08T10:11:00Z,2026-09-08T10:11:00Z,normal
ch_3QZ84dbf93cadb3e1a,180000,usd,succeeded,paid,Editorial premium day,priya.shah@tangerinemag.com,2026-08-22T18:27:00Z,2026-08-22T18:27:00Z,normal
ch_3QZ879b77453300b3d,120000,usd,succeeded,paid,Stocksy license tier 2,buyer2@gmail.com,2026-07-07T10:12:00Z,2026-07-07T10:12:00Z,normal
ch_3QZ8d8b992fd7a6301,45000,usd,succeeded,paid,Editorial premium day,priya.shah@tangerinemag.com,2026-09-11T12:35:00Z,2026-09-11T12:35:00Z,normal
ch_3QZ8e7ba42e9b2b5c3,120000,usd,succeeded,paid,Restaurant menu half-day,ana.moreira@gmail.com,2026-07-23T15:35:00Z,2026-07-23T15:35:00Z,normal
ch_3QZ819ca4901b00e40,45000,usd,succeeded,paid,Stocksy license tier 2,buyer2@gmail.com,2026-09-24T12:08:00Z,2026-09-24T12:08:00Z,normal
ch_3QZ895b6259bef9757,150000,usd,succeeded,paid,Editorial half-day pitch,m.chen@edgewaterfoodjournal.com,2026-08-09T10:37:00Z,2026-08-09T10:37:00Z,normal
ch_3QZ89dec9e2583f58d,180000,usd,succeeded,paid,Brand short-form deliverable,marcus@premixbrunch.com,2026-08-03T17:48:00Z,2026-08-03T17:48:00Z,normal
ch_3QZ84954df39c8ff63,180000,usd,succeeded,paid,Editorial half-day pitch,m.chen@edgewaterfoodjournal.com,2026-08-16T18:29:00Z,2026-08-16T18:29:00Z,normal
ch_3QZ84fc0bbad261b18,150000,usd,succeeded,paid,Stocksy license tier 1,buyer1@gmail.com,2026-09-04T18:01:00Z,2026-09-04T18:01:00Z,normal
ch_3QZ8b784005d27ad74,220000,usd,succeeded,paid,Brand short-form deliverable,marcus@premixbrunch.com,2026-09-02T13:57:00Z,2026-09-02T13:57:00Z,normal
ch_3QZ83ac4de3a049434,80000,usd,succeeded,paid,Stocksy license tier 2,buyer2@gmail.com,2026-07-27T13:24:00Z,2026-07-27T13:24:00Z,normal
ch_3QZ8a3aa6772291ab0,150000,usd,succeeded,paid,Retainer monthly cadence,sophie.lindqvist@oatly.com,2026-09-24T13:48:00Z,2026-09-24T13:48:00Z,normal
ch_3QZ8fb1bbdb01442de,120000,usd,succeeded,paid,Editorial half-day pitch,m.chen@edgewaterfoodjournal.com,2026-07-26T15:50:00Z,2026-07-26T15:50:00Z,normal
ch_3QZ83c040eace654f2,180000,usd,succeeded,paid,Brand short-form deliverable,marcus@premixbrunch.com,2026-09-07T13:25:00Z,2026-09-07T13:25:00Z,normal
ch_3QZ89a5afa6f87ece7,220000,usd,succeeded,paid,Print storefront aggregate,collector@gmail.com,2026-09-24T09:16:00Z,2026-09-24T09:16:00Z,normal
ch_3QZ8ad4e58387022c9,150000,usd,succeeded,paid,Cookbook progress shoot day,rebecca.a@saltandpress.com,2026-08-18T14:48:00Z,2026-08-18T14:48:00Z,normal
ch_3QZ8d33bc65c0fdc02,120000,usd,succeeded,paid,Restaurant menu half-day,ana.moreira@gmail.com,2026-09-03T17:41:00Z,2026-09-03T17:41:00Z,normal
ch_3QZ8473434e7649684,150000,usd,succeeded,paid,Retainer monthly cadence,sophie.lindqvist@oatly.com,2026-07-26T13:22:00Z,2026-07-26T13:22:00Z,normal
ch_3QZ8f666d1ed927b9c,300000,usd,succeeded,paid,Restaurant menu half-day,ana.moreira@gmail.com,2026-08-10T09:43:00Z,2026-08-10T09:43:00Z,normal
ch_3QZ813aa6a48dfbbc3,180000,usd,succeeded,paid,Print storefront aggregate,collector@gmail.com,2026-08-02T15:57:00Z,2026-08-02T15:57:00Z,normal
