invoice_id,customer_name,customer_email,invoice_date,due_date,amount_usd,status,memo,linked_stripe_charge_id,linked_paypal_capture_id
INV-2026-1019,Hatch Beverages,brittany@hatchbev.co,2026-07-02,2026-07-16,1800,paid,Project line,,
INV-2026-1020,Stocksy licensee A,licensee.a@gmail.com,2026-09-09,2026-09-23,400,paid,Project line,,
INV-2026-1021,Sweetleaf Coffee,ar@sweetleaf.com,2026-07-03,2026-07-17,800,paid,Project line,,
INV-2026-1022,Sweetleaf Coffee,ar@sweetleaf.com,2026-07-13,2026-07-27,1500,paid,Project line,,
INV-2026-1023,Print buyer collective,collector@gmail.com,2026-09-01,2026-09-15,800,paid,Project line,,
INV-2026-1024,Print buyer collective,collector@gmail.com,2026-08-22,2026-09-05,1800,paid,Project line,,
INV-2026-1025,Premix Brunch,marcus@premixbrunch.com,2026-09-10,2026-09-24,800,paid,Project line,,
INV-2026-1026,Estrela Restaurant,ana.moreira@gmail.com,2026-08-28,2026-09-11,800,paid,Project line,,
INV-2026-1027,Sweetleaf Coffee,ar@sweetleaf.com,2026-08-10,2026-08-24,1800,paid,Project line,,
INV-2026-1028,Hatch Beverages,brittany@hatchbev.co,2026-09-20,2026-10-04,2200,open,Project line,,
INV-2026-1029,Stocksy licensee A,licensee.a@gmail.com,2026-07-09,2026-07-23,1200,paid,Project line,,
INV-2026-1030,Tangerine Magazine,priya.shah@tangerinemag.com,2026-09-26,2026-10-10,1500,paid,Project line,,
INV-2026-1031,Stocksy licensee A,licensee.a@gmail.com,2026-08-26,2026-09-09,400,paid,Project line,,
INV-2026-1032,Premix Brunch,marcus@premixbrunch.com,2026-09-02,2026-09-16,1500,open,Project line,,
INV-2026-1033,Sweetleaf Coffee,ar@sweetleaf.com,2026-07-08,2026-07-22,1800,paid,Project line,,
INV-2026-1034,Print buyer collective,collector@gmail.com,2026-08-02,2026-08-16,2200,paid,Project line,,
INV-2026-1035,Edgewater Food Journal,m.chen@edgewaterfoodjournal.com,2026-08-03,2026-08-17,500,paid,Project line,,
INV-2026-1036,Tangerine Magazine,priya.shah@tangerinemag.com,2026-09-27,2026-10-11,1200,paid,Project line,,
INV-2026-1037,Oatly,sophie.lindqvist@oatly.com,2026-07-10,2026-07-24,800,paid,Project line,,
INV-2026-1038,Sweetleaf Coffee,ar@sweetleaf.com,2026-08-03,2026-08-17,3000,paid,Project line,,
INV-2026-1039,Sweetleaf Coffee,ar@sweetleaf.com,2026-09-25,2026-10-09,1500,paid,Project line,,
INV-2026-1040,Tangerine Magazine,priya.shah@tangerinemag.com,2026-07-18,2026-08-01,500,paid,Project line,,
INV-2026-1041,Edgewater Food Journal,m.chen@edgewaterfoodjournal.com,2026-09-18,2026-10-02,2200,paid,Project line,,
INV-2026-1042,Oatly,sophie.lindqvist@oatly.com,2026-08-04,2026-08-18,1500,open,Project line,,
INV-2026-1043,Tangerine Magazine,priya.shah@tangerinemag.com,2026-07-05,2026-07-19,400,paid,Project line,,
INV-2026-1044,Oatly,sophie.lindqvist@oatly.com,2026-09-01,2026-09-15,2200,paid,Project line,,
INV-2026-1045,Oatly,sophie.lindqvist@oatly.com,2026-09-16,2026-09-30,2200,paid,Project line,,
INV-2026-1046,Estrela Restaurant,ana.moreira@gmail.com,2026-09-18,2026-10-02,1500,paid,Project line,,
INV-2026-1047,Oatly,sophie.lindqvist@oatly.com,2026-07-23,2026-08-06,800,paid,Project line,,
INV-2026-1048,Praxa Fresh,devon.marsh@praxafresh.com,2026-08-10,2026-08-24,1200,paid,Project line,,
INV-2026-1049,Edgewater Food Journal,m.chen@edgewaterfoodjournal.com,2026-09-24,2026-10-08,1800,paid,Project line,,
INV-2026-1050,Praxa Fresh,devon.marsh@praxafresh.com,2026-08-27,2026-09-10,800,paid,Project line,,
INV-2026-1051,Estrela Restaurant,ana.moreira@gmail.com,2026-09-17,2026-10-01,1800,paid,Project line,,
INV-2026-1052,Praxa Fresh,devon.marsh@praxafresh.com,2026-09-10,2026-09-24,800,paid,Project line,,
INV-2026-1053,Hatch Beverages,brittany@hatchbev.co,2026-09-08,2026-09-22,1500,paid,Project line,,
INV-2026-1054,Print buyer collective,collector@gmail.com,2026-07-02,2026-07-16,400,paid,Project line,,
INV-2026-1055,Print buyer collective,collector@gmail.com,2026-07-16,2026-07-30,1500,open,Project line,,
INV-2026-1056,Premix Brunch,marcus@premixbrunch.com,2026-07-21,2026-08-04,1800,paid,Project line,,
INV-2026-1057,Tangerine Magazine,priya.shah@tangerinemag.com,2026-09-17,2026-10-01,1800,paid,Project line,,
INV-2026-1058,Estrela Restaurant,ana.moreira@gmail.com,2026-07-09,2026-07-23,400,paid,Project line,,
INV-2026-1059,Tangerine Magazine,priya.shah@tangerinemag.com,2026-07-22,2026-08-05,2200,paid,Project line,,
INV-2026-1060,Praxa Fresh,devon.marsh@praxafresh.com,2026-09-10,2026-09-24,1800,paid,Project line,,
INV-2026-1061,Sweetleaf Coffee,ar@sweetleaf.com,2026-08-23,2026-09-06,2200,paid,Project line,,
INV-2026-1062,Stocksy licensee A,licensee.a@gmail.com,2026-08-01,2026-08-15,3000,paid,Project line,,
INV-2026-1063,Stocksy licensee A,licensee.a@gmail.com,2026-08-15,2026-08-29,1800,paid,Project line,,
INV-2026-1064,Hatch Beverages,brittany@hatchbev.co,2026-07-10,2026-07-24,1500,paid,Project line,,
INV-2026-1065,Tangerine Magazine,priya.shah@tangerinemag.com,2026-07-15,2026-07-29,800,paid,Project line,,
INV-2026-1066,Tangerine Magazine,priya.shah@tangerinemag.com,2026-09-20,2026-10-04,400,paid,Project line,,
INV-2026-1067,Tangerine Magazine,priya.shah@tangerinemag.com,2026-07-27,2026-08-10,1500,paid,Project line,,
INV-2026-1068,Sweetleaf Coffee,ar@sweetleaf.com,2026-09-14,2026-09-28,500,paid,Project line,,
INV-2026-1069,Tangerine Magazine,priya.shah@tangerinemag.com,2026-08-01,2026-08-15,2200,paid,Project line,,
INV-2026-1070,Tangerine Magazine,priya.shah@tangerinemag.com,2026-07-11,2026-07-25,800,paid,Project line,,
INV-2026-1071,Praxa Fresh,devon.marsh@praxafresh.com,2026-07-14,2026-07-28,2200,paid,Project line,,
INV-2026-1072,Tangerine Magazine,priya.shah@tangerinemag.com,2026-08-15,2026-08-29,3000,paid,Project line,,
INV-2026-1073,Premix Brunch,marcus@premixbrunch.com,2026-09-25,2026-10-09,500,paid,Project line,,
INV-2026-1074,Premix Brunch,marcus@premixbrunch.com,2026-07-28,2026-08-11,2200,paid,Project line,,
INV-2026-1075,Edgewater Food Journal,m.chen@edgewaterfoodjournal.com,2026-09-25,2026-10-09,1800,paid,Project line,,
INV-2026-1076,Edgewater Food Journal,m.chen@edgewaterfoodjournal.com,2026-08-23,2026-09-06,2200,paid,Project line,,
INV-2026-1077,Praxa Fresh,devon.marsh@praxafresh.com,2026-07-13,2026-07-27,3000,open,Project line,,
INV-2026-1078,Premix Brunch,marcus@premixbrunch.com,2026-08-04,2026-08-18,2200,paid,Project line,,
INV-2026-1079,Stocksy licensee A,licensee.a@gmail.com,2026-08-26,2026-09-09,800,open,Project line,,
INV-2026-1080,Sweetleaf Coffee,ar@sweetleaf.com,2026-07-14,2026-07-28,2200,paid,Project line,,
INV-2026-1081,Sweetleaf Coffee,ar@sweetleaf.com,2026-09-07,2026-09-21,3000,paid,Project line,,
INV-2026-1082,Tangerine Magazine,priya.shah@tangerinemag.com,2026-09-06,2026-09-20,1200,paid,Project line,,
INV-2026-1083,Oatly,sophie.lindqvist@oatly.com,2026-09-28,2026-10-12,400,paid,Project line,,
INV-2026-1084,Praxa Fresh,devon.marsh@praxafresh.com,2026-07-25,2026-08-08,1800,overdue,Project line,,
INV-2026-1085,Oatly,sophie.lindqvist@oatly.com,2026-08-26,2026-09-09,1500,paid,Project line,,
INV-2026-1086,Premix Brunch,marcus@premixbrunch.com,2026-08-08,2026-08-22,800,void,Project line,,
INV-2026-1087,Stocksy licensee A,licensee.a@gmail.com,2026-09-22,2026-10-06,400,paid,Project line,,
INV-2026-1088,Hatch Beverages,brittany@hatchbev.co,2026-07-03,2026-07-17,2200,paid,Project line,,
INV-2026-1089,Stocksy licensee A,licensee.a@gmail.com,2026-09-27,2026-10-11,3000,paid,Project line,,
INV-2026-1090,Oatly,sophie.lindqvist@oatly.com,2026-09-26,2026-10-10,1800,paid,Project line,,
INV-2026-1091,Stocksy licensee A,licensee.a@gmail.com,2026-09-09,2026-09-23,1500,paid,Project line,,
INV-2026-1092,Praxa Fresh,devon.marsh@praxafresh.com,2026-07-08,2026-07-22,2200,paid,Project line,,
INV-2026-1093,Estrela Restaurant,ana.moreira@gmail.com,2026-09-02,2026-09-16,400,paid,Project line,,
INV-2026-1094,Print buyer collective,collector@gmail.com,2026-08-21,2026-09-04,2200,paid,Project line,,
INV-2026-1095,Sweetleaf Coffee,ar@sweetleaf.com,2026-07-10,2026-07-24,1200,paid,Project line,,
INV-2026-1096,Praxa Fresh,devon.marsh@praxafresh.com,2026-09-28,2026-10-12,1800,paid,Project line,,
INV-2026-1097,Sweetleaf Coffee,ar@sweetleaf.com,2026-07-07,2026-07-21,1500,paid,Project line,,
INV-2026-1098,Tangerine Magazine,priya.shah@tangerinemag.com,2026-07-25,2026-08-08,1200,paid,Project line,,
INV-2026-1099,Edgewater Food Journal,m.chen@edgewaterfoodjournal.com,2026-09-06,2026-09-20,400,overdue,Project line,,
INV-2026-1100,Premix Brunch,marcus@premixbrunch.com,2026-08-08,2026-08-22,1800,paid,Project line,,
INV-2026-1101,Tangerine Magazine,priya.shah@tangerinemag.com,2026-09-20,2026-10-04,800,paid,Project line,,
INV-2026-1102,Sweetleaf Coffee,ar@sweetleaf.com,2026-09-27,2026-10-11,400,paid,Project line,,
INV-2026-1103,Hatch Beverages,brittany@hatchbev.co,2026-07-11,2026-07-25,800,paid,Project line,,
INV-2026-1104,Oatly,sophie.lindqvist@oatly.com,2026-08-17,2026-08-31,500,paid,Project line,,
INV-2026-1105,Sweetleaf Coffee,ar@sweetleaf.com,2026-09-05,2026-09-19,1200,paid,Project line,,
INV-2026-1106,Oatly,sophie.lindqvist@oatly.com,2026-08-23,2026-09-06,1500,paid,Project line,,
INV-2026-1107,Praxa Fresh,devon.marsh@praxafresh.com,2026-08-18,2026-09-01,1500,paid,Project line,,
INV-2026-1108,Premix Brunch,marcus@premixbrunch.com,2026-07-27,2026-08-10,1200,paid,Project line,,
INV-2026-1109,Stocksy licensee A,licensee.a@gmail.com,2026-09-14,2026-09-28,500,paid,Project line,,
INV-2026-1110,Edgewater Food Journal,m.chen@edgewaterfoodjournal.com,2026-08-04,2026-08-18,400,paid,Project line,,
INV-2026-1111,Praxa Fresh,devon.marsh@praxafresh.com,2026-07-12,2026-07-26,400,paid,Project line,,
INV-2026-1112,Estrela Restaurant,ana.moreira@gmail.com,2026-08-11,2026-08-25,500,paid,Project line,,
INV-2026-1113,Edgewater Food Journal,m.chen@edgewaterfoodjournal.com,2026-09-16,2026-09-30,500,paid,Project line,,
INV-2026-1114,Praxa Fresh,devon.marsh@praxafresh.com,2026-09-18,2026-10-02,500,paid,Project line,,
INV-2026-1115,Sweetleaf Coffee,ar@sweetleaf.com,2026-09-01,2026-09-15,1500,paid,Project line,,
INV-2026-1116,Sweetleaf Coffee,ar@sweetleaf.com,2026-09-05,2026-09-19,1200,paid,Project line,,
INV-2026-1117,Estrela Restaurant,ana.moreira@gmail.com,2026-09-14,2026-09-28,3000,paid,Project line,,
INV-2026-1118,Sweetleaf Coffee,ar@sweetleaf.com,2026-09-18,2026-10-02,1800,paid,Project line,,
INV-2026-1119,Premix Brunch,marcus@premixbrunch.com,2026-09-06,2026-09-20,400,paid,Project line,,
INV-2026-1120,Hatch Beverages,brittany@hatchbev.co,2026-07-22,2026-08-05,1200,paid,Project line,,
INV-2026-1121,Premix Brunch,marcus@premixbrunch.com,2026-09-15,2026-09-29,1200,paid,Project line,,
INV-2026-1122,Tangerine Magazine,priya.shah@tangerinemag.com,2026-07-22,2026-08-05,3000,paid,Project line,,
INV-2026-1123,Praxa Fresh,devon.marsh@praxafresh.com,2026-09-13,2026-09-27,1800,paid,Project line,,
INV-2026-1124,Tangerine Magazine,priya.shah@tangerinemag.com,2026-09-08,2026-09-22,2200,paid,Project line,,
INV-2026-1125,Premix Brunch,marcus@premixbrunch.com,2026-07-19,2026-08-02,3000,paid,Project line,,
INV-2026-1126,Print buyer collective,collector@gmail.com,2026-07-11,2026-07-25,500,paid,Project line,,
INV-2026-1127,Premix Brunch,marcus@premixbrunch.com,2026-09-28,2026-10-12,3000,paid,Project line,,
INV-2026-1128,Hatch Beverages,brittany@hatchbev.co,2026-08-21,2026-09-04,400,paid,Project line,,
INV-2026-1129,Sweetleaf Coffee,ar@sweetleaf.com,2026-09-01,2026-09-15,1200,paid,Project line,,
INV-2026-1130,Edgewater Food Journal,m.chen@edgewaterfoodjournal.com,2026-09-08,2026-09-22,1500,open,Project line,,
INV-2026-1131,Hatch Beverages,brittany@hatchbev.co,2026-07-15,2026-07-29,2200,overdue,Project line,,
INV-2026-1132,Estrela Restaurant,ana.moreira@gmail.com,2026-07-02,2026-07-16,3000,paid,Project line,,
INV-2026-1133,Print buyer collective,collector@gmail.com,2026-08-07,2026-08-21,1800,paid,Project line,,
INV-2026-1134,Hatch Beverages,brittany@hatchbev.co,2026-09-18,2026-10-02,400,paid,Project line,,
INV-2026-1135,Print buyer collective,collector@gmail.com,2026-08-04,2026-08-18,400,paid,Project line,,
INV-2026-1136,Print buyer collective,collector@gmail.com,2026-08-18,2026-09-01,800,open,Project line,,
INV-2026-1137,Hatch Beverages,brittany@hatchbev.co,2026-08-02,2026-08-16,500,paid,Project line,,
INV-2026-1138,Premix Brunch,marcus@premixbrunch.com,2026-08-23,2026-09-06,2200,paid,Project line,,
INV-2026-1139,Stocksy licensee A,licensee.a@gmail.com,2026-08-03,2026-08-17,1200,paid,Project line,,
INV-2026-1140,Print buyer collective,collector@gmail.com,2026-09-18,2026-10-02,1500,paid,Project line,,
INV-2026-1141,Tangerine Magazine,priya.shah@tangerinemag.com,2026-09-09,2026-09-23,1800,paid,Project line,,
INV-2026-1142,Oatly,sophie.lindqvist@oatly.com,2026-08-23,2026-09-06,1200,paid,Project line,,
INV-2026-1143,Hatch Beverages,brittany@hatchbev.co,2026-08-16,2026-08-30,400,paid,Project line,,
INV-2026-1144,Stocksy licensee A,licensee.a@gmail.com,2026-09-22,2026-10-06,1500,paid,Project line,,
INV-2026-1145,Premix Brunch,marcus@premixbrunch.com,2026-07-09,2026-07-23,1800,paid,Project line,,
INV-2026-1146,Edgewater Food Journal,m.chen@edgewaterfoodjournal.com,2026-07-18,2026-08-01,2200,paid,Project line,,
INV-2026-1147,Praxa Fresh,devon.marsh@praxafresh.com,2026-09-19,2026-10-03,1500,paid,Project line,,
INV-2026-1148,Hatch Beverages,brittany@hatchbev.co,2026-07-21,2026-08-04,800,paid,Project line,,
INV-2026-1149,Premix Brunch,marcus@premixbrunch.com,2026-09-02,2026-09-16,2200,paid,Project line,,
INV-2026-1150,Premix Brunch,marcus@premixbrunch.com,2026-08-04,2026-08-18,400,paid,Project line,,
INV-2026-1151,Edgewater Food Journal,m.chen@edgewaterfoodjournal.com,2026-09-24,2026-10-08,3000,paid,Project line,,
INV-2026-1152,Praxa Fresh,devon.marsh@praxafresh.com,2026-08-22,2026-09-05,3000,paid,Project line,,
INV-2026-1153,Edgewater Food Journal,m.chen@edgewaterfoodjournal.com,2026-09-03,2026-09-17,500,paid,Project line,,
INV-2026-1154,Estrela Restaurant,ana.moreira@gmail.com,2026-07-24,2026-08-07,1500,paid,Project line,,
INV-2026-1155,Premix Brunch,marcus@premixbrunch.com,2026-08-08,2026-08-22,500,paid,Project line,,
