sf_account_id,name_or_org,last_gift_year,last_gift_amount_usd,tags_primary,tags_secondary,notes,external_trust_id,last_contact_ts
SF-LEG-0241,Calvin Drummond,2023,3493,Legacy Donor,annual-fund-2000s,"Standard legacy donor record, last contact 2026.",,2026-05-15T10:00:00-05:00
SF-LEG-0242,Beatrice Beaumont,2024,3566,Legacy Donor,birmingham-circle,"Standard legacy donor record, last contact 2024.",,2026-04-16T10:00:00-05:00
SF-LEG-0243,Floyd Fleming,2025,3639,Legacy Donor,annual-fund-2000s,"Standard legacy donor record, last contact 2025.",,2026-09-17T10:00:00-05:00
SF-LEG-0244,Della Ingram Estate,2015,3712,Legacy Donor,birmingham-circle,"Standard legacy donor record, last contact 2026.",,2026-08-18T10:00:00-05:00
SF-LEG-0245,Hubert Linwood,2016,3785,Legacy Donor,annual-fund-2000s,"Standard legacy donor record, last contact 2024.",,2026-07-19T10:00:00-05:00
SF-LEG-0246,Velma Osterman,2017,3858,Legacy Donor,birmingham-circle,"Standard legacy donor record, last contact 2025.",,2026-06-20T10:00:00-05:00
SF-LEG-0247,Edgar Ravenscroft,2018,3931,Legacy Donor,annual-fund-2000s,"Standard legacy donor record, last contact 2026.",,2026-05-21T10:00:00-05:00
SF-LEG-0248,Cora Underwood Estate,2019,4004,Legacy Donor,birmingham-circle,"Standard legacy donor record, last contact 2024.",,2026-04-22T10:00:00-05:00
SF-LEG-0249,Wendell Yardley,2020,4077,Legacy Donor,annual-fund-2000s,"Standard legacy donor record, last contact 2025.",,2026-09-23T10:00:00-05:00
SF-LEG-0250,Lula Whitcomb,2021,4150,Legacy Donor,birmingham-circle,"Standard legacy donor record, last contact 2026.",,2026-08-24T10:00:00-05:00
SF-LEG-0251,Curtis Drummond,2022,4223,Legacy Donor,annual-fund-2000s,"Standard legacy donor record, last contact 2024.",,2026-07-25T10:00:00-05:00
SF-LEG-0252,Inez Beaumont Estate,2023,4296,Legacy Donor,birmingham-circle,"Standard legacy donor record, last contact 2025.",,2026-06-26T10:00:00-05:00
SF-LEG-0253,Earnest Fleming,2024,4369,Legacy Donor,annual-fund-2000s,"Standard legacy donor record, last contact 2026.",,2026-05-27T10:00:00-05:00
SF-LEG-0254,Ruby Ingram,2025,4442,Legacy Donor,birmingham-circle,"Standard legacy donor record, last contact 2024.",,2026-04-01T10:00:00-05:00
SF-LEG-0255,Jasper Linwood,2015,4515,Legacy Donor,annual-fund-2000s,"Standard legacy donor record, last contact 2025.",,2026-09-02T10:00:00-05:00
SF-LEG-0256,Etta Osterman Estate,2016,4588,Legacy Donor,birmingham-circle,"Standard legacy donor record, last contact 2026.",,2026-08-03T10:00:00-05:00
SF-LEG-0257,Murray Ravenscroft,2017,4661,Legacy Donor,annual-fund-2000s,"Standard legacy donor record, last contact 2024.",,2026-07-04T10:00:00-05:00
SF-LEG-0258,Nellie Underwood,2018,4734,Legacy Donor,birmingham-circle,"Standard legacy donor record, last contact 2025.",,2026-06-05T10:00:00-05:00
SF-LEG-0259,Percy Yardley,2019,4807,Legacy Donor,annual-fund-2000s,"Standard legacy donor record, last contact 2026.",,2026-05-06T10:00:00-05:00
SF-LEG-0260,Eleanor Whitcomb Estate,2020,4880,Legacy Donor,birmingham-circle,"Standard legacy donor record, last contact 2024.",,2026-04-07T10:00:00-05:00
SF-LEG-0261,Roosevelt Drummond,2021,4953,Legacy Donor,annual-fund-2000s,"Standard legacy donor record, last contact 2025.",,2026-09-08T10:00:00-05:00
SF-LEG-0262,Mabel Beaumont,2022,526,Legacy Donor,birmingham-circle,"Standard legacy donor record, last contact 2026.",,2026-08-09T10:00:00-05:00
SF-LEG-0263,Charles Fleming,2023,599,Legacy Donor,annual-fund-2000s,"Standard legacy donor record, last contact 2024.",,2026-07-10T10:00:00-05:00
SF-LEG-0264,Hazel Ingram Estate,2024,672,Legacy Donor,birmingham-circle,"Standard legacy donor record, last contact 2025.",,2026-06-11T10:00:00-05:00
SF-LEG-0265,Otis Linwood,2025,745,Legacy Donor,annual-fund-2000s,"Standard legacy donor record, last contact 2026.",,2026-05-12T10:00:00-05:00
SF-LEG-0266,Pearl Osterman,2015,818,Legacy Donor,birmingham-circle,"Standard legacy donor record, last contact 2024.",,2026-04-13T10:00:00-05:00
SF-LEG-0267,Lemuel Ravenscroft,2016,891,Legacy Donor,annual-fund-2000s,"Standard legacy donor record, last contact 2025.",,2026-09-14T10:00:00-05:00
SF-LEG-0268,Wilma Underwood Estate,2017,964,Legacy Donor,birmingham-circle,"Standard legacy donor record, last contact 2026.",,2026-08-15T10:00:00-05:00
SF-LEG-0269,Harold Yardley,2018,1037,Legacy Donor,annual-fund-2000s,"Standard legacy donor record, last contact 2024.",,2026-07-16T10:00:00-05:00
SF-LEG-0270,Ida Whitcomb,2019,1110,Legacy Donor,birmingham-circle,"Standard legacy donor record, last contact 2025.",,2026-06-17T10:00:00-05:00
SF-LEG-0271,Calvin Drummond,2020,1183,Legacy Donor,annual-fund-2000s,"Standard legacy donor record, last contact 2026.",,2026-05-18T10:00:00-05:00
SF-LEG-0272,Beatrice Beaumont Estate,2021,1256,Legacy Donor,birmingham-circle,"Standard legacy donor record, last contact 2024.",,2026-04-19T10:00:00-05:00
SF-LEG-0273,Floyd Fleming,2022,1329,Legacy Donor,annual-fund-2000s,"Standard legacy donor record, last contact 2025.",,2026-09-20T10:00:00-05:00
SF-LEG-0274,Della Ingram,2023,1402,Legacy Donor,birmingham-circle,"Standard legacy donor record, last contact 2026.",,2026-08-21T10:00:00-05:00
SF-LEG-0275,Hubert Linwood,2024,1475,Legacy Donor,annual-fund-2000s,"Standard legacy donor record, last contact 2024.",,2026-07-22T10:00:00-05:00
SF-LEG-0276,Velma Osterman Estate,2025,1548,Legacy Donor,birmingham-circle,"Standard legacy donor record, last contact 2025.",,2026-06-23T10:00:00-05:00
SF-LEG-0277,Edgar Ravenscroft,2015,1621,Legacy Donor,annual-fund-2000s,"Standard legacy donor record, last contact 2026.",,2026-05-24T10:00:00-05:00
SF-LEG-0278,Cora Underwood,2016,1694,Legacy Donor,birmingham-circle,"Standard legacy donor record, last contact 2024.",,2026-04-25T10:00:00-05:00
SF-LEG-0279,Wendell Yardley,2017,1767,Legacy Donor,annual-fund-2000s,"Standard legacy donor record, last contact 2025.",,2026-09-26T10:00:00-05:00
SF-LEG-0280,Lula Whitcomb Estate,2018,1840,Legacy Donor,birmingham-circle,"Standard legacy donor record, last contact 2026.",,2026-08-27T10:00:00-05:00
SF-LEG-0281,Curtis Drummond,2019,1913,Legacy Donor,annual-fund-2000s,"Standard legacy donor record, last contact 2024.",,2026-07-01T10:00:00-05:00
SF-LEG-0282,Inez Beaumont,2020,1986,Legacy Donor,birmingham-circle,"Standard legacy donor record, last contact 2025.",,2026-06-02T10:00:00-05:00
SF-LEG-0283,Earnest Fleming,2021,2059,Legacy Donor,annual-fund-2000s,"Standard legacy donor record, last contact 2026.",,2026-05-03T10:00:00-05:00
SF-LEG-0284,Ruby Ingram Estate,2022,2132,Legacy Donor,birmingham-circle,"Standard legacy donor record, last contact 2024.",,2026-04-04T10:00:00-05:00
SF-LEG-0285,Jasper Linwood,2023,2205,Legacy Donor,annual-fund-2000s,"Standard legacy donor record, last contact 2025.",,2026-09-05T10:00:00-05:00
SF-LEG-0286,Etta Osterman,2024,2278,Legacy Donor,birmingham-circle,"Standard legacy donor record, last contact 2026.",,2026-08-06T10:00:00-05:00
SF-LEG-0287,Murray Ravenscroft,2025,2351,Legacy Donor,annual-fund-2000s,"Standard legacy donor record, last contact 2024.",,2026-07-07T10:00:00-05:00
SF-LEG-0288,Nellie Underwood Estate,2015,2424,Legacy Donor,birmingham-circle,"Standard legacy donor record, last contact 2025.",,2026-06-08T10:00:00-05:00
SF-LEG-0289,Percy Yardley,2016,2497,Legacy Donor,annual-fund-2000s,"Standard legacy donor record, last contact 2026.",,2026-05-09T10:00:00-05:00
SF-LEG-0290,Eleanor Whitcomb,2017,2570,Legacy Donor,birmingham-circle,"Standard legacy donor record, last contact 2024.",,2026-04-10T10:00:00-05:00
SF-LEG-0291,Roosevelt Drummond,2018,2643,Legacy Donor,annual-fund-2000s,"Standard legacy donor record, last contact 2025.",,2026-09-11T10:00:00-05:00
SF-LEG-0292,Mabel Beaumont Estate,2019,2716,Legacy Donor,birmingham-circle,"Standard legacy donor record, last contact 2026.",,2026-08-12T10:00:00-05:00
SF-LEG-0293,Charles Fleming,2020,2789,Legacy Donor,annual-fund-2000s,"Standard legacy donor record, last contact 2024.",,2026-07-13T10:00:00-05:00
SF-LEG-0294,Hazel Ingram,2021,2862,Legacy Donor,birmingham-circle,"Standard legacy donor record, last contact 2025.",,2026-06-14T10:00:00-05:00
SF-LEG-0295,Otis Linwood,2022,2935,Legacy Donor,annual-fund-2000s,"Standard legacy donor record, last contact 2026.",,2026-05-15T10:00:00-05:00
SF-LEG-0296,Pearl Osterman Estate,2023,3008,Legacy Donor,birmingham-circle,"Standard legacy donor record, last contact 2024.",,2026-04-16T10:00:00-05:00
SF-LEG-0297,Lemuel Ravenscroft,2024,3081,Legacy Donor,annual-fund-2000s,"Standard legacy donor record, last contact 2025.",,2026-09-17T10:00:00-05:00
SF-LEG-0298,Wilma Underwood,2025,3154,Legacy Donor,birmingham-circle,"Standard legacy donor record, last contact 2026.",,2026-08-18T10:00:00-05:00
SF-LEG-0299,Harold Yardley,2015,3227,Legacy Donor,annual-fund-2000s,"Standard legacy donor record, last contact 2024.",,2026-07-19T10:00:00-05:00
SF-LEG-0300,Ida Whitcomb Estate,2016,3300,Legacy Donor,birmingham-circle,"Standard legacy donor record, last contact 2025.",,2026-06-20T10:00:00-05:00
SF-LEG-0301,Calvin Drummond,2017,3373,Legacy Donor,annual-fund-2000s,"Standard legacy donor record, last contact 2026.",,2026-05-21T10:00:00-05:00
SF-LEG-0302,Beatrice Beaumont,2018,3446,Legacy Donor,birmingham-circle,"Standard legacy donor record, last contact 2024.",,2026-04-22T10:00:00-05:00
SF-LEG-0303,Floyd Fleming,2019,3519,Legacy Donor,annual-fund-2000s,"Standard legacy donor record, last contact 2025.",,2026-09-23T10:00:00-05:00
SF-LEG-0304,Della Ingram Estate,2020,3592,Legacy Donor,birmingham-circle,"Standard legacy donor record, last contact 2026.",,2026-08-24T10:00:00-05:00
SF-LEG-0305,Hubert Linwood,2021,3665,Legacy Donor,annual-fund-2000s,"Standard legacy donor record, last contact 2024.",,2026-07-25T10:00:00-05:00
SF-LEG-0306,Velma Osterman,2022,3738,Legacy Donor,birmingham-circle,"Standard legacy donor record, last contact 2025.",,2026-06-26T10:00:00-05:00
SF-LEG-0307,Edgar Ravenscroft,2023,3811,Legacy Donor,annual-fund-2000s,"Standard legacy donor record, last contact 2026.",,2026-05-27T10:00:00-05:00
