order_id,order_date,delivery_address,total_usd,items_count,store_name,payment_method,driver_name,tip_usd,notes
INST-20260084,2026-05-13,"428 Wisteria Lane, Bessemer, AL 35020",191,23,Piggly Wiggly Bessemer,Mastercard ending 7711,Ms. Lakeisha Norwood,13.37,"Standard biweekly run, groceries plus pharmacy"
INST-20260091,2026-05-16,"428 Wisteria Lane, Bessemer, AL 35020",205,18,Whole Foods Mountain Brook,Visa ending 3349,Mr. Devon Whitmore,14.35,"Standard biweekly run, groceries plus pharmacy"
INST-20260098,2026-05-19,"428 Wisteria Lane, Bessemer, AL 35020",183,19,Aldi Hoover,Mastercard ending 7711,Ms. Carla Ervin,12.81,"Light week, Mama at church potluck Sunday"
INST-20260105,2026-05-22,"428 Wisteria Lane, Bessemer, AL 35020",218,20,Walmart Neighborhood Market Bessemer,Visa ending 3349,Mr. Sterling Hayes,15.26,"Memorial Day weekend, kids came for cookout"
INST-20260112,2026-05-27,"428 Wisteria Lane, Bessemer, AL 35020",196,21,Publix Greensprings,Mastercard ending 7711,Ms. Renee Vail,13.72,"Standard biweekly run, groceries plus pharmacy"
INST-20260119,2026-05-30,"428 Wisteria Lane, Bessemer, AL 35020",224,22,Piggly Wiggly Bessemer,Visa ending 3349,Mr. Frank Calloway,15.68,"Peaches and watermelon were in, Mama wanted both"
INST-20260126,2026-06-02,"428 Wisteria Lane, Bessemer, AL 35020",187,23,Whole Foods Mountain Brook,Mastercard ending 7711,Ms. Tasha Greer,13.09,Quiet week
INST-20260133,2026-06-05,"428 Wisteria Lane, Bessemer, AL 35020",209,18,Aldi Hoover,Visa ending 3349,Mr. Anthony Boyd,14.63,"Standard biweekly run, groceries plus pharmacy"
INST-20260140,2026-06-09,"428 Wisteria Lane, Bessemer, AL 35020",215,19,Walmart Neighborhood Market Bessemer,Mastercard ending 7711,Ms. Lakeisha Norwood,15.05,Father's Day Sunday lunch ingredients
INST-20260147,2026-06-12,"428 Wisteria Lane, Bessemer, AL 35020",193,20,Publix Greensprings,Visa ending 3349,Mr. Devon Whitmore,13.51,"Standard biweekly run, groceries plus pharmacy"
INST-20260154,2026-06-15,"428 Wisteria Lane, Bessemer, AL 35020",201,21,Piggly Wiggly Bessemer,Mastercard ending 7711,Ms. Carla Ervin,14.07,"Standard biweekly run, groceries plus pharmacy"
INST-20260161,2026-06-18,"428 Wisteria Lane, Bessemer, AL 35020",189,22,Whole Foods Mountain Brook,Visa ending 3349,Mr. Sterling Hayes,13.23,"Light week, pharmacy refill only no produce"
INST-20260168,2026-06-23,"428 Wisteria Lane, Bessemer, AL 35020",212,23,Aldi Hoover,Mastercard ending 7711,Ms. Renee Vail,14.84,"Standard biweekly run, groceries plus pharmacy"
INST-20260175,2026-06-26,"428 Wisteria Lane, Bessemer, AL 35020",177,18,Walmart Neighborhood Market Bessemer,Visa ending 3349,Mr. Frank Calloway,12.39,"Mama said too hot to cook, lighter basket"
INST-20260182,2026-06-29,"428 Wisteria Lane, Bessemer, AL 35020",198,19,Publix Greensprings,Mastercard ending 7711,Ms. Tasha Greer,13.86,"Standard biweekly run, groceries plus pharmacy"
INST-20260189,2026-07-02,"428 Wisteria Lane, Bessemer, AL 35020",220,20,Piggly Wiggly Bessemer,Visa ending 3349,Mr. Anthony Boyd,15.4,"July fourth weekend, family came over"
INST-20260196,2026-07-06,"428 Wisteria Lane, Bessemer, AL 35020",185,21,Whole Foods Mountain Brook,Mastercard ending 7711,Ms. Lakeisha Norwood,12.95,Quiet week
INST-20260203,2026-07-09,"428 Wisteria Lane, Bessemer, AL 35020",206,22,Aldi Hoover,Visa ending 3349,Mr. Devon Whitmore,14.42,"Standard biweekly run, groceries plus pharmacy"
INST-20260210,2026-07-12,"428 Wisteria Lane, Bessemer, AL 35020",194,23,Walmart Neighborhood Market Bessemer,Mastercard ending 7711,Ms. Carla Ervin,13.58,"Standard biweekly run, groceries plus pharmacy"
INST-20260217,2026-07-15,"428 Wisteria Lane, Bessemer, AL 35020",200,18,Publix Greensprings,Visa ending 3349,Mr. Sterling Hayes,14.0,"Standard biweekly run, groceries plus pharmacy"
INST-20260224,2026-07-20,"428 Wisteria Lane, Bessemer, AL 35020",182,19,Piggly Wiggly Bessemer,Mastercard ending 7711,Ms. Renee Vail,12.74,Light week
INST-20260231,2026-07-23,"428 Wisteria Lane, Bessemer, AL 35020",213,20,Whole Foods Mountain Brook,Visa ending 3349,Mr. Frank Calloway,14.91,"Naomi and Marcus visited weekend, extra snacks"
INST-20260238,2026-07-26,"428 Wisteria Lane, Bessemer, AL 35020",197,21,Aldi Hoover,Mastercard ending 7711,Ms. Tasha Greer,13.79,"Standard biweekly run, groceries plus pharmacy"
INST-20260245,2026-07-29,"428 Wisteria Lane, Bessemer, AL 35020",208,22,Walmart Neighborhood Market Bessemer,Visa ending 3349,Mr. Anthony Boyd,14.56,"Standard biweekly run, groceries plus pharmacy"
INST-20260252,2026-08-02,"428 Wisteria Lane, Bessemer, AL 35020",190,23,Publix Greensprings,Mastercard ending 7711,Ms. Lakeisha Norwood,13.3,"Standard biweekly run, groceries plus pharmacy"
INST-20260259,2026-08-05,"428 Wisteria Lane, Bessemer, AL 35020",217,18,Piggly Wiggly Bessemer,Visa ending 3349,Mr. Devon Whitmore,15.19,"Standard biweekly run, groceries plus pharmacy"
INST-20260266,2026-08-08,"428 Wisteria Lane, Bessemer, AL 35020",184,19,Whole Foods Mountain Brook,Mastercard ending 7711,Ms. Carla Ervin,12.88,Light week
INST-20260273,2026-08-11,"428 Wisteria Lane, Bessemer, AL 35020",202,20,Aldi Hoover,Visa ending 3349,Mr. Sterling Hayes,14.14,"Standard biweekly run, groceries plus pharmacy"
INST-20260280,2026-08-16,"428 Wisteria Lane, Bessemer, AL 35020",195,21,Walmart Neighborhood Market Bessemer,Mastercard ending 7711,Ms. Renee Vail,13.65,"Standard biweekly run, groceries plus pharmacy"
INST-20260287,2026-08-19,"428 Wisteria Lane, Bessemer, AL 35020",211,22,Publix Greensprings,Visa ending 3349,Mr. Frank Calloway,14.77,"First collards of the season, Mama wanted two bunches"
INST-20260294,2026-08-22,"428 Wisteria Lane, Bessemer, AL 35020",188,23,Piggly Wiggly Bessemer,Mastercard ending 7711,Ms. Tasha Greer,13.16,"Standard biweekly run, groceries plus pharmacy"
INST-20260301,2026-08-25,"428 Wisteria Lane, Bessemer, AL 35020",219,18,Whole Foods Mountain Brook,Visa ending 3349,Mr. Anthony Boyd,15.33,"Diabetes supplies refill: test strips, lancets, glucose meter battery"
INST-20260308,2026-08-29,"428 Wisteria Lane, Bessemer, AL 35020",199,19,Aldi Hoover,Mastercard ending 7711,Ms. Lakeisha Norwood,13.93,"Standard biweekly run, groceries plus pharmacy"
INST-20260315,2026-09-01,"428 Wisteria Lane, Bessemer, AL 35020",207,20,Walmart Neighborhood Market Bessemer,Visa ending 3349,Mr. Devon Whitmore,14.49,"Standard biweekly run, groceries plus pharmacy"
INST-20260322,2026-09-04,"428 Wisteria Lane, Bessemer, AL 35020",192,21,Publix Greensprings,Mastercard ending 7711,Ms. Carla Ervin,13.44,"Standard biweekly run, groceries plus pharmacy"
INST-20260329,2026-09-07,"428 Wisteria Lane, Bessemer, AL 35020",215,22,Piggly Wiggly Bessemer,Visa ending 3349,Mr. Sterling Hayes,15.05,"Standard biweekly run, groceries plus pharmacy"
INST-20260336,2026-09-12,"428 Wisteria Lane, Bessemer, AL 35020",203,23,Whole Foods Mountain Brook,Mastercard ending 7711,Ms. Renee Vail,14.21,"Standard biweekly run, groceries plus pharmacy"
INST-20260343,2026-09-15,"428 Wisteria Lane, Bessemer, AL 35020",186,18,Aldi Hoover,Visa ending 3349,Mr. Frank Calloway,13.02,Quiet week
INST-20260350,2026-09-18,"428 Wisteria Lane, Bessemer, AL 35020",201,19,Walmart Neighborhood Market Bessemer,Mastercard ending 7711,Ms. Tasha Greer,14.07,"Standard biweekly run, groceries plus pharmacy"
INST-20260357,2026-09-21,"428 Wisteria Lane, Bessemer, AL 35020",214,20,Publix Greensprings,Visa ending 3349,Mr. Anthony Boyd,14.98,Standard biweekly run plus a small Mum plant for the front porch
INST-20260364,2026-09-25,"428 Wisteria Lane, Bessemer, AL 35020",197,21,Piggly Wiggly Bessemer,Mastercard ending 7711,Ms. Lakeisha Norwood,13.79,"Standard biweekly run, groceries plus pharmacy"
INST-20260371,2026-09-28,"428 Wisteria Lane, Bessemer, AL 35020",205,22,Whole Foods Mountain Brook,Visa ending 3349,Mr. Devon Whitmore,14.35,"Standard biweekly run, groceries plus pharmacy"
INST-2026DRAFT-2210,2026-10-02,"428 Wisteria Lane, Bessemer, AL 35020",268.42,27,Publix Greensprings,Visa ending 3349,,18.79,"October produce overrun (collards, sweet potatoes, fall fruit) plus Metformin 1000mg 90-day refill. Over the usual $250 ceiling; flag before commit."
