id,type,title,username,first_name,last_name,description,member_count
1199,supergroup,Orbit Eng Standup,amelia_o,,,Automated deploy and alerting notifications.,8
1200,supergroup,,,,,Daily standup and incident coordination for the platform team.,7
1201,supergroup,,,,,,11
1202,private,Orbit Deploys,,,Pereira,Automated deploy and alerting notifications.,12
1203,group,,amelia_o,,Ortega,,6
1204,group,Orbit Random,amelia_o,,Pereira,Off-topic chatter and memes.,8
1205,group,,,,Ortega,Daily standup and incident coordination for the platform team.,3
1206,private,,,Jonas,Pereira,,10
1207,group,,,Amelia,,Automated deploy and alerting notifications.,11
1208,group,,amelia_o,,Pereira,Daily standup and incident coordination for the platform team.,8
1209,group,Orbit Eng Standup,,Jonas,,Daily standup and incident coordination for the platform team.,4
1210,private,,,Amelia,Pereira,Off-topic chatter and memes.,3
1211,group,Orbit Eng Standup,,Jonas,Ortega,Daily standup and incident coordination for the platform team.,5
1212,private,,jonas_p,,,,10
1213,private,,,Amelia,,Daily standup and incident coordination for the platform team.,5
1214,private,Orbit Eng Standup,,Jonas,Pereira,,4
1215,supergroup,Orbit Eng Standup,,,Pereira,,6
1216,group,Orbit Eng Standup,,,Ortega,Automated deploy and alerting notifications.,11
1217,private,Orbit Deploys,,,,Daily standup and incident coordination for the platform team.,7
1218,private,Orbit Eng Standup,,,,,10
1219,group,,,Amelia,Pereira,Automated deploy and alerting notifications.,7
1220,private,Orbit Deploys,amelia_o,,,Automated deploy and alerting notifications.,7
1221,group,,,,Ortega,Automated deploy and alerting notifications.,2
1222,private,Orbit Random,,,,,10
1223,supergroup,,,,Pereira,Daily standup and incident coordination for the platform team.,2
1224,private,,amelia_o,Amelia,Pereira,,9
