student_name,week,site,hours,preceptor_score,clinical_gap,eval_date
Sophie Randall,Week 8,Roane State Community Clinic,12,4,no gap,2026-12-04
Justin Miles,Week 1,Turkey Creek Medical,12,4,no gap,2026-10-16
Justin Miles,Week 2,Turkey Creek Medical,12,4,no gap,2026-10-23
Justin Miles,Week 3,Turkey Creek Medical,14,4,no gap,2026-10-30
Justin Miles,Week 4,Turkey Creek Medical,10,4,no gap,2026-11-06
Justin Miles,Week 5,Turkey Creek Medical,12,3,gap: minor documentation,2026-11-13
Justin Miles,Week 6,Turkey Creek Medical,12,3,gap: minor documentation,2026-11-20
Justin Miles,Week 7,Turkey Creek Medical,14,3,gap: minor documentation,2026-11-27
Justin Miles,Week 8,Turkey Creek Medical,12,4,no gap,2026-12-04
Anna Wexler,Week 1,Parkwest Hospital,12,4,no gap,2026-10-16
Anna Wexler,Week 2,Parkwest Hospital,10,4,no gap,2026-10-23
Anna Wexler,Week 3,Parkwest Hospital,10,4,no gap,2026-10-30
Anna Wexler,Week 4,Parkwest Hospital,10,4,no gap,2026-11-06
Anna Wexler,Week 5,Parkwest Hospital,12,4,no gap,2026-11-13
Anna Wexler,Week 6,Parkwest Hospital,10,4,no gap,2026-11-20
Anna Wexler,Week 7,Parkwest Hospital,10,4,no gap,2026-11-27
Anna Wexler,Week 8,Parkwest Hospital,12,4,no gap,2026-12-04
Peter Grady,Week 1,Fort Sanders Regional,12,4,no gap,2026-10-16
Peter Grady,Week 2,Fort Sanders Regional,12,4,no gap,2026-10-23
Peter Grady,Week 3,Fort Sanders Regional,14,3,gap: minor documentation,2026-10-30
Peter Grady,Week 4,Fort Sanders Regional,14,3,gap: minor documentation,2026-11-06
Peter Grady,Week 5,Fort Sanders Regional,12,4,no gap,2026-11-13
Peter Grady,Week 6,Fort Sanders Regional,12,3,gap: minor documentation,2026-11-20
Peter Grady,Week 7,Fort Sanders Regional,12,4,no gap,2026-11-27
Peter Grady,Week 8,Fort Sanders Regional,10,3,gap: minor documentation,2026-12-04
Lucia Delatte,Week 1,Turkey Creek Medical,12,4,no gap,2026-10-16
Lucia Delatte,Week 2,Turkey Creek Medical,12,4,no gap,2026-10-23
Lucia Delatte,Week 3,Turkey Creek Medical,10,4,no gap,2026-10-30
Lucia Delatte,Week 4,Turkey Creek Medical,10,4,no gap,2026-11-06
Lucia Delatte,Week 5,Turkey Creek Medical,12,3,gap: minor documentation,2026-11-13
Lucia Delatte,Week 6,Turkey Creek Medical,12,4,no gap,2026-11-20
Lucia Delatte,Week 7,Turkey Creek Medical,12,3,gap: minor documentation,2026-11-27
Lucia Delatte,Week 8,Turkey Creek Medical,12,3,gap: minor documentation,2026-12-04
Ivan Marek,Week 1,Parkwest Hospital,12,3,documentation lag,2026-10-16
Ivan Marek,Week 2,Parkwest Hospital,12,3,documentation lag,2026-10-23
Ivan Marek,Week 3,Parkwest Hospital,12,2,documentation lag,2026-10-30
Ivan Marek,Week 4,Parkwest Hospital,12,2,clinical skills below rubric,2026-11-06
Ivan Marek,Week 5,Parkwest Hospital,12,2,clinical skills below rubric,2026-11-13
Ivan Marek,Week 6,Parkwest Hospital,12,2,clinical skills below rubric,2026-11-20
Ivan Marek,Week 7,Parkwest Hospital,12,2,gap: needs one-on-one before final,2026-11-27
Ivan Marek,Week 8,Parkwest Hospital,10,2,gap: needs one-on-one before final,2026-12-04
Hannah Reeves,Week 1,Cumberland Medical,10,4,no gap,2026-10-16
Hannah Reeves,Week 2,Cumberland Medical,14,3,gap: minor documentation,2026-10-23
Hannah Reeves,Week 3,Cumberland Medical,10,3,gap: minor documentation,2026-10-30
Hannah Reeves,Week 4,Cumberland Medical,12,3,gap: minor documentation,2026-11-06
Hannah Reeves,Week 5,Cumberland Medical,12,4,no gap,2026-11-13
Hannah Reeves,Week 6,Cumberland Medical,12,4,no gap,2026-11-20
Hannah Reeves,Week 7,Cumberland Medical,10,4,no gap,2026-11-27
Hannah Reeves,Week 8,Cumberland Medical,12,3,gap: minor documentation,2026-12-04
Sam Whitfield,Week 1,Fort Sanders Regional,12,3,documentation lag,2026-10-16
Sam Whitfield,Week 2,Fort Sanders Regional,12,3,documentation lag,2026-10-23
Sam Whitfield,Week 3,Fort Sanders Regional,12,2,documentation lag,2026-10-30
Sam Whitfield,Week 4,Fort Sanders Regional,12,2,clinical skills below rubric,2026-11-06
Sam Whitfield,Week 5,Fort Sanders Regional,12,2,clinical skills below rubric,2026-11-13
Sam Whitfield,Week 6,Fort Sanders Regional,14,2,clinical skills below rubric,2026-11-20
Sam Whitfield,Week 7,Fort Sanders Regional,12,2,gap: needs one-on-one before final,2026-11-27
Sam Whitfield,Week 8,Fort Sanders Regional,12,2,gap: needs one-on-one before final,2026-12-04
Rebecca Yost,Week 1,UT Medical Center,12,4,no gap,2026-10-16
Rebecca Yost,Week 2,UT Medical Center,14,3,gap: minor documentation,2026-10-23
Rebecca Yost,Week 3,UT Medical Center,14,4,no gap,2026-10-30
Rebecca Yost,Week 4,UT Medical Center,12,3,gap: minor documentation,2026-11-06
Rebecca Yost,Week 5,UT Medical Center,10,3,gap: minor documentation,2026-11-13
Rebecca Yost,Week 6,UT Medical Center,12,4,no gap,2026-11-20
Rebecca Yost,Week 7,UT Medical Center,14,4,no gap,2026-11-27
Rebecca Yost,Week 8,UT Medical Center,10,3,gap: minor documentation,2026-12-04
Nick Palmer,Week 1,Parkwest Hospital,10,3,documentation lag,2026-10-16
Nick Palmer,Week 2,Parkwest Hospital,12,3,documentation lag,2026-10-23
Nick Palmer,Week 3,Parkwest Hospital,10,2,documentation lag,2026-10-30
Nick Palmer,Week 4,Parkwest Hospital,14,2,clinical skills below rubric,2026-11-06
Nick Palmer,Week 5,Parkwest Hospital,10,2,clinical skills below rubric,2026-11-13
Nick Palmer,Week 6,Parkwest Hospital,12,2,clinical skills below rubric,2026-11-20
Nick Palmer,Week 7,Parkwest Hospital,12,2,gap: needs one-on-one before final,2026-11-27
Nick Palmer,Week 8,Parkwest Hospital,10,2,gap: needs one-on-one before final,2026-12-04
Callie Novak,Week 1,Parkwest Hospital,14,3,gap: minor documentation,2026-10-16
Callie Novak,Week 2,Parkwest Hospital,10,4,no gap,2026-10-23
Callie Novak,Week 3,Parkwest Hospital,10,4,no gap,2026-10-30
Callie Novak,Week 4,Parkwest Hospital,14,4,no gap,2026-11-06
Callie Novak,Week 5,Parkwest Hospital,14,4,no gap,2026-11-13
Callie Novak,Week 6,Parkwest Hospital,12,4,no gap,2026-11-20
Callie Novak,Week 7,Parkwest Hospital,12,3,gap: minor documentation,2026-11-27
Callie Novak,Week 8,Parkwest Hospital,12,3,gap: minor documentation,2026-12-04
Devin Ortega,Week 1,Cumberland Medical,12,3,gap: minor documentation,2026-10-16
Devin Ortega,Week 2,Cumberland Medical,12,4,no gap,2026-10-23
Devin Ortega,Week 3,Cumberland Medical,10,3,gap: minor documentation,2026-10-30
Devin Ortega,Week 4,Cumberland Medical,14,4,no gap,2026-11-06
Devin Ortega,Week 5,Cumberland Medical,10,4,no gap,2026-11-13
Devin Ortega,Week 6,Cumberland Medical,14,3,gap: minor documentation,2026-11-20
Devin Ortega,Week 7,Cumberland Medical,14,3,gap: minor documentation,2026-11-27
Devin Ortega,Week 8,Cumberland Medical,12,4,no gap,2026-12-04
Lily Ramsey,Week 1,Blount Memorial,12,3,gap: minor documentation,2026-10-16
Lily Ramsey,Week 2,Blount Memorial,12,4,no gap,2026-10-23
Lily Ramsey,Week 3,Blount Memorial,12,3,gap: minor documentation,2026-10-30
Lily Ramsey,Week 4,Blount Memorial,12,4,no gap,2026-11-06
Lily Ramsey,Week 5,Blount Memorial,14,4,no gap,2026-11-13
Lily Ramsey,Week 6,Blount Memorial,14,3,gap: minor documentation,2026-11-20
Lily Ramsey,Week 7,Blount Memorial,10,4,no gap,2026-11-27
Lily Ramsey,Week 8,Blount Memorial,12,3,gap: minor documentation,2026-12-04
Colin Boone,Week 1,Fort Sanders Regional,14,3,gap: minor documentation,2026-10-16
Colin Boone,Week 2,Fort Sanders Regional,12,3,gap: minor documentation,2026-10-23
Colin Boone,Week 3,Fort Sanders Regional,14,4,no gap,2026-10-30
Colin Boone,Week 4,Fort Sanders Regional,12,3,gap: minor documentation,2026-11-06
Colin Boone,Week 5,Fort Sanders Regional,12,3,gap: minor documentation,2026-11-13
Colin Boone,Week 6,Fort Sanders Regional,12,4,no gap,2026-11-20
Colin Boone,Week 7,Fort Sanders Regional,10,4,no gap,2026-11-27
Colin Boone,Week 8,Fort Sanders Regional,12,3,gap: minor documentation,2026-12-04
