user_id,name,email,role,time_zone,job_title
PU00047,Nkechi Walsh,nkechi.walsh@nnu-crop.edu.ng,observer,Africa/Lagos,Grad Student
PU00048,Otobong Walsh,otobong.walsh@nnu-crop.edu.ng,responder,Africa/Lagos,Extension Officer
PU00049,Damola Walsh,damola.walsh@nnu-crop.edu.ng,responder,Africa/Lagos,Sysadmin
PU00050,Uche Walsh,uche.walsh@nnu-crop.edu.ng,responder,Africa/Lagos,SRE
PU00051,Chinelo Walsh,chinelo.walsh@nnu-crop.edu.ng,responder,Africa/Lagos,DBA
PU00052,Ngozi Walsh,ngozi.walsh@nnu-crop.edu.ng,manager,Africa/Lagos,Faculty
PU00053,Obinna Walsh,obinna.walsh@nnu-crop.edu.ng,observer,Africa/Lagos,Grad Student
PU00054,Chidi Walsh,chidi.walsh@nnu-crop.edu.ng,responder,Africa/Lagos,Extension Officer
PU00055,Ifeoma Walsh,ifeoma.walsh@nnu-crop.edu.ng,responder,Africa/Lagos,Sysadmin
PU00056,Yetunde Walsh,yetunde.walsh@nnu-crop.edu.ng,responder,Africa/Lagos,SRE
PU00057,Chukwuma Walsh,chukwuma.walsh@nnu-crop.edu.ng,responder,Africa/Lagos,DBA
PU00058,Amaka Walsh,amaka.walsh@nnu-crop.edu.ng,manager,Africa/Lagos,Faculty
PU00059,Tunde Walsh,tunde.walsh@nnu-crop.edu.ng,observer,Africa/Lagos,Grad Student
PU00060,Bukola Walsh,bukola.walsh@nnu-crop.edu.ng,responder,Africa/Lagos,Extension Officer
PU00061,Layla Bello,layla.bello@nnu-crop.edu.ng,responder,Africa/Lagos,Sysadmin
PU00062,Adaeze Bello,adaeze.bello@nnu-crop.edu.ng,responder,Africa/Lagos,SRE
PU00063,Ciaran Bello,ciaran.bello@nnu-crop.edu.ng,responder,Africa/Lagos,DBA
PU00064,Amina Bello,amina.bello@nnu-crop.edu.ng,manager,Africa/Lagos,Faculty
PU00065,Emeka Bello,emeka.bello@nnu-crop.edu.ng,observer,Africa/Lagos,Grad Student
PU00066,Ifeanyi Bello,ifeanyi.bello@nnu-crop.edu.ng,responder,Africa/Lagos,Extension Officer
PU00067,Nkechi Bello,nkechi.bello@nnu-crop.edu.ng,responder,Africa/Lagos,Sysadmin
PU00068,Otobong Bello,otobong.bello@nnu-crop.edu.ng,responder,Africa/Lagos,SRE
PU00069,Damola Bello,damola.bello@nnu-crop.edu.ng,responder,Africa/Lagos,DBA
PU00070,Uche Bello,uche.bello@nnu-crop.edu.ng,manager,Africa/Lagos,Faculty
PU00071,Chinelo Bello,chinelo.bello@nnu-crop.edu.ng,observer,Africa/Lagos,Grad Student
PU00072,Ngozi Bello,ngozi.bello@nnu-crop.edu.ng,responder,Africa/Lagos,Extension Officer
PU00073,Obinna Bello,obinna.bello@nnu-crop.edu.ng,responder,Africa/Lagos,Sysadmin
PU00074,Chidi Bello,chidi.bello@nnu-crop.edu.ng,responder,Africa/Lagos,SRE
PU00075,Ifeoma Bello,ifeoma.bello@nnu-crop.edu.ng,responder,Africa/Lagos,DBA
PU00076,Yetunde Bello,yetunde.bello@nnu-crop.edu.ng,manager,Africa/Lagos,Faculty
PU00077,Chukwuma Bello,chukwuma.bello@nnu-crop.edu.ng,observer,Africa/Lagos,Grad Student
PU00078,Amaka Bello,amaka.bello@nnu-crop.edu.ng,responder,Africa/Lagos,Extension Officer
PU00079,Tunde Bello,tunde.bello@nnu-crop.edu.ng,responder,Africa/Lagos,Sysadmin
PU00080,Bukola Bello,bukola.bello@nnu-crop.edu.ng,responder,Africa/Lagos,SRE
PU00081,Layla Fola,layla.fola@nnu-crop.edu.ng,responder,Africa/Lagos,DBA
PU00082,Adaeze Fola,adaeze.fola@nnu-crop.edu.ng,manager,Africa/Lagos,Faculty
PU00083,Ciaran Fola,ciaran.fola@nnu-crop.edu.ng,observer,Africa/Lagos,Grad Student
PU00084,Amina Fola,amina.fola@nnu-crop.edu.ng,responder,Africa/Lagos,Extension Officer
PU00085,Emeka Fola,emeka.fola@nnu-crop.edu.ng,responder,Africa/Lagos,Sysadmin
PU00086,Ifeanyi Fola,ifeanyi.fola@nnu-crop.edu.ng,responder,Africa/Lagos,SRE
PU00087,Nkechi Fola,nkechi.fola@nnu-crop.edu.ng,responder,Africa/Lagos,DBA
PU00088,Otobong Fola,otobong.fola@nnu-crop.edu.ng,manager,Africa/Lagos,Faculty
PU00089,Damola Fola,damola.fola@nnu-crop.edu.ng,observer,Africa/Lagos,Grad Student
PU00090,Uche Fola,uche.fola@nnu-crop.edu.ng,responder,Africa/Lagos,Extension Officer
PU00091,Chinelo Fola,chinelo.fola@nnu-crop.edu.ng,responder,Africa/Lagos,Sysadmin
PU00092,Ngozi Fola,ngozi.fola@nnu-crop.edu.ng,responder,Africa/Lagos,SRE
PU00093,Obinna Fola,obinna.fola@nnu-crop.edu.ng,responder,Africa/Lagos,DBA
PU00094,Chidi Fola,chidi.fola@nnu-crop.edu.ng,manager,Africa/Lagos,Faculty
PU00095,Ifeoma Fola,ifeoma.fola@nnu-crop.edu.ng,observer,Africa/Lagos,Grad Student
PU00096,Yetunde Fola,yetunde.fola@nnu-crop.edu.ng,responder,Africa/Lagos,Extension Officer
PU00097,Chukwuma Fola,chukwuma.fola@nnu-crop.edu.ng,responder,Africa/Lagos,Sysadmin
PU00098,Amaka Fola,amaka.fola@nnu-crop.edu.ng,responder,Africa/Lagos,SRE
PU00099,Tunde Fola,tunde.fola@nnu-crop.edu.ng,responder,Africa/Lagos,DBA
PU00100,Bukola Fola,bukola.fola@nnu-crop.edu.ng,manager,Africa/Lagos,Faculty
PU00101,Layla Okonkwo,layla.okonkwo@nnu-crop.edu.ng,observer,Africa/Lagos,Grad Student
PU00102,Adaeze Okonkwo,adaeze.okonkwo@nnu-crop.edu.ng,responder,Africa/Lagos,Extension Officer
PU00103,Ciaran Okonkwo,ciaran.okonkwo@nnu-crop.edu.ng,responder,Africa/Lagos,Sysadmin
PU00104,Amina Okonkwo,amina.okonkwo@nnu-crop.edu.ng,responder,Africa/Lagos,SRE
PU00105,Emeka Okonkwo,emeka.okonkwo@nnu-crop.edu.ng,responder,Africa/Lagos,DBA
