Date	Description	Debit	Credit	Balance
2025-11-17	POS Whole Foods Market 2323 N Charles St	98.74		7108.51
2025-11-18	ACH Debit T-Mobile Monthly Bill	85.00		7023.51
2025-11-19	POS Amazon.com Books and Running Supplies	42.87		6980.64
2025-11-20	ACH Debit BGE Electric and Gas	100.30		6880.34
2025-11-22	POS Whole Foods Market 2323 N Charles St	87.19		6793.15
2025-11-23	POS Rock Creek Running Store Gear	56.40		6736.75
2025-11-24	POS Giant Food Thanksgiving Shopping	128.40		6608.35
2025-11-25	ACH Debit Spotify Premium Monthly	11.99		6596.36
2025-11-25	ACH Debit Netflix Monthly Plan	15.49		6580.87
2025-11-26	POS Total Wine and More	24.89		6555.98
2025-11-28	ACH Transfer to Savings Acct 7742-2830-6847	1400.00		5155.98
2025-11-29	POS CVS Pharmacy Personal Care	39.60		5116.38
2025-11-30	POS Shell Service Station Bel Air Rd Baltimore	46.20		5070.18
2025-12-01	ACH Credit CIPH Payroll Direct Deposit		2450.00	7520.18
2025-12-01	ACH Debit Canterbury Properties Rent Dec 2025	1400.00		6120.18
2025-12-01	Zelle Transfer Grace Roman Monthly Support	175.00		5945.18
2025-12-05	ACH Debit Honda Financial Services Auto Loan	280.00		5665.18
2025-12-06	POS Whole Foods Market 2323 N Charles St	95.12		5570.06
2025-12-08	ACH Debit Progressive Insurance Auto Policy	160.00		5410.06
2025-12-10	POS Shell Service Station Bel Air Rd Baltimore	50.40		5359.66
2025-12-12	POS Amazon.com Holiday Gift Purchase	68.94		5290.72
2025-12-14	POS Guitar Center Baltimore Accessories	28.75		5261.97
2025-12-15	ACH Credit CIPH Payroll Direct Deposit		2450.00	7711.97
2025-12-15	ACH Debit MOHELA Student Loan Payment	520.00		7191.97
2025-12-17	POS Whole Foods Market 2323 N Charles St	108.33		7083.64
2025-12-18	ACH Debit T-Mobile Monthly Bill	85.00		6998.64
2025-12-19	POS Etsy Purchase Gift	54.00		6944.64
2025-12-20	ACH Debit BGE Electric and Gas	123.77		6820.87
2025-12-22	POS Whole Foods Market 2323 N Charles St	121.47		6699.40
2025-12-24	POS Giant Food Holiday Shopping	74.30		6625.10
2025-12-25	ACH Debit Spotify Premium Monthly	11.99		6613.11
2025-12-25	ACH Debit Netflix Monthly Plan	15.49		6597.62
2025-12-28	ACH Transfer to Savings Acct 7742-2830-6847	1400.00		5197.62
2025-12-29	POS CVS Pharmacy Personal Care	36.80		5160.82
2025-12-30	POS Shell Service Station Bel Air Rd Baltimore	44.10		5116.72
2025-12-31	Closing Balance			5116.72
