order_id,order_date,first_name,last_name,email,ticket_type,quantity
EB-063,2026-11-14,Silvia,Romero,sromero@email.com,Family Pass,2
EB-064,2026-11-13,David,Martinez,dmartinez@email.com,Family Pass,2
EB-065,2026-11-14,Marco,Vega,mvega@email.com,General Admission,1
EB-066,2026-11-14,Luis,Morales,lmorales@email.com,General Admission,1
EB-067,2026-11-16,Manuel,Aguilar,maguilar@email.com,Family Pass,2
EB-068,2026-11-18,Norma,Campos,ncampos@email.com,General Admission,1
EB-069,2026-11-19,Teresa,Campos,tcampos@email.com,General Admission,1
EB-070,2026-11-18,Sandra,Romero,sromero@email.com,General Admission,1
EB-071,2026-11-18,Diana,Vega,dvega@email.com,General Admission,1
EB-072,2026-11-21,Sergio,Martinez,smartinez@email.com,Family Pass,4
EB-073,2026-11-21,Oscar,Medina,omedina@email.com,General Admission,1
EB-074,2026-11-23,Alejandro,Castillo,acastillo@email.com,Family Pass,3
