volunteer_id,name,signup_source,signup_date,assigned_role,shift_time,confirmation_status,confirmation_date,confirmation_source,phone,email,notes
VOL-029,Jorge Mendoza,typeform,2026-10-28,Cleanup,7pm-10pm,confirmed,2026-11-05,gmail,915-555-0129,j.mendoza@email.com,"Email confirmed."
VOL-030,Elena Mendoza,typeform,2026-10-28,General Float,varies,confirmed,2026-11-05,gmail,915-555-0130,e.mendoza@email.com,"Email confirmed with Jorge."
VOL-031,Thomas Nguyen,typeform,2026-10-30,Wellness Booth,12pm-4pm,confirmed,2026-11-08,whatsapp,915-555-0131,t.nguyen@email.com,"First aid certified. Confirmed."
VOL-032,June Whitfield,typeform,2026-10-30,Registration,10am-1pm,confirmed,2026-11-08,gmail,915-555-0132,j.whitfield@email.com,"Email confirmed."
VOL-033,Dolores Rivera,in_person,2026-11-01,Food Service,10am-2pm,confirmed,2026-11-01,in_person,915-555-0133,d.rivera@email.com,"Confirmed at prayer group."
VOL-034,Arturo Ochoa,typeform,2026-11-02,General Float,varies,confirmed,2026-11-10,whatsapp,915-555-0134,a.ochoa@email.com,"Confirmed in group chat."
VOL-035,Connie Padilla,typeform,2026-11-03,Wellness Booth,12pm-4pm,confirmed,2026-11-10,whatsapp,915-555-0135,c.padilla@email.com,"Massage therapist. Confirmed."
VOL-036,Sylvia Martinez,in_person,2026-11-05,General Float,varies,confirmed,2026-11-05,in_person,915-555-0136,s.martinez@email.com,"Confirmed at service."
VOL-037,Eddie Luna,typeform,2026-11-05,Cleanup,7pm-10pm,confirmed,2026-11-12,whatsapp,915-555-0137,e.luna@email.com,"Confirmed in group chat."
VOL-038,Isabel Contreras,typeform,2026-11-08,General Float,varies,confirmed,2026-11-15,gmail,915-555-0138,i.contreras@email.com,"Email confirmed."
VOL-039,Danny Alvarez,typeform,2026-11-08,General Float,varies,maybe,,,915-555-0139,d.alvarez@email.com,"Signed up but replied maybe. Depends on work schedule."
VOL-040,Norma Figueroa,typeform,2026-11-10,Food Service,11am-3pm,maybe,,,915-555-0140,n.figueroa@email.com,"Said she would try. No firm confirmation."
VOL-041,Jesse Delgado,in_person,2026-11-10,Parking,11am-2pm,maybe,,,915-555-0141,j.delgado@email.com,"Told Matt maybe at service. Waiting on family plans."
VOL-042,Brenda Orozco,typeform,2026-11-12,Children's Area,12pm-4pm,maybe,,,915-555-0142,b.orozco@email.com,"Signed up. Replied to WhatsApp with tentative."
VOL-043,Richard Lam,typeform,2026-11-12,Setup,7am-10am,maybe,,,915-555-0143,r.lam@email.com,"Said probably. No firm yes."
VOL-044,Cristina Tran,typeform,2026-11-14,Cleanup,7pm-10pm,maybe,,,915-555-0144,c.tran@email.com,"Signed up but said she needs to check with husband."
VOL-045,Paul Morrison,in_person,2026-11-15,General Float,varies,maybe,,,915-555-0145,p.morrison@email.com,"Told Matt he would let him know. No follow-up."
VOL-046,Angela Sandoval,typeform,2026-11-15,Food Service,10am-2pm,maybe,,,915-555-0146,a.sandoval@email.com,"Signed up. Sent one WhatsApp asking about details then went quiet."
VOL-047,Marcus Johnson,typeform,2026-10-08,Parking,11am-2pm,no_response,,,915-555-0147,m.johnson@email.com,"Signed up early October. Never responded to confirmation messages."
VOL-048,Veronica Salazar,typeform,2026-10-10,Children's Area,12pm-4pm,no_response,,,915-555-0148,v.salazar@email.com,"Signed up. No reply to 2 WhatsApp messages and 1 email."
VOL-049,Tony Reyes,typeform,2026-10-15,Food Service,11am-3pm,no_response,,,915-555-0149,t.reyes@email.com,"Signed up. No follow-up from either side."
VOL-050,Karen Mitchell,typeform,2026-10-18,Cleanup,7pm-10pm,no_response,,,915-555-0150,k.mitchell@email.com,"Signed up. Messages unread."
VOL-051,David Park Jr.,typeform,2026-10-22,Parking,11am-2pm,no_response,,,915-555-0151,d.park.jr@email.com,"Helen Park's nephew. Signed up but never confirmed."
VOL-052,Angie Fuentes,typeform,2026-10-25,Children's Area,12pm-4pm,no_response,,,915-555-0152,a.fuentes@email.com,"Carlos Fuentes daughter. Signed up. No reply."
VOL-053,Leo Hernandez,in_person,2026-11-02,General Float,varies,no_response,,,915-555-0153,l.hernandez@email.com,"Told Matt he would help. Never followed up."
VOL-054,Rachel Kim,typeform,2026-11-05,Registration,10am-1pm,no_response,,,915-555-0154,r.kim@email.com,"Signed up online. No confirmation despite follow-up."
