txn_id,date,class,account,description,party,amount,method,reference,link_id,tax_line,reconciled
qb0029,2026-04-06,charter,Charter Income,Vaughn bachelor party charter final,Vaughn bachelor party,900.00,check,INV-5028,BK2026-09,Sch C line 1,Y
qb0030,2026-04-13,charter,Charter Income,Delacroix group charter tip,Delacroix group,120.00,square,INV-5029,BK2026-10,Sch C line 1,Y
qb0031,2026-04-20,charter,Charter Income,Halligan party charter deposit,Halligan party,400.00,paypal,INV-5030,BK2026-11,Sch C line 1,Y
qb0032,2026-04-27,charter,Charter Income,Okafor group charter final,Okafor group,900.00,check,INV-5031,BK2026-12,Sch C line 1,Y
qb0033,2026-05-04,charter,Charter Income,GreenTech corp charter tip,GreenTech corp,120.00,square,INV-5032,BK2026-13,Sch C line 1,Y
qb0034,2026-05-11,charter,Charter Income,Reyes family charter deposit,Reyes family,400.00,paypal,INV-5033,BK2026-14,Sch C line 1,Y
qb0035,2026-05-18,charter,Charter Income,Danvers charter charter final,Danvers charter,900.00,check,INV-5034,BK2026-15,Sch C line 1,Y
qb0036,2026-05-25,charter,Charter Income,Whitfield group charter tip,Whitfield group,120.00,square,INV-5035,BK2026-16,Sch C line 1,Y
qb0037,2026-06-01,charter,Charter Income,Sunbelt Realty outing charter deposit,Sunbelt Realty outing,400.00,paypal,INV-5036,BK2026-17,Sch C line 1,Y
qb0038,2026-06-08,charter,Charter Income,Kessler party charter final,Kessler party,900.00,check,INV-5037,BK2026-18,Sch C line 1,Y
qb0039,2026-06-15,charter,Charter Income,Abrego family charter tip,Abrego family,120.00,square,INV-5038,BK2026-19,Sch C line 1,Y
qb0040,2026-06-22,charter,Charter Income,Nolan referral charter deposit,Nolan referral,400.00,paypal,INV-5039,BK2026-20,Sch C line 1,Y
qb0041,2026-06-29,charter,Charter Income,Bayport Rotary charter final,Bayport Rotary,900.00,check,INV-5040,BK2026-01,Sch C line 1,Y
qb0042,2026-07-06,charter,Charter Income,Tidewater LLC charter tip,Tidewater LLC,120.00,square,INV-5041,BK2026-02,Sch C line 1,Y
qb0043,2026-07-13,charter,Charter Income,Marsh brothers charter deposit,Marsh brothers,400.00,paypal,INV-5042,BK2026-03,Sch C line 1,Y
qb0044,2026-07-20,charter,Charter Income,Vaughn bachelor party charter final,Vaughn bachelor party,900.00,check,INV-5043,BK2026-04,Sch C line 1,Y
qb0045,2026-07-27,charter,Charter Income,Delacroix group charter tip,Delacroix group,120.00,square,INV-5044,BK2026-05,Sch C line 1,Y
qb0046,2026-08-03,charter,Charter Income,Halligan party charter deposit,Halligan party,400.00,paypal,INV-5045,BK2026-06,Sch C line 1,Y
qb0047,2026-08-10,charter,Charter Income,Okafor group charter final,Okafor group,900.00,check,INV-5046,BK2026-07,Sch C line 1,Y
qb0048,2026-08-17,charter,Charter Income,GreenTech corp charter tip,GreenTech corp,120.00,square,INV-5047,BK2026-08,Sch C line 1,Y
qb0049,2026-08-24,charter,Charter Income,Reyes family charter deposit,Reyes family,400.00,paypal,INV-5048,BK2026-09,Sch C line 1,Y
qb0050,2026-08-31,charter,Charter Income,Danvers charter charter final,Danvers charter,900.00,check,INV-5049,BK2026-10,Sch C line 1,Y
qb0051,2026-09-07,charter,Charter Income,Whitfield group charter tip,Whitfield group,120.00,square,INV-5050,BK2026-11,Sch C line 1,Y
qb0052,2026-09-14,charter,Charter Income,Sunbelt Realty outing charter deposit,Sunbelt Realty outing,400.00,paypal,INV-5051,BK2026-12,Sch C line 1,Y
qb0053,2026-09-21,charter,Charter Income,Kessler party charter final,Kessler party,900.00,check,INV-5052,BK2026-13,Sch C line 1,Y
qb0054,2026-09-28,charter,Charter Income,Abrego family charter tip,Abrego family,120.00,square,INV-5053,BK2026-14,Sch C line 1,Y
qb0055,2026-11-02,charter,Charter Income,Nolan referral charter deposit,Nolan referral,400.00,paypal,INV-5054,BK2026-15,Sch C line 1,Y
qb0056,2026-11-09,charter,Charter Income,Bayport Rotary charter final,Bayport Rotary,900.00,check,INV-5055,BK2026-16,Sch C line 1,Y
qb0057,2026-04-06,charter,Charter Income,Tidewater LLC charter tip,Tidewater LLC,120.00,square,INV-5056,BK2026-17,Sch C line 1,Y
qb0058,2026-04-13,charter,Charter Income,Marsh brothers charter deposit,Marsh brothers,400.00,paypal,INV-5057,BK2026-18,Sch C line 1,Y
qb0059,2026-04-20,charter,Charter Income,Vaughn bachelor party charter final,Vaughn bachelor party,900.00,check,INV-5058,BK2026-19,Sch C line 1,Y
qb0060,2026-04-27,charter,Charter Income,Delacroix group charter tip,Delacroix group,120.00,square,INV-5059,BK2026-20,Sch C line 1,Y
qb0061,2026-04-06,charter,Fuel,Bayport fuel dock diesel,Bayport Marine Fuel,-800.00,bank,,,Sch C line 22,Y
qb0062,2026-04-06,charter,Crew,Russ Taylor base 600 + tip pool,Russ Taylor,-671.00,bank,,,Sch C line 26,Y
qb0063,2026-04-13,charter,Fuel,Bayport fuel dock diesel,Bayport Marine Fuel,-800.00,bank,,,Sch C line 22,Y
qb0064,2026-04-13,charter,Crew,Russ Taylor base 600 + tip pool,Russ Taylor,-671.00,bank,,,Sch C line 26,Y
qb0065,2026-04-20,charter,Fuel,Bayport fuel dock diesel,Bayport Marine Fuel,-800.00,bank,,,Sch C line 22,Y
qb0066,2026-04-20,charter,Crew,Russ Taylor base 600 + tip pool,Russ Taylor,-671.00,bank,,,Sch C line 26,Y
qb0067,2026-04-27,charter,Fuel,Bayport fuel dock diesel,Bayport Marine Fuel,-800.00,bank,,,Sch C line 22,Y
qb0068,2026-04-27,charter,Crew,Russ Taylor base 600 + tip pool,Russ Taylor,-671.00,bank,,,Sch C line 26,Y
qb0069,2026-05-04,charter,Fuel,Bayport fuel dock diesel,Bayport Marine Fuel,-800.00,bank,,,Sch C line 22,Y
qb0070,2026-05-04,charter,Crew,Russ Taylor base 600 + tip pool,Russ Taylor,-671.00,bank,,,Sch C line 26,Y
qb0071,2026-05-11,charter,Fuel,Bayport fuel dock diesel,Bayport Marine Fuel,-800.00,bank,,,Sch C line 22,Y
qb0072,2026-05-11,charter,Crew,Russ Taylor base 600 + tip pool,Russ Taylor,-671.00,bank,,,Sch C line 26,Y
qb0073,2026-05-18,charter,Fuel,Bayport fuel dock diesel,Bayport Marine Fuel,-800.00,bank,,,Sch C line 22,Y
qb0074,2026-05-18,charter,Crew,Russ Taylor base 600 + tip pool,Russ Taylor,-671.00,bank,,,Sch C line 26,Y
qb0075,2026-05-25,charter,Fuel,Bayport fuel dock diesel,Bayport Marine Fuel,-800.00,bank,,,Sch C line 22,Y
qb0076,2026-05-25,charter,Crew,Russ Taylor base 600 + tip pool,Russ Taylor,-671.00,bank,,,Sch C line 26,Y
qb0077,2026-06-01,charter,Fuel,Bayport fuel dock diesel,Bayport Marine Fuel,-800.00,bank,,,Sch C line 22,Y
qb0078,2026-06-01,charter,Crew,Russ Taylor base 600 + tip pool,Russ Taylor,-671.00,bank,,,Sch C line 26,Y
qb0079,2026-06-08,charter,Fuel,Bayport fuel dock diesel,Bayport Marine Fuel,-800.00,bank,,,Sch C line 22,Y
qb0080,2026-06-08,charter,Crew,Russ Taylor base 600 + tip pool,Russ Taylor,-671.00,bank,,,Sch C line 26,Y
qb0081,2026-06-15,charter,Fuel,Bayport fuel dock diesel,Bayport Marine Fuel,-800.00,bank,,,Sch C line 22,Y
qb0082,2026-06-15,charter,Crew,Russ Taylor base 600 + tip pool,Russ Taylor,-671.00,bank,,,Sch C line 26,Y
qb0083,2026-06-22,charter,Fuel,Bayport fuel dock diesel,Bayport Marine Fuel,-800.00,bank,,,Sch C line 22,Y
qb0084,2026-06-22,charter,Crew,Russ Taylor base 600 + tip pool,Russ Taylor,-671.00,bank,,,Sch C line 26,Y
qb0085,2026-06-29,charter,Fuel,Bayport fuel dock diesel,Bayport Marine Fuel,-800.00,bank,,,Sch C line 22,Y
qb0086,2026-06-29,charter,Crew,Russ Taylor base 600 + tip pool,Russ Taylor,-671.00,bank,,,Sch C line 26,Y
qb0087,2026-07-06,charter,Fuel,Bayport fuel dock diesel,Bayport Marine Fuel,-800.00,bank,,,Sch C line 22,Y
qb0088,2026-07-06,charter,Crew,Russ Taylor base 600 + tip pool,Russ Taylor,-671.00,bank,,,Sch C line 26,Y
qb0089,2026-07-13,charter,Fuel,Bayport fuel dock diesel,Bayport Marine Fuel,-800.00,bank,,,Sch C line 22,Y
qb0090,2026-07-13,charter,Crew,Russ Taylor base 600 + tip pool,Russ Taylor,-671.00,bank,,,Sch C line 26,Y
qb0091,2026-07-20,charter,Fuel,Bayport fuel dock diesel,Bayport Marine Fuel,-800.00,bank,,,Sch C line 22,Y
qb0092,2026-07-20,charter,Crew,Russ Taylor base 600 + tip pool,Russ Taylor,-671.00,bank,,,Sch C line 26,Y
qb0093,2026-07-27,charter,Fuel,Bayport fuel dock diesel,Bayport Marine Fuel,-800.00,bank,,,Sch C line 22,Y
qb0094,2026-07-27,charter,Crew,Russ Taylor base 600 + tip pool,Russ Taylor,-671.00,bank,,,Sch C line 26,Y
qb0095,2026-08-03,charter,Fuel,Bayport fuel dock diesel,Bayport Marine Fuel,-800.00,bank,,,Sch C line 22,Y
qb0096,2026-08-03,charter,Crew,Russ Taylor base 600 + tip pool,Russ Taylor,-671.00,bank,,,Sch C line 26,Y
qb0097,2026-08-10,charter,Fuel,Bayport fuel dock diesel,Bayport Marine Fuel,-800.00,bank,,,Sch C line 22,Y
qb0098,2026-08-10,charter,Crew,Russ Taylor base 600 + tip pool,Russ Taylor,-671.00,bank,,,Sch C line 26,Y
qb0099,2026-08-17,charter,Fuel,Bayport fuel dock diesel,Bayport Marine Fuel,-800.00,bank,,,Sch C line 22,Y
qb0100,2026-08-17,charter,Crew,Russ Taylor base 600 + tip pool,Russ Taylor,-671.00,bank,,,Sch C line 26,Y
qb0101,2026-08-24,charter,Fuel,Bayport fuel dock diesel,Bayport Marine Fuel,-800.00,bank,,,Sch C line 22,Y
qb0102,2026-08-24,charter,Crew,Russ Taylor base 600 + tip pool,Russ Taylor,-671.00,bank,,,Sch C line 26,Y
qb0103,2026-08-31,charter,Fuel,Bayport fuel dock diesel,Bayport Marine Fuel,-800.00,bank,,,Sch C line 22,Y
qb0104,2026-08-31,charter,Crew,Russ Taylor base 600 + tip pool,Russ Taylor,-671.00,bank,,,Sch C line 26,Y
qb0105,2026-09-07,charter,Fuel,Bayport fuel dock diesel,Bayport Marine Fuel,-800.00,bank,,,Sch C line 22,Y
qb0106,2026-09-07,charter,Crew,Russ Taylor base 600 + tip pool,Russ Taylor,-671.00,bank,,,Sch C line 26,Y
qb0107,2026-09-14,charter,Fuel,Bayport fuel dock diesel,Bayport Marine Fuel,-800.00,bank,,,Sch C line 22,Y
qb0108,2026-09-14,charter,Crew,Russ Taylor base 600 + tip pool,Russ Taylor,-671.00,bank,,,Sch C line 26,Y
qb0109,2026-09-21,charter,Fuel,Bayport fuel dock diesel,Bayport Marine Fuel,-800.00,bank,,,Sch C line 22,Y
qb0110,2026-09-21,charter,Crew,Russ Taylor base 600 + tip pool,Russ Taylor,-671.00,bank,,,Sch C line 26,Y
qb0111,2026-09-28,charter,Fuel,Bayport fuel dock diesel,Bayport Marine Fuel,-800.00,bank,,,Sch C line 22,Y
qb0112,2026-09-28,charter,Crew,Russ Taylor base 600 + tip pool,Russ Taylor,-671.00,bank,,,Sch C line 26,Y
qb0113,2026-11-02,charter,Fuel,Bayport fuel dock diesel,Bayport Marine Fuel,-800.00,bank,,,Sch C line 22,Y
qb0114,2026-11-02,charter,Crew,Russ Taylor base 600 + tip pool,Russ Taylor,-671.00,bank,,,Sch C line 26,Y
qb0115,2026-11-09,charter,Fuel,Bayport fuel dock diesel,Bayport Marine Fuel,-800.00,bank,,,Sch C line 22,Y
qb0116,2026-11-09,charter,Crew,Russ Taylor base 600 + tip pool,Russ Taylor,-671.00,bank,,,Sch C line 26,Y
qb0117,2026-04-01,charter,Dock,Bayport harbor monthly dock fee,Bayport Harbor,-350.00,bank,,,Sch C line 20,Y
qb0118,2026-05-01,charter,Dock,Bayport harbor monthly dock fee,Bayport Harbor,-350.00,bank,,,Sch C line 20,Y
qb0119,2026-06-01,charter,Dock,Bayport harbor monthly dock fee,Bayport Harbor,-350.00,bank,,,Sch C line 20,Y
qb0120,2026-07-01,charter,Dock,Bayport harbor monthly dock fee,Bayport Harbor,-350.00,bank,,,Sch C line 20,Y
qb0121,2026-08-01,charter,Dock,Bayport harbor monthly dock fee,Bayport Harbor,-350.00,bank,,,Sch C line 20,Y
qb0122,2026-09-01,charter,Dock,Bayport harbor monthly dock fee,Bayport Harbor,-350.00,bank,,,Sch C line 20,Y
qb0123,2026-10-01,charter,Dock,Bayport harbor monthly dock fee,Bayport Harbor,-350.00,bank,,,Sch C line 20,Y
qb0124,2026-11-01,charter,Dock,Bayport harbor monthly dock fee,Bayport Harbor,-350.00,bank,,,Sch C line 20,Y
qb0125,2026-03-01,charter,Insurance,Gulf Coast Marine quarterly,Gulf Coast Marine,-1050.00,bank,,,Sch C line 15,Y
qb0126,2026-06-01,charter,Insurance,Gulf Coast Marine quarterly,Gulf Coast Marine,-1050.00,bank,,,Sch C line 15,Y
qb0127,2026-09-01,charter,Insurance,Gulf Coast Marine quarterly,Gulf Coast Marine,-1050.00,bank,,,Sch C line 15,Y
qb0128,2026-04-06,guitar,Repair Income,1963 Martin D-28 repair deposit,1963 Martin D-28,150.00,stripe,GW-2100,rep01,Sch C line 1,Y
qb0129,2026-04-13,guitar,Repair Income,Sarah Kim F-5 mandolin repair final,Sarah Kim F-5 mandolin,180.00,paypal,GW-2101,rep02,Sch C line 1,Y
qb0130,2026-04-20,guitar,Repair Income,1972 Fender Telecaster repair deposit,1972 Fender Telecaster,220.00,square,GW-2102,rep03,Sch C line 1,Y
qb0131,2026-04-27,guitar,Repair Income,Gibson RB-250 banjo repair final,Gibson RB-250 banjo,300.00,stripe,GW-2103,rep04,Sch C line 1,Y
qb0132,2026-05-04,guitar,Repair Income,Martin 000-18 repair deposit,Martin 000-18,350.00,paypal,GW-2104,rep05,Sch C line 1,Y
qb0133,2026-05-11,guitar,Repair Income,1959 Gibson Les Paul repair final,1959 Gibson Les Paul,400.00,square,GW-2105,rep06,Sch C line 1,Y
qb0134,2026-05-18,guitar,Repair Income,Coastal HS archtop repair deposit,Coastal HS archtop,275.00,stripe,GW-2106,rep07,Sch C line 1,Y
qb0135,2026-05-25,guitar,Repair Income,Ferro L-5 copy repair final,Ferro L-5 copy,190.00,paypal,GW-2107,rep08,Sch C line 1,Y
qb0136,2026-06-01,guitar,Repair Income,Delgado 000-18 repair deposit,Delgado 000-18,240.00,square,GW-2108,rep09,Sch C line 1,Y
qb0137,2026-06-08,guitar,Repair Income,Gibson J-45 repair final,Gibson J-45,320.00,stripe,GW-2109,rep10,Sch C line 1,Y
qb0138,2026-06-15,guitar,Repair Income,1963 Martin D-28 repair deposit,1963 Martin D-28,150.00,paypal,GW-2110,rep01,Sch C line 1,Y
qb0139,2026-06-22,guitar,Repair Income,Sarah Kim F-5 mandolin repair final,Sarah Kim F-5 mandolin,410.00,square,GW-2111,rep02,Sch C line 1,Y
qb0140,2026-06-29,guitar,Repair Income,1972 Fender Telecaster repair deposit,1972 Fender Telecaster,260.00,stripe,GW-2112,rep03,Sch C line 1,Y
qb0141,2026-07-06,guitar,Repair Income,Gibson RB-250 banjo repair final,Gibson RB-250 banjo,300.00,paypal,GW-2113,rep04,Sch C line 1,Y
qb0142,2026-07-13,guitar,Repair Income,Martin 000-18 repair deposit,Martin 000-18,180.00,square,GW-2114,rep05,Sch C line 1,Y
qb0143,2026-07-20,guitar,Repair Income,1959 Gibson Les Paul repair final,1959 Gibson Les Paul,220.00,stripe,GW-2115,rep06,Sch C line 1,Y
qb0144,2026-07-27,guitar,Repair Income,Coastal HS archtop repair deposit,Coastal HS archtop,350.00,paypal,GW-2116,rep07,Sch C line 1,Y
qb0145,2026-08-03,guitar,Repair Income,Ferro L-5 copy repair final,Ferro L-5 copy,400.00,square,GW-2117,rep08,Sch C line 1,Y
qb0146,2026-08-10,guitar,Repair Income,Delgado 000-18 repair deposit,Delgado 000-18,275.00,stripe,GW-2118,rep09,Sch C line 1,Y
qb0147,2026-08-17,guitar,Repair Income,Gibson J-45 repair final,Gibson J-45,190.00,paypal,GW-2119,rep10,Sch C line 1,Y
qb0148,2026-08-24,guitar,Repair Income,1963 Martin D-28 repair deposit,1963 Martin D-28,240.00,square,GW-2120,rep01,Sch C line 1,Y
qb0149,2026-08-31,guitar,Repair Income,Sarah Kim F-5 mandolin repair final,Sarah Kim F-5 mandolin,150.00,stripe,GW-2121,rep02,Sch C line 1,Y
qb0150,2026-09-07,guitar,Repair Income,1972 Fender Telecaster repair deposit,1972 Fender Telecaster,300.00,paypal,GW-2122,rep03,Sch C line 1,Y
qb0151,2026-09-14,guitar,Repair Income,Gibson RB-250 banjo repair final,Gibson RB-250 banjo,220.00,square,GW-2123,rep04,Sch C line 1,Y
qb0152,2026-09-21,guitar,Repair Income,Martin 000-18 repair deposit,Martin 000-18,180.00,stripe,GW-2124,rep05,Sch C line 1,Y
qb0153,2026-09-28,guitar,Repair Income,1959 Gibson Les Paul repair final,1959 Gibson Les Paul,410.00,paypal,GW-2125,rep06,Sch C line 1,Y
qb0154,2026-11-02,guitar,Repair Income,Coastal HS archtop repair deposit,Coastal HS archtop,260.00,square,GW-2126,rep07,Sch C line 1,Y
qb0155,2026-11-09,guitar,Repair Income,Ferro L-5 copy repair final,Ferro L-5 copy,150.00,stripe,GW-2127,rep08,Sch C line 1,Y
qb0156,2026-04-06,guitar,Repair Income,Delgado 000-18 repair deposit,Delgado 000-18,300.00,paypal,GW-2128,rep09,Sch C line 1,Y
qb0157,2026-04-13,guitar,Repair Income,Gibson J-45 repair final,Gibson J-45,190.00,square,GW-2129,rep10,Sch C line 1,Y
qb0158,2026-04-20,guitar,Repair Income,1963 Martin D-28 repair deposit,1963 Martin D-28,220.00,stripe,GW-2130,rep01,Sch C line 1,Y
qb0159,2026-04-27,guitar,Repair Income,Sarah Kim F-5 mandolin repair final,Sarah Kim F-5 mandolin,350.00,paypal,GW-2131,rep02,Sch C line 1,Y
qb0160,2026-05-04,guitar,Repair Income,1972 Fender Telecaster repair deposit,1972 Fender Telecaster,400.00,square,GW-2132,rep03,Sch C line 1,Y
qb0161,2026-05-11,guitar,Repair Income,Gibson RB-250 banjo repair final,Gibson RB-250 banjo,275.00,stripe,GW-2133,rep04,Sch C line 1,Y
qb0162,2026-05-18,guitar,Repair Income,Martin 000-18 repair deposit,Martin 000-18,240.00,paypal,GW-2134,rep05,Sch C line 1,Y
qb0163,2026-05-25,guitar,Repair Income,1959 Gibson Les Paul repair final,1959 Gibson Les Paul,180.00,square,GW-2135,rep06,Sch C line 1,Y
qb0164,2026-06-01,guitar,Repair Income,Coastal HS archtop repair deposit,Coastal HS archtop,150.00,stripe,GW-2136,rep07,Sch C line 1,Y
qb0165,2026-06-08,guitar,Repair Income,Ferro L-5 copy repair final,Ferro L-5 copy,300.00,paypal,GW-2137,rep08,Sch C line 1,Y
qb0166,2026-06-15,guitar,Repair Income,Delgado 000-18 repair deposit,Delgado 000-18,220.00,square,GW-2138,rep09,Sch C line 1,Y
qb0167,2026-06-22,guitar,Repair Income,Gibson J-45 repair final,Gibson J-45,150.00,stripe,GW-2139,rep10,Sch C line 1,Y
qb0168,2026-11-30,guitar,Repair Income,Late-season repair true-up posted at close,Bennett Guitar Works,1655.00,check,GW-2199,,Sch C line 1,Y
qb0169,2026-04-06,guitar,Parts,StewMac fret/nut/bridge order,StewMac,-40.00,stripe,PO-700,,Sch C line 22,Y
qb0170,2026-04-13,guitar,Parts,StewMac fret/nut/bridge order,StewMac,-43.00,stripe,PO-701,,Sch C line 22,Y
qb0171,2026-04-20,guitar,Parts,StewMac fret/nut/bridge order,StewMac,-46.00,stripe,PO-702,,Sch C line 22,Y
qb0172,2026-04-27,guitar,Parts,StewMac fret/nut/bridge order,StewMac,-49.00,stripe,PO-703,,Sch C line 22,Y
qb0173,2026-05-04,guitar,Parts,StewMac fret/nut/bridge order,StewMac,-52.00,stripe,PO-704,,Sch C line 22,Y
qb0174,2026-05-11,guitar,Parts,StewMac fret/nut/bridge order,StewMac,-55.00,stripe,PO-705,,Sch C line 22,Y
qb0175,2026-05-18,guitar,Parts,StewMac fret/nut/bridge order,StewMac,-58.00,stripe,PO-706,,Sch C line 22,Y
qb0176,2026-05-25,guitar,Parts,StewMac fret/nut/bridge order,StewMac,-61.00,stripe,PO-707,,Sch C line 22,Y
qb0177,2026-06-01,guitar,Parts,StewMac fret/nut/bridge order,StewMac,-64.00,stripe,PO-708,,Sch C line 22,Y
qb0178,2026-06-08,guitar,Parts,StewMac fret/nut/bridge order,StewMac,-67.00,stripe,PO-709,,Sch C line 22,Y
qb0179,2026-06-15,guitar,Parts,StewMac fret/nut/bridge order,StewMac,-70.00,stripe,PO-710,,Sch C line 22,Y
qb0180,2026-06-22,guitar,Parts,StewMac fret/nut/bridge order,StewMac,-73.00,stripe,PO-711,,Sch C line 22,Y
qb0181,2026-06-29,guitar,Parts,StewMac fret/nut/bridge order,StewMac,-76.00,stripe,PO-712,,Sch C line 22,Y
qb0182,2026-07-06,guitar,Parts,StewMac fret/nut/bridge order,StewMac,-79.00,stripe,PO-713,,Sch C line 22,Y
qb0183,2026-07-13,guitar,Parts,StewMac fret/nut/bridge order,StewMac,-82.00,stripe,PO-714,,Sch C line 22,Y
qb0184,2026-07-20,guitar,Parts,StewMac fret/nut/bridge order,StewMac,-85.00,stripe,PO-715,,Sch C line 22,Y
qb0185,2026-07-27,guitar,Parts,StewMac fret/nut/bridge order,StewMac,-88.00,stripe,PO-716,,Sch C line 22,Y
qb0186,2026-08-03,guitar,Parts,StewMac fret/nut/bridge order,StewMac,-91.00,stripe,PO-717,,Sch C line 22,Y
qb0187,2026-08-10,guitar,Parts,StewMac fret/nut/bridge order,StewMac,-94.00,stripe,PO-718,,Sch C line 22,Y
qb0188,2026-08-17,guitar,Parts,StewMac fret/nut/bridge order,StewMac,-97.00,stripe,PO-719,,Sch C line 22,Y
