host_id,name,superhost,joined_year,response_rate,languages
host-0056,Hector Navarro,true,2024,90,"English,Spanish"
host-0057,Signal Peralta,false,2019,98,"English,Spanish"
host-0058,Wei Aguilar,false,2021,87,English
host-0059,Monica Nair,false,2022,94,English
host-0060,Aisha Rios,true,2024,92,"English,Spanish,French"
host-0061,Natalia Solis,true,2021,86,"English,Spanish,French"
host-0062,Esteban Rios,false,2024,85,Spanish
host-0063,Diego Cardenas,false,2020,93,Spanish
host-0064,Ines Rios,true,2020,90,"English,Spanish,French"
host-0065,Pedro Rojas,false,2016,98,"English,Spanish"
host-0066,Ana Villalobos,false,2014,91,English
host-0067,Carlos Delgado,false,2019,85,English
host-0068,Renata Cardenas,false,2021,98,English
host-0069,Jordan Solis,false,2017,88,Spanish
host-0070,Ricardo Delgado,true,2022,85,"English,Spanish,French"
host-0071,Harper Ortega,true,2016,96,"English,Spanish,French"
host-0072,Blessing Marchetti,true,2014,95,Spanish
host-0073,Rachel Reyes,false,2023,89,English
host-0074,Andres Vargas,false,2021,86,"English,Spanish,French"
host-0075,Teresa Aguilar,true,2020,85,"English,Spanish"
host-0076,Emilio Park,false,2024,98,"English,Spanish,French"
host-0077,Rosa Rangel,true,2018,96,Spanish
host-0078,Teresa Serrano,false,2016,85,English
host-0079,Sergio Marchetti,true,2020,87,"English,Spanish"
host-0080,Jordan Morales,true,2015,96,"English,Spanish,French"
host-0081,Blessing Villalobos,false,2020,91,"English,Spanish,French"
host-0082,Carlos Cardenas,true,2018,94,"English,Spanish"
host-0083,Hector Jimenez,true,2016,87,English
host-0084,Andres Morales,true,2018,91,"English,Spanish,French"
host-0085,Monica Gutierrez,true,2019,87,"English,Spanish"
host-0086,Camila Rios,true,2024,88,"English,Spanish"
host-0087,Monica Fuentes,true,2021,95,English
host-0088,Jordan Peralta,true,2022,92,Spanish
host-0089,Ricardo Peralta,false,2019,96,English
host-0090,Teresa Cho,true,2016,85,Spanish
host-0091,Isabel Beltran,false,2024,90,Spanish
host-0092,Ricardo Rangel,false,2024,99,Spanish
host-0093,Pedro Rojas,true,2020,91,Spanish
host-0094,Hana Bautista,false,2017,96,"English,Spanish"
host-0095,Blessing Solis,true,2020,86,Spanish
host-0096,Isabel Mendoza,false,2021,88,English
host-0097,Sofia Cohen,false,2015,95,"English,Spanish,French"
host-0098,Lorena Morales,true,2014,96,English
host-0099,Kevin Ramirez,false,2024,89,Spanish
host-0100,Tomas Escobar,true,2018,89,Spanish
host-0101,Teresa Castillo,true,2013,98,"English,Spanish"
host-0102,Sergio Ortega,false,2021,100,"English,Spanish"
host-0103,Camila Rojas,false,2018,99,"English,Spanish,French"
host-0104,Beatriz Okafor,false,2022,93,Spanish
host-0105,Ricardo Vega,true,2021,94,English
host-0106,Grace Cortes,false,2022,99,Spanish
host-0107,Isabel Contreras,false,2017,99,"English,Spanish,French"
host-0108,Diego Guzman,true,2014,94,Spanish
host-0109,Blessing Castillo,true,2017,100,Spanish
host-0110,Andres Flores,false,2023,86,English
host-0111,Daniel Nair,false,2018,90,"English,Spanish,French"
host-0112,Wei Rios,true,2022,95,"English,Spanish"
host-0113,Ana Nguyen,true,2014,91,"English,Spanish"
host-0114,Natalia Villalobos,false,2016,92,English
host-0115,Nadia Rangel,true,2013,94,Spanish
host-0116,Adriana Vargas,true,2024,89,English
host-0117,Daniel Cortes,false,2014,94,Spanish
host-0118,Rosa Peralta,false,2023,95,Spanish
host-0119,Paola Kowalski,true,2013,93,"English,Spanish,French"
host-0120,Rachel Peralta,false,2015,93,Spanish
host-0121,Harper Zamora,true,2014,86,"English,Spanish,French"
host-0122,Ines Marchetti,false,2013,87,"English,Spanish,French"
host-0123,Cecilia Guzman,false,2014,92,Spanish
host-0124,Lorena Park,true,2019,97,"English,Spanish,French"
host-0125,Renata Bautista,true,2020,94,English
host-0126,Nadia Rios,false,2018,85,"English,Spanish,French"
host-0127,Camila Zamora,false,2019,97,English
host-0128,Lucia Aguilar,false,2019,95,"English,Spanish,French"
host-0129,Javier Cardenas,true,2018,98,Spanish
host-0130,Aisha Rios,false,2013,98,Spanish
host-0131,Diego Vega,true,2023,86,"English,Spanish,French"
host-0132,Emilio Nguyen,true,2019,92,Spanish
host-0133,Hector Rangel,false,2024,88,"English,Spanish"
host-0134,Elena Aguilar,true,2017,93,English
host-0135,Miguel Aguilar,true,2014,86,"English,Spanish,French"
host-0136,Marcus Campos,false,2013,100,"English,Spanish,French"
host-0137,Harper Ortega,true,2022,85,Spanish
host-0138,Kevin Flores,true,2023,99,"English,Spanish"
host-0139,Diego Contreras,false,2019,89,English
host-0140,Sofia Marchetti,false,2023,97,"English,Spanish,French"
host-0141,Nadia Cardenas,true,2014,88,"English,Spanish,French"
host-0142,Lucia Reyes,true,2022,97,"English,Spanish,French"
host-0143,Cecilia Navarro,false,2023,97,English
host-0144,Natalia Whitfield,true,2014,87,Spanish
host-0145,Ricardo Flores,true,2013,98,"English,Spanish,French"
host-0146,Hector Cortes,true,2016,100,"English,Spanish"
host-0147,Camila Escobar,false,2024,87,English
host-0148,Daniel Villalobos,false,2022,92,"English,Spanish"
host-0149,Ines Delgado,false,2014,85,Spanish
host-0150,Grace Campos,false,2014,98,"English,Spanish,French"
host-0151,Adriana Gutierrez,false,2021,93,"English,Spanish,French"
host-0152,Harper Beltran,false,2023,99,"English,Spanish"
host-0153,Hector Castillo,true,2024,87,Spanish
host-0154,Ines Cohen,false,2019,95,"English,Spanish,French"
host-0155,Aisha Guzman,false,2022,88,"English,Spanish"
host-0156,Sergio Patel,false,2014,95,"English,Spanish,French"
host-0157,Ana Salazar,true,2023,96,"English,Spanish"
host-0158,Nadia Flores,false,2023,98,"English,Spanish,French"
host-0159,Hector Nair,true,2020,91,"English,Spanish,French"
host-0160,Marcus Solis,true,2015,92,Spanish
host-0161,Signal Castillo,false,2019,85,"English,Spanish"
host-0162,Harper Peralta,false,2017,94,"English,Spanish"
host-0163,Diego Cortes,false,2022,88,English
host-0164,Camila Reyes,false,2017,93,"English,Spanish"
host-0165,Valentina Ortega,false,2015,97,Spanish
host-0166,Pedro Vega,true,2020,95,"English,Spanish,French"
host-0167,Carlos Gutierrez,true,2023,86,"English,Spanish"
host-0168,Aisha Ortega,true,2014,98,"English,Spanish"
host-0169,Monica Contreras,true,2017,97,"English,Spanish"
host-0170,Esteban Okafor,true,2020,86,"English,Spanish,French"
host-0171,Wei Vargas,false,2023,90,English
host-0172,Diego Cortes,false,2019,97,"English,Spanish"
host-0173,Adriana Delgado,false,2013,87,"English,Spanish"
host-0174,Ximena Cardenas,false,2014,95,English
host-0175,Sergio Reyes,false,2016,86,"English,Spanish,French"
host-0176,Blessing Vega,false,2015,96,English
host-0177,Camila Gutierrez,false,2019,92,Spanish
host-0178,Jordan Cho,false,2014,99,"English,Spanish"
host-0179,Sofia Serrano,false,2020,94,"English,Spanish,French"
host-0180,Lorena Rangel,true,2018,97,"English,Spanish,French"
host-0181,Mariana Kowalski,true,2022,96,Spanish
host-0182,Valentina Rangel,true,2015,97,Spanish
host-0183,Teresa Morales,true,2017,99,English
host-0184,Sofia Delgado,true,2015,100,Spanish
host-0185,Wei Cho,false,2013,85,"English,Spanish,French"
host-0186,Adriana Rios,true,2013,97,Spanish
host-0187,Pedro Peralta,false,2016,90,"English,Spanish"
host-0188,Rafael Zamora,false,2016,97,Spanish
host-0189,Hana Contreras,false,2013,89,English
host-0190,Rafael Beltran,false,2020,97,"English,Spanish,French"
host-0191,Pedro Jimenez,true,2017,94,"English,Spanish,French"
host-0192,Ines Vargas,true,2023,90,Spanish
host-0193,Leah Park,false,2017,98,"English,Spanish"
host-0194,Guillermo Cortes,true,2021,89,"English,Spanish"
host-0195,Tomas Flores,true,2017,94,"English,Spanish"
host-0196,Rosa Rios,true,2024,94,Spanish
host-0197,Natalia Cortes,false,2013,99,"English,Spanish"
host-0198,Paola Flores,false,2021,96,"English,Spanish,French"
host-0199,Adriana Serrano,true,2020,87,Spanish
host-0200,Valentina Rangel,false,2015,90,Spanish
host-0201,Blessing Beltran,true,2023,88,"English,Spanish,French"
host-0202,Rafael Marchetti,true,2016,100,"English,Spanish"
host-0203,Signal Delgado,true,2019,99,English
host-0204,Valentina Solis,false,2013,94,"English,Spanish,French"
host-0205,Hana Mendoza,true,2013,90,Spanish
host-0206,Kevin Guzman,false,2021,97,"English,Spanish,French"
host-0207,Pedro Beltran,false,2013,97,"English,Spanish"
host-0208,Esteban Cisneros,true,2017,87,"English,Spanish"
host-0209,Cecilia Navarro,false,2023,97,English
host-0210,Teresa Cho,true,2016,85,Spanish
host-0211,Priya Beltran,true,2023,100,English
host-0212,Harper Zamora,true,2014,86,"English,Spanish,French"
host-0213,Natalia Solis,true,2021,86,"English,Spanish,French"
host-0214,Aisha Rios,false,2013,98,Spanish
host-0215,Tomas Flores,true,2017,94,"English,Spanish"
host-0216,Signal Delgado,true,2019,99,English
host-0217,Beatriz Gutierrez,true,2018,92,Spanish
host-0218,Gabriel Ortega,false,2013,99,Spanish
host-0219,Hector Castillo,true,2024,87,Spanish
host-0220,Pedro Jimenez,true,2017,94,"English,Spanish,French"
host-0221,Cecilia Navarro,false,2023,97,English
host-0222,Renata Bautista,true,2020,94,English
host-0223,Emilio Peralta,true,2021,88,Spanish
host-0224,Ines Delgado,false,2014,85,Spanish
host-0225,Elena Aguilar,true,2017,93,English
host-0226,Rafael Beltran,false,2020,97,"English,Spanish,French"
host-0227,Priya Beltran,true,2023,100,English
host-0228,Valentina Rangel,true,2015,97,Spanish
host-0229,Signal Okafor,false,2021,96,"English,Spanish,French"
host-0230,Andres Flores,false,2023,86,English
host-0231,Blessing Villalobos,false,2020,91,"English,Spanish,French"
host-0232,Esteban Okafor,true,2020,86,"English,Spanish,French"
host-0233,Tomas Escobar,true,2018,89,Spanish
host-0234,Sergio Marchetti,true,2020,87,"English,Spanish"
host-0235,Carlos Cardenas,true,2018,94,"English,Spanish"
host-0236,Cecilia Villalobos,false,2015,98,Spanish
host-0237,Diego Cardenas,false,2020,93,Spanish
host-0238,Aisha Guzman,false,2022,88,"English,Spanish"
host-0239,Sergio Marchetti,true,2020,87,"English,Spanish"
host-0240,Harper Beltran,false,2023,99,"English,Spanish"
host-0241,Monica Fuentes,true,2021,95,English
host-0242,Ricardo Vega,true,2021,94,English
host-0243,Ana Villalobos,false,2014,91,English
host-0244,Ines Nair,false,2013,88,English
host-0245,Rosa Peralta,false,2023,95,Spanish
host-0246,Lorena Rangel,true,2018,97,"English,Spanish,French"
host-0247,Grace Escobar,true,2018,90,"English,Spanish"
host-0248,Blessing Solis,true,2020,86,Spanish
host-0249,Lucia Flores,false,2017,92,"English,Spanish,French"
host-0250,Tomas Escobar,true,2018,89,Spanish
host-0251,Isabel Ortega,true,2013,98,"English,Spanish"
