movement_id,value_date,entity_code,account_iban,counterparty_name,counterparty_iban,direction,amount_sek,currency,type,linked_ref,diversion_ref
BNK-000051,2022-03-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Tele2 Sverige AB,SE-vendor-acct,debit,2598603.0,SEK,vendor_payment,INV-000051,
BNK-000052,2022-04-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Tele2 Sverige AB,SE-vendor-acct,debit,2603860.0,SEK,vendor_payment,INV-000052,
BNK-000053,2022-05-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Tele2 Sverige AB,SE-vendor-acct,debit,2597827.0,SEK,vendor_payment,INV-000053,
BNK-000054,2022-06-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Tele2 Sverige AB,SE-vendor-acct,debit,2598063.0,SEK,vendor_payment,INV-000054,
BNK-000055,2022-07-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Tele2 Sverige AB,SE-vendor-acct,debit,2602087.0,SEK,vendor_payment,INV-000055,
BNK-000056,2022-08-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Tele2 Sverige AB,SE-vendor-acct,debit,2600815.0,SEK,vendor_payment,INV-000056,
BNK-000057,2022-09-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Tele2 Sverige AB,SE-vendor-acct,debit,2598876.0,SEK,vendor_payment,INV-000057,
BNK-000058,2022-10-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Tele2 Sverige AB,SE-vendor-acct,debit,2598411.0,SEK,vendor_payment,INV-000058,
BNK-000059,2022-11-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Tele2 Sverige AB,SE-vendor-acct,debit,2598524.0,SEK,vendor_payment,INV-000059,
BNK-000060,2022-12-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Tele2 Sverige AB,SE-vendor-acct,debit,2600152.0,SEK,vendor_payment,INV-000060,
BNK-000061,2023-01-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Tele2 Sverige AB,SE-vendor-acct,debit,2599053.0,SEK,vendor_payment,INV-000061,
BNK-000062,2023-02-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Tele2 Sverige AB,SE-vendor-acct,debit,2597435.0,SEK,vendor_payment,INV-000062,
BNK-000063,2023-03-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Tele2 Sverige AB,SE-vendor-acct,debit,2598027.0,SEK,vendor_payment,INV-000063,
BNK-000064,2023-04-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Tele2 Sverige AB,SE-vendor-acct,debit,2602354.0,SEK,vendor_payment,INV-000064,
BNK-000065,2023-05-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Tele2 Sverige AB,SE-vendor-acct,debit,2603671.0,SEK,vendor_payment,INV-000065,
BNK-000066,2023-06-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Tele2 Sverige AB,SE-vendor-acct,debit,2600863.0,SEK,vendor_payment,INV-000066,
BNK-000067,2023-07-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Tele2 Sverige AB,SE-vendor-acct,debit,2601596.0,SEK,vendor_payment,INV-000067,
BNK-000068,2023-08-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Tele2 Sverige AB,SE-vendor-acct,debit,2603483.0,SEK,vendor_payment,INV-000068,
BNK-000069,2023-09-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Tele2 Sverige AB,SE-vendor-acct,debit,2597418.0,SEK,vendor_payment,INV-000069,
BNK-000070,2023-10-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Tele2 Sverige AB,SE-vendor-acct,debit,2603069.0,SEK,vendor_payment,INV-000070,
BNK-000071,2023-11-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Tele2 Sverige AB,SE-vendor-acct,debit,2601559.0,SEK,vendor_payment,INV-000071,
BNK-000072,2023-12-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Tele2 Sverige AB,SE-vendor-acct,debit,2601297.0,SEK,vendor_payment,INV-000072,
BNK-000073,2024-01-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Tele2 Sverige AB,SE-vendor-acct,debit,2602376.0,SEK,vendor_payment,INV-000073,
BNK-000074,2024-02-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Tele2 Sverige AB,SE-vendor-acct,debit,2598392.0,SEK,vendor_payment,INV-000074,
BNK-000075,2024-03-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Tele2 Sverige AB,SE-vendor-acct,debit,2602373.0,SEK,vendor_payment,INV-000075,
BNK-000076,2024-04-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Tele2 Sverige AB,SE-vendor-acct,debit,2599715.0,SEK,vendor_payment,INV-000076,
BNK-000077,2024-05-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Tele2 Sverige AB,SE-vendor-acct,debit,2603344.0,SEK,vendor_payment,INV-000077,
BNK-000078,2024-06-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Tele2 Sverige AB,SE-vendor-acct,debit,2600935.0,SEK,vendor_payment,INV-000078,
BNK-000079,2024-07-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Tele2 Sverige AB,SE-vendor-acct,debit,2599226.0,SEK,vendor_payment,INV-000079,
BNK-000080,2024-08-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Tele2 Sverige AB,SE-vendor-acct,debit,2599676.0,SEK,vendor_payment,INV-000080,
BNK-000081,2024-09-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Tele2 Sverige AB,SE-vendor-acct,debit,2602844.0,SEK,vendor_payment,INV-000081,
BNK-000082,2024-10-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Tele2 Sverige AB,SE-vendor-acct,debit,2598772.0,SEK,vendor_payment,INV-000082,
BNK-000083,2024-11-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Tele2 Sverige AB,SE-vendor-acct,debit,2602060.0,SEK,vendor_payment,INV-000083,
BNK-000084,2024-12-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Tele2 Sverige AB,SE-vendor-acct,debit,2599405.0,SEK,vendor_payment,INV-000084,
BNK-000085,2025-01-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Tele2 Sverige AB,SE-vendor-acct,debit,2596217.0,SEK,vendor_payment,INV-000085,
BNK-000086,2025-02-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Tele2 Sverige AB,SE-vendor-acct,debit,2600821.0,SEK,vendor_payment,INV-000086,
BNK-000087,2025-03-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Tele2 Sverige AB,SE-vendor-acct,debit,2597308.0,SEK,vendor_payment,INV-000087,
BNK-000088,2025-04-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Tele2 Sverige AB,SE-vendor-acct,debit,2596221.0,SEK,vendor_payment,INV-000088,
BNK-000089,2025-05-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Tele2 Sverige AB,SE-vendor-acct,debit,2598012.0,SEK,vendor_payment,INV-000089,
BNK-000090,2025-06-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Tele2 Sverige AB,SE-vendor-acct,debit,2601710.0,SEK,vendor_payment,INV-000090,
BNK-000091,2025-07-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Tele2 Sverige AB,SE-vendor-acct,debit,2601332.0,SEK,vendor_payment,INV-000091,
BNK-000092,2025-08-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Tele2 Sverige AB,SE-vendor-acct,debit,2600650.0,SEK,vendor_payment,INV-000092,
BNK-000093,2025-09-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Tele2 Sverige AB,SE-vendor-acct,debit,2596537.0,SEK,vendor_payment,INV-000093,
BNK-000094,2025-10-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Tele2 Sverige AB,SE-vendor-acct,debit,2596429.0,SEK,vendor_payment,INV-000094,
BNK-000095,2025-11-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Tele2 Sverige AB,SE-vendor-acct,debit,2596831.0,SEK,vendor_payment,INV-000095,
BNK-000096,2025-12-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Tele2 Sverige AB,SE-vendor-acct,debit,2601876.0,SEK,vendor_payment,INV-000096,
BNK-000097,2022-01-01,VG-SE2,SE37 5000 0000 0002 0000 0002,SEB Kort AB,SE-vendor-acct,debit,6873468.0,SEK,vendor_payment,INV-000097,
BNK-000098,2022-04-01,VG-SE2,SE37 5000 0000 0002 0000 0002,SEB Kort AB,SE-vendor-acct,debit,6878420.0,SEK,vendor_payment,INV-000098,
BNK-000099,2022-07-01,VG-SE2,SE37 5000 0000 0002 0000 0002,SEB Kort AB,SE-vendor-acct,debit,6876996.0,SEK,vendor_payment,INV-000099,
BNK-000100,2022-10-01,VG-SE2,SE37 5000 0000 0002 0000 0002,SEB Kort AB,SE-vendor-acct,debit,6872096.0,SEK,vendor_payment,INV-000100,
BNK-000101,2023-01-01,VG-SE2,SE37 5000 0000 0002 0000 0002,SEB Kort AB,SE-vendor-acct,debit,6874388.0,SEK,vendor_payment,INV-000101,
BNK-000102,2023-04-01,VG-SE2,SE37 5000 0000 0002 0000 0002,SEB Kort AB,SE-vendor-acct,debit,6872749.0,SEK,vendor_payment,INV-000102,
BNK-000103,2023-07-01,VG-SE2,SE37 5000 0000 0002 0000 0002,SEB Kort AB,SE-vendor-acct,debit,6876219.0,SEK,vendor_payment,INV-000103,
BNK-000104,2023-10-01,VG-SE2,SE37 5000 0000 0002 0000 0002,SEB Kort AB,SE-vendor-acct,debit,6872023.0,SEK,vendor_payment,INV-000104,
BNK-000105,2024-01-01,VG-SE2,SE37 5000 0000 0002 0000 0002,SEB Kort AB,SE-vendor-acct,debit,6873693.0,SEK,vendor_payment,INV-000105,
BNK-000106,2024-04-01,VG-SE2,SE37 5000 0000 0002 0000 0002,SEB Kort AB,SE-vendor-acct,debit,6876180.0,SEK,vendor_payment,INV-000106,
BNK-000107,2024-07-01,VG-SE2,SE37 5000 0000 0002 0000 0002,SEB Kort AB,SE-vendor-acct,debit,6876163.0,SEK,vendor_payment,INV-000107,
BNK-000108,2024-10-01,VG-SE2,SE37 5000 0000 0002 0000 0002,SEB Kort AB,SE-vendor-acct,debit,6877368.0,SEK,vendor_payment,INV-000108,
BNK-000109,2025-01-01,VG-SE2,SE37 5000 0000 0002 0000 0002,SEB Kort AB,SE-vendor-acct,debit,6874166.0,SEK,vendor_payment,INV-000109,
BNK-000110,2025-04-01,VG-SE2,SE37 5000 0000 0002 0000 0002,SEB Kort AB,SE-vendor-acct,debit,6873557.0,SEK,vendor_payment,INV-000110,
BNK-000111,2025-07-01,VG-SE2,SE37 5000 0000 0002 0000 0002,SEB Kort AB,SE-vendor-acct,debit,6877894.0,SEK,vendor_payment,INV-000111,
BNK-000112,2025-10-01,VG-SE2,SE37 5000 0000 0002 0000 0002,SEB Kort AB,SE-vendor-acct,debit,6878070.0,SEK,vendor_payment,INV-000112,
BNK-000113,2022-01-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Handelsbanken IT Solutions,SE-vendor-acct,debit,2075212.0,SEK,vendor_payment,INV-000113,
BNK-000114,2022-02-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Handelsbanken IT Solutions,SE-vendor-acct,debit,2071030.0,SEK,vendor_payment,INV-000114,
BNK-000115,2022-03-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Handelsbanken IT Solutions,SE-vendor-acct,debit,2075095.0,SEK,vendor_payment,INV-000115,
BNK-000116,2022-04-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Handelsbanken IT Solutions,SE-vendor-acct,debit,2071389.0,SEK,vendor_payment,INV-000116,
BNK-000117,2022-05-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Handelsbanken IT Solutions,SE-vendor-acct,debit,2074390.0,SEK,vendor_payment,INV-000117,
BNK-000118,2022-06-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Handelsbanken IT Solutions,SE-vendor-acct,debit,2073591.0,SEK,vendor_payment,INV-000118,
BNK-000119,2022-07-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Handelsbanken IT Solutions,SE-vendor-acct,debit,2072910.0,SEK,vendor_payment,INV-000119,
BNK-000120,2022-08-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Handelsbanken IT Solutions,SE-vendor-acct,debit,2078651.0,SEK,vendor_payment,INV-000120,
BNK-000121,2022-09-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Handelsbanken IT Solutions,SE-vendor-acct,debit,2073360.0,SEK,vendor_payment,INV-000121,
BNK-000122,2022-10-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Handelsbanken IT Solutions,SE-vendor-acct,debit,2071790.0,SEK,vendor_payment,INV-000122,
BNK-000123,2022-11-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Handelsbanken IT Solutions,SE-vendor-acct,debit,2073410.0,SEK,vendor_payment,INV-000123,
BNK-000124,2022-12-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Handelsbanken IT Solutions,SE-vendor-acct,debit,2078466.0,SEK,vendor_payment,INV-000124,
BNK-000125,2023-01-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Handelsbanken IT Solutions,SE-vendor-acct,debit,2076321.0,SEK,vendor_payment,INV-000125,
BNK-000126,2023-02-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Handelsbanken IT Solutions,SE-vendor-acct,debit,2077044.0,SEK,vendor_payment,INV-000126,
BNK-000127,2023-03-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Handelsbanken IT Solutions,SE-vendor-acct,debit,2078615.0,SEK,vendor_payment,INV-000127,
BNK-000128,2023-04-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Handelsbanken IT Solutions,SE-vendor-acct,debit,2077935.0,SEK,vendor_payment,INV-000128,
BNK-000129,2023-05-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Handelsbanken IT Solutions,SE-vendor-acct,debit,2075945.0,SEK,vendor_payment,INV-000129,
BNK-000130,2023-06-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Handelsbanken IT Solutions,SE-vendor-acct,debit,2073302.0,SEK,vendor_payment,INV-000130,
BNK-000131,2023-07-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Handelsbanken IT Solutions,SE-vendor-acct,debit,2078816.0,SEK,vendor_payment,INV-000131,
BNK-000132,2023-08-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Handelsbanken IT Solutions,SE-vendor-acct,debit,2073701.0,SEK,vendor_payment,INV-000132,
BNK-000133,2023-09-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Handelsbanken IT Solutions,SE-vendor-acct,debit,2078146.0,SEK,vendor_payment,INV-000133,
BNK-000134,2023-10-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Handelsbanken IT Solutions,SE-vendor-acct,debit,2071860.0,SEK,vendor_payment,INV-000134,
BNK-000135,2023-11-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Handelsbanken IT Solutions,SE-vendor-acct,debit,2072079.0,SEK,vendor_payment,INV-000135,
BNK-000136,2023-12-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Handelsbanken IT Solutions,SE-vendor-acct,debit,2074237.0,SEK,vendor_payment,INV-000136,
BNK-000137,2024-01-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Handelsbanken IT Solutions,SE-vendor-acct,debit,2071102.0,SEK,vendor_payment,INV-000137,
BNK-000138,2024-02-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Handelsbanken IT Solutions,SE-vendor-acct,debit,2072064.0,SEK,vendor_payment,INV-000138,
BNK-000139,2024-03-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Handelsbanken IT Solutions,SE-vendor-acct,debit,2072099.0,SEK,vendor_payment,INV-000139,
BNK-000140,2024-04-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Handelsbanken IT Solutions,SE-vendor-acct,debit,2076692.0,SEK,vendor_payment,INV-000140,
BNK-000141,2024-05-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Handelsbanken IT Solutions,SE-vendor-acct,debit,2073709.0,SEK,vendor_payment,INV-000141,
BNK-000142,2024-06-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Handelsbanken IT Solutions,SE-vendor-acct,debit,2076335.0,SEK,vendor_payment,INV-000142,
BNK-000143,2024-07-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Handelsbanken IT Solutions,SE-vendor-acct,debit,2078473.0,SEK,vendor_payment,INV-000143,
BNK-000144,2024-08-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Handelsbanken IT Solutions,SE-vendor-acct,debit,2072823.0,SEK,vendor_payment,INV-000144,
BNK-000145,2024-09-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Handelsbanken IT Solutions,SE-vendor-acct,debit,2076781.0,SEK,vendor_payment,INV-000145,
BNK-000146,2024-10-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Handelsbanken IT Solutions,SE-vendor-acct,debit,2076310.0,SEK,vendor_payment,INV-000146,
BNK-000147,2024-11-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Handelsbanken IT Solutions,SE-vendor-acct,debit,2076701.0,SEK,vendor_payment,INV-000147,
BNK-000148,2024-12-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Handelsbanken IT Solutions,SE-vendor-acct,debit,2071376.0,SEK,vendor_payment,INV-000148,
BNK-000149,2025-01-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Handelsbanken IT Solutions,SE-vendor-acct,debit,2072251.0,SEK,vendor_payment,INV-000149,
BNK-000150,2025-02-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Handelsbanken IT Solutions,SE-vendor-acct,debit,2072823.0,SEK,vendor_payment,INV-000150,
BNK-000151,2025-03-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Handelsbanken IT Solutions,SE-vendor-acct,debit,2073151.0,SEK,vendor_payment,INV-000151,
BNK-000152,2025-04-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Handelsbanken IT Solutions,SE-vendor-acct,debit,2078256.0,SEK,vendor_payment,INV-000152,
BNK-000153,2025-05-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Handelsbanken IT Solutions,SE-vendor-acct,debit,2077181.0,SEK,vendor_payment,INV-000153,
BNK-000154,2025-06-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Handelsbanken IT Solutions,SE-vendor-acct,debit,2075988.0,SEK,vendor_payment,INV-000154,
BNK-000155,2025-07-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Handelsbanken IT Solutions,SE-vendor-acct,debit,2074304.0,SEK,vendor_payment,INV-000155,
BNK-000156,2025-08-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Handelsbanken IT Solutions,SE-vendor-acct,debit,2073227.0,SEK,vendor_payment,INV-000156,
BNK-000157,2025-09-01,VG-SE1,SE36 5000 0000 0001 0000 0001,Handelsbanken IT Solutions,SE-vendor-acct,debit,2073552.0,SEK,vendor_payment,INV-000157,
