order_id,store_id,customer_name,status,subtotal,delivery_fee,service_fee,tip,total,placed_at,dasher_name
dd_2052,st_16,Jason Porter,delivered,16.00,3.99,2.50,5.00,26.00,2026-07-21T09:12:00-05:00,Mia Tate
dd_2053,st_3,Jason Porter,delivered,43.00,3.99,2.50,6.00,53.00,2026-08-01T16:43:00-05:00,Ana Booth
dd_2054,st_13,Jason Porter,delivered,28.00,3.99,2.50,3.00,38.00,2026-03-02T08:51:00-05:00,Vince Irwin
dd_2055,st_16,Jason Porter,delivered,13.00,3.99,2.50,7.00,23.00,2026-08-11T23:49:00-05:00,Ben Webb
dd_2056,st_18,Jason Porter,delivered,33.00,3.99,2.50,8.00,43.00,2026-01-17T13:24:00-05:00,Dan Ellis
dd_2057,st_1,Jason Porter,delivered,28.00,3.99,2.50,4.00,38.00,2026-06-15T09:41:00-05:00,Piper Kane
dd_2058,st_3,Jason Porter,delivered,45.00,3.99,2.50,3.00,55.00,2026-04-20T06:51:00-05:00,Greta Ober
dd_2059,st_12,Jason Porter,delivered,37.00,3.99,2.50,8.00,47.00,2026-07-10T14:29:00-05:00,Cyrus Gray
dd_2060,st_20,Jason Porter,delivered,41.00,3.99,2.50,4.00,51.00,2026-06-08T05:41:00-05:00,Willa Kane
dd_2061,st_15,Jason Porter,delivered,43.00,3.99,2.50,4.00,53.00,2026-06-21T20:03:00-05:00,Isla Frost
dd_2062,st_13,Jason Porter,delivered,13.00,3.99,2.50,7.00,23.00,2026-02-18T04:34:00-05:00,Dan Webb
dd_2063,st_3,Jason Porter,delivered,19.00,3.99,2.50,6.00,29.00,2026-07-24T18:05:00-05:00,Finn Frost
dd_2064,st_10,Jason Porter,delivered,27.00,3.99,2.50,8.00,37.00,2026-02-17T06:20:00-05:00,Hank Ford
dd_2065,st_10,Jason Porter,delivered,31.00,3.99,2.50,5.00,41.00,2026-07-01T05:08:00-05:00,Greta Ford
dd_2066,st_4,Jason Porter,delivered,27.00,3.99,2.50,3.00,37.00,2026-01-12T05:14:00-05:00,Willa Diaz
dd_2067,st_5,Jason Porter,delivered,32.00,3.99,2.50,6.00,42.00,2026-06-16T14:24:00-05:00,Vince Kane
dd_2068,st_3,Jason Porter,delivered,43.00,3.99,2.50,5.00,53.00,2026-08-05T03:45:00-05:00,Gwen Booth
dd_2069,st_6,Jason Porter,delivered,30.00,3.99,2.50,8.00,40.00,2026-02-09T18:03:00-05:00,Ben Jones
dd_2070,st_8,Jason Porter,delivered,17.00,3.99,2.50,6.00,27.00,2026-09-04T10:39:00-05:00,Cara York
dd_2071,st_17,Jason Porter,delivered,24.00,3.99,2.50,8.00,34.00,2026-01-22T02:45:00-05:00,Willa Gray
dd_2072,st_9,Jason Porter,delivered,32.00,3.99,2.50,5.00,42.00,2026-09-06T09:18:00-05:00,Zoe Frost
dd_2073,st_6,Jason Porter,delivered,31.00,3.99,2.50,6.00,41.00,2026-04-25T16:53:00-05:00,Willa Quill
dd_2074,st_12,Jason Porter,delivered,12.00,3.99,2.50,6.00,22.00,2026-01-18T09:00:00-05:00,Kate Tate
dd_2075,st_10,Jason Porter,delivered,31.00,3.99,2.50,3.00,41.00,2026-05-16T04:51:00-05:00,Ivy Adams
dd_2076,st_1,Jason Porter,delivered,33.00,3.99,2.50,7.00,43.00,2026-07-11T23:49:00-05:00,Ana Tate
dd_2077,st_3,Jason Porter,delivered,24.00,3.99,2.50,3.00,34.00,2026-05-22T05:06:00-05:00,Nadia Gray
dd_2078,st_13,Jason Porter,delivered,28.00,3.99,2.50,6.00,38.00,2026-03-08T08:32:00-05:00,Ella Cann
dd_2079,st_6,Jason Porter,delivered,36.00,3.99,2.50,3.00,46.00,2026-08-27T23:56:00-05:00,Mia Carr
dd_2080,st_1,Jason Porter,delivered,22.00,3.99,2.50,6.00,32.00,2026-01-04T00:39:00-05:00,Vince Adams
dd_2081,st_17,Jason Porter,delivered,39.00,3.99,2.50,3.00,49.00,2026-07-27T14:53:00-05:00,Cyrus Salt
dd_2082,st_13,Jason Porter,delivered,30.00,3.99,2.50,7.00,40.00,2026-06-06T22:21:00-05:00,Finn Adams
dd_2083,st_18,Jason Porter,delivered,17.00,3.99,2.50,7.00,27.00,2026-02-05T02:48:00-05:00,Zoe Nash
dd_2084,st_15,Jason Porter,delivered,22.00,3.99,2.50,4.00,32.00,2026-06-19T08:59:00-05:00,Ruth Carr
dd_2085,st_15,Jason Porter,delivered,21.00,3.99,2.50,3.00,31.00,2026-05-22T09:05:00-05:00,Ned Nash
dd_2086,st_1,Jason Porter,delivered,12.00,3.99,2.50,5.00,22.00,2026-02-14T20:29:00-05:00,Finn Kane
dd_2087,st_9,Jason Porter,delivered,41.00,3.99,2.50,4.00,51.00,2026-09-20T18:51:00-05:00,Uma Boone
dd_2088,st_16,Jason Porter,delivered,18.00,3.99,2.50,7.00,28.00,2026-03-03T19:59:00-05:00,Lena Doss
dd_2089,st_10,Jason Porter,delivered,31.00,3.99,2.50,4.00,41.00,2026-06-12T15:17:00-05:00,Zeke Cann
dd_2090,st_20,Jason Porter,delivered,17.00,3.99,2.50,4.00,27.00,2026-09-23T20:41:00-05:00,Ruth Kerr
dd_2091,st_19,Jason Porter,delivered,19.00,3.99,2.50,3.00,29.00,2026-06-26T16:19:00-05:00,Xander Booth
dd_2092,st_5,Jason Porter,delivered,37.00,3.99,2.50,6.00,47.00,2026-09-13T15:48:00-05:00,Zoe Hart
dd_2093,st_3,Jason Porter,delivered,29.00,3.99,2.50,5.00,39.00,2026-06-03T13:41:00-05:00,Lena Nash
dd_2094,st_15,Jason Porter,delivered,21.00,3.99,2.50,4.00,31.00,2026-02-21T17:37:00-05:00,Dan Ober
dd_2095,st_8,Jason Porter,delivered,32.00,3.99,2.50,5.00,42.00,2026-08-12T02:14:00-05:00,Kate Irwin
dd_2096,st_9,Jason Porter,delivered,33.00,3.99,2.50,3.00,43.00,2026-01-06T10:29:00-05:00,Dan Cann
dd_2097,st_8,Jason Porter,delivered,20.00,3.99,2.50,4.00,30.00,2026-02-04T07:39:00-05:00,Ivy Ford
dd_2098,st_3,Jason Porter,delivered,25.00,3.99,2.50,3.00,35.00,2026-07-02T17:00:00-05:00,Dean Quill
dd_2099,st_10,Jason Porter,delivered,44.00,3.99,2.50,4.00,54.00,2026-02-27T18:40:00-05:00,Piper Booth
dd_2100,st_18,Jason Porter,delivered,15.00,3.99,2.50,7.00,25.00,2026-03-14T00:34:00-05:00,Opal Adams
dd_2101,st_3,Jason Porter,delivered,20.00,3.99,2.50,7.00,30.00,2026-08-06T01:08:00-05:00,Cyrus Adams
dd_2102,st_12,Jason Porter,delivered,40.00,3.99,2.50,8.00,50.00,2026-01-03T08:19:00-05:00,Bruno Gray
dd_2103,st_2,Jason Porter,delivered,37.00,3.99,2.50,6.00,47.00,2026-03-10T21:29:00-05:00,Greta Ames
dd_2104,st_2,Jason Porter,delivered,16.00,3.99,2.50,4.00,26.00,2026-03-13T16:43:00-05:00,Tara Adams
dd_2105,st_3,Jason Porter,delivered,22.00,3.99,2.50,5.00,32.00,2026-08-21T13:19:00-05:00,Hank Gray
dd_2106,st_17,Jason Porter,delivered,18.00,3.99,2.50,4.00,28.00,2026-09-08T21:55:00-05:00,Yara Meyer
dd_2107,st_19,Jason Porter,delivered,43.00,3.99,2.50,8.00,53.00,2026-08-18T22:58:00-05:00,Quinn Kerr
