deal_id,client_name,address,scope_summary,budget_range,stage,source,first_contact,last_touchpoint,notes
HUB-3033,Park-Bath,201 Hope St,Master bath addition,30-35k,Lead,Repeat client,2026-11-06,2026-11-07,Park family wants second bath added
HUB-3034,Kohli,77 Olney St,Bath replacement,15-18k,Lead,Word of mouth,2026-11-01,2026-11-07,Pri Kohli; flexible timeline
HUB-3035,Rodrigues,28 Wickenden St,Kitchen pipe + sink,4-6k,Lead,Website intake,2026-11-03,2026-11-03,Manuel Rodrigues; first response only
HUB-3036,Saunders,89 Power St,Kitchen + bath,42-50k,Lead,East Side referral,2026-10-30,2026-11-06,Jennifer Saunders; College Hill family
HUB-3037,Voccola,4 Olney St,Bath remodel,18-22k,Lead,Word of mouth,2026-10-15,2026-10-15,Cold; no follow-up
HUB-3038,DiMaio,156 Cypress St,Kitchen update,18-22k,Lead,College Hill referral,2026-10-22,2026-10-22,Cold; no follow-up
HUB-3039,Hwang,12 Methyl St,Bath replacement,10-12k,Lead,Word of mouth,2026-10-28,2026-11-04,Sunhee Hwang; spring start ideal
HUB-3040,Pirelli,67 Brook St,Kitchen remodel,30-36k,Lead,East Side referral,2026-11-02,2026-11-07,Greg Pirelli; wants February
HUB-3041,O'Sullivan,29 Doyle Ave,Bath remodel,18-22k,Lead,Word of mouth,2026-10-25,2026-11-05,Kate O'Sullivan
HUB-3042,Zimmerman,18 Larch St,Kitchen pipe + DW,3-5k,Lead,Website intake,2026-11-04,2026-11-04,Cold; one response
HUB-3043,Galanis,4 Hope St,Kitchen full,38-44k,Lead,East Side referral,2026-11-04,2026-11-07,George Galanis; College Hill
HUB-3044,Berkowitz,201 Olney St,Bath addition,28-34k,Lead,Word of mouth,2026-10-30,2026-11-06,Daniel Berkowitz; flex spring
HUB-3045,Tan,71 Wickenden St,Kitchen pipe replacement,4-6k,Lead,Website intake,2026-10-30,2026-10-30,Cold; one response
HUB-3046,Russo,5 Brook St,Bath remodel,18-22k,Lead,East Side referral,2026-10-28,2026-11-05,Lisa Russo; spring start
HUB-3047,Vargas,84 Atwells Ave,Bath replacement,10-13k,Lead,Repeat client,2026-09-18,2026-09-18,Cold; price-sensitive
HUB-3048,Whitlock,18 Methyl St,Bath full,22-26k,Lead,Word of mouth,2026-10-15,2026-10-15,Cold
HUB-3049,Kapoor,32 Brook St,Kitchen full,32-38k,Lead,East Side referral,2026-10-22,2026-11-04,Sanjay Kapoor; spring 2027 firm
HUB-3050,Marsh,144 Camp St,Bath remodel,16-20k,Lead,Word of mouth,2026-08-30,2026-08-30,Cold; no follow-up since summer
HUB-3051,Tobin-Annex,5 Olney St,Hot water tank,1-2k,Lead,Website intake,2026-10-08,2026-10-08,Cold
HUB-3052,Boucher,93 Slater Mill Ln,Kitchen pipe,3-4k,Lead,Word of mouth,2026-10-15,2026-10-15,Cold
