Date	ClassLevel	StartTime	Student	Status	Makeup
2026-02-12	Intermediate	7:30 PM	Nina Castillo	Present	
2026-02-12	Intermediate	7:30 PM	Owen Pratt	Present	
2026-02-12	Intermediate	7:30 PM	Amara Diallo	Present	
2026-02-12	Intermediate	7:30 PM	Ken Whitfield	Present	
2026-02-12	Intermediate	7:30 PM	Rosa Medina	Absent	scheduled
2026-02-19	Intermediate	7:30 PM	Sora Becker	Present	
2026-02-19	Intermediate	7:30 PM	Nina Castillo	Present	
2026-02-19	Intermediate	7:30 PM	Owen Pratt	Present	
2026-02-19	Intermediate	7:30 PM	Amara Diallo	Present	
2026-02-19	Intermediate	7:30 PM	Ken Whitfield	Present	
2026-02-19	Intermediate	7:30 PM	Rosa Medina	Present	
2026-02-26	Intermediate	7:30 PM	Sora Becker	Present	
2026-02-26	Intermediate	7:30 PM	Nina Castillo	Present	
2026-02-26	Intermediate	7:30 PM	Owen Pratt	Absent	scheduled
2026-02-26	Intermediate	7:30 PM	Amara Diallo	Present	
2026-02-26	Intermediate	7:30 PM	Ken Whitfield	Present	
2026-02-26	Intermediate	7:30 PM	Rosa Medina	Present	
