list_address,address,name,subscribed,vars
consultation@plateau.montreal.qc.ca,resident0044@plateau.example.ca,Resident 0044,true,"{""cohort"":""fr""}"
consultation@plateau.montreal.qc.ca,resident0045@plateau.example.ca,Resident 0045,true,"{""cohort"":""fr""}"
consultation@plateau.montreal.qc.ca,resident0046@plateau.example.ca,Resident 0046,true,"{""cohort"":""fr""}"
consultation@plateau.montreal.qc.ca,resident0047@plateau.example.ca,Resident 0047,true,"{""cohort"":""fr""}"
consultation@plateau.montreal.qc.ca,resident0048@plateau.example.ca,Resident 0048,true,"{""cohort"":""fr""}"
consultation@plateau.montreal.qc.ca,resident0049@plateau.example.ca,Resident 0049,true,"{""cohort"":""fr""}"
consultation@plateau.montreal.qc.ca,resident0050@plateau.example.ca,Resident 0050,true,"{""cohort"":""fr""}"
consultation@plateau.montreal.qc.ca,resident0051@plateau.example.ca,Resident 0051,true,"{""cohort"":""fr""}"
consultation@plateau.montreal.qc.ca,resident0052@plateau.example.ca,Resident 0052,true,"{""cohort"":""fr""}"
consultation@plateau.montreal.qc.ca,resident0053@plateau.example.ca,Resident 0053,true,"{""cohort"":""fr""}"
consultation@plateau.montreal.qc.ca,resident0054@plateau.example.ca,Resident 0054,true,"{""cohort"":""fr""}"
consultation@plateau.montreal.qc.ca,resident0055@plateau.example.ca,Resident 0055,true,"{""cohort"":""fr""}"
consultation@plateau.montreal.qc.ca,resident0056@plateau.example.ca,Resident 0056,true,"{""cohort"":""fr""}"
consultation@plateau.montreal.qc.ca,resident0057@plateau.example.ca,Resident 0057,true,"{""cohort"":""fr""}"
consultation@plateau.montreal.qc.ca,resident0058@plateau.example.ca,Resident 0058,true,"{""cohort"":""fr""}"
consultation@plateau.montreal.qc.ca,resident0059@plateau.example.ca,Resident 0059,true,"{""cohort"":""fr""}"
consultation@plateau.montreal.qc.ca,resident0060@plateau.example.ca,Resident 0060,true,"{""cohort"":""fr""}"
consultation@plateau.montreal.qc.ca,resident_bn0001@plateau.example.ca,Resident BN 0001,true,"{""cohort"":""bn""}"
consultation@plateau.montreal.qc.ca,resident_bn0002@plateau.example.ca,Resident BN 0002,true,"{""cohort"":""bn""}"
consultation@plateau.montreal.qc.ca,resident_bn0003@plateau.example.ca,Resident BN 0003,true,"{""cohort"":""bn""}"
consultation@plateau.montreal.qc.ca,resident_bn0004@plateau.example.ca,Resident BN 0004,true,"{""cohort"":""bn""}"
consultation@plateau.montreal.qc.ca,resident_bn0005@plateau.example.ca,Resident BN 0005,true,"{""cohort"":""bn""}"
consultation@plateau.montreal.qc.ca,resident_bn0006@plateau.example.ca,Resident BN 0006,true,"{""cohort"":""bn""}"
consultation@plateau.montreal.qc.ca,resident_bn0007@plateau.example.ca,Resident BN 0007,true,"{""cohort"":""bn""}"
consultation@plateau.montreal.qc.ca,resident_bn0008@plateau.example.ca,Resident BN 0008,true,"{""cohort"":""bn""}"
consultation@plateau.montreal.qc.ca,resident_bn0009@plateau.example.ca,Resident BN 0009,true,"{""cohort"":""bn""}"
consultation@plateau.montreal.qc.ca,resident_bn0010@plateau.example.ca,Resident BN 0010,true,"{""cohort"":""bn""}"
consultation@plateau.montreal.qc.ca,resident_bn0011@plateau.example.ca,Resident BN 0011,true,"{""cohort"":""bn""}"
consultation@plateau.montreal.qc.ca,resident_bn0012@plateau.example.ca,Resident BN 0012,true,"{""cohort"":""bn""}"
consultation@plateau.montreal.qc.ca,resident_bn0013@plateau.example.ca,Resident BN 0013,true,"{""cohort"":""bn""}"
consultation@plateau.montreal.qc.ca,resident_bn0014@plateau.example.ca,Resident BN 0014,true,"{""cohort"":""bn""}"
consultation@plateau.montreal.qc.ca,resident_bn0015@plateau.example.ca,Resident BN 0015,true,"{""cohort"":""bn""}"
consultation@plateau.montreal.qc.ca,resident_bn0016@plateau.example.ca,Resident BN 0016,true,"{""cohort"":""bn""}"
consultation@plateau.montreal.qc.ca,resident_bn0017@plateau.example.ca,Resident BN 0017,true,"{""cohort"":""bn""}"
consultation@plateau.montreal.qc.ca,resident_bn0018@plateau.example.ca,Resident BN 0018,true,"{""cohort"":""bn""}"
consultation@plateau.montreal.qc.ca,resident_bn0019@plateau.example.ca,Resident BN 0019,true,"{""cohort"":""bn""}"
consultation@plateau.montreal.qc.ca,resident_bn0020@plateau.example.ca,Resident BN 0020,true,"{""cohort"":""bn""}"
consultation@plateau.montreal.qc.ca,resident_bn0021@plateau.example.ca,Resident BN 0021,true,"{""cohort"":""bn""}"
consultation@plateau.montreal.qc.ca,resident_bn0022@plateau.example.ca,Resident BN 0022,true,"{""cohort"":""bn""}"
consultation@plateau.montreal.qc.ca,resident_bn0023@plateau.example.ca,Resident BN 0023,true,"{""cohort"":""bn""}"
consultation@plateau.montreal.qc.ca,resident_bn0024@plateau.example.ca,Resident BN 0024,true,"{""cohort"":""bn""}"
consultation@plateau.montreal.qc.ca,resident_bn0025@plateau.example.ca,Resident BN 0025,true,"{""cohort"":""bn""}"
consultation@plateau.montreal.qc.ca,resident_bn0026@plateau.example.ca,Resident BN 0026,true,"{""cohort"":""bn""}"
consultation@plateau.montreal.qc.ca,resident_bn0027@plateau.example.ca,Resident BN 0027,true,"{""cohort"":""bn""}"
consultation@plateau.montreal.qc.ca,resident_bn0028@plateau.example.ca,Resident BN 0028,true,"{""cohort"":""bn""}"
consultation@plateau.montreal.qc.ca,resident_bn0029@plateau.example.ca,Resident BN 0029,true,"{""cohort"":""bn""}"
consultation@plateau.montreal.qc.ca,resident_bn0030@plateau.example.ca,Resident BN 0030,true,"{""cohort"":""bn""}"
advisory@plateau.montreal.qc.ca,advisory0001@plateau.example.ca,Advisory 0001,true,"{""cohort"":""fr""}"
advisory@plateau.montreal.qc.ca,advisory0002@plateau.example.ca,Advisory 0002,true,"{""cohort"":""fr""}"
advisory@plateau.montreal.qc.ca,advisory0003@plateau.example.ca,Advisory 0003,true,"{""cohort"":""fr""}"
advisory@plateau.montreal.qc.ca,advisory0004@plateau.example.ca,Advisory 0004,true,"{""cohort"":""fr""}"
advisory@plateau.montreal.qc.ca,advisory0005@plateau.example.ca,Advisory 0005,true,"{""cohort"":""fr""}"
advisory@plateau.montreal.qc.ca,advisory0006@plateau.example.ca,Advisory 0006,true,"{""cohort"":""fr""}"
advisory@plateau.montreal.qc.ca,advisory0007@plateau.example.ca,Advisory 0007,true,"{""cohort"":""fr""}"
advisory@plateau.montreal.qc.ca,advisory0008@plateau.example.ca,Advisory 0008,true,"{""cohort"":""fr""}"
advisory@plateau.montreal.qc.ca,advisory0009@plateau.example.ca,Advisory 0009,true,"{""cohort"":""fr""}"
advisory@plateau.montreal.qc.ca,advisory0010@plateau.example.ca,Advisory 0010,true,"{""cohort"":""fr""}"
advisory@plateau.montreal.qc.ca,advisory0011@plateau.example.ca,Advisory 0011,true,"{""cohort"":""fr""}"
advisory@plateau.montreal.qc.ca,advisory0012@plateau.example.ca,Advisory 0012,true,"{""cohort"":""fr""}"
advisory@plateau.montreal.qc.ca,advisory0013@plateau.example.ca,Advisory 0013,true,"{""cohort"":""fr""}"
advisory@plateau.montreal.qc.ca,advisory0014@plateau.example.ca,Advisory 0014,true,"{""cohort"":""fr""}"
advisory@plateau.montreal.qc.ca,advisory0015@plateau.example.ca,Advisory 0015,true,"{""cohort"":""fr""}"
advisory@plateau.montreal.qc.ca,advisory0016@plateau.example.ca,Advisory 0016,true,"{""cohort"":""fr""}"
advisory@plateau.montreal.qc.ca,advisory0017@plateau.example.ca,Advisory 0017,true,"{""cohort"":""fr""}"
advisory@plateau.montreal.qc.ca,advisory0018@plateau.example.ca,Advisory 0018,true,"{""cohort"":""fr""}"
advisory@plateau.montreal.qc.ca,advisory0019@plateau.example.ca,Advisory 0019,true,"{""cohort"":""fr""}"
advisory@plateau.montreal.qc.ca,advisory0020@plateau.example.ca,Advisory 0020,true,"{""cohort"":""fr""}"
