<<<<<<< HEAD
Date	Time	Track_Title	Artist	Album_Or_Show	Duration_sec	Content_Type	Device
2025-05-17	19:28	The Biggest Loser	Maintenance Phase	Maintenance Phase	3900	Podcast Episode	MacBook Air
2025-05-24	07:51	Pacemaker	Cardio Collective	Track Season	224	Music Track	iPhone 15
2025-05-31	19:08	Morning News Briefing October	The Daily	The Daily	1920	Podcast Episode	MacBook Air
2025-06-02	07:17	Tempo Rise	Workout Pulse	Tempo Rise	201	Music Track	iPhone 15
2025-06-05	06:40	Keep Moving Forward	Endurance Beat	Long Run Sessions	215	Music Track	iPhone 15
2025-06-09	07:29	Pacemaker	Cardio Collective	Track Season	224	Music Track	iPhone 15
2025-06-16	07:46	Tempo Rise	Workout Pulse	Tempo Rise	201	Music Track	iPhone 15
2025-06-23	08:54	Running Steady	Upbeat Running Mix	Running Steady EP	210	Music Track	iPhone 15
2025-07-03	21:34	Morning News Briefing March	The Daily	The Daily	1860	Podcast Episode	MacBook Air
2025-07-07	08:33	Sunrise Miles	Morning Run Club	Dawn Patrol	228	Music Track	iPhone 15
2025-07-14	19:00	Morning News Briefing March	The Daily	The Daily	1860	Podcast Episode	MacBook Air
2025-07-21	07:31	Pace Yourself	Workout Pulse	Tempo Rise	213	Music Track	iPhone 15
2025-07-28	19:31	Morning News Briefing February	The Daily	The Daily	1740	Podcast Episode	MacBook Air
2025-08-04	08:40	Hill Repeats	Running Rhythm	Morning Miles	188	Music Track	iPhone 15
2025-08-07	08:55	Running Steady	Upbeat Running Mix	Running Steady EP	210	Music Track	iPhone 15
2025-08-11	19:42	Morning News Briefing December	The Daily	The Daily	1860	Podcast Episode	MacBook Air
2025-08-18	19:18	How to Stay Motivated in Winter Training	Ali on the Run Show	Ali on the Run Show	3240	Podcast Episode	MacBook Air
2025-08-25	19:24	Morning News Briefing August	The Daily	The Daily	1800	Podcast Episode	MacBook Air
2025-09-01	06:19	Strong Stride	Endurance Beat	Long Run Sessions	207	Music Track	iPhone 15
2025-09-08	07:37	Crossing Lines	Upbeat Running Mix	Race Day	222	Music Track	iPhone 15
2025-09-15	08:23	Final Mile	Upbeat Running Mix	Race Day	219	Music Track	iPhone 15
2025-09-22	20:27	Morning News Briefing July	The Daily	The Daily	1860	Podcast Episode	MacBook Air
2025-09-29	21:15	Processed Food and the Diet Industry Part 1	Maintenance Phase	Maintenance Phase	3480	Podcast Episode	MacBook Air
2025-10-06	20:49	Fall Race Season Recap	Ali on the Run Show	Ali on the Run Show	2880	Podcast Episode	MacBook Air
2025-10-13	19:37	Morning News Briefing October	The Daily	The Daily	1920	Podcast Episode	MacBook Air
2025-10-19	20:27	Morning News Briefing November	The Daily	The Daily	1800	Podcast Episode	MacBook Air
2025-10-20	19:41	Morning News Briefing September	The Daily	The Daily	1740	Podcast Episode	MacBook Air
2025-10-27	07:37	Final Mile	Upbeat Running Mix	Race Day	219	Music Track	iPhone 15
2025-11-03	06:30	Final Mile	Upbeat Running Mix	Race Day	219	Music Track	iPhone 15
2025-11-06	06:51	Sunrise Miles	Morning Run Club	Dawn Patrol	228	Music Track	iPhone 15
2025-11-10	20:29	Morning News Briefing November	The Daily	The Daily	1800	Podcast Episode	MacBook Air
2025-11-17	06:14	Keep Moving Forward	Endurance Beat	Long Run Sessions	215	Music Track	iPhone 15
2025-11-24	19:38	Morning News Briefing May	The Daily	The Daily	1800	Podcast Episode	MacBook Air
2025-12-01	07:22	Tempo Rise	Workout Pulse	Tempo Rise	201	Music Track	iPhone 15
2025-12-08	07:40	Strong Stride	Endurance Beat	Long Run Sessions	207	Music Track	iPhone 15
2025-12-15	21:24	Columbus Ohio Race Scene	Ali on the Run Show	Ali on the Run Show	2760	Podcast Episode	MacBook Air
2025-12-22	20:03	Morning News Briefing May	The Daily	The Daily	1800	Podcast Episode	MacBook Air
2025-12-29	07:43	Long Road Home	Running Rhythm	Marathon Mix	241	Music Track	iPhone 15
=======
Date	Time	Track_Title	Artist	Album_Or_Show	Duration_sec	Content_Type	Device
2025-01-06	21:16	Running Your First Half Marathon	Ali on the Run Show	Ali on the Run Show	3120	Podcast Episode	MacBook Air
2025-01-09	08:50	Long Road Home	Running Rhythm	Marathon Mix	241	Music Track	iPhone 15
2025-01-13	19:46	The Wellness Industry	Maintenance Phase	Maintenance Phase	3600	Podcast Episode	MacBook Air
2025-01-20	07:26	Morning Miles	Running Rhythm	Morning Miles	198	Music Track	iPhone 15
2025-01-23	20:33	The Biggest Loser	Maintenance Phase	Maintenance Phase	3900	Podcast Episode	MacBook Air
2025-01-27	07:22	Hill Repeats	Running Rhythm	Morning Miles	188	Music Track	iPhone 15
2025-02-03	08:52	Morning Miles	Running Rhythm	Morning Miles	198	Music Track	iPhone 15
2025-02-06	06:49	Strong Stride	Endurance Beat	Long Run Sessions	207	Music Track	iPhone 15
2025-02-10	06:55	Hill Repeats	Running Rhythm	Morning Miles	188	Music Track	iPhone 15
2025-02-17	21:15	Processed Food and the Diet Industry Part 1	Maintenance Phase	Maintenance Phase	3480	Podcast Episode	MacBook Air
2025-02-24	21:31	Morning News Briefing April	The Daily	The Daily	1920	Podcast Episode	MacBook Air
2025-03-03	19:37	Weight Loss Drugs	Maintenance Phase	Maintenance Phase	4020	Podcast Episode	MacBook Air
2025-03-07	20:11	The Wellness Industry	Maintenance Phase	Maintenance Phase	3600	Podcast Episode	MacBook Air
2025-03-10	08:47	Long Road Home	Running Rhythm	Marathon Mix	241	Music Track	iPhone 15
2025-03-17	19:22	Morning News Briefing December	The Daily	The Daily	1860	Podcast Episode	MacBook Air
2025-03-20	20:12	How to Stay Motivated in Winter Training	Ali on the Run Show	Ali on the Run Show	3240	Podcast Episode	MacBook Air
2025-03-24	08:46	Cadence Up	Endurance Beat	Long Run Sessions	204	Music Track	iPhone 15
2025-04-03	07:51	Easy Does It	Recovery Run Collective	Easy Miles	233	Music Track	iPhone 15
2025-04-05	19:50	Training Through Injury with Dr. Amy Goss	Ali on the Run Show	Ali on the Run Show	3480	Podcast Episode	MacBook Air
2025-04-12	08:45	Easy Does It	Recovery Run Collective	Easy Miles	233	Music Track	iPhone 15
2025-04-19	06:24	Breathe and Push	Cardio Collective	Track Season	196	Music Track	iPhone 15
2025-04-26	06:14	Crossing Lines	Upbeat Running Mix	Race Day	222	Music Track	iPhone 15
2025-05-03	21:35	Morning News Briefing June	The Daily	The Daily	1740	Podcast Episode	MacBook Air
2025-05-08	06:43	Pacemaker	Cardio Collective	Track Season	224	Music Track	iPhone 15
2025-05-10	08:54	Keep Moving Forward	Endurance Beat	Long Run Sessions	215	Music Track	iPhone 15
2025-05-17	19:28	The Biggest Loser	Maintenance Phase	Maintenance Phase	3900	Podcast Episode	MacBook Air
2025-05-24	07:51	Pacemaker	Cardio Collective	Track Season	224	Music Track	iPhone 15
2025-05-31	19:08	Morning News Briefing October	The Daily	The Daily	1920	Podcast Episode	MacBook Air
2025-06-02	07:17	Tempo Rise	Workout Pulse	Tempo Rise	201	Music Track	iPhone 15
2025-06-05	06:40	Keep Moving Forward	Endurance Beat	Long Run Sessions	215	Music Track	iPhone 15
2025-06-09	07:29	Pacemaker	Cardio Collective	Track Season	224	Music Track	iPhone 15
2025-06-16	07:46	Tempo Rise	Workout Pulse	Tempo Rise	201	Music Track	iPhone 15
2025-06-23	08:54	Running Steady	Upbeat Running Mix	Running Steady EP	210	Music Track	iPhone 15
2025-07-03	21:34	Morning News Briefing March	The Daily	The Daily	1860	Podcast Episode	MacBook Air
2025-07-07	08:33	Sunrise Miles	Morning Run Club	Dawn Patrol	228	Music Track	iPhone 15
2025-07-14	19:00	Morning News Briefing March	The Daily	The Daily	1860	Podcast Episode	MacBook Air
2025-07-21	07:31	Pace Yourself	Workout Pulse	Tempo Rise	213	Music Track	iPhone 15
2025-07-28	19:31	Morning News Briefing February	The Daily	The Daily	1740	Podcast Episode	MacBook Air
2025-08-04	08:40	Hill Repeats	Running Rhythm	Morning Miles	188	Music Track	iPhone 15
2025-08-07	08:55	Running Steady	Upbeat Running Mix	Running Steady EP	210	Music Track	iPhone 15
2025-08-11	19:42	Morning News Briefing December	The Daily	The Daily	1860	Podcast Episode	MacBook Air
2025-08-18	19:18	How to Stay Motivated in Winter Training	Ali on the Run Show	Ali on the Run Show	3240	Podcast Episode	MacBook Air
2025-08-25	19:24	Morning News Briefing August	The Daily	The Daily	1800	Podcast Episode	MacBook Air
2025-09-01	06:19	Strong Stride	Endurance Beat	Long Run Sessions	207	Music Track	iPhone 15
2025-09-08	07:37	Crossing Lines	Upbeat Running Mix	Race Day	222	Music Track	iPhone 15
2025-09-15	08:23	Final Mile	Upbeat Running Mix	Race Day	219	Music Track	iPhone 15
2025-09-22	20:27	Morning News Briefing July	The Daily	The Daily	1860	Podcast Episode	MacBook Air
2025-09-29	21:15	Processed Food and the Diet Industry Part 1	Maintenance Phase	Maintenance Phase	3480	Podcast Episode	MacBook Air
2025-10-06	20:49	Fall Race Season Recap	Ali on the Run Show	Ali on the Run Show	2880	Podcast Episode	MacBook Air
2025-10-13	19:37	Morning News Briefing October	The Daily	The Daily	1920	Podcast Episode	MacBook Air
2025-10-19	20:27	Morning News Briefing November	The Daily	The Daily	1800	Podcast Episode	MacBook Air
2025-10-20	19:41	Morning News Briefing September	The Daily	The Daily	1740	Podcast Episode	MacBook Air
2025-10-27	07:37	Final Mile	Upbeat Running Mix	Race Day	219	Music Track	iPhone 15
2025-11-03	06:30	Final Mile	Upbeat Running Mix	Race Day	219	Music Track	iPhone 15
2025-11-06	06:51	Sunrise Miles	Morning Run Club	Dawn Patrol	228	Music Track	iPhone 15
2025-11-10	20:29	Morning News Briefing November	The Daily	The Daily	1800	Podcast Episode	MacBook Air
2025-11-17	06:14	Keep Moving Forward	Endurance Beat	Long Run Sessions	215	Music Track	iPhone 15
2025-11-24	19:38	Morning News Briefing May	The Daily	The Daily	1800	Podcast Episode	MacBook Air
2025-12-01	07:22	Tempo Rise	Workout Pulse	Tempo Rise	201	Music Track	iPhone 15
2025-12-08	07:40	Strong Stride	Endurance Beat	Long Run Sessions	207	Music Track	iPhone 15
2025-12-15	21:24	Columbus Ohio Race Scene	Ali on the Run Show	Ali on the Run Show	2760	Podcast Episode	MacBook Air
2025-12-22	20:03	Morning News Briefing May	The Daily	The Daily	1800	Podcast Episode	MacBook Air
2025-12-29	07:43	Long Road Home	Running Rhythm	Marathon Mix	241	Music Track	iPhone 15
>>>>>>> 4e4ecc5ce026dfe93cb7a2ee56839c707900e068
