id,number,customer_id,status,currency,total,subtotal,total_tax,payment_method,payment_method_title,billing_first_name,billing_last_name,billing_email,date_created
wc_ord_0017,17,17,processing,USD,952.0,875.84,76.16,bacs,Direct Bank Transfer,Erik,Alcorn,erik.alcorn16@example.com,2025-01-27T09:00:00Z
wc_ord_0018,18,18,processing,USD,999.0,919.08,79.92,bacs,Direct Bank Transfer,Cara,Aldrete,cara.aldrete17@example.com,2025-04-05T09:00:00Z
wc_ord_0019,19,19,completed,USD,1046.0,962.32,83.68,bacs,Direct Bank Transfer,Reese,Wong,reese.wong18@example.com,2025-07-10T09:00:00Z
wc_ord_0020,20,20,processing,USD,1093.0,1005.56,87.44,bacs,Direct Bank Transfer,Toni,Casey,toni.casey19@example.com,2025-10-15T09:00:00Z
wc_ord_0021,21,21,processing,USD,1140.0,1048.8,91.2,bacs,Direct Bank Transfer,Reese,Kim,reese.kim20@example.com,2025-01-20T09:00:00Z
wc_ord_0022,22,22,completed,USD,1187.0,1092.04,94.96,bacs,Direct Bank Transfer,Meredith,Reeves,meredith.reeves21@example.com,2025-04-25T09:00:00Z
wc_ord_0023,23,23,processing,USD,1234.0,1135.28,98.72,bacs,Direct Bank Transfer,Adele,Doyle,adele.doyle22@example.com,2025-07-03T09:00:00Z
wc_ord_0024,24,24,processing,USD,1281.0,1178.52,102.48,bacs,Direct Bank Transfer,Bruce,Nair,bruce.nair23@example.com,2025-10-08T09:00:00Z
wc_ord_0025,25,25,completed,USD,1328.0,1221.76,106.24,bacs,Direct Bank Transfer,Gabriel,Marsh,gabriel.marsh24@example.com,2025-01-13T09:00:00Z
wc_ord_0026,26,26,processing,USD,1375.0,1265.0,110.0,bacs,Direct Bank Transfer,Sylvie,Mitchell,sylvie.mitchell25@example.com,2025-04-18T09:00:00Z
wc_ord_0027,27,27,processing,USD,1422.0,1308.24,113.76,bacs,Direct Bank Transfer,Denise,Bourque,denise.bourque26@example.com,2025-07-23T09:00:00Z
wc_ord_0028,28,28,completed,USD,1469.0,1351.48,117.52,bacs,Direct Bank Transfer,Rene,Bellemare,rene.bellemare27@example.com,2025-10-01T09:00:00Z
wc_ord_0029,29,29,processing,USD,1516.0,1394.72,121.28,bacs,Direct Bank Transfer,Marc-Andre,Ouellet,marc-andre.ouellet28@example.com,2025-01-06T09:00:00Z
wc_ord_0030,30,30,processing,USD,1563.0,1437.96,125.04,bacs,Direct Bank Transfer,Isabelle,Cote,isabelle.cote29@example.com,2025-04-11T09:00:00Z
wc_ord_0031,31,1,completed,USD,1610.0,1481.2,128.8,bacs,Direct Bank Transfer,Alma,Girard,alma.girard30@example.com,2025-07-16T09:00:00Z
wc_ord_0032,32,2,processing,USD,1657.0,1524.44,132.56,bacs,Direct Bank Transfer,Yolanda,Beaulieu,yolanda.beaulieu31@example.com,2025-10-21T09:00:00Z
wc_ord_0033,33,3,processing,USD,1704.0,1567.68,136.32,bacs,Direct Bank Transfer,Marisol,Alcorn,marisol.alcorn32@example.com,2025-01-26T09:00:00Z
wc_ord_0034,34,4,completed,USD,1751.0,1610.92,140.08,bacs,Direct Bank Transfer,Danny,Aldrete,danny.aldrete33@example.com,2025-04-04T09:00:00Z
wc_ord_0035,35,5,processing,USD,1798.0,1654.16,143.84,bacs,Direct Bank Transfer,Ana,Wong,ana.wong34@example.com,2025-07-09T09:00:00Z
wc_ord_0036,36,6,processing,USD,1845.0,1697.4,147.6,bacs,Direct Bank Transfer,Marcus,Casey,marcus.casey35@example.com,2025-10-14T09:00:00Z
wc_ord_0037,37,7,completed,USD,1892.0,1740.64,151.36,bacs,Direct Bank Transfer,Karen,Kim,karen.kim36@example.com,2025-01-19T09:00:00Z
wc_ord_0038,38,8,processing,USD,1939.0,1783.88,155.12,bacs,Direct Bank Transfer,Nadia,Reeves,nadia.reeves37@example.com,2025-04-24T09:00:00Z
wc_ord_0039,39,9,processing,USD,1986.0,1827.12,158.88,bacs,Direct Bank Transfer,Patricia,Doyle,patricia.doyle38@example.com,2025-07-02T09:00:00Z
wc_ord_0040,40,10,completed,USD,2033.0,1870.36,162.64,bacs,Direct Bank Transfer,Blessing,Nair,blessing.nair39@example.com,2025-10-07T09:00:00Z
wc_ord_0041,41,11,processing,USD,2080.0,1913.6,166.4,bacs,Direct Bank Transfer,Brianna,Marsh,brianna.marsh40@example.com,2026-01-12T09:00:00Z
wc_ord_0042,42,12,processing,USD,2127.0,1956.84,170.16,bacs,Direct Bank Transfer,Jason,Mitchell,jason.mitchell41@example.com,2026-04-17T09:00:00Z
wc_ord_0043,43,13,completed,USD,2174.0,2000.08,173.92,bacs,Direct Bank Transfer,Connor,Bourque,connor.bourque42@example.com,2026-07-22T09:00:00Z
wc_ord_0044,44,14,processing,USD,2221.0,2043.32,177.68,bacs,Direct Bank Transfer,Reyna,Bellemare,reyna.bellemare43@example.com,2026-10-27T09:00:00Z
wc_ord_0045,45,15,processing,USD,2268.0,2086.56,181.44,bacs,Direct Bank Transfer,Iman,Ouellet,iman.ouellet44@example.com,2026-01-05T09:00:00Z
wc_ord_0046,46,16,completed,USD,2315.0,2129.8,185.2,bacs,Direct Bank Transfer,Ilse,Cote,ilse.cote45@example.com,2026-04-10T09:00:00Z
wc_ord_0047,47,17,processing,USD,2362.0,2173.04,188.96,bacs,Direct Bank Transfer,Kofi,Girard,kofi.girard46@example.com,2026-07-15T09:00:00Z
wc_ord_0048,48,18,processing,USD,209.0,192.28,16.72,bacs,Direct Bank Transfer,Zainab,Beaulieu,zainab.beaulieu0@example.com,2026-10-20T09:00:00Z
wc_ord_0049,49,19,completed,USD,256.0,235.52,20.48,bacs,Direct Bank Transfer,Owen,Alcorn,owen.alcorn1@example.com,2026-01-25T09:00:00Z
wc_ord_0050,50,20,processing,USD,303.0,278.76,24.24,bacs,Direct Bank Transfer,Dalia,Aldrete,dalia.aldrete2@example.com,2026-04-03T09:00:00Z
wc_ord_0051,51,21,processing,USD,350.0,322.0,28.0,bacs,Direct Bank Transfer,Neema,Wong,neema.wong3@example.com,2026-07-08T09:00:00Z
wc_ord_0052,52,22,completed,USD,397.0,365.24,31.76,bacs,Direct Bank Transfer,Hakeem,Casey,hakeem.casey4@example.com,2026-10-13T09:00:00Z
wc_ord_0053,53,23,processing,USD,444.0,408.48,35.52,bacs,Direct Bank Transfer,Salma,Kim,salma.kim5@example.com,2026-01-18T09:00:00Z
wc_ord_0054,54,24,processing,USD,491.0,451.72,39.28,bacs,Direct Bank Transfer,Hazel,Reeves,hazel.reeves6@example.com,2026-04-23T09:00:00Z
wc_ord_0055,55,25,completed,USD,538.0,494.96,43.04,bacs,Direct Bank Transfer,Oren,Doyle,oren.doyle7@example.com,2026-07-01T09:00:00Z
wc_ord_0056,56,26,processing,USD,585.0,538.2,46.8,bacs,Direct Bank Transfer,Frida,Nair,frida.nair8@example.com,2026-10-06T09:00:00Z
wc_ord_0057,57,27,processing,USD,632.0,581.44,50.56,bacs,Direct Bank Transfer,Nia,Marsh,nia.marsh9@example.com,2026-01-11T09:00:00Z
wc_ord_0058,58,28,completed,USD,679.0,624.68,54.32,bacs,Direct Bank Transfer,Wren,Mitchell,wren.mitchell10@example.com,2026-04-16T09:00:00Z
wc_ord_0059,59,29,processing,USD,726.0,667.92,58.08,bacs,Direct Bank Transfer,Idris,Bourque,idris.bourque11@example.com,2026-07-21T09:00:00Z
wc_ord_0060,60,30,processing,USD,773.0,711.16,61.84,bacs,Direct Bank Transfer,Fatimah,Bellemare,fatimah.bellemare12@example.com,2026-10-26T09:00:00Z
wc_ord_0061,61,1,completed,USD,820.0,754.4,65.6,bacs,Direct Bank Transfer,Kwame,Ouellet,kwame.ouellet13@example.com,2026-01-04T09:00:00Z
wc_ord_0062,62,2,processing,USD,867.0,797.64,69.36,bacs,Direct Bank Transfer,Chidi,Cote,chidi.cote14@example.com,2026-04-09T09:00:00Z
wc_ord_0063,63,3,processing,USD,914.0,840.88,73.12,bacs,Direct Bank Transfer,Zola,Girard,zola.girard15@example.com,2026-07-14T09:00:00Z
wc_ord_0064,64,4,completed,USD,961.0,884.12,76.88,bacs,Direct Bank Transfer,Sade,Beaulieu,sade.beaulieu16@example.com,2026-10-19T09:00:00Z
wc_ord_0065,65,5,processing,USD,1008.0,927.36,80.64,bacs,Direct Bank Transfer,Kojo,Alcorn,kojo.alcorn17@example.com,2026-01-24T09:00:00Z
wc_ord_0066,66,6,processing,USD,1055.0,970.6,84.4,bacs,Direct Bank Transfer,Amara,Aldrete,amara.aldrete18@example.com,2026-04-02T09:00:00Z
wc_ord_0067,67,7,completed,USD,1102.0,1013.84,88.16,bacs,Direct Bank Transfer,Bo,Wong,bo.wong19@example.com,2026-07-07T09:00:00Z
wc_ord_0068,68,8,processing,USD,1149.0,1057.08,91.92,bacs,Direct Bank Transfer,Kenzo,Casey,kenzo.casey20@example.com,2026-10-12T09:00:00Z
wc_ord_0069,69,9,processing,USD,1196.0,1100.32,95.68,bacs,Direct Bank Transfer,Naomi,Kim,naomi.kim21@example.com,2026-01-17T09:00:00Z
wc_ord_0070,70,10,completed,USD,1243.0,1143.56,99.44,bacs,Direct Bank Transfer,Lior,Reeves,lior.reeves22@example.com,2026-04-22T09:00:00Z
wc_ord_0071,71,11,processing,USD,1290.0,1186.8,103.2,bacs,Direct Bank Transfer,Bram,Doyle,bram.doyle23@example.com,2026-07-27T09:00:00Z
wc_ord_0072,72,12,processing,USD,1337.0,1230.04,106.96,bacs,Direct Bank Transfer,Ines,Nair,ines.nair24@example.com,2026-10-05T09:00:00Z
wc_ord_0073,73,13,completed,USD,1384.0,1273.28,110.72,bacs,Direct Bank Transfer,Ana,Marsh,ana.marsh25@example.com,2026-01-10T09:00:00Z
wc_ord_0074,74,14,processing,USD,1431.0,1316.52,114.48,bacs,Direct Bank Transfer,Basil,Mitchell,basil.mitchell26@example.com,2026-04-15T09:00:00Z
wc_ord_0075,75,15,processing,USD,1478.0,1359.76,118.24,bacs,Direct Bank Transfer,Vero,Bourque,vero.bourque27@example.com,2026-07-20T09:00:00Z
wc_ord_0076,76,16,completed,USD,1525.0,1403.0,122.0,bacs,Direct Bank Transfer,Elke,Bellemare,elke.bellemare28@example.com,2026-10-25T09:00:00Z
wc_ord_0077,77,17,processing,USD,1572.0,1446.24,125.76,bacs,Direct Bank Transfer,Kian,Ouellet,kian.ouellet29@example.com,2026-01-03T09:00:00Z
wc_ord_0078,78,18,processing,USD,1619.0,1489.48,129.52,bacs,Direct Bank Transfer,Rin,Cote,rin.cote30@example.com,2026-04-08T09:00:00Z
wc_ord_0079,79,19,completed,USD,1666.0,1532.72,133.28,bacs,Direct Bank Transfer,Meredith,Girard,meredith.girard31@example.com,2026-07-13T09:00:00Z
wc_ord_0080,80,20,processing,USD,1713.0,1575.96,137.04,bacs,Direct Bank Transfer,Kelly,Beaulieu,kelly.beaulieu32@example.com,2026-10-18T09:00:00Z
wc_ord_0081,81,21,processing,USD,1760.0,1619.2,140.8,bacs,Direct Bank Transfer,Barbara,Alcorn,barbara.alcorn33@example.com,2027-01-23T09:00:00Z
wc_ord_0082,82,22,completed,USD,1807.0,1662.44,144.56,bacs,Direct Bank Transfer,Nia,Aldrete,nia.aldrete34@example.com,2027-04-01T09:00:00Z
wc_ord_0083,83,23,processing,USD,1854.0,1705.68,148.32,bacs,Direct Bank Transfer,Ruth,Wong,ruth.wong35@example.com,2027-07-06T09:00:00Z
wc_ord_0084,84,24,processing,USD,1901.0,1748.92,152.08,bacs,Direct Bank Transfer,Kai,Casey,kai.casey36@example.com,2027-10-11T09:00:00Z
wc_ord_0085,85,25,completed,USD,1948.0,1792.16,155.84,bacs,Direct Bank Transfer,Ivy,Kim,ivy.kim37@example.com,2027-01-16T09:00:00Z
