date,account_mask,merchant_or_source,category,amount_usd,direction,note
2026-05-14,****4821,HBO Max Subscription,subscriptions,-14.99,out,hbo_max_annual_billed_monthly
2026-05-14,****4821,Progressive Auto Insurance,insurance_auto,-145.00,out,monthly
2026-05-15,****4821,Amazon US,household_supplies,-64.30,out,cleaning_and_paper_goods
2026-05-15,****4821,Herongate Partners Roth Contribution,transfer_out,-500.00,out,sarah_roth_monthly_target_untouched_from_runway
2026-05-16,****4821,Trader Joes Cambridge,groceries,-90.99,out,
2026-05-17,****4821,Legal Sea Foods,dining,-77.10,out,date_night_with_sarah
2026-05-17,****4821,National Grid Gas,utilities_gas,-62.15,out,fixed_billing
2026-05-18,****4821,Cambridge YMCA Basketball League,hobbies,-45.00,out,monday_league_fee_monthly
2026-05-19,****4821,Bright Path Foundation ACH,income_sarah_freelance,1800.00,in,quarterly_progress_invoice_INV-2026-0510
2026-05-20,****4821,Dr Karen Miller Therapy,healthcare,-180.00,out,biweekly_therapy_copay
2026-05-20,****4821,Flour Bakery Cambridge,dining,-17.96,out,brian_lunch_near_windbridge
2026-05-20,****4821,Spotify Family Plan,subscriptions,-16.99,out,brian_sarah_shared
2026-05-22,****4821,BP Cambridgeport,gas_auto,-43.95,out,subaru_crosstrek_fill
2026-05-22,****4821,Boston Public Library Cafe,dining,-8.75,out,brian_manuscript_writing_day
2026-05-22,****4821,Dr Sarah Walsh PT Copay,healthcare,-45.00,out,biweekly_pt_l4_l5
2026-05-23,****4821,Peets Coffee Subscription,subscriptions,-24.00,out,dark_roast_monthly
2026-05-24,****4821,Amazon Nurtec Refill Copay,healthcare,-45.00,out,rimegepant_refill
2026-05-24,****4821,Whole Foods River Street,groceries,-85.96,out,
2026-05-25,****4821,Amberfield Institute Stipend,income_adjunct,833.33,in,monthly_adjunct
2026-05-25,****4821,Sofra Bakery,dining,-32.98,out,sunday_pastry_with_coffee
2026-05-27,****4821,Flour Bakery Cambridge,dining,-12.64,out,brian_lunch_near_windbridge
2026-05-28,****4821,Ashdale Counseling Portal,subscriptions,-15.00,out,karen_miller_portal_dues
2026-05-28,****4821,Windbridge Partners Payroll,income_salary,5850.00,in,net_semimonthly_deposit
2026-05-30,****4821,Instacart Order Trader Joes,groceries,-235.69,out,
2026-06-01,****4821,Mike Callahan Rent,housing_rent,-3200.00,out,current_lease_pre_renewal
2026-06-01,****4821,PayPal to R Henderson,transfer_out,-300.00,out,parents_remittance_rail_fixed
2026-06-02,****4821,AMC Stubs A List,subscriptions,-23.95,out,monthly_movie_pass
2026-06-02,****4821,Cambridge Symphony Orchestra ACH,income_sarah_freelance,1400.00,in,summer_series_deposit_invoice_INV-2026-0520
2026-06-02,****4821,Trader Joes Cambridge,groceries,-104.09,out,
2026-06-03,****4821,Dr Karen Miller Therapy,healthcare,-180.00,out,biweekly_therapy_copay
2026-06-05,****4821,Ally Bank Transfer to HYSA,transfer_out,-2000.00,out,ivf_hysa_monthly
2026-06-05,****4821,Dr Sarah Walsh PT Copay,healthcare,-45.00,out,biweekly_pt_l4_l5
2026-06-05,****4821,Nelnet Loan Servicing,student_loan,-420.00,out,pinecrest_mph_income_driven
2026-06-05,****4821,Sarah ACA Marketplace,insurance_health,-380.00,out,sarah_aca_monthly_no_fertility_coverage
2026-06-06,****4821,Flour Bakery Cambridge,dining,-12.54,out,brian_lunch_near_windbridge
2026-06-07,****4821,H Mart Porter Square,groceries,-63.39,out,
2026-06-08,****4821,Boston IVF Diagnostics Copay,healthcare,-180.00,out,antral_follicle_count_scan
2026-06-08,****4821,REI Coop Cambridge,hobbies,-88.60,out,running_shorts_and_socks
2026-06-08,****4821,Shell Alewife,gas_auto,-52.99,out,subaru_crosstrek_fill
2026-06-09,****4821,Eversource Electric,utilities_electric,-108.40,out,fixed_billing
2026-06-10,****4821,Union Square Donuts,dining,-9.61,out,saturday_after_long_run
2026-06-11,****4821,Verizon Wireless,phone_internet,-104.99,out,family_plan_2_lines
2026-06-11,****4821,Xfinity Internet,phone_internet,-55.00,out,fixed_gigabit_plan
2026-06-12,****4821,Windbridge Partners Payroll,income_salary,5850.00,in,net_semimonthly_deposit
2026-06-13,****4821,Etsy Data Viz Print Sale,income_other,92.80,in,brian_etsy_shop_net_deposit
2026-06-13,****4821,Flour Bakery Cambridge,dining,-11.06,out,brian_lunch_near_windbridge
2026-06-14,****4821,HBO Max Subscription,subscriptions,-14.99,out,hbo_max_annual_billed_monthly
2026-06-14,****4821,Herald & Post Publishing ACH,income_sarah_freelance,2400.00,in,spring_series_final_invoice_INV-2026-0530
2026-06-14,****4821,Progressive Auto Insurance,insurance_auto,-145.00,out,monthly
2026-06-15,****4821,Herongate Partners Roth Contribution,transfer_out,-500.00,out,sarah_roth_monthly_target_untouched_from_runway
2026-06-16,****4821,Trader Joes Cambridge,groceries,-87.19,out,
2026-06-17,****4821,Dr Karen Miller Therapy,healthcare,-180.00,out,biweekly_therapy_copay
2026-06-17,****4821,Legal Sea Foods,dining,-91.96,out,date_night_with_sarah
2026-06-17,****4821,National Grid Gas,utilities_gas,-62.15,out,fixed_billing
2026-06-18,****4821,Cambridge YMCA Basketball League,hobbies,-45.00,out,monday_league_fee_monthly
2026-06-19,****4821,Dr Sarah Walsh PT Copay,healthcare,-45.00,out,biweekly_pt_l4_l5
2026-06-20,****4821,Flour Bakery Cambridge,dining,-16.86,out,brian_lunch_near_windbridge
2026-06-20,****4821,Spotify Family Plan,subscriptions,-16.99,out,brian_sarah_shared
2026-06-22,****4821,BP Cambridgeport,gas_auto,-48.16,out,subaru_crosstrek_fill
2026-06-23,****4821,Amazon Nurtec Refill Copay,healthcare,-45.00,out,rimegepant_refill
2026-06-23,****4821,Peets Coffee Subscription,subscriptions,-24.00,out,dark_roast_monthly
2026-06-24,****4821,Whole Foods River Street,groceries,-86.41,out,
2026-06-25,****4821,Amberfield Institute Stipend,income_adjunct,833.33,in,monthly_adjunct
2026-06-25,****4821,Life Alive Cambridge,dining,-16.40,out,lunch_with_sarah
2026-06-25,****4821,Sofra Bakery,dining,-32.77,out,sunday_pastry_with_coffee
2026-06-27,****4821,Coastal Wellness Studio ACH,income_sarah_freelance,1900.00,in,spring_brand_refresh_final_invoice_INV-2026-0612
2026-06-27,****4821,Flour Bakery Cambridge,dining,-17.90,out,brian_lunch_near_windbridge
2026-06-28,****4821,Ashdale Counseling Portal,subscriptions,-15.00,out,karen_miller_portal_dues
2026-06-29,****4821,Windbridge Partners Payroll,income_salary,5850.00,in,net_semimonthly_deposit
2026-06-30,****4821,Instacart Order Trader Joes,groceries,-216.81,out,
2026-07-01,****4821,Dr Karen Miller Therapy,healthcare,-180.00,out,biweekly_therapy_copay
2026-07-01,****4821,Mike Callahan Rent,housing_rent,-3200.00,out,current_lease_pre_renewal
2026-07-01,****4821,PayPal to R Henderson,transfer_out,-300.00,out,parents_remittance_rail_fixed
2026-07-02,****4821,AMC Stubs A List,subscriptions,-23.95,out,monthly_movie_pass
2026-07-02,****4821,Trader Joes Cambridge,groceries,-112.65,out,
2026-07-03,****4821,Dr Sarah Walsh PT Copay,healthcare,-45.00,out,biweekly_pt_l4_l5
2026-07-04,****4821,Amazon US,household_supplies,-42.15,out,kitchen_thermometer_replacement
2026-07-05,****4821,Ally Bank Transfer to HYSA,transfer_out,-2000.00,out,ivf_hysa_monthly
2026-07-05,****4821,Nelnet Loan Servicing,student_loan,-420.00,out,pinecrest_mph_income_driven
2026-07-06,****4821,Flour Bakery Cambridge,dining,-17.44,out,brian_lunch_near_windbridge
2026-07-06,****4821,Sarah ACA Marketplace,insurance_health,-380.00,out,sarah_aca_monthly_no_fertility_coverage
2026-07-07,****4821,H Mart Porter Square,groceries,-71.16,out,
2026-07-08,****4821,Shell Alewife,gas_auto,-48.31,out,subaru_crosstrek_fill
2026-07-09,****4821,Eversource Electric,utilities_electric,-108.40,out,fixed_billing
2026-07-10,****4821,Union Square Donuts,dining,-9.66,out,saturday_after_long_run
2026-07-11,****4821,Bright Path Foundation ACH,income_sarah_freelance,2200.00,in,annual_report_kickoff_invoice_INV-2026-0630
2026-07-11,****4821,Verizon Wireless,phone_internet,-104.99,out,family_plan_2_lines
2026-07-11,****4821,Xfinity Internet,phone_internet,-55.00,out,fixed_gigabit_plan
2026-07-13,****4821,Flour Bakery Cambridge,dining,-12.34,out,brian_lunch_near_windbridge
2026-07-13,****4821,Windbridge Partners Payroll,income_salary,5850.00,in,net_semimonthly_deposit
2026-07-14,****4821,Boston IVF Copay,healthcare,-260.00,out,suppression_check_visit
2026-07-14,****4821,HBO Max Subscription,subscriptions,-14.99,out,hbo_max_annual_billed_monthly
2026-07-14,****4821,Progressive Auto Insurance,insurance_auto,-145.00,out,monthly
2026-07-15,****4821,Dr Karen Miller Therapy,healthcare,-180.00,out,biweekly_therapy_copay
2026-07-15,****4821,Herongate Partners Roth Contribution,transfer_out,-500.00,out,sarah_roth_monthly_target_untouched_from_runway
2026-07-16,****4821,Etsy Data Viz Print Sale,income_other,105.40,in,brian_etsy_shop_net_deposit
2026-07-16,****4821,Trader Joes Cambridge,groceries,-70.53,out,
2026-07-17,****4821,Dr Sarah Walsh PT Copay,healthcare,-45.00,out,biweekly_pt_l4_l5
2026-07-17,****4821,Legal Sea Foods,dining,-77.65,out,date_night_with_sarah
2026-07-17,****4821,National Grid Gas,utilities_gas,-62.15,out,fixed_billing
2026-07-18,****4821,Cambridge YMCA Basketball League,hobbies,-45.00,out,monday_league_fee_monthly
2026-07-19,****4821,Subaru Service Cambridge,gas_auto,-215.40,out,crosstrek_summer_service_synthetic_oil_and_tire_rotation
2026-07-20,****4821,Flour Bakery Cambridge,dining,-12.69,out,brian_lunch_near_windbridge
2026-07-20,****4821,Spotify Family Plan,subscriptions,-16.99,out,brian_sarah_shared
2026-07-20,****4821,Windbridge Partners Payroll,income_salary,5850.00,in,net_semimonthly_deposit
2026-07-22,****4821,Amazon Nurtec Refill Copay,healthcare,-45.00,out,rimegepant_refill
2026-07-22,****4821,BP Cambridgeport,gas_auto,-54.53,out,subaru_crosstrek_fill
2026-07-23,****4821,Peets Coffee Subscription,subscriptions,-24.00,out,dark_roast_monthly
2026-07-24,****4821,Whole Foods River Street,groceries,-63.34,out,
2026-07-25,****4821,Amberfield Institute Stipend,income_adjunct,833.33,in,monthly_adjunct
2026-07-25,****4821,Herald & Post Publishing ACH,income_sarah_freelance,3200.00,in,summer_cover_art_final_invoice_INV-2026-0714
2026-07-25,****4821,Sofra Bakery,dining,-27.55,out,sunday_pastry_with_coffee
2026-07-27,****4821,Amberfield Institute Stipend,income_adjunct,833.33,in,monthly_adjunct
2026-07-27,****4821,Blackbird Doughnuts,dining,-9.20,out,post_long_run_saturday
2026-07-27,****4821,Flour Bakery Cambridge,dining,-16.20,out,brian_lunch_near_windbridge
2026-07-28,****4821,Ashdale Counseling Portal,subscriptions,-15.00,out,karen_miller_portal_dues
2026-07-28,****4821,Windbridge Partners Payroll,income_salary,5850.00,in,net_semimonthly_deposit
2026-07-29,****4821,Dr Karen Miller Therapy,healthcare,-180.00,out,biweekly_therapy_copay
2026-07-30,****4821,Instacart Order Trader Joes,groceries,-247.54,out,
2026-07-31,****4821,Dr Sarah Walsh PT Copay,healthcare,-45.00,out,biweekly_pt_l4_l5
2026-08-01,****4821,Coastal Wellness Studio Check,income_sarah_freelance,4500.00,in,brand_style_guide_phase_1_invoice_INV-2026-0722
2026-08-01,****4821,Mike Callahan Rent,housing_rent,-3200.00,out,current_lease_pre_renewal
2026-08-01,****4821,PayPal to R Henderson,transfer_out,-300.00,out,parents_remittance_rail_fixed
2026-08-02,****4821,AMC Stubs A List,subscriptions,-23.95,out,monthly_movie_pass
2026-08-02,****4821,Trader Joes Cambridge,groceries,-107.63,out,
2026-08-05,****4821,Ally Bank Transfer to HYSA,transfer_out,-2000.00,out,ivf_hysa_monthly
2026-08-05,****4821,Nelnet Loan Servicing,student_loan,-420.00,out,pinecrest_mph_income_driven
2026-08-05,****4821,Sarah ACA Marketplace,insurance_health,-380.00,out,sarah_aca_monthly_no_fertility_coverage
2026-08-06,****4821,Flour Bakery Cambridge,dining,-17.89,out,brian_lunch_near_windbridge
2026-08-06,****4821,Instacart Order Trader Joes,groceries,-243.11,out,
2026-08-07,****4821,H Mart Porter Square,groceries,-72.11,out,
2026-08-08,****4821,Shell Alewife,gas_auto,-56.06,out,subaru_crosstrek_fill
2026-08-09,****4821,Eversource Electric,utilities_electric,-108.40,out,fixed_billing
2026-08-10,****4821,Union Square Donuts,dining,-9.43,out,saturday_after_long_run
2026-08-11,****4821,Verizon Wireless,phone_internet,-104.99,out,family_plan_2_lines
2026-08-11,****4821,Xfinity Internet,phone_internet,-55.00,out,fixed_gigabit_plan
2026-08-12,****4821,Dr Karen Miller Therapy,healthcare,-180.00,out,biweekly_therapy_copay
2026-08-12,****4821,Windbridge Partners Payroll,income_salary,5850.00,in,net_semimonthly_deposit
2026-08-13,****4821,Flour Bakery Cambridge,dining,-16.04,out,brian_lunch_near_windbridge
2026-08-14,****4821,Dr Sarah Walsh PT Copay,healthcare,-45.00,out,biweekly_pt_l4_l5
2026-08-14,****4821,Etsy Data Viz Print Sale,income_other,88.60,in,brian_etsy_shop_net_deposit
2026-08-14,****4821,HBO Max Subscription,subscriptions,-14.99,out,hbo_max_annual_billed_monthly
2026-08-14,****4821,Trader Joes Cambridge,groceries,-92.44,out,
2026-08-15,****4821,Herongate Partners Roth Contribution,transfer_out,-500.00,out,sarah_roth_monthly_target_untouched_from_runway
2026-08-15,****4821,Home Depot Somerville,household_supplies,-58.99,out,paint_touchup_kitchen
2026-08-16,****4821,Trader Joes Cambridge,groceries,-76.10,out,
2026-08-17,****4821,Legal Sea Foods,dining,-74.76,out,date_night_with_sarah
2026-08-17,****4821,National Grid Gas,utilities_gas,-62.15,out,fixed_billing
2026-08-18,****4821,Bright Path Foundation ACH,income_sarah_freelance,2200.00,in,annual_report_cover_invoice_INV-2026-0805
2026-08-18,****4821,Cambridge YMCA Basketball League,hobbies,-45.00,out,monday_league_fee_monthly
2026-08-18,****4821,Legal Sea Foods,dining,-88.60,out,date_night_with_sarah
2026-08-20,****4821,Flour Bakery Cambridge,dining,-11.46,out,brian_lunch_near_windbridge
2026-08-20,****4821,Spotify Family Plan,subscriptions,-16.99,out,brian_sarah_shared
2026-08-22,****4821,Amazon Nurtec Refill Copay,healthcare,-45.00,out,rimegepant_refill
2026-08-22,****4821,BP Cambridgeport,gas_auto,-52.98,out,subaru_crosstrek_fill
2026-08-22,****4821,Coastal Wellness Studio ACH,income_sarah_freelance,1400.00,in,brand_style_guide_revisions_invoice_INV-2026-0812
2026-08-22,****4821,Peets Coffee Subscription,subscriptions,-24.00,out,dark_roast_monthly
2026-08-23,****4821,Peets Coffee Subscription,subscriptions,-24.00,out,dark_roast_monthly
2026-08-24,****4821,Whole Foods River Street,groceries,-55.96,out,
2026-08-25,****4821,Amberfield Institute Stipend,income_adjunct,833.33,in,monthly_adjunct
2026-08-25,****4821,Sofra Bakery,dining,-24.79,out,sunday_pastry_with_coffee
2026-08-26,****4821,Dr Karen Miller Therapy,healthcare,-180.00,out,biweekly_therapy_copay
2026-08-27,****4821,Flour Bakery Cambridge,dining,-12.22,out,brian_lunch_near_windbridge
2026-08-28,****4821,Ashdale Counseling Portal,subscriptions,-15.00,out,karen_miller_portal_dues
2026-08-28,****4821,Boston IVF Copay,healthcare,-380.00,out,
2026-08-28,****4821,Dr Sarah Walsh PT Copay,healthcare,-45.00,out,biweekly_pt_l4_l5
2026-08-30,****4821,Instacart Order Trader Joes,groceries,-199.63,out,
2026-09-01,****4821,Mike Callahan Rent,housing_rent,-3200.00,out,current_lease_pre_renewal
2026-09-01,****4821,PayPal to R Henderson,transfer_out,-300.00,out,parents_remittance_rail_fixed
2026-09-02,****4821,AMC Stubs A List,subscriptions,-23.95,out,monthly_movie_pass
2026-09-02,****4821,Trader Joes Cambridge,groceries,-83.92,out,
2026-09-05,****4821,Ally Bank Transfer to HYSA,transfer_out,-2000.00,out,ivf_hysa_monthly
2026-09-05,****4821,Nelnet Loan Servicing,student_loan,-420.00,out,pinecrest_mph_income_driven
2026-09-05,****4821,Sarah ACA Marketplace,insurance_health,-380.00,out,sarah_aca_monthly_no_fertility_coverage
2026-09-06,****4821,Flour Bakery Cambridge,dining,-12.09,out,brian_lunch_near_windbridge
2026-09-07,****4821,H Mart Porter Square,groceries,-84.24,out,
2026-09-08,****4821,Amazon US,household_supplies,-33.20,out,printer_ink_and_note_cards
2026-09-08,****4821,Deerfield Wellness Copay,healthcare,-45.00,out,neurology_followup_slot
2026-09-08,****4821,Shell Alewife,gas_auto,-50.06,out,subaru_crosstrek_fill
2026-09-09,****4821,Eversource Electric,utilities_electric,-108.40,out,fixed_billing
2026-09-10,****4821,Instacart Order Trader Joes,groceries,-268.90,out,
2026-09-10,****4821,Union Square Donuts,dining,-10.04,out,saturday_after_long_run
2026-09-11,****4821,Dr Sarah Walsh PT Copay,healthcare,-45.00,out,biweekly_pt_l4_l5
2026-09-11,****4821,Verizon Wireless,phone_internet,-104.99,out,family_plan_2_lines
2026-09-11,****4821,Xfinity Internet,phone_internet,-55.00,out,fixed_gigabit_plan
2026-09-12,****4821,Windbridge Partners Payroll,income_salary,5850.00,in,net_semimonthly_deposit
2026-09-13,****4821,Flour Bakery Cambridge,dining,-15.57,out,brian_lunch_near_windbridge
2026-09-14,****4821,Cambridge Symphony Orchestra ACH,income_sarah_freelance,1800.00,in,Q1_2027_poster_deposit_invoice_INV-2026-0902
2026-09-14,****4821,H Mart Porter Square,groceries,-71.30,out,
2026-09-14,****4821,HBO Max Subscription,subscriptions,-14.99,out,hbo_max_annual_billed_monthly
2026-09-14,****4821,Oleana Cambridge,dining,-142.80,out,anniversary_dinner_with_sarah_2yr
2026-09-15,****4821,Herongate Partners Roth Contribution,transfer_out,-500.00,out,sarah_roth_monthly_target_untouched_from_runway
2026-09-16,****4821,Dr Karen Miller Therapy,healthcare,-180.00,out,biweekly_therapy_copay
2026-09-16,****4821,Trader Joes Cambridge,groceries,-72.23,out,
2026-09-17,****4821,Legal Sea Foods,dining,-75.63,out,date_night_with_sarah
2026-09-17,****4821,National Grid Gas,utilities_gas,-62.15,out,fixed_billing
2026-09-18,****4821,Cambridge YMCA Basketball League,hobbies,-45.00,out,monday_league_fee_monthly
2026-09-19,****4821,REI Coop Cambridge,hobbies,-64.20,out,run_gear_refresh
2026-09-20,****4821,Flour Bakery Cambridge,dining,-12.75,out,brian_lunch_near_windbridge
2026-09-20,****4821,Herald & Post Publishing ACH,income_sarah_freelance,2800.00,in,fall_cover_art_deposit_invoice_INV-2026-0908
2026-09-20,****4821,Spotify Family Plan,subscriptions,-16.99,out,brian_sarah_shared
2026-09-22,****4821,Amazon Nurtec Refill Copay,healthcare,-45.00,out,rimegepant_refill
2026-09-22,****4821,BP Cambridgeport,gas_auto,-47.04,out,subaru_crosstrek_fill
2026-09-23,****4821,Peets Coffee Subscription,subscriptions,-24.00,out,dark_roast_monthly
2026-09-24,****4821,Whole Foods River Street,groceries,-87.64,out,
2026-09-25,****4821,Amberfield Institute Stipend,income_adjunct,833.33,in,monthly_adjunct
2026-09-25,****4821,Dr Sarah Walsh PT Copay,healthcare,-45.00,out,biweekly_pt_l4_l5
2026-09-25,****4821,Sofra Bakery,dining,-35.28,out,sunday_pastry_with_coffee
2026-09-27,****4821,Flour Bakery Cambridge,dining,-13.85,out,brian_lunch_near_windbridge
2026-09-28,****4821,Ashdale Counseling Portal,subscriptions,-15.00,out,karen_miller_portal_dues
2026-09-28,****4821,Etsy Data Viz Print Sale,income_other,127.44,in,brian_etsy_shop_net_deposit
2026-09-30,****4821,Bright Path Foundation ACH,income_sarah_freelance,3400.00,in,annual_report_layout_phase_2_invoice_INV-2026-0918
2026-09-30,****4821,Dr Karen Miller Therapy,healthcare,-180.00,out,biweekly_therapy_copay
2026-09-30,****4821,Instacart Order Trader Joes,groceries,-232.78,out,
2026-09-30,****4821,Progressive Auto Insurance,insurance_auto,-145.00,out,monthly
2026-09-30,****4821,Windbridge Partners Payroll,income_salary,5850.00,in,net_semimonthly_deposit
2026-10-01,****4821,Mike Callahan Rent,housing_rent,-3200.00,out,current_lease_pre_renewal_final_month
2026-10-01,****4821,PayPal to R Henderson,transfer_out,-300.00,out,parents_remittance_rail_fixed
2026-10-02,****4821,AMC Stubs A List,subscriptions,-23.95,out,monthly_movie_pass
2026-10-02,****4821,Trader Joes Cambridge,groceries,-105.73,out,
2026-10-05,****4821,Ally Bank Transfer to HYSA,transfer_out,-2000.00,out,ivf_hysa_monthly
2026-10-05,****4821,Nelnet Loan Servicing,student_loan,-420.00,out,pinecrest_mph_income_driven
2026-10-05,****4821,Sarah ACA Marketplace,insurance_health,-380.00,out,sarah_aca_monthly_no_fertility_coverage
2026-10-06,****4821,Boston IVF Baseline Prep Bloodwork,healthcare,-90.00,out,E2_baseline_prep_labs
2026-10-06,****4821,Flour Bakery Cambridge,dining,-13.83,out,brian_lunch_near_windbridge
2026-10-07,****4821,H Mart Porter Square,groceries,-60.15,out,
2026-10-07,****4821,Instacart Order Whole Foods,groceries,-201.55,out,
2026-10-08,****4821,Shell Alewife,gas_auto,-50.07,out,subaru_crosstrek_fill
2026-10-09,****4821,Dr Sarah Walsh PT Copay,healthcare,-45.00,out,biweekly_pt_l4_l5
2026-10-09,****4821,Eversource Electric,utilities_electric,-108.40,out,fixed_billing
2026-10-10,****4821,Union Square Donuts,dining,-10.20,out,saturday_after_long_run
2026-10-11,****4821,Amtrak to Stamford,transportation,-89.00,out,henderson_reunion_weekend
2026-10-11,****4821,Verizon Wireless,phone_internet,-104.99,out,family_plan_2_lines
2026-10-11,****4821,Xfinity Internet,phone_internet,-55.00,out,fixed_gigabit_plan
2026-10-12,****4821,Windbridge Partners Payroll,income_salary,5850.00,in,net_semimonthly_deposit
2026-10-13,****4821,Flour Bakery Cambridge,dining,-13.28,out,brian_lunch_near_windbridge
2026-10-14,****4821,Dr Karen Miller Therapy,healthcare,-180.00,out,biweekly_therapy_copay
2026-10-14,****4821,HBO Max Subscription,subscriptions,-14.99,out,hbo_max_annual_billed_monthly
2026-10-14,****4821,Trader Joes Cambridge,groceries,-104.72,out,
2026-10-15,****4821,Herongate Partners Roth Contribution,transfer_out,-500.00,out,sarah_roth_monthly_target_untouched_from_runway
2026-10-16,****4821,Coastal Wellness Studio ACH,income_sarah_freelance,2600.00,in,brand_refresh_phase_2_kickoff_invoice_INV-2026-1005
2026-10-16,****4821,Flour Bakery Cambridge,dining,-14.60,out,brian_lunch_near_windbridge
2026-10-16,****4821,Trader Joes Cambridge,groceries,-78.69,out,
2026-10-17,****4821,Legal Sea Foods,dining,-76.39,out,date_night_with_sarah
2026-10-17,****4821,National Grid Gas,utilities_gas,-62.15,out,fixed_billing
2026-10-18,****4821,Cambridge YMCA Basketball League,hobbies,-45.00,out,monday_league_fee_monthly
