sale_id,date,buyer_name,buyer_subscriber_id,piece_form,glaze,price_jpy,payment_method,notes
SS-0058,2026-05-09,Amanda Scott,MC-0141,serving_bowl_24,nuka_white,22000,paypal,repeat buyer
SS-0059,2026-05-09,Ren Takeda,MC-0091,pitcher,celadon_pale,32000,paypal,
SS-0060,2026-05-09,Kazuki Kaneko,MC-0064,yunomi,tenmoku_black_brown,32000,square,
SS-0061,2026-05-09,Mathieu Vincent,MC-0205,sake_cup,ash_glaze_olive,14000,cash,asked about next open studio
SS-0062,2026-05-09,Hannah Robinson,MC-0144,small_vase,tenmoku_black_brown,46000,paypal,first purchase
SS-0063,2026-05-09,Kenji Kato,MC-0115,chawan,nuka_white,38000,stripe,referred by Akiko
SS-0064,2026-05-09,Baptiste Andre,MC-0238,serving_bowl_24,celadon_pale,26000,bank_transfer,
SS-0065,2026-05-09,Keiko Tamura,MC-0089,incense_dish,ash_glaze_olive,8400,bank_transfer,wants commission info
SS-0066,2026-05-09,Amelie Richard,MC-0219,yunomi,nuka_white,22000,square,referred by Akiko
SS-0067,2026-05-09,Antoine Bernard,MC-0223,chawan,celadon_pale,12000,paypal,
SS-0068,2026-05-09,Michelle Thomas,MC-0143,chawan,kaki_iron_red,26000,paypal,repeat buyer
SS-0069,2026-05-09,Kenji Kato,MC-0115,small_vase,shino_carbon_trap,12000,paypal,
SS-0070,2026-05-09,Laura Robinson,MC-0155,chawan,tenmoku_black_brown,26000,cash,first purchase
SS-0071,2026-05-09,Takeshi Okada,MC-0114,incense_dish,ash_glaze_olive,46000,cash,referred by Akiko
SS-0072,2026-05-09,Tetsuya Kobayashi,MC-0092,small_vase,kaki_iron_red,38000,square,
SS-0073,2026-05-09,Matthew Miller,MC-0151,kaiseki_plate_16,nuka_white,8400,stripe,
SS-0074,2026-05-09,Nicolas Petit,MC-0228,yunomi,ash_glaze_olive,38000,square,first purchase
SS-0075,2026-05-09,Amelie Lambert,MC-0239,kaiseki_plate_16,shino_carbon_trap,6800,stripe,wants commission info
SS-0076,2026-05-09,Ai Yamaguchi,MC-0088,sake_cup,nuka_white,32000,square,wants commission info
SS-0077,2026-05-09,Yuki Okada,MC-0072,sake_cup,kaki_iron_red,26000,square,referred by Akiko
SS-0078,2026-05-09,Hiroshi Matsumoto,MC-0030,serving_bowl_24,ash_glaze_olive,38000,stripe,referred by Akiko
SS-0079,2026-05-09,Sakura Ono,MC-0011,pitcher,shino_carbon_trap,22000,square,referred by Akiko
SS-0080,2026-05-09,Akira Ota,MC-0085,sake_cup,tenmoku_black_brown,38000,cash,
SS-0081,2026-05-09,Amelie Lambert,MC-0239,sake_cup,shino_carbon_trap,26000,cash,first purchase
SS-0082,2026-05-09,Shun Hasegawa,MC-0096,incense_dish,shino_carbon_trap,46000,square,referred by Akiko
SS-0083,2026-05-09,Chie Fujita,MC-0093,pitcher,kaki_iron_red,12000,paypal,repeat buyer
SS-0084,2026-05-09,Yusuke Nakamura,MC-0034,small_vase,shino_carbon_trap,22000,paypal,first purchase
SS-0085,2026-05-09,Osamu Kimura,MC-0080,kaiseki_plate_22,tenmoku_black_brown,8400,square,wants commission info
SS-0086,2026-05-09,Sakura Sato,MC-0076,serving_bowl_28,ash_glaze_olive,32000,paypal,
SS-0087,2026-05-09,Rebecca White,MC-0171,sake_cup,shino_carbon_trap,14000,cash,referred by Akiko
SS-0088,2026-05-09,Yuki Okada,MC-0072,kaiseki_plate_22,shino_carbon_trap,14000,paypal,
SS-0089,2026-05-09,Emi Nakano,MC-0018,chawan,nuka_white,32000,paypal,wants commission info
SS-0090,2026-05-09,Hiroshi Matsuda,MC-0107,serving_bowl_28,kaki_iron_red,12000,stripe,asked about next open studio
SS-0091,2026-05-09,Kazuki Ikeda,MC-0041,tea_bowl,ash_glaze_olive,46000,stripe,repeat buyer
SS-0092,2026-05-09,Nicole Rodriguez,MC-0147,kaiseki_plate_22,shino_carbon_trap,32000,paypal,first purchase
SS-0093,2026-05-09,Lucas Garcia,MC-0214,serving_bowl_24,ash_glaze_olive,32000,stripe,
SS-0094,2026-05-09,Karen Wilson,MC-0183,yunomi,kaki_iron_red,18000,paypal,
SS-0095,2026-05-09,Yuki Nakamura,MC-0097,serving_bowl_24,nuka_white,8400,cash,first purchase
SS-0096,2026-05-09,Etienne David,MC-0221,tea_bowl,tenmoku_black_brown,22000,bank_transfer,asked about next open studio
SS-0097,2026-05-09,Julia White,MC-0200,sake_cup,ash_glaze_olive,6800,cash,asked about next open studio
SS-0098,2026-05-09,Akira Miura,MC-0117,incense_dish,celadon_pale,8400,paypal,repeat buyer
SS-0099,2026-05-09,Yui Takahashi,MC-0009,sake_cup,nuka_white,14000,paypal,referred by Akiko
SS-0100,2026-05-09,Nicole Wilson,MC-0152,serving_bowl_28,tenmoku_black_brown,46000,cash,
SS-0101,2026-05-09,Hiroko Goto,MC-0071,tea_bowl,celadon_pale,38000,stripe,wants commission info
SS-0102,2026-05-09,Kazuki Aoki,MC-0094,serving_bowl_24,ash_glaze_olive,12000,square,repeat buyer
SS-0103,2026-05-09,Shun Takahashi,MC-0106,sake_cup,celadon_pale,46000,square,
SS-0104,2026-05-09,Laura Robinson,MC-0155,small_vase,nuka_white,46000,square,first purchase
SS-0105,2026-05-09,Michelle Thomas,MC-0143,tea_bowl,nuka_white,22000,bank_transfer,repeat buyer
SS-0106,2026-05-09,Tetsuya Kato,MC-0025,sake_cup,shino_carbon_trap,8400,square,asked about next open studio
SS-0107,2026-05-09,Yusuke Murakami,MC-0040,yunomi,ash_glaze_olive,38000,square,wants commission info
SS-0108,2026-05-09,Emma Laurent,MC-0220,yunomi,celadon_pale,22000,cash,wants commission info
